date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,9,6,0.0,3.4,2,83,07:40 PM,09:58 AM,08:00 AM,05:16 PM,3,6,8,6,13,69,72,3.8,1016,9,10,269,9,"Portugal,+Gondomar"
2021-01-02,10,6,0.0,8.7,3,76,08:48 PM,10:36 AM,08:00 AM,05:17 PM,3,7,8,7,9,13,74,0.0,1019,10,10,153,7,"Portugal,+Gondomar"
2021-01-03,9,2,0.0,8.7,2,69,09:58 PM,11:09 AM,08:00 AM,05:18 PM,2,6,7,6,8,39,70,0.6,1020,9,9,201,6,"Portugal,+Gondomar"
2021-01-04,10,5,0.0,5.2,2,62,11:08 PM,11:38 AM,08:00 AM,05:19 PM,3,6,7,6,6,70,75,0.6,1016,10,10,134,4,"Portugal,+Gondomar"
2021-01-05,11,4,0.0,8.7,3,56,No moonrise,12:05 PM,08:00 AM,05:20 PM,1,7,8,7,5,3,65,0.0,1015,11,10,136,4,"Portugal,+Gondomar"
2021-01-06,11,4,0.0,8.7,3,49,12:18 AM,12:32 PM,08:00 AM,05:21 PM,-1,6,7,6,10,4,56,0.0,1014,11,10,78,8,"Portugal,+Gondomar"
2021-01-07,12,5,0.0,8.7,3,42,01:30 AM,01:00 PM,08:00 AM,05:22 PM,-1,5,7,5,12,0,55,0.0,1014,12,10,53,10,"Portugal,+Gondomar"
2021-01-08,9,3,0.0,8.7,3,35,02:42 AM,01:31 PM,07:59 AM,05:23 PM,-5,2,5,2,21,29,48,0.0,1012,9,10,48,14,"Portugal,+Gondomar"
2021-01-09,9,2,0.0,8.7,3,28,03:57 AM,02:06 PM,07:59 AM,05:24 PM,-3,3,5,3,13,38,57,0.0,1008,9,10,29,10,"Portugal,+Gondomar"
2021-01-10,11,3,0.0,8.7,3,22,05:12 AM,02:48 PM,07:59 AM,05:25 PM,-1,4,6,4,13,33,60,0.0,1015,11,10,44,9,"Portugal,+Gondomar"
2021-01-11,14,4,0.0,8.7,3,15,06:23 AM,03:40 PM,07:59 AM,05:26 PM,-1,7,8,7,7,1,52,0.0,1025,14,10,68,6,"Portugal,+Gondomar"
2021-01-12,14,6,0.0,8.7,3,8,07:30 AM,04:39 PM,07:58 AM,05:27 PM,0,8,9,8,6,7,58,0.0,1030,14,10,97,5,"Portugal,+Gondomar"
