date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,7,3,0.0,5.3,2,83,07:39 PM,09:57 AM,07:59 AM,05:15 PM,2,4,5,4,8,64,84,4.6,1016,7,10,238,5,"Portugal,+Lousada"
2021-01-02,8,2,0.0,8.7,3,76,08:47 PM,10:35 AM,07:59 AM,05:16 PM,2,4,5,4,6,19,82,0.0,1019,8,10,168,4,"Portugal,+Lousada"
2021-01-03,8,-0,0.0,8.7,2,69,09:57 PM,11:08 AM,07:59 AM,05:17 PM,1,3,4,3,7,36,78,1.0,1019,8,10,195,5,"Portugal,+Lousada"
2021-01-04,8,2,0.0,7.0,1,62,11:07 PM,11:37 AM,07:59 AM,05:18 PM,1,4,4,4,5,56,80,0.2,1016,8,10,130,3,"Portugal,+Lousada"
2021-01-05,10,2,0.0,8.7,3,56,No moonrise,12:04 PM,07:59 AM,05:19 PM,0,5,6,5,5,4,72,0.0,1015,10,10,146,4,"Portugal,+Lousada"
2021-01-06,9,2,0.0,8.7,3,49,12:17 AM,12:30 PM,07:59 AM,05:20 PM,-2,2,4,2,12,5,65,0.0,1014,9,10,82,8,"Portugal,+Lousada"
2021-01-07,10,2,0.0,8.7,3,42,01:29 AM,12:58 PM,07:59 AM,05:21 PM,-3,2,4,2,12,1,62,0.0,1014,10,10,62,8,"Portugal,+Lousada"
2021-01-08,7,-0,0.0,8.7,2,35,02:41 AM,01:29 PM,07:59 AM,05:22 PM,-6,-0,3,-0,19,30,56,0.0,1013,7,10,54,11,"Portugal,+Lousada"
2021-01-09,7,0,0.0,8.7,1,28,03:56 AM,02:05 PM,07:59 AM,05:23 PM,-4,1,3,1,11,47,65,0.0,1008,7,10,42,7,"Portugal,+Lousada"
2021-01-10,9,1,0.0,8.7,1,22,05:11 AM,02:47 PM,07:58 AM,05:24 PM,-2,2,4,2,13,34,68,0.2,1015,9,10,52,8,"Portugal,+Lousada"
2021-01-11,11,1,0.0,8.7,3,15,06:23 AM,03:38 PM,07:58 AM,05:25 PM,-2,3,5,3,9,0,61,0.0,1025,11,10,85,6,"Portugal,+Lousada"
2021-01-12,12,1,0.0,8.7,3,8,07:29 AM,04:38 PM,07:58 AM,05:26 PM,-1,5,7,5,7,9,65,0.0,1030,12,10,99,4,"Portugal,+Lousada"
2021-01-13,11,1,0.0,8.7,3,1,08:25 AM,05:44 PM,07:57 AM,05:27 PM,-2,5,6,5,7,44,65,0.0,1031,11,10,139,4,"Portugal,+Lousada"
2021-01-14,12,2,0.0,8.7,3,5,09:12 AM,06:53 PM,07:57 AM,05:28 PM,2,6,6,6,6,11,77,0.0,1031,12,10,173,4,"Portugal,+Lousada"
2021-01-15,13,4,0.0,8.7,4,12,09:49 AM,08:01 PM,07:57 AM,05:29 PM,5,8,8,8,6,10,80,0.0,1029,13,10,101,4,"Portugal,+Lousada"
2021-01-16,16,5,0.0,8.7,4,19,10:20 AM,09:07 PM,07:56 AM,05:30 PM,3,8,9,8,7,1,69,0.0,1029,16,10,109,4,"Portugal,+Lousada"
2021-01-17,15,5,0.0,8.7,4,26,10:47 AM,10:10 PM,07:56 AM,05:32 PM,1,9,10,9,7,5,63,0.0,1030,15,10,106,4,"Portugal,+Lousada"
2021-01-18,17,6,0.0,8.7,4,33,11:11 AM,11:12 PM,07:55 AM,05:33 PM,4,10,11,10,8,3,72,0.0,1027,17,10,132,4,"Portugal,+Lousada"
2021-01-19,12,6,0.0,8.7,3,39,11:33 AM,No moonset,07:55 AM,05:34 PM,3,7,8,7,13,40,73,0.0,1021,12,10,137,8,"Portugal,+Lousada"
2021-01-20,11,7,0.0,3.7,3,46,11:55 AM,12:11 AM,07:54 AM,05:35 PM,8,7,9,7,33,99,91,40.5,1006,11,7,206,19,"Portugal,+Lousada"
2021-01-21,12,9,0.0,3.7,3,53,12:19 PM,01:11 AM,07:53 AM,05:36 PM,10,8,11,8,37,95,93,30.4,1010,12,8,236,21,"Portugal,+Lousada"
