date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,4,-0,0.0,3.6,1,83,07:38 PM,09:56 AM,07:58 AM,05:15 PM,1,1,2,1,8,66,92,5.5,1016,4,6,296,4,"Portugal,+Marco+de+Canaveses"
2021-01-02,7,1,0.0,8.7,1,76,08:47 PM,10:34 AM,07:58 AM,05:16 PM,1,3,3,3,4,26,87,0.0,1019,7,7,165,3,"Portugal,+Marco+de+Canaveses"
2021-01-03,6,-5,0.0,8.7,1,69,09:57 PM,11:07 AM,07:58 AM,05:17 PM,-0,1,2,1,7,41,83,0.8,1019,6,10,198,4,"Portugal,+Marco+de+Canaveses"
2021-01-04,6,1,0.0,5.3,1,62,11:06 PM,11:37 AM,07:58 AM,05:17 PM,0,2,3,2,4,58,84,0.1,1016,6,9,177,3,"Portugal,+Marco+de+Canaveses"
2021-01-05,9,0,0.0,8.7,2,56,No moonrise,12:03 PM,07:58 AM,05:18 PM,-1,3,4,3,6,4,75,0.0,1015,9,10,120,3,"Portugal,+Marco+de+Canaveses"
2021-01-06,6,-1,0.0,8.7,2,49,12:16 AM,12:30 PM,07:58 AM,05:19 PM,-3,-1,2,-1,14,4,70,0.0,1014,6,10,88,8,"Portugal,+Marco+de+Canaveses"
2021-01-07,6,-1,0.0,8.7,2,42,01:28 AM,12:58 PM,07:58 AM,05:20 PM,-4,-0,2,-0,12,0,67,0.0,1014,6,10,73,7,"Portugal,+Marco+de+Canaveses"
2021-01-08,6,-3,0.0,8.7,1,35,02:40 AM,01:29 PM,07:58 AM,05:21 PM,-7,-1,2,-1,19,39,60,0.0,1013,6,10,63,11,"Portugal,+Marco+de+Canaveses"
2021-01-09,4,-1,0.1,7.0,1,28,03:55 AM,02:04 PM,07:58 AM,05:22 PM,-4,-1,1,-1,12,49,71,0.2,1008,4,9,55,7,"Portugal,+Marco+de+Canaveses"
2021-01-10,6,-2,0.5,8.7,1,22,05:10 AM,02:47 PM,07:58 AM,05:24 PM,-3,-1,2,-1,14,33,74,0.9,1015,6,9,62,8,"Portugal,+Marco+de+Canaveses"
2021-01-11,7,-2,0.0,8.7,2,15,06:22 AM,03:38 PM,07:57 AM,05:25 PM,-4,-0,2,-0,13,0,67,0.0,1025,7,10,93,7,"Portugal,+Marco+de+Canaveses"
2021-01-12,10,-1,0.0,8.7,3,8,07:28 AM,04:37 PM,07:57 AM,05:26 PM,-2,3,5,3,8,8,69,0.0,1030,10,10,153,4,"Portugal,+Marco+de+Canaveses"
2021-01-13,9,-1,0.0,8.7,3,1,08:24 AM,05:44 PM,07:57 AM,05:27 PM,-3,3,4,3,7,43,68,0.0,1031,9,10,120,3,"Portugal,+Marco+de+Canaveses"
2021-01-14,10,-0,0.0,8.7,3,5,09:11 AM,06:52 PM,07:56 AM,05:28 PM,0,4,5,4,6,11,76,0.0,1031,10,10,170,3,"Portugal,+Marco+de+Canaveses"
2021-01-15,12,2,0.0,8.7,3,12,09:48 AM,08:01 PM,07:56 AM,05:29 PM,3,6,6,6,7,8,83,0.0,1029,12,10,118,4,"Portugal,+Marco+de+Canaveses"
2021-01-16,13,1,0.0,8.7,3,19,10:19 AM,09:07 PM,07:55 AM,05:30 PM,1,5,7,5,9,1,72,0.0,1030,13,10,84,5,"Portugal,+Marco+de+Canaveses"
2021-01-17,13,2,0.0,8.7,3,26,10:46 AM,10:10 PM,07:55 AM,05:31 PM,-0,6,8,6,10,4,65,0.0,1030,13,10,84,5,"Portugal,+Marco+de+Canaveses"
2021-01-18,14,4,0.0,8.7,3,33,11:10 AM,11:11 PM,07:54 AM,05:33 PM,3,8,9,8,9,2,75,0.0,1027,14,10,107,5,"Portugal,+Marco+de+Canaveses"
2021-01-19,10,4,0.0,7.0,2,39,11:33 AM,No moonset,07:54 AM,05:34 PM,2,5,6,5,13,36,75,0.0,1021,10,10,133,7,"Portugal,+Marco+de+Canaveses"
2021-01-20,10,5,0.0,3.7,2,46,11:55 AM,12:10 AM,07:53 AM,05:35 PM,7,5,8,5,31,98,94,41.4,1006,10,8,203,16,"Portugal,+Marco+de+Canaveses"
2021-01-21,11,7,0.0,3.7,2,53,12:18 PM,01:10 AM,07:53 AM,05:36 PM,8,6,9,6,39,99,96,34.4,1010,11,8,240,21,"Portugal,+Marco+de+Canaveses"
2021-01-22,9,4,0.0,3.7,2,60,12:44 PM,02:09 AM,07:52 AM,05:37 PM,5,3,7,3,48,89,88,30.3,1011,9,8,263,25,"Portugal,+Marco+de+Canaveses"
2021-01-23,10,4,0.0,3.7,2,66,01:14 PM,03:10 AM,07:51 AM,05:39 PM,7,5,8,5,42,93,94,37.6,1012,10,8,250,22,"Portugal,+Marco+de+Canaveses"
2021-01-24,9,1,0.0,3.7,2,73,01:49 PM,04:11 AM,07:51 AM,05:40 PM,7,6,8,6,19,86,95,7.4,1013,9,10,235,10,"Portugal,+Marco+de+Canaveses"
2021-01-25,13,6,0.0,3.7,3,80,02:30 PM,05:12 AM,07:50 AM,05:41 PM,10,8,10,8,24,100,98,11.5,1014,13,8,244,13,"Portugal,+Marco+de+Canaveses"
2021-01-26,14,10,0.0,3.7,3,87,03:21 PM,06:10 AM,07:49 AM,05:42 PM,11,11,11,11,10,100,99,14.1,1022,14,7,225,5,"Portugal,+Marco+de+Canaveses"
2021-01-27,14,10,0.0,3.7,3,93,04:19 PM,07:04 AM,07:48 AM,05:43 PM,11,12,12,12,6,95,95,1.1,1026,14,5,224,3,"Portugal,+Marco+de+Canaveses"
2021-01-28,14,10,0.0,7.0,3,100,05:24 PM,07:51 AM,07:47 AM,05:45 PM,11,12,12,12,8,76,92,0.2,1024,14,7,201,5,"Portugal,+Marco+de+Canaveses"
2021-01-29,13,10,0.0,3.7,3,93,06:33 PM,08:32 AM,07:47 AM,05:46 PM,10,11,11,11,15,91,92,1.5,1021,13,6,212,8,"Portugal,+Marco+de+Canaveses"
