date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,5,0.0,3.6,2,83,07:43 PM,09:56 AM,07:58 AM,05:19 PM,4,5,7,5,19,74,84,8.5,1016,10,9,340,11,"Portugal,+Mira"
2021-01-02,10,4,0.0,8.7,2,76,08:51 PM,10:35 AM,07:58 AM,05:20 PM,3,5,7,5,15,31,81,0.5,1018,10,10,191,9,"Portugal,+Mira"
2021-01-03,10,2,0.0,7.0,3,69,10:00 PM,11:08 AM,07:58 AM,05:21 PM,2,5,6,5,10,28,81,0.0,1019,10,10,211,6,"Portugal,+Mira"
2021-01-04,10,2,0.0,7.0,2,62,11:10 PM,11:38 AM,07:58 AM,05:22 PM,3,6,7,6,6,68,81,0.8,1016,10,10,127,4,"Portugal,+Mira"
2021-01-05,12,3,0.0,8.7,3,56,No moonrise,12:05 PM,07:58 AM,05:23 PM,2,6,8,6,9,0,78,0.0,1014,12,10,109,6,"Portugal,+Mira"
2021-01-06,10,1,0.0,8.7,3,49,12:19 AM,12:33 PM,07:58 AM,05:24 PM,-2,3,5,3,16,7,66,0.0,1013,10,10,77,9,"Portugal,+Mira"
2021-01-07,10,2,0.0,8.7,3,42,01:30 AM,01:01 PM,07:58 AM,05:25 PM,-2,2,5,2,16,11,65,0.0,1013,10,10,52,9,"Portugal,+Mira"
2021-01-08,9,1,0.0,8.7,2,35,02:42 AM,01:33 PM,07:58 AM,05:26 PM,-4,1,4,1,25,32,56,0.0,1011,9,10,38,14,"Portugal,+Mira"
2021-01-09,7,0,0.0,7.0,1,28,03:56 AM,02:08 PM,07:58 AM,05:27 PM,-3,0,3,0,20,39,63,0.0,1007,7,10,31,12,"Portugal,+Mira"
2021-01-10,9,1,0.0,5.3,2,22,05:10 AM,02:52 PM,07:58 AM,05:28 PM,-1,2,4,2,23,41,70,0.0,1014,9,10,39,13,"Portugal,+Mira"
2021-01-11,10,1,0.0,8.7,3,15,06:22 AM,03:43 PM,07:57 AM,05:29 PM,-2,2,4,2,18,0,63,0.0,1024,10,10,54,11,"Portugal,+Mira"
2021-01-12,13,2,0.0,8.7,3,8,07:28 AM,04:43 PM,07:57 AM,05:30 PM,1,5,7,5,10,4,71,0.0,1030,13,10,121,6,"Portugal,+Mira"
2021-01-13,11,2,0.0,7.0,3,1,08:24 AM,05:49 PM,07:57 AM,05:31 PM,1,5,7,5,11,22,75,0.0,1031,11,10,142,6,"Portugal,+Mira"
2021-01-14,12,2,0.0,8.7,2,5,09:11 AM,06:57 PM,07:57 AM,05:32 PM,3,5,6,5,12,30,84,0.0,1031,12,8,168,7,"Portugal,+Mira"
2021-01-15,15,5,0.0,8.7,4,12,09:49 AM,08:05 PM,07:56 AM,05:33 PM,6,8,9,8,10,4,82,0.0,1029,15,10,130,6,"Portugal,+Mira"
2021-01-16,14,4,0.0,8.7,3,19,10:20 AM,09:10 PM,07:56 AM,05:35 PM,4,7,8,7,10,3,76,0.0,1029,14,10,101,6,"Portugal,+Mira"
2021-01-17,16,4,0.0,8.7,3,26,10:47 AM,10:13 PM,07:55 AM,05:36 PM,2,8,10,8,11,13,68,0.0,1030,16,10,109,6,"Portugal,+Mira"
2021-01-18,17,5,0.0,8.7,4,33,11:12 AM,11:14 PM,07:55 AM,05:37 PM,4,9,10,9,10,4,73,0.0,1027,17,10,158,6,"Portugal,+Mira"
2021-01-19,13,5,0.0,7.0,2,39,11:35 AM,No moonset,07:54 AM,05:38 PM,5,7,9,7,22,44,76,0.0,1021,13,10,148,14,"Portugal,+Mira"
2021-01-20,13,11,0.0,3.7,3,46,11:58 AM,12:12 AM,07:54 AM,05:39 PM,10,9,12,9,36,94,90,32.1,1008,13,7,209,21,"Portugal,+Mira"
2021-01-21,14,11,0.0,3.7,3,53,12:22 PM,01:12 AM,07:53 AM,05:40 PM,12,11,12,11,34,74,95,22.9,1012,14,9,231,20,"Portugal,+Mira"
2021-01-22,12,5,0.0,5.4,3,60,12:48 PM,02:11 AM,07:52 AM,05:41 PM,8,8,11,8,43,80,82,18.0,1014,12,9,269,25,"Portugal,+Mira"
2021-01-23,14,6,0.0,3.7,3,66,01:18 PM,03:11 AM,07:52 AM,05:43 PM,10,9,11,9,35,91,90,18.5,1014,14,7,249,20,"Portugal,+Mira"
2021-01-24,13,6,0.0,3.7,3,73,01:53 PM,04:11 AM,07:51 AM,05:44 PM,11,10,11,10,17,87,94,5.5,1014,13,9,227,10,"Portugal,+Mira"
2021-01-25,15,12,0.0,3.7,3,80,02:35 PM,05:12 AM,07:50 AM,05:45 PM,13,12,14,12,23,100,96,8.5,1016,15,7,243,14,"Portugal,+Mira"
2021-01-26,16,14,0.0,3.7,3,87,03:26 PM,06:10 AM,07:50 AM,05:46 PM,14,15,15,15,11,100,98,12.5,1022,16,8,245,7,"Portugal,+Mira"
2021-01-27,17,13,0.0,3.7,4,93,04:24 PM,07:03 AM,07:49 AM,05:47 PM,14,15,15,15,5,84,94,0.3,1027,17,3,226,3,"Portugal,+Mira"
2021-01-28,17,12,0.0,5.4,3,100,05:29 PM,07:51 AM,07:48 AM,05:49 PM,13,14,14,14,10,84,91,0.0,1024,17,7,202,7,"Portugal,+Mira"
2021-01-29,16,13,0.0,3.8,3,93,06:38 PM,08:32 AM,07:47 AM,05:50 PM,12,14,14,14,16,82,87,0.3,1022,16,10,187,10,"Portugal,+Mira"
2021-01-30,13,11,0.0,3.8,3,86,07:49 PM,09:09 AM,07:46 AM,05:51 PM,9,10,12,10,35,75,84,10.3,1019,13,9,275,21,"Portugal,+Mira"
2021-01-31,14,11,0.0,3.8,3,79,09:00 PM,09:40 AM,07:45 AM,05:52 PM,12,12,13,12,25,96,93,4.0,1019,14,9,280,16,"Portugal,+Mira"
2021-02-01,15,7,0.0,3.8,3,73,10:11 PM,10:09 AM,07:44 AM,05:53 PM,12,12,13,12,17,84,90,1.7,1020,15,8,236,11,"Portugal,+Mira"
2021-02-02,14,13,0.0,3.8,3,66,11:22 PM,10:36 AM,07:43 AM,05:55 PM,11,12,13,12,23,85,90,3.1,1017,14,9,188,14,"Portugal,+Mira"
2021-02-03,15,10,0.0,3.8,3,59,No moonrise,11:04 AM,07:42 AM,05:56 PM,11,11,13,11,24,78,87,13.2,1012,15,9,210,15,"Portugal,+Mira"
2021-02-04,14,8,0.0,5.4,3,52,12:33 AM,11:35 AM,07:41 AM,05:57 PM,9,10,11,10,11,69,87,5.3,1010,14,8,194,7,"Portugal,+Mira"
2021-02-05,11,8,0.0,3.8,2,46,01:46 AM,12:08 PM,07:40 AM,05:58 PM,8,8,9,8,17,89,90,15.5,1004,11,7,115,10,"Portugal,+Mira"
2021-02-06,12,8,0.0,7.1,3,39,02:58 AM,12:47 PM,07:39 AM,05:59 PM,6,7,10,7,35,58,76,2.1,1004,12,9,341,23,"Portugal,+Mira"
2021-02-07,9,1,0.0,6.9,2,32,04:09 AM,01:35 PM,07:38 AM,06:01 PM,6,5,7,5,21,60,86,17.1,1010,9,8,209,12,"Portugal,+Mira"
2021-02-08,13,5,0.0,5.3,3,25,05:16 AM,02:29 PM,07:37 AM,06:02 PM,8,8,11,8,31,77,84,26.5,1007,13,8,268,18,"Portugal,+Mira"
2021-02-09,12,11,0.0,5.3,3,18,06:14 AM,03:32 PM,07:36 AM,06:03 PM,9,8,11,8,39,94,88,49.4,1004,12,6,236,24,"Portugal,+Mira"
2021-02-10,13,6,0.0,8.5,3,12,07:04 AM,04:38 PM,07:35 AM,06:04 PM,8,9,10,9,17,73,83,8.0,1013,13,10,207,10,"Portugal,+Mira"
2021-02-11,16,12,0.0,5.4,3,5,07:45 AM,05:47 PM,07:34 AM,06:05 PM,13,13,14,13,24,95,93,14.6,1017,16,7,196,15,"Portugal,+Mira"
2021-02-12,16,10,0.0,8.5,3,2,08:18 AM,06:53 PM,07:32 AM,06:07 PM,10,12,12,12,12,59,89,8.2,1023,16,7,232,7,"Portugal,+Mira"
2021-02-13,16,9,0.0,10.8,4,9,08:47 AM,07:57 PM,07:31 AM,06:08 PM,9,11,12,11,9,24,84,0.0,1026,16,9,173,6,"Portugal,+Mira"
2021-02-14,19,9,0.0,10.8,4,15,09:13 AM,08:59 PM,07:30 AM,06:09 PM,8,13,13,13,14,20,73,0.0,1026,19,10,150,8,"Portugal,+Mira"
2021-02-15,19,10,0.0,10.8,4,22,09:37 AM,10:00 PM,07:29 AM,06:10 PM,8,12,13,12,23,4,72,0.0,1026,19,10,139,13,"Portugal,+Mira"
2021-02-16,15,12,0.0,7.0,3,29,09:59 AM,10:59 PM,07:27 AM,06:11 PM,10,12,13,12,19,77,86,5.4,1026,15,10,184,12,"Portugal,+Mira"
2021-02-17,17,12,0.0,8.5,3,36,10:22 AM,11:59 PM,07:26 AM,06:13 PM,11,13,13,13,20,63,86,2.0,1021,17,9,168,12,"Portugal,+Mira"
2021-02-18,14,9,0.0,8.5,3,42,10:48 AM,No moonset,07:25 AM,06:14 PM,10,11,12,11,20,67,86,17.6,1016,14,9,205,12,"Portugal,+Mira"
2021-02-19,15,10,0.0,7.0,3,49,11:16 AM,12:58 AM,07:23 AM,06:15 PM,11,11,13,11,27,83,87,2.9,1014,15,10,169,15,"Portugal,+Mira"
2021-02-20,14,10,0.0,5.5,3,56,11:49 AM,01:59 AM,07:22 AM,06:16 PM,10,11,13,11,33,99,87,43.1,1006,14,8,170,21,"Portugal,+Mira"
2021-02-21,12,8,0.0,5.5,2,63,12:27 PM,02:58 AM,07:20 AM,06:17 PM,7,8,9,8,19,88,85,27.1,1006,12,8,255,12,"Portugal,+Mira"
2021-02-22,16,6,0.0,11.0,3,70,01:13 PM,03:57 AM,07:19 AM,06:18 PM,5,9,10,9,8,28,76,1.1,1020,16,10,211,5,"Portugal,+Mira"
2021-02-23,16,7,0.0,10.1,3,76,02:07 PM,04:52 AM,07:18 AM,06:20 PM,6,9,11,9,23,50,70,0.0,1027,16,10,134,14,"Portugal,+Mira"
2021-02-24,17,9,0.0,10.1,3,83,03:09 PM,05:42 AM,07:16 AM,06:21 PM,8,11,12,11,23,25,75,0.4,1027,17,10,154,14,"Portugal,+Mira"
2021-02-25,13,11,0.0,5.5,3,90,04:17 PM,06:26 AM,07:15 AM,06:22 PM,10,11,12,11,10,81,91,21.4,1025,13,8,179,7,"Portugal,+Mira"
2021-02-26,19,10,0.0,11.1,4,97,05:29 PM,07:05 AM,07:13 AM,06:23 PM,10,13,13,13,14,36,79,0.0,1028,19,10,89,8,"Portugal,+Mira"
2021-02-27,19,10,0.0,11.1,4,97,06:41 PM,07:39 AM,07:12 AM,06:24 PM,9,13,13,13,16,16,73,0.0,1024,19,10,108,9,"Portugal,+Mira"
2021-02-28,20,8,0.0,11.2,4,90,07:55 PM,08:09 AM,07:10 AM,06:25 PM,7,13,14,13,14,3,70,0.0,1019,20,10,139,8,"Portugal,+Mira"
2021-03-01,18,10,0.0,8.6,3,83,09:08 PM,08:37 AM,07:09 AM,06:26 PM,9,12,13,12,14,35,80,0.5,1018,18,10,185,10,"Portugal,+Mira"
2021-03-02,14,9,0.0,7.1,3,76,10:22 PM,09:06 AM,07:07 AM,06:27 PM,8,12,12,12,9,74,79,0.0,1024,14,10,204,6,"Portugal,+Mira"
2021-03-03,20,8,0.0,10.1,4,69,11:36 PM,09:36 AM,07:06 AM,06:29 PM,9,13,14,13,10,21,79,0.4,1025,20,9,140,6,"Portugal,+Mira"
2021-03-04,17,10,0.0,5.6,3,63,No moonrise,10:08 AM,07:04 AM,06:30 PM,10,13,13,13,14,92,86,10.4,1017,17,9,129,8,"Portugal,+Mira"
2021-03-05,19,10,0.0,10.1,3,56,12:50 AM,10:46 AM,07:02 AM,06:31 PM,10,13,14,13,9,58,82,3.5,1015,19,8,195,6,"Portugal,+Mira"
2021-03-06,18,9,0.0,11.3,4,49,02:02 AM,11:31 AM,07:01 AM,06:32 PM,9,12,13,12,13,7,77,0.0,1019,18,10,140,8,"Portugal,+Mira"
2021-03-07,17,9,0.0,11.6,4,42,03:10 AM,12:23 PM,06:59 AM,06:33 PM,9,11,12,11,8,5,82,0.0,1018,17,10,200,6,"Portugal,+Mira"
2021-03-08,14,7,0.0,8.7,3,36,04:10 AM,01:23 PM,06:58 AM,06:34 PM,7,9,10,9,12,46,82,0.0,1017,14,8,208,8,"Portugal,+Mira"
2021-03-09,15,6,0.0,11.6,4,29,05:01 AM,02:27 PM,06:56 AM,06:35 PM,3,8,10,8,19,12,65,0.0,1020,15,10,159,12,"Portugal,+Mira"
2021-03-10,16,7,0.0,11.6,4,22,05:44 AM,03:34 PM,06:54 AM,06:36 PM,7,10,11,10,7,28,78,0.0,1024,16,10,192,5,"Portugal,+Mira"
2021-03-11,16,10,0.0,7.3,3,15,06:19 AM,04:40 PM,06:53 AM,06:37 PM,11,13,13,13,12,85,86,0.8,1026,16,8,201,8,"Portugal,+Mira"
2021-03-12,14,9,0.0,5.9,3,9,06:49 AM,05:45 PM,06:51 AM,06:38 PM,8,11,12,11,14,71,80,2.4,1026,14,8,332,10,"Portugal,+Mira"
2021-03-13,14,6,0.0,11.6,3,2,07:15 AM,06:47 PM,06:50 AM,06:40 PM,6,9,10,9,14,23,77,0.0,1026,14,10,143,9,"Portugal,+Mira"
2021-03-14,17,6,0.0,11.6,4,5,07:39 AM,07:48 PM,06:48 AM,06:41 PM,7,10,11,10,16,5,78,0.0,1027,17,10,194,11,"Portugal,+Mira"
2021-03-15,20,8,0.0,11.6,4,12,08:02 AM,08:48 PM,06:46 AM,06:42 PM,7,12,13,12,14,20,73,0.0,1024,20,10,137,8,"Portugal,+Mira"
2021-03-16,21,9,0.0,11.6,5,19,08:24 AM,09:48 PM,06:45 AM,06:43 PM,6,14,14,14,21,21,60,0.0,1024,21,10,64,12,"Portugal,+Mira"
2021-03-17,21,10,0.0,11.6,5,25,08:49 AM,10:48 PM,06:43 AM,06:44 PM,6,13,14,13,29,3,58,0.0,1022,21,10,64,18,"Portugal,+Mira"
2021-03-18,18,8,0.0,11.6,4,32,09:16 AM,11:48 PM,06:41 AM,06:45 PM,2,11,12,11,26,1,49,0.0,1020,18,10,49,16,"Portugal,+Mira"
2021-03-19,15,6,0.0,11.6,4,39,09:46 AM,No moonset,06:40 AM,06:46 PM,3,10,11,10,25,10,56,0.0,1017,15,10,162,16,"Portugal,+Mira"
2021-03-20,16,6,0.0,11.6,4,46,10:21 AM,12:47 AM,06:38 AM,06:47 PM,2,9,11,9,26,3,56,0.0,1019,16,10,86,17,"Portugal,+Mira"
2021-03-21,16,5,0.0,11.6,4,52,11:03 AM,01:46 AM,06:36 AM,06:48 PM,-0,8,10,8,25,1,52,0.0,1024,16,10,129,16,"Portugal,+Mira"
2021-03-22,20,6,0.0,11.6,4,59,11:53 AM,02:42 AM,06:35 AM,06:49 PM,5,13,14,13,15,0,65,0.0,1020,20,10,102,10,"Portugal,+Mira"
2021-03-23,19,7,0.0,11.6,4,66,12:51 PM,03:34 AM,06:33 AM,06:50 PM,6,12,12,12,10,14,70,0.0,1022,19,9,204,7,"Portugal,+Mira"
2021-03-24,14,8,0.0,10.2,3,73,01:55 PM,04:19 AM,06:31 AM,06:51 PM,7,10,11,10,12,51,78,0.0,1025,14,10,336,9,"Portugal,+Mira"
2021-03-25,16,6,0.0,11.6,3,80,03:04 PM,04:59 AM,06:30 AM,06:52 PM,7,10,11,10,13,13,78,0.0,1023,16,9,193,9,"Portugal,+Mira"
2021-03-26,16,6,0.0,11.6,4,86,04:16 PM,05:34 AM,06:28 AM,06:53 PM,7,10,11,10,16,10,77,0.0,1023,16,10,182,11,"Portugal,+Mira"
2021-03-27,22,7,0.0,11.6,5,93,05:30 PM,06:06 AM,06:26 AM,06:54 PM,7,15,17,15,13,6,66,0.0,1019,22,10,138,8,"Portugal,+Mira"
2021-03-28,22,10,0.0,10.2,4,100,06:44 PM,06:35 AM,06:25 AM,06:55 PM,9,15,15,15,11,24,69,0.7,1019,22,10,201,7,"Portugal,+Mira"
2021-03-29,23,13,0.0,7.5,4,93,08:00 PM,07:04 AM,06:23 AM,06:57 PM,9,17,17,17,13,70,68,3.4,1020,23,10,125,8,"Portugal,+Mira"
2021-03-30,24,13,0.0,11.6,4,87,09:17 PM,07:34 AM,06:22 AM,06:58 PM,10,17,18,17,17,40,65,0.6,1019,24,10,99,9,"Portugal,+Mira"
2021-03-31,27,15,0.0,8.9,5,80,10:34 PM,08:06 AM,06:20 AM,06:59 PM,8,20,20,20,19,46,52,0.4,1011,27,10,116,12,"Portugal,+Mira"
2021-04-01,18,12,0.0,9.0,4,73,11:51 PM,08:43 AM,06:18 AM,07:00 PM,12,15,15,15,20,59,81,13.3,1012,18,9,184,11,"Portugal,+Mira"
2021-04-02,17,11,0.0,6.4,3,66,No moonrise,09:27 AM,06:17 AM,07:01 PM,11,13,13,13,11,79,86,2.7,1018,17,5,238,8,"Portugal,+Mira"
2021-04-03,22,9,0.0,11.6,4,60,01:03 AM,10:17 AM,06:15 AM,07:02 PM,10,14,15,14,10,18,78,0.0,1016,22,6,145,8,"Portugal,+Mira"
