date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,4,0.0,5.3,2,83,07:45 PM,09:50 AM,07:52 AM,05:22 PM,4,4,6,4,22,68,87,2.5,1017,10,9,309,13,"Portugal,+Mora"
2021-01-02,11,3,0.0,8.7,2,76,08:52 PM,10:29 AM,07:52 AM,05:22 PM,3,4,6,4,18,4,86,0.0,1018,11,7,322,10,"Portugal,+Mora"
2021-01-03,11,1,0.0,8.7,2,69,10:00 PM,11:03 AM,07:52 AM,05:23 PM,2,4,5,4,11,16,84,0.3,1020,11,9,323,6,"Portugal,+Mora"
2021-01-04,11,3,0.0,7.0,3,62,11:08 PM,11:34 AM,07:52 AM,05:24 PM,3,5,6,5,7,39,81,0.0,1016,11,10,246,5,"Portugal,+Mora"
2021-01-05,10,1,0.0,8.7,3,56,No moonrise,12:03 PM,07:52 AM,05:25 PM,1,3,5,3,12,6,78,0.0,1013,10,10,105,7,"Portugal,+Mora"
2021-01-06,8,-0,0.0,7.0,1,49,12:16 AM,12:31 PM,07:52 AM,05:26 PM,-2,0,4,0,25,24,67,0.0,1011,8,10,63,15,"Portugal,+Mora"
2021-01-07,9,2,0.0,7.0,2,42,01:26 AM,01:01 PM,07:52 AM,05:27 PM,-1,2,5,2,22,57,68,0.0,1011,9,10,41,13,"Portugal,+Mora"
2021-01-08,8,3,0.0,7.0,2,35,02:37 AM,01:33 PM,07:52 AM,05:28 PM,-2,0,4,0,29,63,65,0.0,1007,8,10,29,19,"Portugal,+Mora"
2021-01-09,6,-2,1.1,5.3,1,28,03:50 AM,02:10 PM,07:52 AM,05:29 PM,-2,-2,2,-2,17,65,80,1.5,1006,6,8,289,11,"Portugal,+Mora"
2021-01-10,8,-0,0.6,8.7,1,22,05:03 AM,02:54 PM,07:51 AM,05:30 PM,1,0,3,0,18,44,85,0.7,1013,8,8,25,11,"Portugal,+Mora"
2021-01-11,9,-1,0.0,8.7,2,15,06:14 AM,03:46 PM,07:51 AM,05:31 PM,-3,-0,3,-0,21,2,69,0.0,1023,9,10,31,12,"Portugal,+Mora"
2021-01-12,11,-1,0.0,8.7,3,8,07:20 AM,04:46 PM,07:51 AM,05:32 PM,-2,4,6,4,10,0,69,0.0,1030,11,10,112,5,"Portugal,+Mora"
2021-01-13,12,1,0.0,8.7,3,1,08:16 AM,05:51 PM,07:51 AM,05:33 PM,0,4,5,4,8,7,73,0.0,1031,12,10,189,5,"Portugal,+Mora"
2021-01-14,13,1,0.0,8.7,2,5,09:04 AM,06:59 PM,07:50 AM,05:34 PM,4,4,6,4,16,28,89,0.0,1030,13,6,343,10,"Portugal,+Mora"
2021-01-15,13,2,0.0,8.7,3,12,09:43 AM,08:05 PM,07:50 AM,05:35 PM,4,5,7,5,13,15,83,0.0,1028,13,9,233,7,"Portugal,+Mora"
2021-01-16,13,2,0.0,8.7,3,19,10:15 AM,09:10 PM,07:50 AM,05:36 PM,3,6,8,6,12,2,79,0.0,1028,13,9,26,6,"Portugal,+Mora"
2021-01-17,15,3,0.0,8.7,3,26,10:43 AM,10:12 PM,07:49 AM,05:37 PM,2,7,9,7,11,14,72,0.0,1029,15,10,61,6,"Portugal,+Mora"
2021-01-18,15,4,0.0,8.7,3,33,11:09 AM,11:11 PM,07:49 AM,05:38 PM,2,7,8,7,11,2,66,0.0,1027,15,10,94,6,"Portugal,+Mora"
2021-01-19,13,4,0.0,3.7,2,39,11:33 AM,No moonset,07:48 AM,05:39 PM,6,6,8,6,21,56,85,0.2,1022,13,8,163,12,"Portugal,+Mora"
2021-01-20,14,10,0.0,5.4,3,46,11:57 AM,12:09 AM,07:48 AM,05:41 PM,10,9,11,9,35,88,89,21.4,1011,14,8,222,22,"Portugal,+Mora"
2021-01-21,15,4,0.0,3.7,3,53,12:21 PM,01:08 AM,07:47 AM,05:42 PM,11,9,11,9,31,84,95,5.4,1016,15,8,228,20,"Portugal,+Mora"
2021-01-22,13,7,0.0,3.7,3,60,12:49 PM,02:06 AM,07:47 AM,05:43 PM,9,9,11,9,33,70,86,6.2,1018,13,10,269,20,"Portugal,+Mora"
2021-01-23,13,6,0.0,3.7,3,66,01:20 PM,03:05 AM,07:46 AM,05:44 PM,9,8,10,8,31,81,92,3.4,1018,13,8,243,20,"Portugal,+Mora"
