date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,3,-4,0.0,1.6,1,83,06:07 PM,11:14 AM,09:19 AM,03:47 PM,1,-2,2,-2,21,76,88,0.3,1012,3,10,166,14,"Portugal,+Oeste"
2021-01-02,2,1,0.3,1.6,1,76,07:35 PM,11:35 AM,09:18 AM,03:49 PM,-0,-2,2,-2,18,77,87,0.3,1015,2,9,91,12,"Portugal,+Oeste"
2021-01-03,1,-4,0.5,1.6,1,69,09:05 PM,11:49 AM,09:18 AM,03:50 PM,-2,-3,1,-3,19,100,82,1.0,1021,1,8,306,14,"Portugal,+Oeste"
2021-01-04,1,-0,0.6,1.6,1,62,10:35 PM,12:00 PM,09:17 AM,03:52 PM,-2,-4,1,-4,26,96,81,0.8,1026,1,8,54,19,"Portugal,+Oeste"
2021-01-05,-1,-1,0.0,5.8,2,56,No moonrise,12:09 PM,09:17 AM,03:53 PM,-3,-7,-1,-7,34,15,82,0.0,1028,-1,10,71,25,"Portugal,+Oeste"
2021-01-06,-1,-7,0.0,1.6,1,49,12:05 AM,12:17 PM,09:16 AM,03:55 PM,-4,-7,-2,-7,32,75,85,0.0,1022,-1,10,71,24,"Portugal,+Oeste"
2021-01-07,-2,-2,1.3,1.6,1,42,01:36 AM,12:26 PM,09:15 AM,03:56 PM,-4,-8,-2,-8,30,100,87,1.5,1015,-2,5,92,23,"Portugal,+Oeste"
2021-01-08,-2,-8,0.0,1.6,1,35,03:10 AM,12:37 PM,09:14 AM,03:58 PM,-4,-8,-3,-8,27,96,84,0.1,1015,-2,10,77,20,"Portugal,+Oeste"
2021-01-09,-3,-4,0.0,5.8,1,28,04:46 AM,12:51 PM,09:13 AM,04:00 PM,-7,-9,-3,-9,26,47,76,0.0,1020,-3,10,79,20,"Portugal,+Oeste"
2021-01-10,-1,-7,0.0,1.7,1,22,06:22 AM,01:13 PM,09:12 AM,04:02 PM,-4,-7,-3,-7,26,69,85,1.5,1018,-1,7,174,19,"Portugal,+Oeste"
