date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,6,0.0,3.6,2,83,07:41 PM,09:57 AM,07:59 AM,05:18 PM,3,5,8,5,18,71,73,3.6,1016,10,10,224,12,"Portugal,+Ovar"
2021-01-02,10,6,0.0,8.7,3,76,08:49 PM,10:35 AM,07:59 AM,05:19 PM,3,6,7,6,13,11,74,0.0,1019,10,10,149,9,"Portugal,+Ovar"
2021-01-03,9,3,0.0,8.7,2,69,09:59 PM,11:09 AM,07:59 AM,05:19 PM,2,5,7,5,10,40,70,0.1,1020,9,10,204,7,"Portugal,+Ovar"
2021-01-04,9,5,0.0,5.3,2,62,11:09 PM,11:38 AM,07:59 AM,05:20 PM,3,6,7,6,8,65,78,1.5,1016,9,10,159,5,"Portugal,+Ovar"
2021-01-05,11,4,0.0,8.7,3,56,No moonrise,12:05 PM,07:59 AM,05:21 PM,1,7,7,7,6,3,66,0.0,1014,11,10,135,5,"Portugal,+Ovar"
2021-01-06,12,4,0.0,8.7,3,49,12:18 AM,12:32 PM,07:59 AM,05:22 PM,-2,5,7,5,12,3,56,0.0,1014,12,10,77,8,"Portugal,+Ovar"
2021-01-07,11,4,0.0,8.7,3,42,01:30 AM,01:00 PM,07:59 AM,05:23 PM,-2,5,7,5,14,0,57,0.0,1014,11,10,52,10,"Portugal,+Ovar"
2021-01-08,9,2,0.0,8.7,2,35,02:42 AM,01:32 PM,07:59 AM,05:24 PM,-5,1,5,1,27,41,50,0.0,1012,9,10,44,16,"Portugal,+Ovar"
2021-01-09,8,2,0.0,8.7,2,28,03:56 AM,02:07 PM,07:59 AM,05:25 PM,-3,2,5,2,15,37,57,0.0,1008,8,10,28,11,"Portugal,+Ovar"
2021-01-10,10,3,0.0,7.0,2,22,05:11 AM,02:50 PM,07:59 AM,05:26 PM,-1,3,6,3,18,46,62,0.0,1015,10,10,44,11,"Portugal,+Ovar"
2021-01-11,13,3,0.0,8.7,3,15,06:23 AM,03:41 PM,07:58 AM,05:27 PM,-2,6,7,6,9,0,54,0.0,1025,13,10,105,7,"Portugal,+Ovar"
2021-01-12,13,6,0.0,8.7,3,8,07:29 AM,04:41 PM,07:58 AM,05:29 PM,0,7,8,7,7,9,58,0.0,1030,13,10,142,5,"Portugal,+Ovar"
2021-01-13,11,4,0.0,8.7,3,1,08:25 AM,05:47 PM,07:58 AM,05:30 PM,-1,6,7,6,9,31,60,0.0,1031,11,10,170,5,"Portugal,+Ovar"
2021-01-14,12,5,0.0,8.7,3,5,09:12 AM,06:55 PM,07:57 AM,05:31 PM,3,7,8,7,10,13,74,0.0,1031,12,10,169,6,"Portugal,+Ovar"
2021-01-15,14,7,0.0,8.7,4,12,09:50 AM,08:03 PM,07:57 AM,05:32 PM,6,10,10,10,8,5,76,0.0,1029,14,10,175,5,"Portugal,+Ovar"
2021-01-16,15,7,0.0,8.7,4,19,10:21 AM,09:09 PM,07:56 AM,05:33 PM,3,10,10,10,7,1,62,0.0,1029,15,10,136,5,"Portugal,+Ovar"
2021-01-17,16,8,0.0,8.7,4,26,10:48 AM,10:12 PM,07:56 AM,05:34 PM,2,10,11,10,6,9,57,0.0,1030,16,10,175,4,"Portugal,+Ovar"
2021-01-18,16,8,0.0,8.7,4,33,11:12 AM,11:13 PM,07:56 AM,05:35 PM,6,11,12,11,7,2,67,0.0,1027,16,10,167,5,"Portugal,+Ovar"
2021-01-19,13,6,0.0,7.0,3,39,11:35 AM,No moonset,07:55 AM,05:36 PM,5,8,10,8,22,41,70,0.0,1021,13,10,155,14,"Portugal,+Ovar"
2021-01-20,13,10,0.0,3.7,3,46,11:57 AM,12:12 AM,07:54 AM,05:38 PM,10,9,12,9,43,96,88,34.5,1006,13,8,212,27,"Portugal,+Ovar"
2021-01-21,14,11,0.0,3.7,3,53,12:21 PM,01:12 AM,07:54 AM,05:39 PM,11,10,12,10,40,78,92,22.2,1011,14,9,233,24,"Portugal,+Ovar"
2021-01-22,12,10,0.0,3.7,3,60,12:47 PM,02:11 AM,07:53 AM,05:40 PM,7,8,11,8,52,86,76,12.6,1012,12,10,270,32,"Portugal,+Ovar"
2021-01-23,14,10,0.0,3.7,3,66,01:17 PM,03:12 AM,07:52 AM,05:41 PM,9,9,12,9,40,94,86,30.4,1013,14,8,253,25,"Portugal,+Ovar"
2021-01-24,13,4,0.0,5.4,3,73,01:52 PM,04:12 AM,07:52 AM,05:42 PM,10,9,11,9,20,81,90,8.2,1013,13,10,230,13,"Portugal,+Ovar"
2021-01-25,14,11,0.0,3.7,3,80,02:33 PM,05:13 AM,07:51 AM,05:44 PM,12,11,13,11,28,100,96,8.4,1014,14,7,241,18,"Portugal,+Ovar"
2021-01-26,15,13,0.0,3.7,3,87,03:24 PM,06:11 AM,07:50 AM,05:45 PM,14,14,14,14,12,100,99,7.3,1022,15,5,223,8,"Portugal,+Ovar"
2021-01-27,16,13,0.0,3.7,3,93,04:22 PM,07:05 AM,07:49 AM,05:46 PM,13,15,14,15,7,84,94,0.2,1026,16,4,206,5,"Portugal,+Ovar"
2021-01-28,16,13,0.0,5.4,3,100,05:27 PM,07:52 AM,07:49 AM,05:47 PM,12,14,14,14,14,84,90,0.1,1024,16,8,174,9,"Portugal,+Ovar"
2021-01-29,16,13,0.0,3.8,3,93,06:36 PM,08:33 AM,07:48 AM,05:49 PM,12,13,14,13,22,86,87,1.1,1022,16,8,189,15,"Portugal,+Ovar"
2021-01-30,12,7,0.0,3.8,3,86,07:48 PM,09:09 AM,07:47 AM,05:50 PM,8,9,12,9,38,84,80,21.7,1018,12,9,272,25,"Portugal,+Ovar"
2021-01-31,14,11,0.0,3.8,3,79,08:59 PM,09:40 AM,07:46 AM,05:51 PM,12,11,13,11,24,95,94,9.6,1018,14,8,272,15,"Portugal,+Ovar"
2021-02-01,15,8,0.0,3.8,3,73,10:10 PM,10:09 AM,07:45 AM,05:52 PM,12,11,13,11,21,88,91,3.6,1019,15,8,227,14,"Portugal,+Ovar"
2021-02-02,14,12,0.0,3.8,3,66,11:22 PM,10:36 AM,07:44 AM,05:53 PM,11,11,13,11,33,91,87,4.5,1016,14,10,191,22,"Portugal,+Ovar"
2021-02-03,14,11,0.0,3.8,3,59,No moonrise,11:04 AM,07:43 AM,05:55 PM,10,10,12,10,31,81,84,24.7,1011,14,8,208,19,"Portugal,+Ovar"
2021-02-04,14,9,0.0,5.4,3,52,12:33 AM,11:33 AM,07:42 AM,05:56 PM,8,11,11,11,12,74,79,3.6,1010,14,10,152,8,"Portugal,+Ovar"
2021-02-05,11,6,0.0,7.1,3,46,01:46 AM,12:07 PM,07:41 AM,05:57 PM,7,8,10,8,18,63,82,13.1,1005,11,9,31,12,"Portugal,+Ovar"
2021-02-06,12,8,0.0,3.8,3,39,02:59 AM,12:46 PM,07:40 AM,05:58 PM,5,7,10,7,31,66,70,3.3,1005,12,7,348,22,"Portugal,+Ovar"
2021-02-07,8,-2,0.0,5.3,2,32,04:10 AM,01:33 PM,07:39 AM,06:00 PM,5,4,7,4,21,64,82,21.3,1009,8,7,165,14,"Portugal,+Ovar"
2021-02-08,12,10,0.0,6.9,3,25,05:17 AM,02:27 PM,07:38 AM,06:01 PM,7,8,11,8,37,75,80,34.5,1006,12,8,270,21,"Portugal,+Ovar"
2021-02-09,11,1,0.0,5.3,2,18,06:15 AM,03:30 PM,07:36 AM,06:02 PM,8,7,10,7,41,93,84,70.2,1002,11,6,239,27,"Portugal,+Ovar"
2021-02-10,14,6,0.0,8.5,3,12,07:05 AM,04:37 PM,07:35 AM,06:03 PM,6,9,10,9,21,78,72,10.1,1012,14,9,217,14,"Portugal,+Ovar"
2021-02-11,16,12,0.0,5.4,3,5,07:45 AM,05:45 PM,07:34 AM,06:04 PM,12,12,13,12,30,95,92,16.1,1016,16,7,196,19,"Portugal,+Ovar"
2021-02-12,15,11,0.0,8.5,3,2,08:19 AM,06:52 PM,07:33 AM,06:06 PM,10,12,12,12,14,50,85,20.3,1022,15,9,224,9,"Portugal,+Ovar"
2021-02-13,16,10,0.0,10.8,4,9,08:47 AM,07:57 PM,07:31 AM,06:07 PM,9,12,12,12,12,41,81,0.0,1026,16,10,174,8,"Portugal,+Ovar"
