date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,4,0.0,7.0,2,83,07:43 PM,09:50 AM,07:52 AM,05:20 PM,4,4,6,4,18,31,87,0.2,1016,10,8,304,10,"Portugal,+Ponte+de+Sor"
2021-01-02,11,3,0.0,8.7,3,76,08:50 PM,10:29 AM,07:52 AM,05:21 PM,2,4,6,4,18,7,82,0.0,1018,11,9,314,10,"Portugal,+Ponte+de+Sor"
2021-01-03,11,1,0.0,7.0,2,69,09:59 PM,11:03 AM,07:52 AM,05:22 PM,2,4,5,4,11,15,82,0.1,1019,11,10,328,6,"Portugal,+Ponte+de+Sor"
2021-01-04,10,2,0.0,8.7,2,62,11:07 PM,11:34 AM,07:52 AM,05:23 PM,2,4,5,4,9,28,80,0.0,1016,10,8,246,6,"Portugal,+Ponte+de+Sor"
2021-01-05,9,0,0.0,8.7,2,56,No moonrise,12:02 PM,07:52 AM,05:24 PM,-1,3,4,3,10,22,75,0.0,1014,9,9,64,6,"Portugal,+Ponte+de+Sor"
2021-01-06,9,-0,0.0,8.7,2,49,12:16 AM,12:30 PM,07:52 AM,05:25 PM,-4,1,4,1,20,20,63,0.0,1013,9,10,60,12,"Portugal,+Ponte+de+Sor"
2021-01-07,10,2,0.0,8.7,3,42,01:26 AM,01:00 PM,07:52 AM,05:26 PM,-3,3,6,3,15,27,60,0.0,1012,10,10,47,8,"Portugal,+Ponte+de+Sor"
2021-01-08,9,2,0.0,8.7,2,35,02:37 AM,01:32 PM,07:52 AM,05:26 PM,-4,1,4,1,19,34,59,0.0,1009,9,10,30,11,"Portugal,+Ponte+de+Sor"
2021-01-09,5,-1,0.9,3.7,1,28,03:50 AM,02:08 PM,07:52 AM,05:27 PM,-2,-1,2,-1,14,67,79,1.5,1006,5,9,174,9,"Portugal,+Ponte+de+Sor"
2021-01-10,10,-1,0.0,8.7,3,22,05:04 AM,02:52 PM,07:52 AM,05:28 PM,-1,2,4,2,15,31,76,0.0,1013,10,10,31,9,"Portugal,+Ponte+de+Sor"
