date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,11,7,0.0,10.0,2,83,08:36 PM,10:09 AM,08:10 AM,06:12 PM,5,7,9,7,19,30,76,0.1,1024,11,10,45,10,"Portugal,+Santana"
2021-01-02,10,7,0.0,10.0,2,76,09:41 PM,10:51 AM,08:10 AM,06:13 PM,6,8,9,8,22,48,78,0.9,1022,10,9,52,12,"Portugal,+Santana"
2021-01-03,11,5,0.0,10.0,3,69,10:45 PM,11:29 AM,08:10 AM,06:14 PM,7,8,10,8,22,60,78,0.3,1019,11,10,110,14,"Portugal,+Santana"
2021-01-04,12,5,0.0,5.0,3,62,11:49 PM,12:03 PM,08:10 AM,06:15 PM,11,9,11,9,38,95,89,74.2,1012,12,8,179,21,"Portugal,+Santana"
2021-01-05,15,11,0.0,5.0,3,56,No moonrise,12:36 PM,08:11 AM,06:15 PM,11,12,13,12,30,76,84,2.0,1007,15,9,273,15,"Portugal,+Santana"
2021-01-06,15,12,0.0,5.0,3,49,12:53 AM,01:09 PM,08:11 AM,06:16 PM,11,12,13,12,25,77,87,18.7,1001,15,9,244,13,"Portugal,+Santana"
2021-01-07,11,8,0.0,5.0,2,42,01:58 AM,01:42 PM,08:11 AM,06:17 PM,8,7,10,7,48,95,91,82.2,1004,11,7,99,24,"Portugal,+Santana"
2021-01-08,8,7,0.0,5.0,2,35,03:05 AM,02:18 PM,08:11 AM,06:18 PM,5,4,8,4,51,82,82,29.2,1010,8,8,130,27,"Portugal,+Santana"
2021-01-09,9,4,0.0,5.0,2,28,04:14 AM,03:00 PM,08:11 AM,06:19 PM,4,4,7,4,38,73,75,9.2,1020,9,9,340,19,"Portugal,+Santana"
2021-01-10,9,8,0.0,5.0,2,22,05:24 AM,03:47 PM,08:11 AM,06:20 PM,4,6,8,6,38,71,76,2.9,1023,9,10,339,19,"Portugal,+Santana"
2021-01-11,10,7,0.0,6.7,2,15,06:32 AM,04:41 PM,08:11 AM,06:20 PM,4,6,8,6,30,69,75,1.5,1026,10,10,192,16,"Portugal,+Santana"
2021-01-12,10,4,0.0,10.1,3,8,07:37 AM,05:42 PM,08:10 AM,06:21 PM,5,7,9,7,19,23,74,0.1,1028,10,10,37,12,"Portugal,+Santana"
2021-01-13,11,4,0.0,10.1,3,1,08:34 AM,06:45 PM,08:10 AM,06:22 PM,6,8,10,8,13,18,72,0.0,1030,11,10,48,9,"Portugal,+Santana"
2021-01-14,10,7,0.0,10.1,3,5,09:24 AM,07:51 PM,08:10 AM,06:23 PM,5,8,9,8,15,21,73,0.0,1032,10,10,47,9,"Portugal,+Santana"
2021-01-15,11,4,0.0,10.1,3,12,10:06 AM,08:54 PM,08:10 AM,06:24 PM,6,7,9,7,21,6,76,0.0,1030,11,10,47,12,"Portugal,+Santana"
2021-01-16,14,5,0.0,5.1,3,19,10:41 AM,09:55 PM,08:10 AM,06:25 PM,10,10,12,10,19,59,84,2.7,1029,14,10,36,12,"Portugal,+Santana"
2021-01-17,13,4,0.0,8.3,3,26,11:13 AM,10:52 PM,08:09 AM,06:26 PM,10,10,11,10,12,63,83,1.2,1028,13,9,68,8,"Portugal,+Santana"
2021-01-18,12,6,0.0,10.2,4,33,11:42 AM,11:49 PM,08:09 AM,06:27 PM,7,10,11,10,4,21,75,0.0,1027,12,10,212,3,"Portugal,+Santana"
2021-01-19,12,8,0.0,10.0,3,39,12:09 PM,No moonset,08:09 AM,06:28 PM,7,9,11,9,19,30,78,0.0,1024,12,10,240,10,"Portugal,+Santana"
2021-01-20,15,11,0.0,6.7,3,46,12:36 PM,12:43 AM,08:09 AM,06:29 PM,10,12,13,12,33,52,84,0.9,1020,15,10,268,16,"Portugal,+Santana"
2021-01-21,16,13,0.0,10.2,4,53,01:05 PM,01:38 AM,08:08 AM,06:30 PM,12,14,14,14,16,32,84,0.0,1023,16,10,270,8,"Portugal,+Santana"
2021-01-22,15,14,0.0,10.2,3,60,01:35 PM,02:32 AM,08:08 AM,06:31 PM,12,14,14,14,12,26,89,0.1,1026,15,10,174,6,"Portugal,+Santana"
2021-01-23,15,12,0.0,10.3,4,66,02:09 PM,03:29 AM,08:07 AM,06:32 PM,10,14,13,14,6,20,80,0.0,1025,15,10,218,3,"Portugal,+Santana"
2021-01-24,15,12,0.0,10.3,4,73,02:48 PM,04:25 AM,08:07 AM,06:32 PM,10,13,13,13,12,17,82,0.0,1022,15,10,252,6,"Portugal,+Santana"
2021-01-25,15,8,0.0,10.3,3,80,03:33 PM,05:23 AM,08:06 AM,06:33 PM,11,12,13,12,9,20,82,0.0,1024,15,10,265,5,"Portugal,+Santana"
2021-01-26,16,8,0.0,10.3,4,87,04:24 PM,06:19 AM,08:06 AM,06:34 PM,11,13,13,13,8,5,80,0.0,1026,16,10,163,5,"Portugal,+Santana"
2021-01-27,17,9,0.0,10.3,5,93,05:22 PM,07:13 AM,08:05 AM,06:35 PM,13,14,15,14,15,3,79,0.0,1024,17,10,87,9,"Portugal,+Santana"
2021-01-28,17,11,0.0,10.3,5,100,06:24 PM,08:03 AM,08:05 AM,06:36 PM,13,15,16,15,9,2,79,0.0,1023,17,10,93,6,"Portugal,+Santana"
2021-01-29,17,14,0.0,10.3,5,93,07:29 PM,08:48 AM,08:04 AM,06:37 PM,11,15,15,15,10,9,76,0.0,1024,17,10,172,6,"Portugal,+Santana"
2021-01-30,16,12,0.0,10.3,4,86,08:35 PM,09:28 AM,08:04 AM,06:38 PM,10,13,13,13,13,24,80,0.0,1027,16,10,188,6,"Portugal,+Santana"
2021-01-31,15,12,0.0,10.4,4,79,09:41 PM,10:04 AM,08:03 AM,06:39 PM,6,13,13,13,12,7,62,0.0,1027,15,10,87,6,"Portugal,+Santana"
2021-02-01,16,12,0.0,10.4,4,73,10:46 PM,10:38 AM,08:02 AM,06:40 PM,11,14,14,14,6,13,83,0.0,1024,16,10,83,3,"Portugal,+Santana"
2021-02-02,15,11,0.0,10.4,4,66,11:52 PM,11:11 AM,08:02 AM,06:41 PM,10,13,13,13,10,20,83,0.0,1021,15,10,205,5,"Portugal,+Santana"
2021-02-03,13,11,0.0,6.8,3,59,No moonrise,11:44 AM,08:01 AM,06:42 PM,8,10,12,10,24,52,80,0.7,1018,13,10,294,13,"Portugal,+Santana"
2021-02-04,9,7,0.0,6.8,2,52,12:58 AM,12:19 PM,08:00 AM,06:43 PM,5,6,9,6,30,60,76,3.1,1012,9,10,318,16,"Portugal,+Santana"
2021-02-05,9,8,0.0,8.5,2,46,02:05 AM,12:58 PM,07:59 AM,06:44 PM,4,5,8,5,37,63,74,4.0,1012,9,10,343,20,"Portugal,+Santana"
2021-02-06,10,8,0.0,5.4,2,39,03:13 AM,01:42 PM,07:59 AM,06:45 PM,5,7,9,7,34,68,76,4.4,1019,10,10,332,17,"Portugal,+Santana"
2021-02-07,12,8,0.0,10.9,4,32,04:20 AM,02:31 PM,07:58 AM,06:46 PM,7,9,10,9,17,21,79,0.0,1022,12,10,315,8,"Portugal,+Santana"
2021-02-08,14,11,0.0,10.1,3,25,05:25 AM,03:28 PM,07:57 AM,06:47 PM,9,11,12,11,27,34,82,0.5,1020,14,10,293,14,"Portugal,+Santana"
