date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,14,14,0.0,5.2,3,83,08:09 PM,10:11 AM,08:11 AM,05:43 PM,11,12,14,12,45,73,82,1.0,1024,14,10,118,33,"Portugal,+Velas"
2021-01-02,15,11,0.0,3.5,3,76,09:17 PM,10:50 AM,08:11 AM,05:43 PM,12,12,14,12,56,99,88,15.4,1017,15,6,126,40,"Portugal,+Velas"
2021-01-03,16,12,0.0,3.5,4,69,10:24 PM,11:25 AM,08:11 AM,05:44 PM,14,15,15,15,74,93,92,77.2,1005,16,6,133,45,"Portugal,+Velas"
2021-01-04,16,14,0.0,3.5,4,62,11:33 PM,11:56 AM,08:11 AM,05:45 PM,14,16,16,16,52,74,89,33.3,999,16,8,149,31,"Portugal,+Velas"
2021-01-05,15,14,0.0,3.5,3,56,No moonrise,12:24 PM,08:11 AM,05:46 PM,13,13,15,13,59,82,89,17.6,1003,15,9,130,39,"Portugal,+Velas"
2021-01-06,13,9,0.0,3.5,3,49,12:41 AM,12:53 PM,08:11 AM,05:47 PM,8,9,13,9,70,78,74,12.7,1009,13,9,75,54,"Portugal,+Velas"
2021-01-07,13,12,0.0,3.5,3,42,01:50 AM,01:23 PM,08:11 AM,05:48 PM,7,9,12,9,42,72,69,2.8,1024,13,10,55,33,"Portugal,+Velas"
2021-01-08,13,12,0.0,3.5,3,35,03:01 AM,01:56 PM,08:11 AM,05:49 PM,7,10,12,10,25,73,70,2.6,1029,13,9,43,18,"Portugal,+Velas"
2021-01-09,13,12,0.0,8.7,4,28,04:13 AM,02:33 PM,08:11 AM,05:50 PM,5,11,12,11,16,46,64,0.1,1030,13,10,136,12,"Portugal,+Velas"
2021-01-10,15,11,0.0,3.5,3,22,05:27 AM,03:18 PM,08:11 AM,05:51 PM,12,13,14,13,28,86,84,4.2,1028,15,8,213,20,"Portugal,+Velas"
2021-01-11,16,14,0.0,5.3,4,15,06:38 AM,04:10 PM,08:10 AM,05:52 PM,14,16,16,16,42,88,92,24.0,1025,16,8,209,26,"Portugal,+Velas"
2021-01-12,16,15,0.0,3.5,4,8,07:43 AM,05:10 PM,08:10 AM,05:53 PM,14,15,16,15,51,72,89,25.9,1020,16,9,218,33,"Portugal,+Velas"
2021-01-13,15,14,0.0,8.7,4,1,08:39 AM,06:16 PM,08:10 AM,05:54 PM,11,14,14,14,17,28,83,0.3,1024,15,10,231,12,"Portugal,+Velas"
2021-01-14,17,15,0.0,3.5,4,5,09:26 AM,07:24 PM,08:10 AM,05:55 PM,14,16,16,16,48,78,89,16.6,1023,17,9,200,29,"Portugal,+Velas"
2021-01-15,16,15,0.0,3.6,4,12,10:04 AM,08:30 PM,08:09 AM,05:56 PM,14,15,15,15,50,83,91,37.1,1023,16,8,197,32,"Portugal,+Velas"
2021-01-16,16,13,0.0,8.7,4,19,10:37 AM,09:34 PM,08:09 AM,05:57 PM,12,14,15,14,19,31,86,1.5,1024,16,10,178,13,"Portugal,+Velas"
2021-01-17,16,15,0.0,3.6,4,26,11:05 AM,10:35 PM,08:08 AM,05:58 PM,15,16,16,16,61,91,91,58.0,1018,16,7,205,40,"Portugal,+Velas"
2021-01-18,16,15,0.0,3.6,4,33,11:31 AM,11:35 PM,08:08 AM,05:59 PM,13,15,15,15,48,74,83,5.3,1016,16,10,235,32,"Portugal,+Velas"
2021-01-19,15,14,0.0,5.0,3,39,11:55 AM,No moonset,08:08 AM,06:00 PM,11,13,15,13,63,68,78,10.2,1013,15,9,277,45,"Portugal,+Velas"
2021-01-20,17,13,0.0,6.6,4,46,12:18 PM,12:33 AM,08:07 AM,06:01 PM,13,15,15,15,39,53,87,0.5,1013,17,10,243,27,"Portugal,+Velas"
2021-01-21,16,14,0.0,8.3,4,53,12:43 PM,01:31 AM,08:06 AM,06:02 PM,12,15,15,15,36,38,81,0.9,1018,16,10,279,26,"Portugal,+Velas"
2021-01-22,16,9,0.0,6.6,3,60,01:11 PM,02:29 AM,08:06 AM,06:03 PM,12,13,14,13,23,65,83,2.3,1022,16,9,210,15,"Portugal,+Velas"
2021-01-23,16,16,0.0,5.0,4,66,01:42 PM,03:28 AM,08:05 AM,06:05 PM,15,16,16,16,34,83,92,28.8,1017,16,8,226,22,"Portugal,+Velas"
2021-01-24,17,13,0.0,5.0,4,73,02:18 PM,04:27 AM,08:05 AM,06:06 PM,15,16,16,16,40,73,92,9.4,1011,17,9,228,26,"Portugal,+Velas"
2021-01-25,17,13,0.0,5.0,4,80,03:02 PM,05:27 AM,08:04 AM,06:07 PM,16,16,16,16,53,88,94,28.1,1012,17,9,217,33,"Portugal,+Velas"
2021-01-26,17,14,0.0,5.0,4,87,03:53 PM,06:24 AM,08:03 AM,06:08 PM,15,16,16,16,53,81,89,4.9,1014,17,10,196,35,"Portugal,+Velas"
2021-01-27,16,15,0.0,5.0,4,93,04:51 PM,07:18 AM,08:03 AM,06:09 PM,13,15,16,15,64,76,83,15.6,1010,16,9,219,42,"Portugal,+Velas"
2021-01-28,16,10,0.0,5.0,3,100,05:56 PM,08:06 AM,08:02 AM,06:10 PM,13,13,15,13,48,73,85,6.5,1011,16,9,220,32,"Portugal,+Velas"
2021-01-29,15,14,0.0,8.3,3,93,07:04 PM,08:48 AM,08:01 AM,06:11 PM,11,13,15,13,51,62,79,18.9,1014,15,9,250,35,"Portugal,+Velas"
2021-01-30,17,14,0.0,8.3,4,86,08:13 PM,09:25 AM,08:00 AM,06:12 PM,14,15,16,15,42,47,88,0.6,1021,17,8,203,27,"Portugal,+Velas"
2021-01-31,16,16,0.0,5.3,4,79,09:23 PM,09:57 AM,07:59 AM,06:14 PM,15,16,16,16,43,90,93,2.0,1020,16,7,215,28,"Portugal,+Velas"
2021-02-01,16,14,0.0,5.3,4,73,10:33 PM,10:27 AM,07:59 AM,06:15 PM,13,15,16,15,52,80,83,6.2,1014,16,9,237,36,"Portugal,+Velas"
2021-02-02,13,6,0.0,5.3,3,66,11:43 PM,10:56 AM,07:58 AM,06:16 PM,7,9,12,9,61,74,71,10.8,1013,13,9,271,44,"Portugal,+Velas"
2021-02-03,12,11,0.0,5.3,3,59,No moonrise,11:26 AM,07:57 AM,06:17 PM,6,8,12,8,62,73,69,6.4,1018,12,10,307,47,"Portugal,+Velas"
