date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,15,13,0.0,7.0,3,83,08:00 PM,09:57 AM,07:57 AM,05:34 PM,10,12,14,12,29,54,78,0.2,1026,15,10,107,23,"Portugal,+Vila+Franca+do+Campo"
2021-01-02,15,10,0.0,3.7,3,76,09:07 PM,10:37 AM,07:57 AM,05:35 PM,11,12,14,12,42,84,80,0.3,1019,15,10,127,33,"Portugal,+Vila+Franca+do+Campo"
2021-01-03,16,11,0.0,3.7,4,69,10:14 PM,11:12 AM,07:57 AM,05:36 PM,14,15,16,15,62,100,88,8.3,1009,16,6,130,47,"Portugal,+Vila+Franca+do+Campo"
2021-01-04,16,15,0.0,3.7,4,62,11:22 PM,11:43 AM,07:57 AM,05:37 PM,14,16,16,16,32,85,90,2.5,1003,16,10,121,24,"Portugal,+Vila+Franca+do+Campo"
2021-01-05,16,15,0.0,3.7,4,56,No moonrise,12:13 PM,07:57 AM,05:38 PM,13,15,15,15,40,91,86,6.4,1006,16,9,100,30,"Portugal,+Vila+Franca+do+Campo"
2021-01-06,13,11,0.0,3.7,3,49,12:29 AM,12:42 PM,07:57 AM,05:39 PM,8,10,13,10,50,88,70,1.5,1009,13,8,66,41,"Portugal,+Vila+Franca+do+Campo"
2021-01-07,13,12,0.0,5.4,3,42,01:38 AM,01:12 PM,07:57 AM,05:39 PM,7,10,13,10,43,56,69,1.0,1022,13,10,43,35,"Portugal,+Vila+Franca+do+Campo"
2021-01-08,14,8,0.0,5.4,3,35,02:48 AM,01:46 PM,07:57 AM,05:40 PM,8,10,12,10,33,57,72,0.4,1027,14,10,24,26,"Portugal,+Vila+Franca+do+Campo"
2021-01-09,13,11,0.0,8.7,4,28,04:00 AM,02:24 PM,07:57 AM,05:41 PM,6,11,12,11,13,28,65,0.1,1030,13,10,32,10,"Portugal,+Vila+Franca+do+Campo"
2021-01-10,13,9,0.0,3.7,3,22,05:13 AM,03:09 PM,07:57 AM,05:42 PM,7,11,12,11,10,89,71,0.0,1030,13,10,154,8,"Portugal,+Vila+Franca+do+Campo"
2021-01-11,15,8,0.0,3.7,3,15,06:23 AM,04:02 PM,07:57 AM,05:43 PM,12,12,14,12,30,100,85,2.5,1028,15,10,194,23,"Portugal,+Vila+Franca+do+Campo"
2021-01-12,16,10,0.0,3.7,4,8,07:28 AM,05:02 PM,07:57 AM,05:44 PM,14,15,16,15,46,92,89,6.8,1023,16,7,216,32,"Portugal,+Vila+Franca+do+Campo"
2021-01-13,16,14,0.0,8.7,4,1,08:24 AM,06:07 PM,07:56 AM,05:45 PM,14,15,15,15,17,53,90,6.8,1026,16,9,202,12,"Portugal,+Vila+Franca+do+Campo"
2021-01-14,16,12,0.0,3.7,4,5,09:12 AM,07:14 PM,07:56 AM,05:46 PM,14,15,16,15,43,79,90,12.7,1027,16,8,203,29,"Portugal,+Vila+Franca+do+Campo"
2021-01-15,16,16,0.0,5.4,4,12,09:51 AM,08:20 PM,07:56 AM,05:47 PM,14,16,16,16,42,83,87,2.6,1027,16,10,195,30,"Portugal,+Vila+Franca+do+Campo"
2021-01-16,16,16,0.0,3.7,4,19,10:24 AM,09:24 PM,07:56 AM,05:48 PM,15,16,16,16,34,93,92,11.1,1026,16,9,203,24,"Portugal,+Vila+Franca+do+Campo"
2021-01-17,17,12,0.0,3.7,4,26,10:53 AM,10:24 PM,07:55 AM,05:49 PM,15,16,16,16,47,92,90,1.8,1022,17,10,194,35,"Portugal,+Vila+Franca+do+Campo"
2021-01-18,16,14,0.0,7.0,4,33,11:19 AM,11:24 PM,07:55 AM,05:50 PM,14,16,16,16,41,72,87,0.6,1019,16,10,228,30,"Portugal,+Vila+Franca+do+Campo"
2021-01-19,16,10,0.0,7.0,4,39,11:44 AM,No moonset,07:54 AM,05:51 PM,12,14,15,14,52,65,79,4.6,1014,16,10,271,40,"Portugal,+Vila+Franca+do+Campo"
2021-01-20,17,12,0.0,3.7,4,46,12:08 PM,12:21 AM,07:54 AM,05:53 PM,14,15,16,15,35,69,89,0.2,1014,17,10,246,25,"Portugal,+Vila+Franca+do+Campo"
2021-01-21,17,14,0.0,8.7,4,53,12:33 PM,01:18 AM,07:53 AM,05:54 PM,14,16,16,16,29,44,88,0.1,1019,17,10,285,21,"Portugal,+Vila+Franca+do+Campo"
2021-01-22,16,13,0.0,3.8,3,60,01:01 PM,02:15 AM,07:53 AM,05:55 PM,12,14,15,14,19,61,85,3.4,1023,16,7,210,13,"Portugal,+Vila+Franca+do+Campo"
2021-01-23,17,13,0.0,7.1,4,66,01:33 PM,03:14 AM,07:52 AM,05:56 PM,14,16,16,16,36,51,89,0.5,1019,17,10,229,24,"Portugal,+Vila+Franca+do+Campo"
2021-01-24,17,11,0.0,3.8,4,73,02:10 PM,04:13 AM,07:52 AM,05:57 PM,16,15,16,15,38,82,94,12.3,1013,17,10,233,27,"Portugal,+Vila+Franca+do+Campo"
2021-01-25,17,11,0.0,5.4,4,80,02:53 PM,05:13 AM,07:51 AM,05:58 PM,16,16,17,16,41,83,95,14.0,1016,17,9,216,29,"Portugal,+Vila+Franca+do+Campo"
2021-01-26,17,15,0.0,3.8,4,87,03:44 PM,06:10 AM,07:50 AM,05:59 PM,15,17,17,17,45,86,88,0.7,1019,17,10,195,32,"Portugal,+Vila+Franca+do+Campo"
2021-01-27,17,13,0.0,8.4,4,93,04:42 PM,07:03 AM,07:50 AM,06:00 PM,15,16,17,16,50,67,89,4.0,1015,17,9,212,36,"Portugal,+Vila+Franca+do+Campo"
2021-01-28,17,12,0.0,10.5,4,100,05:47 PM,07:52 AM,07:49 AM,06:01 PM,15,16,16,16,36,53,90,3.2,1014,17,10,216,26,"Portugal,+Vila+Franca+do+Campo"
2021-01-29,17,11,0.0,10.0,4,93,06:54 PM,08:34 AM,07:48 AM,06:02 PM,13,15,16,15,43,56,84,8.0,1017,17,10,250,31,"Portugal,+Vila+Franca+do+Campo"
2021-01-30,17,14,0.0,6.9,4,86,08:03 PM,09:12 AM,07:47 AM,06:03 PM,13,15,16,15,30,51,86,0.2,1024,17,10,202,21,"Portugal,+Vila+Franca+do+Campo"
2021-01-31,17,14,0.0,5.3,4,79,09:13 PM,09:45 AM,07:47 AM,06:04 PM,15,16,16,16,32,81,90,0.1,1023,17,10,219,23,"Portugal,+Vila+Franca+do+Campo"
2021-02-01,17,15,0.0,5.3,4,73,10:21 PM,10:15 AM,07:46 AM,06:06 PM,14,16,16,16,45,85,88,1.6,1016,17,10,231,33,"Portugal,+Vila+Franca+do+Campo"
2021-02-02,14,13,0.0,6.9,3,66,11:30 PM,10:45 AM,07:45 AM,06:07 PM,9,12,14,12,53,75,73,7.1,1014,14,10,270,40,"Portugal,+Vila+Franca+do+Campo"
2021-02-03,13,10,0.0,5.3,3,59,No moonrise,11:15 AM,07:44 AM,06:08 PM,7,9,12,9,54,85,69,8.1,1016,13,10,304,40,"Portugal,+Vila+Franca+do+Campo"
2021-02-04,14,6,0.0,6.9,3,52,12:40 AM,11:47 AM,07:43 AM,06:09 PM,7,8,12,8,54,77,68,3.6,1021,14,10,288,43,"Portugal,+Vila+Franca+do+Campo"
2021-02-05,12,10,0.0,5.3,3,46,01:50 AM,12:23 PM,07:42 AM,06:10 PM,8,10,12,10,34,76,73,0.9,1026,12,10,284,28,"Portugal,+Vila+Franca+do+Campo"
2021-02-06,15,9,0.0,5.4,3,39,03:01 AM,01:04 PM,07:41 AM,06:11 PM,12,12,14,12,28,89,85,0.4,1026,15,10,308,22,"Portugal,+Vila+Franca+do+Campo"
2021-02-07,16,15,0.0,5.4,4,32,04:10 AM,01:53 PM,07:40 AM,06:12 PM,13,15,15,15,36,81,86,2.1,1021,16,9,282,28,"Portugal,+Vila+Franca+do+Campo"
2021-02-08,16,13,0.0,5.4,3,25,05:16 AM,02:48 PM,07:39 AM,06:13 PM,12,13,15,13,34,78,82,0.7,1018,16,10,281,26,"Portugal,+Vila+Franca+do+Campo"
2021-02-09,16,13,0.0,5.4,4,18,06:14 AM,03:51 PM,07:38 AM,06:14 PM,14,15,16,15,42,80,89,1.8,1012,16,10,252,31,"Portugal,+Vila+Franca+do+Campo"
2021-02-10,16,13,0.0,5.4,4,12,07:04 AM,04:56 PM,07:37 AM,06:15 PM,13,15,16,15,46,86,82,3.5,1009,16,10,248,35,"Portugal,+Vila+Franca+do+Campo"
2021-02-11,16,9,0.0,10.1,3,5,07:46 AM,06:03 PM,07:36 AM,06:16 PM,11,13,15,13,48,61,75,1.6,1015,16,10,239,37,"Portugal,+Vila+Franca+do+Campo"
2021-02-12,16,9,0.0,7.0,4,2,08:21 AM,07:08 PM,07:35 AM,06:18 PM,12,14,15,14,41,66,81,7.9,1015,16,10,248,31,"Portugal,+Vila+Franca+do+Campo"
2021-02-13,16,11,0.0,5.4,4,9,08:52 AM,08:10 PM,07:34 AM,06:19 PM,13,14,15,14,48,66,83,2.2,1015,16,9,225,36,"Portugal,+Vila+Franca+do+Campo"
2021-02-14,15,12,0.0,7.0,3,15,09:19 AM,09:10 PM,07:33 AM,06:20 PM,9,12,14,12,40,61,71,2.4,1017,15,10,245,31,"Portugal,+Vila+Franca+do+Campo"
2021-02-15,14,11,0.0,8.5,3,22,09:44 AM,10:09 PM,07:31 AM,06:21 PM,8,10,13,10,38,74,71,6.8,1018,14,10,274,31,"Portugal,+Vila+Franca+do+Campo"
2021-02-16,14,13,0.0,10.1,3,29,10:08 AM,11:07 PM,07:30 AM,06:22 PM,8,12,13,12,23,35,72,0.5,1024,14,10,255,18,"Portugal,+Vila+Franca+do+Campo"
2021-02-17,15,13,0.0,5.5,3,36,10:34 AM,No moonset,07:29 AM,06:23 PM,11,13,14,13,30,64,80,2.0,1020,15,10,270,23,"Portugal,+Vila+Franca+do+Campo"
2021-02-18,16,12,0.0,5.5,3,42,11:01 AM,12:04 AM,07:28 AM,06:24 PM,11,13,14,13,40,87,81,0.4,1014,16,10,239,30,"Portugal,+Vila+Franca+do+Campo"
2021-02-19,14,8,0.0,5.5,3,49,11:31 AM,01:02 AM,07:27 AM,06:25 PM,9,10,13,10,52,86,75,5.8,1003,14,10,276,41,"Portugal,+Vila+Franca+do+Campo"
2021-02-20,12,9,0.0,5.5,3,56,12:04 PM,02:01 AM,07:25 AM,06:26 PM,5,9,12,9,38,69,67,5.1,1009,12,9,296,30,"Portugal,+Vila+Franca+do+Campo"
2021-02-21,16,8,0.0,5.5,3,63,12:44 PM,03:00 AM,07:24 AM,06:27 PM,11,12,13,12,33,85,84,8.3,1010,16,9,231,25,"Portugal,+Vila+Franca+do+Campo"
2021-02-22,18,16,0.0,5.5,4,70,01:32 PM,03:57 AM,07:23 AM,06:28 PM,14,17,17,17,59,81,85,1.2,1008,18,10,222,41,"Portugal,+Vila+Franca+do+Campo"
2021-02-23,13,12,0.0,7.1,3,76,02:26 PM,04:52 AM,07:21 AM,06:29 PM,8,10,13,10,50,79,70,11.8,1016,13,9,276,40,"Portugal,+Vila+Franca+do+Campo"
2021-02-24,13,7,0.0,7.1,3,83,03:28 PM,05:43 AM,07:20 AM,06:30 PM,6,9,11,9,30,68,67,1.5,1031,13,10,235,24,"Portugal,+Vila+Franca+do+Campo"
2021-02-25,14,9,0.0,5.6,3,90,04:34 PM,06:27 AM,07:19 AM,06:31 PM,7,11,13,11,27,64,69,0.1,1034,14,10,172,21,"Portugal,+Vila+Franca+do+Campo"
2021-02-26,14,10,0.0,5.6,3,97,05:44 PM,07:07 AM,07:17 AM,06:32 PM,12,13,14,13,21,95,87,2.6,1032,14,8,218,16,"Portugal,+Vila+Franca+do+Campo"
2021-02-27,16,9,0.0,8.6,4,97,06:55 PM,07:43 AM,07:16 AM,06:33 PM,14,14,15,14,19,77,91,2.6,1028,16,9,250,15,"Portugal,+Vila+Franca+do+Campo"
2021-02-28,16,14,0.0,8.6,3,90,08:06 PM,08:14 AM,07:15 AM,06:34 PM,12,14,15,14,27,56,84,1.7,1021,16,10,204,21,"Portugal,+Vila+Franca+do+Campo"
2021-03-01,14,13,0.0,10.1,3,83,09:18 PM,08:45 AM,07:13 AM,06:35 PM,8,12,13,12,13,54,71,0.3,1019,14,10,304,10,"Portugal,+Vila+Franca+do+Campo"
2021-03-02,15,13,0.0,7.1,3,76,10:29 PM,09:16 AM,07:12 AM,06:36 PM,10,12,14,12,32,76,78,5.2,1015,15,10,201,24,"Portugal,+Vila+Franca+do+Campo"
2021-03-03,15,11,0.0,10.1,3,69,11:42 PM,09:48 AM,07:10 AM,06:37 PM,9,12,14,12,39,57,73,3.6,1016,15,10,278,30,"Portugal,+Vila+Franca+do+Campo"
2021-03-04,16,12,0.0,11.3,4,63,No moonrise,10:23 AM,07:09 AM,06:38 PM,12,14,15,14,28,48,85,0.3,1022,16,10,259,22,"Portugal,+Vila+Franca+do+Campo"
2021-03-05,15,12,0.0,11.3,4,56,12:53 AM,11:03 AM,07:07 AM,06:39 PM,8,13,14,13,12,9,71,0.0,1029,15,10,110,9,"Portugal,+Vila+Franca+do+Campo"
2021-03-06,16,12,0.0,8.6,3,49,02:04 AM,11:49 AM,07:06 AM,06:40 PM,10,14,14,14,12,48,76,0.0,1031,16,9,221,9,"Portugal,+Vila+Franca+do+Campo"
2021-03-07,17,12,0.0,8.6,4,42,03:10 AM,12:42 PM,07:05 AM,06:41 PM,15,16,16,16,22,75,93,0.2,1030,17,10,321,16,"Portugal,+Vila+Franca+do+Campo"
2021-03-08,16,13,0.0,11.4,4,36,04:10 AM,01:42 PM,07:03 AM,06:42 PM,12,14,15,14,22,30,85,0.2,1030,16,10,80,17,"Portugal,+Vila+Franca+do+Campo"
2021-03-09,16,13,0.0,11.4,3,29,05:01 AM,02:45 PM,07:02 AM,06:43 PM,12,14,14,14,10,22,84,0.0,1029,16,9,218,7,"Portugal,+Vila+Franca+do+Campo"
2021-03-10,16,13,0.0,5.7,4,22,05:45 AM,03:51 PM,07:00 AM,06:44 PM,14,15,16,15,23,78,90,0.4,1027,16,9,244,17,"Portugal,+Vila+Franca+do+Campo"
2021-03-11,14,13,0.0,5.9,3,15,06:21 AM,04:55 PM,06:59 AM,06:45 PM,12,13,14,13,20,97,88,2.7,1030,14,7,81,16,"Portugal,+Vila+Franca+do+Campo"
2021-03-12,15,12,0.0,11.6,4,9,06:52 AM,05:58 PM,06:57 AM,06:46 PM,8,12,13,12,16,29,73,0.0,1030,15,10,95,13,"Portugal,+Vila+Franca+do+Campo"
2021-03-13,16,13,0.0,8.8,4,2,07:20 AM,06:59 PM,06:56 AM,06:47 PM,13,14,15,14,33,63,89,2.1,1025,16,10,131,25,"Portugal,+Vila+Franca+do+Campo"
2021-03-14,17,12,0.0,6.0,4,5,07:46 AM,07:58 PM,06:54 AM,06:48 PM,14,16,16,16,38,76,88,3.2,1020,17,9,170,27,"Portugal,+Vila+Franca+do+Campo"
2021-03-15,18,16,0.0,11.6,4,12,08:10 AM,08:56 PM,06:53 AM,06:49 PM,15,16,16,16,14,48,89,1.9,1022,18,10,180,10,"Portugal,+Vila+Franca+do+Campo"
2021-03-16,16,14,0.0,11.6,4,19,08:35 AM,09:54 PM,06:51 AM,06:50 PM,14,15,15,15,26,34,90,0.9,1025,16,10,142,21,"Portugal,+Vila+Franca+do+Campo"
2021-03-17,15,12,0.0,8.8,3,25,09:01 AM,10:52 PM,06:50 AM,06:51 PM,11,13,14,13,22,58,80,0.1,1024,15,10,135,18,"Portugal,+Vila+Franca+do+Campo"
2021-03-18,16,13,0.0,8.8,3,32,09:30 AM,11:51 PM,06:48 AM,06:52 PM,11,14,14,14,18,46,78,0.0,1024,16,10,133,14,"Portugal,+Vila+Franca+do+Campo"
2021-03-19,17,13,0.0,10.2,4,39,10:01 AM,No moonset,06:46 AM,06:53 PM,11,15,15,15,12,45,80,0.1,1026,17,10,123,9,"Portugal,+Vila+Franca+do+Campo"
2021-03-20,16,13,0.0,10.2,3,46,10:38 AM,12:49 AM,06:45 AM,06:54 PM,10,14,14,14,17,58,78,0.0,1028,16,10,102,13,"Portugal,+Vila+Franca+do+Campo"
2021-03-21,15,10,0.0,6.1,3,52,11:22 AM,01:47 AM,06:43 AM,06:55 PM,10,13,14,13,13,74,75,0.3,1027,15,10,102,10,"Portugal,+Vila+Franca+do+Campo"
