date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,10,0.0,8.7,4,37,11:54 AM,11:31 PM,07:47 AM,05:27 PM,8,12,12,12,12,0,78,0.0,1030,15,10,78,7,"Portugal,+Albufeira"
2020-01-02,15,10,0.0,5.4,3,44,12:20 PM,No moonset,07:47 AM,05:27 PM,10,12,13,12,11,51,83,0.1,1030,15,10,57,7,"Portugal,+Albufeira"
2020-01-03,15,12,0.0,7.0,3,51,12:46 PM,12:26 AM,07:47 AM,05:28 PM,9,12,13,12,16,63,77,0.0,1032,15,10,162,10,"Portugal,+Albufeira"
2020-01-04,16,10,0.0,8.7,4,59,01:13 PM,01:23 AM,07:47 AM,05:29 PM,8,11,12,11,18,3,78,0.0,1031,16,10,160,11,"Portugal,+Albufeira"
2020-01-05,15,10,0.0,8.7,3,66,01:42 PM,02:20 AM,07:47 AM,05:30 PM,9,11,12,11,16,30,80,0.0,1028,15,10,82,10,"Portugal,+Albufeira"
2020-01-06,16,9,0.0,8.7,4,73,02:13 PM,03:19 AM,07:47 AM,05:31 PM,8,11,12,11,13,0,76,0.0,1028,16,10,86,8,"Portugal,+Albufeira"
2020-01-07,17,10,0.0,8.7,4,80,02:49 PM,04:20 AM,07:47 AM,05:32 PM,7,12,12,12,14,0,69,0.0,1030,17,10,125,7,"Portugal,+Albufeira"
2020-01-08,16,10,0.0,8.7,4,88,03:33 PM,05:24 AM,07:47 AM,05:33 PM,5,11,12,11,20,13,65,0.0,1029,16,10,167,11,"Portugal,+Albufeira"
2020-01-09,18,10,0.0,8.7,4,95,04:23 PM,06:26 AM,07:47 AM,05:34 PM,11,12,13,12,21,35,84,0.1,1027,18,10,330,13,"Portugal,+Albufeira"
2020-01-10,14,9,0.0,8.7,4,100,05:22 PM,07:28 AM,07:47 AM,05:34 PM,7,9,11,9,29,6,77,0.0,1028,14,10,282,19,"Portugal,+Albufeira"
2020-01-11,14,9,0.0,8.7,4,100,06:27 PM,08:24 AM,07:47 AM,05:35 PM,5,9,11,9,25,1,67,0.0,1028,14,10,58,15,"Portugal,+Albufeira"
2020-01-12,16,9,0.0,8.7,4,83,07:38 PM,09:14 AM,07:47 AM,05:36 PM,5,11,11,11,11,0,66,0.0,1029,16,10,136,6,"Portugal,+Albufeira"
2020-01-13,13,9,0.0,7.0,3,76,08:49 PM,09:58 AM,07:46 AM,05:37 PM,5,10,10,10,9,35,70,0.0,1026,13,10,116,5,"Portugal,+Albufeira"
2020-01-14,15,10,0.0,3.7,3,69,10:00 PM,10:36 AM,07:46 AM,05:38 PM,9,12,13,12,25,72,74,2.4,1022,15,10,197,17,"Portugal,+Albufeira"
2020-01-15,17,13,0.0,3.7,4,61,11:10 PM,11:11 AM,07:46 AM,05:39 PM,12,14,15,14,38,78,84,6.6,1021,17,9,205,23,"Portugal,+Albufeira"
2020-01-16,17,12,0.0,8.7,4,54,No moonrise,11:43 AM,07:46 AM,05:40 PM,12,14,15,14,32,31,81,0.0,1025,17,10,190,20,"Portugal,+Albufeira"
2020-01-17,16,12,0.0,8.7,3,47,12:18 AM,12:15 PM,07:45 AM,05:41 PM,11,14,14,14,18,40,80,1.3,1030,16,10,162,11,"Portugal,+Albufeira"
2020-01-18,17,13,0.0,3.7,4,40,01:26 AM,12:48 PM,07:45 AM,05:42 PM,14,15,15,15,26,73,92,0.6,1029,17,9,232,17,"Portugal,+Albufeira"
2020-01-19,14,9,0.0,8.7,4,32,02:32 AM,01:24 PM,07:45 AM,05:43 PM,6,9,12,9,38,9,71,0.0,1024,14,10,226,26,"Portugal,+Albufeira"
2020-01-20,12,7,0.0,8.7,3,25,03:39 AM,02:03 PM,07:44 AM,05:44 PM,-1,5,9,5,48,13,51,0.0,1017,12,10,34,35,"Portugal,+Albufeira"
2020-01-21,13,8,0.0,8.7,4,18,04:43 AM,02:47 PM,07:44 AM,05:46 PM,4,8,10,8,34,17,65,0.0,1014,13,10,31,23,"Portugal,+Albufeira"
2020-01-22,13,9,0.0,5.4,3,11,05:45 AM,03:36 PM,07:43 AM,05:47 PM,6,9,10,9,19,63,76,0.2,1012,13,10,184,13,"Portugal,+Albufeira"
2020-01-23,14,10,0.0,5.4,3,3,06:41 AM,04:30 PM,07:43 AM,05:48 PM,7,11,11,11,10,55,76,1.0,1013,14,10,180,6,"Portugal,+Albufeira"
2020-01-24,14,10,0.0,5.4,3,0,07:32 AM,05:28 PM,07:42 AM,05:49 PM,9,11,12,11,12,63,83,0.9,1015,14,10,168,8,"Portugal,+Albufeira"
2020-01-25,16,12,0.0,5.4,3,0,08:15 AM,06:26 PM,07:41 AM,05:50 PM,9,13,13,13,10,63,78,4.4,1016,16,10,178,6,"Portugal,+Albufeira"
2020-01-26,15,9,0.0,8.7,4,4,08:52 AM,07:26 PM,07:41 AM,05:51 PM,8,11,12,11,15,34,81,0.0,1024,15,10,203,9,"Portugal,+Albufeira"
2020-01-27,15,11,0.0,5.4,3,11,09:25 AM,08:23 PM,07:40 AM,05:52 PM,9,12,13,12,14,65,78,0.0,1026,15,10,228,9,"Portugal,+Albufeira"
2020-01-28,16,12,0.0,8.7,4,18,09:55 AM,09:21 PM,07:39 AM,05:53 PM,10,13,13,13,7,26,79,0.0,1025,16,10,204,5,"Portugal,+Albufeira"
2020-01-29,16,11,0.0,7.1,3,26,10:21 AM,10:16 PM,07:39 AM,05:54 PM,10,13,13,13,9,57,82,0.0,1025,16,10,159,6,"Portugal,+Albufeira"
2020-01-30,17,13,0.0,8.7,4,33,10:48 AM,11:13 PM,07:38 AM,05:55 PM,11,14,14,14,9,8,84,0.0,1026,17,10,181,6,"Portugal,+Albufeira"
2020-01-31,17,13,0.0,8.7,5,37,11:14 AM,No moonset,07:37 AM,05:56 PM,12,15,15,15,9,28,84,0.0,1026,17,10,143,6,"Portugal,+Albufeira"
2020-02-01,18,14,0.0,8.7,4,49,11:41 AM,12:08 AM,07:36 AM,05:57 PM,11,15,15,15,6,31,77,0.0,1026,18,10,145,4,"Portugal,+Albufeira"
2020-02-02,20,14,0.0,8.7,5,57,12:10 PM,01:06 AM,07:36 AM,05:58 PM,12,16,16,16,15,1,78,0.0,1027,20,10,81,9,"Portugal,+Albufeira"
2020-02-03,19,14,0.0,7.1,4,64,12:43 PM,02:05 AM,07:35 AM,05:59 PM,12,16,16,16,15,33,76,0.0,1027,19,10,80,9,"Portugal,+Albufeira"
2020-02-04,21,13,0.0,10.7,5,72,01:22 PM,03:06 AM,07:34 AM,06:01 PM,11,16,17,16,19,0,70,0.0,1028,21,10,55,10,"Portugal,+Albufeira"
2020-02-05,18,14,0.0,10.7,5,79,02:08 PM,04:07 AM,07:33 AM,06:02 PM,10,15,15,15,22,0,69,0.0,1023,18,10,66,13,"Portugal,+Albufeira"
2020-02-06,16,14,0.0,6.9,4,87,03:02 PM,05:09 AM,07:32 AM,06:03 PM,12,14,15,14,37,50,85,0.0,1020,16,10,124,26,"Portugal,+Albufeira"
2020-02-07,17,14,0.0,6.9,4,95,04:05 PM,06:08 AM,07:31 AM,06:04 PM,13,15,15,15,12,60,89,1.2,1022,17,10,113,8,"Portugal,+Albufeira"
2020-02-08,16,12,0.0,6.9,3,100,05:14 PM,07:01 AM,07:30 AM,06:05 PM,11,13,14,13,15,60,87,0.6,1026,16,10,312,10,"Portugal,+Albufeira"
2020-02-09,17,11,0.0,10.8,3,100,06:27 PM,07:49 AM,07:29 AM,06:06 PM,10,13,13,13,14,40,79,0.0,1029,17,10,80,9,"Portugal,+Albufeira"
2020-02-10,19,11,0.0,10.8,4,83,07:41 PM,08:30 AM,07:28 AM,06:07 PM,9,13,14,13,17,6,74,0.0,1031,19,10,68,10,"Portugal,+Albufeira"
2020-02-11,18,13,0.0,10.8,5,75,08:54 PM,09:08 AM,07:27 AM,06:08 PM,12,14,15,14,18,6,81,0.0,1028,18,10,230,11,"Portugal,+Albufeira"
2020-02-12,16,13,0.0,8.5,3,68,10:05 PM,09:43 AM,07:26 AM,06:09 PM,12,14,14,14,12,50,85,0.4,1024,16,10,302,8,"Portugal,+Albufeira"
2020-02-13,18,12,0.0,8.5,4,60,11:16 PM,10:15 AM,07:25 AM,06:10 PM,11,15,15,15,10,57,81,0.2,1025,18,10,266,7,"Portugal,+Albufeira"
2020-02-14,18,12,0.0,10.9,5,53,No moonrise,10:49 AM,07:24 AM,06:11 PM,11,14,14,14,14,9,79,0.0,1025,18,10,115,8,"Portugal,+Albufeira"
2020-02-15,18,12,0.0,10.9,5,45,12:24 AM,11:25 AM,07:23 AM,06:12 PM,11,15,15,15,12,8,77,0.0,1025,18,10,125,7,"Portugal,+Albufeira"
2020-02-16,18,13,0.0,10.9,5,38,01:32 AM,12:03 PM,07:22 AM,06:13 PM,11,15,15,15,13,0,76,0.0,1027,18,10,190,7,"Portugal,+Albufeira"
2020-02-17,18,12,0.0,10.1,4,30,02:37 AM,12:45 PM,07:20 AM,06:14 PM,12,14,15,14,20,29,83,0.2,1028,18,10,333,13,"Portugal,+Albufeira"
2020-02-18,16,9,0.0,11.0,4,22,03:40 AM,01:33 PM,07:19 AM,06:15 PM,7,10,12,10,33,4,69,0.0,1029,16,10,353,24,"Portugal,+Albufeira"
2020-02-19,17,11,0.0,11.0,4,15,04:37 AM,02:24 PM,07:18 AM,06:16 PM,9,13,14,13,21,12,74,0.0,1027,17,10,138,13,"Portugal,+Albufeira"
