date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,4,0.0,8.7,2,37,11:57 AM,11:27 PM,07:58 AM,05:14 PM,3,8,9,8,8,24,72,0.0,1031,14,10,119,4,"Portugal,+Amarante"
2020-01-02,12,4,0.0,3.6,2,44,12:21 PM,No moonset,07:58 AM,05:14 PM,2,6,7,6,7,65,75,0.0,1030,12,10,144,4,"Portugal,+Amarante"
2020-01-03,15,5,0.0,8.7,3,51,12:45 PM,12:25 AM,07:58 AM,05:15 PM,7,9,9,9,5,43,86,0.0,1034,15,10,115,3,"Portugal,+Amarante"
2020-01-04,14,7,0.0,8.7,3,59,01:09 PM,01:24 AM,07:58 AM,05:16 PM,8,10,11,10,9,15,87,0.0,1034,14,7,89,6,"Portugal,+Amarante"
2020-01-05,13,5,0.0,8.7,3,66,01:36 PM,02:24 AM,07:58 AM,05:17 PM,5,8,8,8,10,0,79,0.0,1031,13,10,100,6,"Portugal,+Amarante"
2020-01-06,14,6,0.0,8.7,4,73,02:05 PM,03:26 AM,07:58 AM,05:18 PM,5,9,9,9,5,3,78,0.0,1030,14,10,165,3,"Portugal,+Amarante"
2020-01-07,15,4,0.0,8.7,4,80,02:39 PM,04:29 AM,07:58 AM,05:19 PM,3,8,9,8,10,4,74,0.0,1032,15,10,95,6,"Portugal,+Amarante"
2020-01-08,16,5,0.0,8.7,3,88,03:20 PM,05:34 AM,07:58 AM,05:20 PM,5,10,10,10,7,40,75,0.0,1030,16,10,147,4,"Portugal,+Amarante"
2020-01-09,14,6,0.0,3.6,3,95,04:09 PM,06:38 AM,07:58 AM,05:21 PM,9,9,10,9,7,83,93,0.7,1027,14,9,235,5,"Portugal,+Amarante"
2020-01-10,12,3,0.0,8.7,3,100,05:08 PM,07:40 AM,07:58 AM,05:22 PM,3,5,6,5,10,7,78,0.0,1031,12,9,78,7,"Portugal,+Amarante"
2020-01-11,12,5,0.0,8.7,3,100,06:15 PM,08:36 AM,07:57 AM,05:23 PM,2,7,8,7,8,15,72,0.0,1032,12,10,99,5,"Portugal,+Amarante"
2020-01-12,13,4,0.0,8.7,3,83,07:27 PM,09:24 AM,07:57 AM,05:24 PM,3,8,8,8,5,4,73,0.0,1030,13,10,121,3,"Portugal,+Amarante"
2020-01-13,12,4,0.0,7.0,2,76,08:41 PM,10:05 AM,07:57 AM,05:25 PM,3,7,8,7,9,60,75,0.0,1024,12,10,160,5,"Portugal,+Amarante"
2020-01-14,12,6,0.0,3.6,2,69,09:55 PM,10:41 AM,07:57 AM,05:27 PM,7,8,9,8,11,94,85,0.3,1017,12,10,150,8,"Portugal,+Amarante"
2020-01-15,14,10,0.0,3.6,3,61,11:08 PM,11:13 AM,07:56 AM,05:28 PM,10,10,11,10,11,92,92,30.4,1017,14,8,173,7,"Portugal,+Amarante"
2020-01-16,12,7,0.0,3.6,3,54,No moonrise,11:43 AM,07:56 AM,05:29 PM,10,9,11,9,17,89,94,50.3,1019,12,8,174,11,"Portugal,+Amarante"
2020-01-17,11,3,0.0,5.3,2,47,12:19 AM,12:12 PM,07:55 AM,05:30 PM,4,6,6,6,10,73,85,9.8,1030,11,9,210,5,"Portugal,+Amarante"
2020-01-18,13,7,0.0,3.7,3,40,01:29 AM,12:42 PM,07:55 AM,05:31 PM,8,8,9,8,16,91,93,24.2,1025,13,8,178,12,"Portugal,+Amarante"
2020-01-19,12,5,0.0,8.7,2,32,02:39 AM,01:15 PM,07:54 AM,05:32 PM,2,7,8,7,11,22,77,0.8,1029,12,8,81,7,"Portugal,+Amarante"
2020-01-20,9,-1,0.0,8.7,2,25,03:48 AM,01:52 PM,07:54 AM,05:33 PM,-5,-0,3,-0,24,2,57,0.0,1028,9,10,60,15,"Portugal,+Amarante"
2020-01-21,13,2,0.0,8.7,3,18,04:54 AM,02:34 PM,07:53 AM,05:35 PM,1,4,6,4,21,17,67,0.0,1022,13,10,75,15,"Portugal,+Amarante"
2020-01-22,11,5,0.0,5.4,2,11,05:57 AM,03:22 PM,07:52 AM,05:36 PM,4,6,8,6,17,41,76,0.0,1017,11,10,66,11,"Portugal,+Amarante"
2020-01-23,11,2,0.0,5.4,2,3,06:54 AM,04:16 PM,07:52 AM,05:37 PM,3,4,6,4,14,50,83,0.1,1016,11,10,93,9,"Portugal,+Amarante"
2020-01-24,13,6,0.0,5.4,2,0,07:43 AM,05:15 PM,07:51 AM,05:38 PM,7,8,9,8,9,60,87,0.6,1017,13,9,96,6,"Portugal,+Amarante"
2020-01-25,13,6,0.0,3.7,2,0,08:25 AM,06:15 PM,07:50 AM,05:40 PM,6,8,9,8,7,48,88,1.4,1018,13,7,143,4,"Portugal,+Amarante"
2020-01-26,12,5,0.0,5.4,2,4,09:01 AM,07:16 PM,07:50 AM,05:41 PM,6,8,8,8,8,58,87,1.2,1022,12,10,173,6,"Portugal,+Amarante"
2020-01-27,12,1,0.0,3.7,2,11,09:32 AM,08:17 PM,07:49 AM,05:42 PM,8,7,8,7,17,97,96,30.7,1019,12,8,207,11,"Portugal,+Amarante"
2020-01-28,13,11,0.0,3.7,3,18,09:59 AM,09:16 PM,07:48 AM,05:43 PM,12,11,12,11,13,96,98,18.3,1021,13,9,228,9,"Portugal,+Amarante"
2020-01-29,14,11,0.0,3.7,3,26,10:23 AM,10:14 PM,07:47 AM,05:45 PM,11,12,12,12,10,89,95,3.8,1021,14,10,194,8,"Portugal,+Amarante"
2020-01-30,12,4,0.0,3.8,3,33,10:47 AM,11:13 PM,07:46 AM,05:46 PM,11,10,11,10,7,98,96,11.6,1022,12,7,180,5,"Portugal,+Amarante"
2020-01-31,17,12,0.0,3.8,3,37,11:11 AM,No moonset,07:45 AM,05:47 PM,13,14,14,14,10,100,96,21.7,1022,17,8,193,8,"Portugal,+Amarante"
2020-02-01,16,13,0.0,3.8,3,49,11:36 AM,12:11 AM,07:44 AM,05:48 PM,14,14,14,14,10,100,98,17.0,1023,16,6,227,8,"Portugal,+Amarante"
2020-02-02,21,13,0.0,8.7,4,57,12:03 PM,01:11 AM,07:43 AM,05:49 PM,13,16,16,16,5,24,86,0.0,1027,21,7,170,4,"Portugal,+Amarante"
2020-02-03,23,12,0.0,8.7,5,64,12:34 PM,02:12 AM,07:42 AM,05:51 PM,13,17,18,17,6,0,82,0.0,1029,23,10,149,4,"Portugal,+Amarante"
2020-02-04,21,11,0.0,7.1,4,72,01:11 PM,03:15 AM,07:41 AM,05:52 PM,10,15,15,15,7,30,75,0.0,1030,21,10,147,4,"Portugal,+Amarante"
2020-02-05,16,10,0.0,8.7,4,79,01:55 PM,04:19 AM,07:40 AM,05:53 PM,7,12,13,12,16,0,72,0.0,1025,16,10,94,10,"Portugal,+Amarante"
2020-02-06,18,8,0.0,8.7,3,87,02:48 PM,05:22 AM,07:39 AM,05:54 PM,5,11,12,11,9,22,67,0.0,1021,18,10,118,5,"Portugal,+Amarante"
