date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,18,14,0.0,3.5,4,37,12:12 PM,11:49 PM,08:07 AM,05:38 PM,13,15,16,15,49,76,85,17.8,1017,18,9,227,34,"Portugal,+Angra+do+Heroismo"
2020-01-02,14,10,0.0,5.2,3,44,12:38 PM,No moonset,08:07 AM,05:39 PM,8,12,13,12,21,50,69,0.8,1025,14,10,279,13,"Portugal,+Angra+do+Heroismo"
2020-01-03,15,12,0.0,8.7,4,51,01:03 PM,12:45 AM,08:07 AM,05:40 PM,9,12,14,12,23,27,74,0.3,1027,15,10,151,15,"Portugal,+Angra+do+Heroismo"
2020-01-04,17,15,0.0,3.5,4,59,01:29 PM,01:43 AM,08:07 AM,05:41 PM,14,16,16,16,33,66,86,0.4,1027,17,10,180,23,"Portugal,+Angra+do+Heroismo"
2020-01-05,17,13,0.0,3.5,4,66,01:57 PM,02:41 AM,08:07 AM,05:42 PM,14,16,17,16,52,76,85,2.8,1023,17,10,206,34,"Portugal,+Angra+do+Heroismo"
2020-01-06,17,17,0.0,8.7,4,73,02:28 PM,03:41 AM,08:07 AM,05:42 PM,16,17,17,17,40,61,93,0.7,1024,17,10,224,26,"Portugal,+Angra+do+Heroismo"
2020-01-07,17,15,0.0,8.7,4,80,03:04 PM,04:43 AM,08:07 AM,05:43 PM,15,17,17,17,37,41,89,0.6,1027,17,10,221,24,"Portugal,+Angra+do+Heroismo"
2020-01-08,17,14,0.0,5.2,4,88,03:47 PM,05:47 AM,08:07 AM,05:44 PM,14,16,16,16,32,47,88,2.1,1030,17,9,266,21,"Portugal,+Angra+do+Heroismo"
2020-01-09,16,14,0.0,8.7,4,95,04:37 PM,06:50 AM,08:07 AM,05:45 PM,12,14,15,14,17,13,85,0.0,1034,16,10,217,11,"Portugal,+Angra+do+Heroismo"
2020-01-10,17,9,0.0,5.2,4,100,05:37 PM,07:51 AM,08:07 AM,05:46 PM,14,15,16,15,50,68,86,1.2,1028,17,10,211,34,"Portugal,+Angra+do+Heroismo"
2020-01-11,14,11,0.0,8.7,3,100,06:43 PM,08:47 AM,08:06 AM,05:47 PM,9,12,14,12,36,65,73,1.8,1029,14,10,297,27,"Portugal,+Angra+do+Heroismo"
2020-01-12,11,10,0.0,7.0,3,83,07:54 PM,09:36 AM,08:06 AM,05:48 PM,4,9,11,9,17,53,63,0.3,1034,11,10,305,12,"Portugal,+Angra+do+Heroismo"
2020-01-13,16,12,0.0,3.5,4,76,09:06 PM,10:18 AM,08:06 AM,05:49 PM,11,13,14,13,41,59,81,1.1,1021,16,10,247,28,"Portugal,+Angra+do+Heroismo"
2020-01-14,15,11,0.0,3.5,3,69,10:18 PM,10:56 AM,08:06 AM,05:50 PM,9,11,13,11,47,74,75,6.3,1010,15,9,287,33,"Portugal,+Angra+do+Heroismo"
2020-01-15,14,11,0.0,3.5,3,61,11:29 PM,11:30 AM,08:05 AM,05:51 PM,7,10,12,10,42,70,72,5.2,1011,14,10,258,28,"Portugal,+Angra+do+Heroismo"
2020-01-16,12,11,0.0,3.6,3,54,No moonrise,12:01 PM,08:05 AM,05:52 PM,6,9,11,9,30,82,69,1.5,1018,12,10,251,20,"Portugal,+Angra+do+Heroismo"
