date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,9,0.0,8.7,4,37,11:54 AM,11:31 PM,07:48 AM,05:26 PM,7,11,11,11,6,0,80,0.0,1030,14,10,120,3,"Portugal,+Baiao"
2020-01-02,13,8,0.0,7.0,3,44,12:21 PM,No moonset,07:48 AM,05:27 PM,8,11,11,11,7,37,85,0.0,1030,13,10,124,4,"Portugal,+Baiao"
2020-01-03,13,9,0.0,8.7,3,51,12:47 PM,12:27 AM,07:48 AM,05:28 PM,7,10,11,10,10,50,79,0.0,1032,13,10,175,6,"Portugal,+Baiao"
2020-01-04,14,8,0.0,8.7,3,59,01:13 PM,01:24 AM,07:48 AM,05:29 PM,7,9,10,9,16,7,82,0.0,1032,14,8,70,8,"Portugal,+Baiao"
2020-01-05,13,8,0.0,8.7,4,66,01:42 PM,02:21 AM,07:48 AM,05:29 PM,7,10,10,10,9,28,83,0.0,1028,13,10,85,5,"Portugal,+Baiao"
2020-01-06,14,8,0.0,8.7,4,73,02:13 PM,03:20 AM,07:48 AM,05:30 PM,7,10,11,10,10,0,80,0.0,1028,14,10,28,6,"Portugal,+Baiao"
2020-01-07,15,8,0.0,8.7,4,80,02:49 PM,04:21 AM,07:48 AM,05:31 PM,6,10,11,10,12,1,73,0.0,1030,15,10,63,6,"Portugal,+Baiao"
2020-01-08,14,9,0.0,8.7,3,88,03:32 PM,05:25 AM,07:48 AM,05:32 PM,6,10,11,10,16,17,72,0.0,1029,14,9,81,8,"Portugal,+Baiao"
2020-01-09,16,11,0.0,5.4,3,95,04:22 PM,06:28 AM,07:48 AM,05:33 PM,11,12,13,12,15,64,89,0.1,1028,16,5,259,9,"Portugal,+Baiao"
2020-01-10,11,5,0.0,8.7,3,100,05:22 PM,07:29 AM,07:48 AM,05:34 PM,5,6,8,6,23,10,81,0.0,1028,11,10,239,12,"Portugal,+Baiao"
2020-01-11,13,5,0.0,8.7,3,100,06:27 PM,08:25 AM,07:48 AM,05:35 PM,4,7,9,7,17,1,74,0.0,1029,13,10,59,9,"Portugal,+Baiao"
2020-01-12,13,8,0.0,8.7,4,83,07:38 PM,09:15 AM,07:48 AM,05:36 PM,4,9,10,9,10,0,69,0.0,1030,13,10,101,5,"Portugal,+Baiao"
2020-01-13,12,7,0.0,3.7,2,76,08:49 PM,09:59 AM,07:48 AM,05:37 PM,3,8,9,8,7,55,70,0.0,1026,12,10,165,4,"Portugal,+Baiao"
2020-01-14,12,10,0.0,3.7,3,69,10:00 PM,10:37 AM,07:47 AM,05:38 PM,7,9,11,9,22,74,79,2.4,1021,12,10,178,11,"Portugal,+Baiao"
2020-01-15,15,9,0.0,3.7,3,61,11:10 PM,11:11 AM,07:47 AM,05:39 PM,11,11,13,11,30,71,88,4.3,1021,15,9,202,16,"Portugal,+Baiao"
2020-01-16,15,10,0.0,8.7,4,54,No moonrise,11:44 AM,07:47 AM,05:40 PM,10,11,13,11,29,30,84,0.1,1024,15,10,185,16,"Portugal,+Baiao"
2020-01-17,15,10,0.0,8.7,3,47,12:18 AM,12:15 PM,07:46 AM,05:41 PM,10,12,12,12,11,51,84,0.5,1030,15,9,141,6,"Portugal,+Baiao"
