date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,6,0.0,9.7,4,37,12:49 PM,No moonset,08:44 AM,06:18 PM,5,9,10,9,7,5,80,0.0,1031,15,10,173,4,"Portugal,+Barrancos"
2020-01-02,15,6,0.0,9.8,4,44,01:16 PM,12:25 AM,08:44 AM,06:19 PM,6,9,10,9,8,8,84,0.0,1031,15,9,156,5,"Portugal,+Barrancos"
2020-01-03,13,6,0.0,8.2,2,51,01:41 PM,01:22 AM,08:44 AM,06:20 PM,6,9,9,9,8,40,88,0.0,1033,13,7,167,5,"Portugal,+Barrancos"
2020-01-04,14,4,0.0,9.8,2,59,02:07 PM,02:18 AM,08:45 AM,06:21 PM,5,8,9,8,13,6,83,0.0,1032,14,7,48,7,"Portugal,+Barrancos"
2020-01-05,15,5,0.0,9.8,4,66,02:35 PM,03:16 AM,08:45 AM,06:21 PM,5,8,9,8,9,0,79,0.0,1029,15,10,68,5,"Portugal,+Barrancos"
2020-01-06,15,5,0.0,9.8,4,73,03:06 PM,04:15 AM,08:45 AM,06:22 PM,5,8,9,8,10,0,79,0.0,1028,15,10,126,5,"Portugal,+Barrancos"
2020-01-07,17,4,0.0,9.8,4,80,03:42 PM,05:18 AM,08:45 AM,06:23 PM,3,9,11,9,10,5,71,0.0,1030,17,10,94,5,"Portugal,+Barrancos"
2020-01-08,15,5,0.0,9.8,4,88,04:24 PM,06:21 AM,08:45 AM,06:24 PM,3,9,10,9,9,9,68,0.0,1029,15,10,158,5,"Portugal,+Barrancos"
2020-01-09,14,4,0.0,9.8,3,95,05:15 PM,07:25 AM,08:44 AM,06:25 PM,4,8,9,8,8,18,78,0.0,1027,14,9,204,5,"Portugal,+Barrancos"
2020-01-10,13,4,0.0,9.8,2,100,06:13 PM,08:25 AM,08:44 AM,06:26 PM,4,7,9,7,13,41,81,0.0,1028,13,6,112,8,"Portugal,+Barrancos"
2020-01-11,13,3,0.0,9.8,3,100,07:20 PM,09:22 AM,08:44 AM,06:27 PM,1,5,7,5,15,1,70,0.0,1030,13,10,65,8,"Portugal,+Barrancos"
2020-01-12,13,3,0.0,9.8,3,83,08:30 PM,10:11 AM,08:44 AM,06:28 PM,2,7,9,7,9,0,75,0.0,1030,13,10,175,5,"Portugal,+Barrancos"
2020-01-13,12,3,0.0,6.6,2,76,09:42 PM,10:54 AM,08:44 AM,06:29 PM,2,6,7,6,9,53,76,0.0,1026,12,10,161,5,"Portugal,+Barrancos"
2020-01-14,11,3,0.0,4.9,2,69,10:54 PM,11:33 AM,08:43 AM,06:30 PM,4,5,7,5,17,60,83,0.4,1022,11,10,151,11,"Portugal,+Barrancos"
2020-01-15,15,8,0.0,8.3,3,61,No moonrise,12:06 PM,08:43 AM,06:31 PM,9,8,11,8,29,64,89,0.7,1023,15,10,171,18,"Portugal,+Barrancos"
2020-01-16,15,8,0.0,9.9,3,54,12:04 AM,12:38 PM,08:43 AM,06:32 PM,8,9,11,9,24,47,84,0.0,1026,15,8,171,15,"Portugal,+Barrancos"
2020-01-17,15,9,0.0,9.9,3,47,01:13 AM,01:09 PM,08:42 AM,06:33 PM,9,11,12,11,10,73,86,3.1,1030,15,9,198,6,"Portugal,+Barrancos"
2020-01-18,15,10,0.0,5.0,3,40,02:21 AM,01:42 PM,08:42 AM,06:34 PM,11,11,12,11,24,91,93,4.9,1028,15,8,216,15,"Portugal,+Barrancos"
2020-01-19,10,4,0.0,9.9,3,32,03:29 AM,02:16 PM,08:42 AM,06:35 PM,2,4,7,4,27,29,75,0.2,1023,10,10,164,17,"Portugal,+Barrancos"
2020-01-20,9,3,0.0,10.0,3,25,04:36 AM,02:55 PM,08:41 AM,06:36 PM,-5,1,5,1,40,21,49,0.0,1019,9,10,43,27,"Portugal,+Barrancos"
2020-01-21,13,5,0.0,9.9,2,18,05:41 AM,03:39 PM,08:41 AM,06:38 PM,2,5,8,5,29,51,67,0.0,1014,13,10,44,20,"Portugal,+Barrancos"
2020-01-22,8,5,0.0,5.0,2,11,06:43 AM,04:27 PM,08:40 AM,06:39 PM,5,4,6,4,18,82,93,8.9,1013,8,6,88,11,"Portugal,+Barrancos"
2020-01-23,11,6,0.0,6.7,2,3,07:39 AM,05:22 PM,08:39 AM,06:40 PM,7,6,8,6,20,81,93,15.6,1014,11,9,133,13,"Portugal,+Barrancos"
2020-01-24,13,8,0.0,5.0,3,0,08:29 AM,06:19 PM,08:39 AM,06:41 PM,8,8,9,8,16,83,91,18.4,1016,13,8,144,10,"Portugal,+Barrancos"
2020-01-25,13,6,0.0,5.0,3,0,09:12 AM,07:19 PM,08:38 AM,06:42 PM,8,9,10,9,12,78,91,9.1,1016,13,7,167,7,"Portugal,+Barrancos"
2020-01-26,13,3,0.0,8.3,2,4,09:50 AM,08:18 PM,08:38 AM,06:43 PM,6,7,7,7,7,52,88,0.2,1024,13,7,227,4,"Portugal,+Barrancos"
2020-01-27,13,6,0.0,6.7,3,11,10:22 AM,09:17 PM,08:37 AM,06:44 PM,7,8,9,8,16,79,89,0.4,1025,13,6,187,10,"Portugal,+Barrancos"
2020-01-28,16,7,0.0,10.0,3,18,10:51 AM,10:14 PM,08:36 AM,06:45 PM,8,10,11,10,10,63,87,0.0,1025,16,7,182,6,"Portugal,+Barrancos"
2020-01-29,15,9,0.0,10.1,3,26,11:17 AM,11:11 PM,08:35 AM,06:47 PM,9,11,11,11,8,72,88,0.0,1025,15,8,175,5,"Portugal,+Barrancos"
2020-01-30,15,7,0.0,10.1,3,33,11:43 AM,No moonset,08:35 AM,06:48 PM,8,10,10,10,10,34,88,0.0,1026,15,6,170,6,"Portugal,+Barrancos"
2020-01-31,17,9,0.0,10.0,3,37,12:08 PM,12:07 AM,08:34 AM,06:49 PM,10,12,12,12,10,50,88,0.0,1026,17,7,174,6,"Portugal,+Barrancos"
2020-02-01,19,11,0.0,8.3,4,49,12:34 PM,01:04 AM,08:33 AM,06:50 PM,12,14,14,14,7,59,86,0.0,1026,19,8,207,4,"Portugal,+Barrancos"
2020-02-02,21,11,0.0,10.2,5,57,01:04 PM,02:02 AM,08:32 AM,06:51 PM,12,15,17,15,9,1,84,0.0,1027,21,8,171,5,"Portugal,+Barrancos"
2020-02-03,21,10,0.0,10.2,5,64,01:36 PM,03:01 AM,08:31 AM,06:52 PM,10,15,16,15,10,17,75,0.0,1028,21,10,128,6,"Portugal,+Barrancos"
2020-02-04,21,10,0.0,10.2,5,72,02:14 PM,04:03 AM,08:30 AM,06:53 PM,9,15,17,15,12,0,75,0.0,1028,21,10,88,7,"Portugal,+Barrancos"
2020-02-05,20,9,0.0,10.3,5,79,03:00 PM,05:05 AM,08:29 AM,06:55 PM,7,13,15,13,12,0,72,0.0,1023,20,10,128,7,"Portugal,+Barrancos"
