date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,17,9,0.0,8.7,4,37,12:00 PM,11:35 PM,07:56 AM,05:27 PM,8,12,13,12,8,7,68,0.0,1031,17,10,118,6,"Portugal,+Cascais"
2020-01-02,14,11,0.0,7.0,3,44,12:25 PM,No moonset,07:56 AM,05:28 PM,9,13,13,13,13,38,77,0.0,1030,14,10,142,10,"Portugal,+Cascais"
2020-01-03,15,10,0.0,8.7,4,51,12:51 PM,12:31 AM,07:56 AM,05:28 PM,9,13,13,13,10,48,75,0.0,1033,15,10,216,7,"Portugal,+Cascais"
2020-01-04,18,13,0.0,8.7,5,59,01:17 PM,01:29 AM,07:56 AM,05:29 PM,11,15,15,15,10,2,78,0.0,1032,18,10,121,8,"Portugal,+Cascais"
2020-01-05,18,10,0.0,8.7,4,66,01:44 PM,02:26 AM,07:56 AM,05:30 PM,8,13,14,13,12,6,67,0.0,1029,18,10,58,10,"Portugal,+Cascais"
2020-01-06,16,11,0.0,8.7,4,73,02:15 PM,03:27 AM,07:56 AM,05:31 PM,8,13,13,13,15,0,72,0.0,1029,16,10,76,11,"Portugal,+Cascais"
2020-01-07,15,10,0.0,8.7,4,80,02:50 PM,04:29 AM,07:56 AM,05:32 PM,7,12,13,12,14,3,65,0.0,1031,15,10,67,11,"Portugal,+Cascais"
2020-01-08,16,8,0.0,8.7,4,88,03:33 PM,05:33 AM,07:56 AM,05:33 PM,10,11,13,11,23,28,81,0.0,1030,16,10,136,15,"Portugal,+Cascais"
2020-01-09,16,13,0.0,3.7,4,95,04:23 PM,06:36 AM,07:56 AM,05:34 PM,13,15,15,15,22,62,88,0.1,1028,16,10,298,15,"Portugal,+Cascais"
2020-01-10,13,6,0.0,8.7,4,100,05:22 PM,07:38 AM,07:56 AM,05:35 PM,6,9,12,9,35,12,67,0.0,1030,13,10,101,25,"Portugal,+Cascais"
2020-01-11,16,10,0.0,8.7,4,100,06:28 PM,08:33 AM,07:56 AM,05:36 PM,5,12,12,12,14,5,59,0.0,1030,16,10,56,10,"Portugal,+Cascais"
2020-01-12,14,11,0.0,8.7,4,83,07:39 PM,09:23 AM,07:55 AM,05:37 PM,6,12,13,12,10,3,62,0.0,1030,14,10,132,8,"Portugal,+Cascais"
2020-01-13,14,8,0.0,8.7,4,76,08:51 PM,10:06 AM,07:55 AM,05:38 PM,7,11,12,11,16,46,69,0.0,1026,14,10,162,11,"Portugal,+Cascais"
2020-01-14,16,11,0.0,5.4,3,69,10:03 PM,10:43 AM,07:55 AM,05:39 PM,10,13,15,13,44,80,75,3.3,1019,16,10,202,30,"Portugal,+Cascais"
2020-01-15,16,15,0.0,5.4,4,61,11:14 PM,11:17 AM,07:55 AM,05:40 PM,13,16,16,16,46,71,84,6.3,1018,16,10,204,29,"Portugal,+Cascais"
2020-01-16,16,15,0.0,3.7,4,54,No moonrise,11:48 AM,07:54 AM,05:41 PM,13,15,15,15,52,82,84,7.6,1022,16,10,208,34,"Portugal,+Cascais"
2020-01-17,15,13,0.0,8.7,3,47,12:23 AM,12:19 PM,07:54 AM,05:42 PM,9,13,14,13,15,65,71,0.9,1030,15,10,172,10,"Portugal,+Cascais"
2020-01-18,16,14,0.0,7.0,4,40,01:32 AM,12:51 PM,07:53 AM,05:43 PM,14,15,15,15,46,64,90,2.7,1027,16,10,258,31,"Portugal,+Cascais"
2020-01-19,14,11,0.0,8.7,4,32,02:40 AM,01:26 PM,07:53 AM,05:44 PM,6,10,13,10,45,18,63,0.1,1026,14,10,141,32,"Portugal,+Cascais"
2020-01-20,11,7,0.0,8.7,3,25,03:48 AM,02:04 PM,07:53 AM,05:45 PM,-1,5,9,5,51,13,49,0.0,1023,11,10,42,39,"Portugal,+Cascais"
2020-01-21,13,7,0.0,8.7,4,18,04:53 AM,02:47 PM,07:52 AM,05:46 PM,2,7,10,7,35,13,57,0.0,1018,13,10,79,24,"Portugal,+Cascais"
2020-01-22,13,10,0.0,5.4,3,11,05:55 AM,03:36 PM,07:51 AM,05:48 PM,6,9,11,9,28,70,72,1.0,1014,13,9,46,19,"Portugal,+Cascais"
2020-01-23,13,7,0.0,3.7,3,3,06:51 AM,04:30 PM,07:51 AM,05:49 PM,8,9,11,9,26,88,81,6.8,1013,13,10,132,19,"Portugal,+Cascais"
2020-01-24,14,10,0.0,5.4,3,0,07:41 AM,05:28 PM,07:50 AM,05:50 PM,8,11,12,11,17,70,77,1.0,1015,14,10,156,12,"Portugal,+Cascais"
2020-01-25,14,11,0.0,8.7,4,0,08:24 AM,06:27 PM,07:50 AM,05:51 PM,9,11,12,11,19,12,80,0.0,1017,14,10,163,14,"Portugal,+Cascais"
2020-01-26,15,10,0.0,5.4,3,4,09:01 AM,07:28 PM,07:49 AM,05:52 PM,10,12,13,12,21,63,81,0.6,1023,15,10,238,14,"Portugal,+Cascais"
2020-01-27,15,14,0.0,3.8,3,11,09:33 AM,08:26 PM,07:48 AM,05:53 PM,12,13,14,13,42,91,87,4.2,1023,15,9,221,28,"Portugal,+Cascais"
2020-01-28,15,14,0.0,3.8,3,18,10:01 AM,09:24 PM,07:48 AM,05:54 PM,13,14,15,14,33,81,91,4.2,1024,15,10,212,22,"Portugal,+Cascais"
2020-01-29,15,14,0.0,7.1,3,26,10:27 AM,10:21 PM,07:47 AM,05:55 PM,13,13,14,13,29,68,89,0.7,1023,15,10,195,20,"Portugal,+Cascais"
