date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,6,0.0,8.7,3,37,11:57 AM,11:31 PM,07:53 AM,05:22 PM,5,8,9,8,8,5,81,0.0,1031,15,10,98,4,"Portugal,+Coruche"
2020-01-02,13,5,0.0,8.7,3,44,12:22 PM,No moonset,07:53 AM,05:23 PM,6,8,9,8,8,18,86,0.0,1031,13,10,126,4,"Portugal,+Coruche"
2020-01-03,14,7,0.0,7.0,3,51,12:47 PM,12:27 AM,07:53 AM,05:24 PM,7,10,10,10,8,51,86,0.0,1033,14,10,180,4,"Portugal,+Coruche"
2020-01-04,16,8,0.0,8.7,3,59,01:13 PM,01:25 AM,07:53 AM,05:25 PM,7,10,10,10,11,5,83,0.0,1033,16,9,87,6,"Portugal,+Coruche"
2020-01-05,14,5,0.0,8.7,3,66,01:40 PM,02:23 AM,07:53 AM,05:26 PM,5,7,9,7,15,8,79,0.0,1030,14,10,55,8,"Portugal,+Coruche"
2020-01-06,14,5,0.0,8.7,3,73,02:11 PM,03:24 AM,07:53 AM,05:27 PM,5,8,9,8,9,0,82,0.0,1029,14,10,118,5,"Portugal,+Coruche"
2020-01-07,15,4,0.0,7.0,3,80,02:46 PM,04:25 AM,07:53 AM,05:28 PM,4,9,9,9,9,8,79,0.0,1031,15,10,147,5,"Portugal,+Coruche"
2020-01-08,16,4,0.0,8.7,4,88,03:29 PM,05:30 AM,07:53 AM,05:29 PM,6,9,9,9,10,22,82,0.0,1030,16,9,220,5,"Portugal,+Coruche"
2020-01-09,17,9,0.0,5.3,3,95,04:18 PM,06:33 AM,07:53 AM,05:30 PM,10,11,12,11,14,69,90,0.1,1028,17,7,271,8,"Portugal,+Coruche"
2020-01-10,13,6,0.0,8.7,3,100,05:18 PM,07:35 AM,07:53 AM,05:31 PM,4,7,9,7,22,2,74,0.0,1030,13,10,187,12,"Portugal,+Coruche"
2020-01-11,14,4,0.0,8.7,3,100,06:23 PM,08:30 AM,07:53 AM,05:32 PM,2,7,9,7,11,4,73,0.0,1031,14,10,52,6,"Portugal,+Coruche"
2020-01-12,13,4,0.0,8.7,3,83,07:35 PM,09:20 AM,07:53 AM,05:33 PM,3,6,7,6,6,3,77,0.0,1030,13,10,159,3,"Portugal,+Coruche"
2020-01-13,12,4,0.0,5.4,2,76,08:47 PM,10:02 AM,07:52 AM,05:34 PM,4,6,7,6,10,65,85,0.0,1026,12,10,132,6,"Portugal,+Coruche"
2020-01-14,13,8,0.0,3.7,3,69,09:59 PM,10:39 AM,07:52 AM,05:35 PM,8,9,11,9,26,91,84,0.6,1020,13,9,164,15,"Portugal,+Coruche"
2020-01-15,17,11,0.0,5.4,3,61,11:10 PM,11:13 AM,07:52 AM,05:36 PM,12,12,13,12,29,77,89,8.2,1019,17,9,178,17,"Portugal,+Coruche"
2020-01-16,16,11,0.0,3.7,3,54,No moonrise,11:45 AM,07:51 AM,05:37 PM,11,12,13,12,36,92,89,5.7,1022,16,10,189,22,"Portugal,+Coruche"
2020-01-17,14,9,0.0,7.0,3,47,12:19 AM,12:15 PM,07:51 AM,05:38 PM,7,11,11,11,9,48,78,2.0,1030,14,9,149,5,"Portugal,+Coruche"
2020-01-18,16,11,0.0,3.7,4,40,01:29 AM,12:47 PM,07:51 AM,05:39 PM,12,13,14,13,29,81,90,17.2,1026,16,8,240,19,"Portugal,+Coruche"
2020-01-19,14,6,0.0,8.7,3,32,02:36 AM,01:21 PM,07:50 AM,05:40 PM,5,8,10,8,23,29,72,0.4,1026,14,10,133,14,"Portugal,+Coruche"
2020-01-20,11,4,0.0,8.7,3,25,03:44 AM,01:59 PM,07:50 AM,05:41 PM,-2,3,7,3,35,11,53,0.0,1023,11,10,33,22,"Portugal,+Coruche"
2020-01-21,13,4,0.0,8.7,3,18,04:50 AM,02:42 PM,07:49 AM,05:42 PM,1,5,8,5,24,13,64,0.0,1018,13,10,79,14,"Portugal,+Coruche"
2020-01-22,12,-1,0.0,5.4,2,11,05:52 AM,03:32 PM,07:49 AM,05:43 PM,6,5,7,5,26,72,83,2.2,1014,12,8,46,16,"Portugal,+Coruche"
