date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,11,0.0,8.7,4,37,11:52 AM,11:29 PM,07:45 AM,05:25 PM,9,12,13,12,14,0,78,0.0,1030,14,10,70,9,"Portugal,+Ilha+da+Madeira"
2020-01-02,15,12,0.0,5.4,3,44,12:18 PM,No moonset,07:45 AM,05:26 PM,11,12,13,12,18,42,84,0.1,1030,15,10,57,12,"Portugal,+Ilha+da+Madeira"
2020-01-03,15,12,0.0,8.7,4,51,12:45 PM,12:25 AM,07:45 AM,05:27 PM,9,12,13,12,14,54,79,0.0,1032,15,10,78,9,"Portugal,+Ilha+da+Madeira"
2020-01-04,14,10,0.0,8.7,4,59,01:11 PM,01:21 AM,07:45 AM,05:28 PM,8,11,12,11,18,2,75,0.0,1031,14,10,125,11,"Portugal,+Ilha+da+Madeira"
2020-01-05,14,11,0.0,8.7,3,66,01:40 PM,02:18 AM,07:45 AM,05:28 PM,8,11,12,11,19,25,78,0.0,1028,14,10,61,12,"Portugal,+Ilha+da+Madeira"
2020-01-06,14,11,0.0,8.7,4,73,02:11 PM,03:18 AM,07:45 AM,05:29 PM,8,11,12,11,13,0,74,0.0,1028,14,10,125,8,"Portugal,+Ilha+da+Madeira"
2020-01-07,16,11,0.0,8.7,4,80,02:48 PM,04:18 AM,07:45 AM,05:30 PM,6,12,12,12,15,1,67,0.0,1030,16,10,125,9,"Portugal,+Ilha+da+Madeira"
2020-01-08,16,11,0.0,8.7,4,88,03:31 PM,05:22 AM,07:45 AM,05:31 PM,5,13,13,13,12,8,60,0.0,1029,16,10,144,7,"Portugal,+Ilha+da+Madeira"
2020-01-09,17,12,0.0,8.7,4,95,04:21 PM,06:24 AM,07:45 AM,05:32 PM,10,14,14,14,10,26,79,0.0,1027,17,10,222,7,"Portugal,+Ilha+da+Madeira"
2020-01-10,15,6,0.0,8.7,4,100,05:21 PM,07:26 AM,07:45 AM,05:33 PM,7,9,12,9,34,2,72,0.0,1027,15,10,139,23,"Portugal,+Ilha+da+Madeira"
2020-01-11,14,9,0.0,8.7,4,100,06:26 PM,08:22 AM,07:45 AM,05:34 PM,5,9,11,9,27,1,65,0.0,1028,14,10,50,18,"Portugal,+Ilha+da+Madeira"
2020-01-12,15,10,0.0,8.7,4,83,07:36 PM,09:12 AM,07:45 AM,05:35 PM,6,11,12,11,13,0,67,0.0,1029,15,10,87,8,"Portugal,+Ilha+da+Madeira"
