date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,6,0.0,8.7,4,37,11:59 AM,11:31 PM,07:58 AM,05:19 PM,6,9,10,9,8,21,80,0.0,1031,15,10,162,4,"Portugal,+Mira"
2020-01-02,14,6,0.0,5.3,2,44,12:23 PM,No moonset,07:58 AM,05:20 PM,6,8,9,8,12,40,82,0.0,1030,14,10,148,7,"Portugal,+Mira"
2020-01-03,15,9,0.0,7.0,3,51,12:48 PM,12:28 AM,07:58 AM,05:21 PM,8,10,11,10,10,55,83,0.0,1033,15,10,152,6,"Portugal,+Mira"
2020-01-04,17,9,0.0,8.7,3,59,01:13 PM,01:27 AM,07:58 AM,05:21 PM,8,11,11,11,11,7,83,0.0,1033,17,7,70,7,"Portugal,+Mira"
2020-01-05,17,6,0.0,8.7,4,66,01:39 PM,02:25 AM,07:58 AM,05:22 PM,6,9,11,9,11,1,79,0.0,1030,17,10,121,6,"Portugal,+Mira"
2020-01-06,14,7,0.0,8.7,4,73,02:09 PM,03:27 AM,07:58 AM,05:23 PM,7,9,10,9,8,1,84,0.0,1030,14,10,140,5,"Portugal,+Mira"
2020-01-07,15,5,0.0,8.7,4,80,02:43 PM,04:30 AM,07:58 AM,05:24 PM,5,9,10,9,9,3,77,0.0,1032,15,10,143,6,"Portugal,+Mira"
2020-01-08,16,6,0.0,8.7,3,88,03:25 PM,05:35 AM,07:58 AM,05:25 PM,6,9,10,9,9,35,78,0.0,1030,16,10,139,5,"Portugal,+Mira"
2020-01-09,16,9,0.0,5.3,3,95,04:15 PM,06:38 AM,07:58 AM,05:26 PM,10,10,11,10,15,69,91,1.0,1028,16,7,217,9,"Portugal,+Mira"
2020-01-10,13,6,0.0,8.7,3,100,05:14 PM,07:40 AM,07:58 AM,05:27 PM,4,7,9,7,16,4,75,0.0,1031,13,10,78,9,"Portugal,+Mira"
2020-01-11,15,5,0.0,8.7,4,100,06:20 PM,08:36 AM,07:58 AM,05:28 PM,3,8,10,8,11,8,73,0.0,1031,15,10,144,6,"Portugal,+Mira"
2020-01-12,14,6,0.0,8.7,3,83,07:32 PM,09:25 AM,07:57 AM,05:29 PM,5,8,9,8,8,4,78,0.0,1030,14,10,153,5,"Portugal,+Mira"
2020-01-13,13,5,0.0,7.0,2,76,08:45 PM,10:06 AM,07:57 AM,05:30 PM,4,6,8,6,18,62,78,0.0,1025,13,10,154,11,"Portugal,+Mira"
2020-01-14,12,5,0.0,3.7,2,69,09:59 PM,10:42 AM,07:57 AM,05:31 PM,7,7,10,7,27,75,84,1.4,1018,12,8,156,16,"Portugal,+Mira"
2020-01-15,16,12,0.0,3.7,3,61,11:11 PM,11:15 AM,07:56 AM,05:33 PM,11,12,13,12,28,90,90,14.3,1017,16,9,169,17,"Portugal,+Mira"
2020-01-16,14,12,0.0,3.7,3,54,No moonrise,11:45 AM,07:56 AM,05:34 PM,11,11,13,11,35,94,89,20.6,1020,14,9,182,21,"Portugal,+Mira"
2020-01-17,13,9,0.0,5.3,3,47,12:21 AM,12:15 PM,07:56 AM,05:35 PM,7,10,11,10,10,77,79,4.6,1030,13,10,148,5,"Portugal,+Mira"
2020-01-18,16,10,0.0,5.4,3,40,01:31 AM,12:46 PM,07:55 AM,05:36 PM,11,10,12,10,24,88,93,30.2,1025,16,8,218,15,"Portugal,+Mira"
2020-01-19,13,7,0.0,8.7,3,32,02:40 AM,01:19 PM,07:55 AM,05:37 PM,3,7,9,7,28,8,69,0.7,1027,13,10,110,16,"Portugal,+Mira"
2020-01-20,10,4,0.0,8.7,3,25,03:49 AM,01:57 PM,07:54 AM,05:38 PM,-3,3,6,3,39,3,50,0.0,1026,10,10,40,23,"Portugal,+Mira"
2020-01-21,13,6,0.0,8.7,3,18,04:55 AM,02:39 PM,07:54 AM,05:39 PM,1,5,8,5,43,11,56,0.0,1020,13,10,62,26,"Portugal,+Mira"
2020-01-22,14,8,0.0,7.0,3,11,05:57 AM,03:28 PM,07:53 AM,05:41 PM,5,8,10,8,25,41,68,0.1,1016,14,10,67,14,"Portugal,+Mira"
2020-01-23,12,6,0.0,3.7,2,3,06:54 AM,04:21 PM,07:52 AM,05:42 PM,5,6,8,6,20,71,81,2.2,1015,12,8,84,11,"Portugal,+Mira"
2020-01-24,14,6,0.0,5.4,3,0,07:44 AM,05:20 PM,07:52 AM,05:43 PM,7,8,9,8,12,51,88,5.5,1016,14,10,142,6,"Portugal,+Mira"
2020-01-25,14,8,0.0,7.0,3,0,08:25 AM,06:20 PM,07:51 AM,05:44 PM,7,9,10,9,10,53,83,0.3,1017,14,10,139,6,"Portugal,+Mira"
2020-01-26,14,5,0.0,5.4,3,4,09:02 AM,07:21 PM,07:50 AM,05:45 PM,7,8,9,8,17,42,87,1.1,1022,14,10,165,10,"Portugal,+Mira"
2020-01-27,15,11,0.0,5.4,3,11,09:33 AM,08:21 PM,07:49 AM,05:47 PM,11,11,12,11,22,85,91,18.8,1021,15,8,208,14,"Portugal,+Mira"
2020-01-28,15,12,0.0,3.7,3,18,10:00 AM,09:20 PM,07:49 AM,05:48 PM,13,12,13,12,19,84,95,13.2,1022,15,10,204,12,"Portugal,+Mira"
2020-01-29,15,11,0.0,3.8,3,26,10:25 AM,10:17 PM,07:48 AM,05:49 PM,12,12,13,12,22,94,92,3.6,1022,15,10,179,14,"Portugal,+Mira"
2020-01-30,14,7,0.0,3.8,3,33,10:50 AM,11:15 PM,07:47 AM,05:50 PM,11,11,12,11,22,98,92,4.6,1023,14,9,168,13,"Portugal,+Mira"
2020-01-31,16,13,0.0,3.8,4,37,11:14 AM,No moonset,07:46 AM,05:51 PM,14,14,15,14,22,96,96,14.7,1023,16,8,190,13,"Portugal,+Mira"
2020-02-01,16,14,0.0,3.8,4,49,11:39 AM,12:13 AM,07:45 AM,05:53 PM,15,15,15,15,15,91,97,10.6,1024,16,5,202,10,"Portugal,+Mira"
2020-02-02,21,13,0.0,8.7,4,57,12:07 PM,01:13 AM,07:44 AM,05:54 PM,13,16,16,16,14,9,86,0.0,1027,21,7,161,8,"Portugal,+Mira"
2020-02-03,23,13,0.0,8.7,5,64,12:38 PM,02:13 AM,07:43 AM,05:55 PM,14,17,18,17,8,2,82,0.0,1029,23,10,148,5,"Portugal,+Mira"
2020-02-04,21,13,0.0,8.7,5,72,01:16 PM,03:16 AM,07:42 AM,05:56 PM,13,16,17,16,9,0,82,0.0,1029,21,10,139,6,"Portugal,+Mira"
2020-02-05,19,11,0.0,8.7,4,79,02:00 PM,04:19 AM,07:41 AM,05:57 PM,8,13,14,13,16,0,70,0.0,1024,19,10,87,10,"Portugal,+Mira"
2020-02-06,19,9,0.0,8.7,3,87,02:54 PM,05:22 AM,07:40 AM,05:59 PM,8,12,13,12,13,45,72,0.0,1021,19,10,143,7,"Portugal,+Mira"
2020-02-07,17,10,0.0,8.5,3,95,03:57 PM,06:20 AM,07:39 AM,06:00 PM,10,12,12,12,11,54,85,0.1,1023,17,10,177,6,"Portugal,+Mira"
2020-02-08,13,9,0.0,6.9,3,100,05:07 PM,07:13 AM,07:38 AM,06:01 PM,9,11,12,11,15,77,86,8.6,1024,13,9,283,10,"Portugal,+Mira"
2020-02-09,15,7,0.0,8.5,3,100,06:22 PM,07:58 AM,07:37 AM,06:02 PM,7,10,11,10,10,48,79,0.0,1029,15,10,154,6,"Portugal,+Mira"
2020-02-10,17,12,0.0,5.3,3,83,07:38 PM,08:38 AM,07:36 AM,06:03 PM,12,14,14,14,10,73,90,0.3,1032,17,8,198,7,"Portugal,+Mira"
2020-02-11,16,11,0.0,8.5,3,75,08:54 PM,09:13 AM,07:34 AM,06:05 PM,11,13,12,13,7,53,90,0.0,1028,16,6,189,5,"Portugal,+Mira"
2020-02-12,16,9,0.0,10.7,3,68,10:08 PM,09:45 AM,07:33 AM,06:06 PM,10,12,12,12,6,48,86,0.0,1023,16,8,163,4,"Portugal,+Mira"
2020-02-13,17,10,0.0,5.4,3,60,11:20 PM,10:16 AM,07:32 AM,06:07 PM,11,12,13,12,10,78,90,1.2,1023,17,7,193,7,"Portugal,+Mira"
2020-02-14,18,9,0.0,10.8,3,53,No moonrise,10:47 AM,07:31 AM,06:08 PM,10,13,13,13,7,21,86,0.0,1026,18,7,178,5,"Portugal,+Mira"
2020-02-15,18,10,0.0,10.8,4,45,12:31 AM,11:21 AM,07:30 AM,06:09 PM,10,13,13,13,10,9,83,0.0,1025,18,10,165,7,"Portugal,+Mira"
2020-02-16,18,11,0.0,10.1,3,38,01:42 AM,11:57 AM,07:28 AM,06:10 PM,11,13,14,13,21,36,84,0.2,1026,18,10,182,14,"Portugal,+Mira"
2020-02-17,15,9,0.0,8.5,3,30,02:49 AM,12:38 PM,07:27 AM,06:12 PM,9,11,13,11,24,63,79,3.2,1029,15,10,291,16,"Portugal,+Mira"
2020-02-18,14,7,0.0,10.9,4,22,03:52 AM,01:24 PM,07:26 AM,06:13 PM,5,8,10,8,21,1,72,0.0,1032,14,10,134,14,"Portugal,+Mira"
