date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,16,6,0.0,8.7,4,37,11:55 AM,11:30 PM,07:51 AM,05:22 PM,6,9,10,9,7,4,80,0.0,1031,16,10,148,4,"Portugal,+Montemor-o-Novo"
2020-01-02,15,6,0.0,8.7,4,44,12:21 PM,No moonset,07:51 AM,05:23 PM,7,9,10,9,9,8,84,0.0,1031,15,10,150,5,"Portugal,+Montemor-o-Novo"
2020-01-03,13,6,0.0,7.0,2,51,12:46 PM,12:26 AM,07:51 AM,05:24 PM,7,8,9,8,10,37,89,0.0,1033,13,8,200,6,"Portugal,+Montemor-o-Novo"
2020-01-04,15,7,0.0,8.7,3,59,01:12 PM,01:24 AM,07:51 AM,05:25 PM,7,9,11,9,17,5,85,0.0,1032,15,7,78,9,"Portugal,+Montemor-o-Novo"
2020-01-05,14,5,0.0,8.7,3,66,01:40 PM,02:21 AM,07:51 AM,05:25 PM,5,8,9,8,13,1,79,0.0,1029,14,10,71,7,"Portugal,+Montemor-o-Novo"
2020-01-06,14,5,0.0,8.7,4,73,02:10 PM,03:22 AM,07:51 AM,05:26 PM,5,9,10,9,11,0,81,0.0,1029,14,10,74,6,"Portugal,+Montemor-o-Novo"
2020-01-07,15,4,0.0,8.7,4,80,02:46 PM,04:23 AM,07:51 AM,05:27 PM,4,8,10,8,12,4,78,0.0,1031,15,10,35,6,"Portugal,+Montemor-o-Novo"
2020-01-08,14,4,0.0,8.7,3,88,03:28 PM,05:28 AM,07:51 AM,05:28 PM,5,8,9,8,11,14,80,0.0,1030,14,9,141,6,"Portugal,+Montemor-o-Novo"
2020-01-09,17,8,0.0,5.3,3,95,04:18 PM,06:31 AM,07:51 AM,05:29 PM,10,11,11,11,13,70,92,0.3,1028,17,5,210,8,"Portugal,+Montemor-o-Novo"
2020-01-10,12,5,0.0,8.7,3,100,05:17 PM,07:32 AM,07:51 AM,05:30 PM,5,6,8,6,22,15,84,0.1,1029,12,9,194,13,"Portugal,+Montemor-o-Novo"
2020-01-11,14,5,0.0,8.7,3,100,06:23 PM,08:28 AM,07:51 AM,05:31 PM,2,7,8,7,16,2,69,0.0,1030,14,10,66,9,"Portugal,+Montemor-o-Novo"
2020-01-12,13,3,0.0,8.7,3,83,07:34 PM,09:18 AM,07:51 AM,05:32 PM,2,7,8,7,10,2,72,0.0,1030,13,10,91,5,"Portugal,+Montemor-o-Novo"
2020-01-13,12,4,0.0,5.4,2,76,08:46 PM,10:01 AM,07:50 AM,05:33 PM,3,6,7,6,10,52,78,0.0,1026,12,10,154,5,"Portugal,+Montemor-o-Novo"
2020-01-14,13,9,0.0,5.4,3,69,09:58 PM,10:38 AM,07:50 AM,05:34 PM,7,8,10,8,26,72,81,0.9,1021,13,10,168,17,"Portugal,+Montemor-o-Novo"
2020-01-15,17,11,0.0,3.7,3,61,11:09 PM,11:12 AM,07:50 AM,05:35 PM,11,11,13,11,30,71,88,3.1,1020,17,10,184,18,"Portugal,+Montemor-o-Novo"
2020-01-16,17,10,0.0,8.7,3,54,No moonrise,11:43 AM,07:49 AM,05:36 PM,10,11,13,11,34,45,85,6.6,1024,17,9,182,21,"Portugal,+Montemor-o-Novo"
2020-01-17,15,8,0.0,7.0,3,47,12:18 AM,12:14 PM,07:49 AM,05:37 PM,8,11,11,11,7,48,83,4.0,1030,15,8,127,4,"Portugal,+Montemor-o-Novo"
2020-01-18,17,10,0.0,3.7,4,40,01:27 AM,12:46 PM,07:49 AM,05:38 PM,12,12,14,12,31,88,89,16.6,1027,17,8,239,20,"Portugal,+Montemor-o-Novo"
