date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,13,4,0.0,8.7,3,37,11:52 AM,11:24 PM,07:51 AM,05:13 PM,2,8,8,8,3,27,67,0.0,1031,13,10,131,2,"Portugal,+Penamacor"
2020-01-02,11,2,0.0,5.3,2,44,12:17 PM,No moonset,07:51 AM,05:14 PM,2,6,6,6,3,43,78,0.0,1031,11,10,199,2,"Portugal,+Penamacor"
2020-01-03,13,3,0.0,8.7,3,51,12:41 PM,12:22 AM,07:51 AM,05:15 PM,3,7,7,7,8,22,79,0.0,1034,13,10,219,4,"Portugal,+Penamacor"
2020-01-04,11,4,0.0,8.7,2,59,01:06 PM,01:20 AM,07:51 AM,05:16 PM,4,5,6,5,16,7,84,0.0,1034,11,9,66,9,"Portugal,+Penamacor"
2020-01-05,12,1,0.0,8.7,3,66,01:33 PM,02:19 AM,07:51 AM,05:17 PM,1,4,6,4,11,5,80,0.0,1031,12,10,74,6,"Portugal,+Penamacor"
2020-01-06,13,2,0.0,8.7,3,73,02:03 PM,03:20 AM,07:51 AM,05:18 PM,1,6,7,6,6,0,69,0.0,1030,13,10,251,3,"Portugal,+Penamacor"
2020-01-07,14,4,0.0,8.7,3,80,02:38 PM,04:22 AM,07:51 AM,05:19 PM,-1,7,9,7,12,5,60,0.0,1032,14,10,113,6,"Portugal,+Penamacor"
2020-01-08,16,5,0.0,8.7,4,88,03:20 PM,05:27 AM,07:51 AM,05:20 PM,1,9,10,9,10,9,60,0.0,1030,16,10,181,5,"Portugal,+Penamacor"
2020-01-09,15,6,0.0,7.0,3,95,04:09 PM,06:31 AM,07:51 AM,05:21 PM,7,9,9,9,8,52,86,0.2,1028,15,9,297,5,"Portugal,+Penamacor"
2020-01-10,9,0,0.0,8.7,2,100,05:08 PM,07:33 AM,07:51 AM,05:22 PM,-0,1,4,1,20,7,77,0.0,1030,9,10,109,12,"Portugal,+Penamacor"
2020-01-11,10,0,0.0,8.7,3,100,06:14 PM,08:28 AM,07:51 AM,05:23 PM,-0,3,5,3,13,6,74,0.0,1032,10,10,118,7,"Portugal,+Penamacor"
2020-01-12,12,1,0.0,8.7,3,83,07:26 PM,09:18 AM,07:51 AM,05:24 PM,-1,5,6,5,5,4,69,0.0,1031,12,10,201,3,"Portugal,+Penamacor"
2020-01-13,10,0,0.0,7.0,2,76,08:39 PM,09:59 AM,07:50 AM,05:25 PM,0,4,5,4,6,43,82,0.0,1026,10,9,210,4,"Portugal,+Penamacor"
