date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,5,0.0,6.9,3,37,11:59 AM,11:28 PM,08:01 AM,05:13 PM,4,8,9,8,6,14,78,0.0,1031,14,10,132,3,"Portugal,+Ponte+da+Barca"
2020-01-02,11,1,0.0,5.2,2,44,12:23 PM,No moonset,08:01 AM,05:14 PM,3,6,7,6,12,68,74,0.0,1029,11,10,136,6,"Portugal,+Ponte+da+Barca"
2020-01-03,15,8,0.0,8.7,3,51,12:46 PM,12:27 AM,08:01 AM,05:15 PM,8,10,11,10,8,49,84,0.0,1033,15,10,176,5,"Portugal,+Ponte+da+Barca"
2020-01-04,16,8,0.0,8.7,4,59,01:10 PM,01:26 AM,08:01 AM,05:16 PM,9,11,12,11,7,12,89,0.0,1034,16,8,97,4,"Portugal,+Ponte+da+Barca"
2020-01-05,15,7,0.0,8.7,4,66,01:36 PM,02:26 AM,08:01 AM,05:17 PM,6,10,10,10,7,0,77,0.0,1030,15,10,142,4,"Portugal,+Ponte+da+Barca"
2020-01-06,12,7,0.0,8.7,3,73,02:05 PM,03:28 AM,08:01 AM,05:18 PM,6,8,9,8,6,9,83,0.0,1030,12,10,142,4,"Portugal,+Ponte+da+Barca"
2020-01-07,16,5,0.0,8.7,4,80,02:39 PM,04:32 AM,08:01 AM,05:19 PM,4,9,10,9,6,8,70,0.0,1032,16,10,151,3,"Portugal,+Ponte+da+Barca"
2020-01-08,16,8,0.0,3.4,3,88,03:20 PM,05:37 AM,08:01 AM,05:20 PM,9,12,12,12,6,74,83,0.0,1030,16,9,143,4,"Portugal,+Ponte+da+Barca"
2020-01-09,13,7,0.0,3.5,3,95,04:09 PM,06:42 AM,08:01 AM,05:21 PM,9,9,10,9,14,72,91,1.7,1027,13,10,181,8,"Portugal,+Ponte+da+Barca"
2020-01-10,13,4,0.0,8.7,3,100,05:08 PM,07:44 AM,08:01 AM,05:22 PM,4,7,9,7,10,18,82,0.0,1032,13,10,76,6,"Portugal,+Ponte+da+Barca"
2020-01-11,14,5,0.0,8.7,3,100,06:14 PM,08:39 AM,08:00 AM,05:23 PM,3,8,9,8,8,22,73,0.0,1031,14,10,125,4,"Portugal,+Ponte+da+Barca"
2020-01-12,13,5,0.0,8.7,3,83,07:27 PM,09:27 AM,08:00 AM,05:24 PM,4,8,9,8,7,17,80,0.0,1030,13,10,142,4,"Portugal,+Ponte+da+Barca"
2020-01-13,10,4,0.0,3.5,2,76,08:41 PM,10:08 AM,08:00 AM,05:25 PM,5,6,8,6,15,83,80,0.4,1023,10,9,152,10,"Portugal,+Ponte+da+Barca"
2020-01-14,12,9,0.0,3.6,3,69,09:56 PM,10:43 AM,07:59 AM,05:26 PM,9,8,10,8,23,100,90,2.4,1015,12,5,164,16,"Portugal,+Ponte+da+Barca"
2020-01-15,14,10,0.0,3.6,3,61,11:09 PM,11:15 AM,07:59 AM,05:27 PM,11,10,12,10,18,87,95,29.5,1015,14,9,157,11,"Portugal,+Ponte+da+Barca"
2020-01-16,12,8,0.0,3.6,3,54,No moonrise,11:44 AM,07:59 AM,05:29 PM,10,9,11,9,29,96,94,68.1,1017,12,7,192,18,"Portugal,+Ponte+da+Barca"
2020-01-17,11,4,0.0,5.3,2,47,12:20 AM,12:13 PM,07:58 AM,05:30 PM,5,7,7,7,9,78,86,6.3,1030,11,9,160,5,"Portugal,+Ponte+da+Barca"
2020-01-18,14,7,0.0,3.6,3,40,01:31 AM,12:42 PM,07:58 AM,05:31 PM,8,8,9,8,16,91,90,13.0,1024,14,7,199,10,"Portugal,+Ponte+da+Barca"
2020-01-19,11,4,0.0,8.7,2,32,02:41 AM,01:15 PM,07:57 AM,05:32 PM,2,5,8,5,22,12,77,0.9,1030,11,8,18,13,"Portugal,+Ponte+da+Barca"
2020-01-20,10,0,0.0,8.7,3,25,03:51 AM,01:52 PM,07:56 AM,05:33 PM,-2,1,4,1,24,2,67,0.0,1030,10,10,28,13,"Portugal,+Ponte+da+Barca"
2020-01-21,12,1,0.0,8.7,3,18,04:58 AM,02:33 PM,07:56 AM,05:35 PM,0,4,6,4,18,12,70,0.0,1024,12,10,35,10,"Portugal,+Ponte+da+Barca"
2020-01-22,14,4,0.0,7.0,2,11,06:00 AM,03:22 PM,07:55 AM,05:36 PM,4,6,8,6,17,24,78,0.0,1018,14,10,43,10,"Portugal,+Ponte+da+Barca"
2020-01-23,14,4,0.0,8.7,3,3,06:57 AM,04:16 PM,07:54 AM,05:37 PM,4,6,8,6,13,32,78,0.0,1016,14,10,74,7,"Portugal,+Ponte+da+Barca"
2020-01-24,15,7,0.0,7.0,3,0,07:47 AM,05:14 PM,07:54 AM,05:38 PM,6,10,10,10,7,62,81,0.6,1017,15,10,134,4,"Portugal,+Ponte+da+Barca"
2020-01-25,14,6,0.0,5.4,3,0,08:28 AM,06:15 PM,07:53 AM,05:40 PM,5,9,10,9,8,49,81,0.2,1018,14,10,145,4,"Portugal,+Ponte+da+Barca"
2020-01-26,12,6,0.0,3.7,2,4,09:04 AM,07:17 PM,07:52 AM,05:41 PM,7,7,8,7,12,79,90,4.7,1021,12,10,144,9,"Portugal,+Ponte+da+Barca"
2020-01-27,12,5,0.0,3.7,3,11,09:34 AM,08:17 PM,07:51 AM,05:42 PM,11,9,11,9,14,100,97,52.5,1018,12,7,208,9,"Portugal,+Ponte+da+Barca"
2020-01-28,13,6,0.0,3.7,3,18,10:01 AM,09:17 PM,07:51 AM,05:43 PM,12,11,12,11,9,100,99,32.6,1020,13,7,184,6,"Portugal,+Ponte+da+Barca"
