date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,6,0.0,8.7,4,37,11:53 AM,11:28 PM,07:48 AM,05:21 PM,5,9,9,9,9,3,81,0.0,1031,15,10,132,5,"Portugal,+Portel"
2020-01-02,14,6,0.0,8.7,3,44,12:18 PM,No moonset,07:48 AM,05:22 PM,6,8,9,8,8,18,84,0.0,1031,14,10,144,5,"Portugal,+Portel"
2020-01-03,13,6,0.0,8.7,2,51,12:44 PM,12:24 AM,07:48 AM,05:23 PM,6,8,9,8,13,43,87,0.0,1033,13,9,144,7,"Portugal,+Portel"
2020-01-04,14,7,0.0,8.7,3,59,01:10 PM,01:21 AM,07:48 AM,05:23 PM,7,7,9,7,21,4,85,0.0,1032,14,8,76,12,"Portugal,+Portel"
2020-01-05,13,5,0.0,8.7,3,66,01:38 PM,02:19 AM,07:48 AM,05:24 PM,5,6,8,6,16,1,81,0.0,1029,13,10,66,9,"Portugal,+Portel"
2020-01-06,14,5,0.0,8.7,3,73,02:09 PM,03:19 AM,07:48 AM,05:25 PM,4,8,9,8,13,0,79,0.0,1029,14,10,75,7,"Portugal,+Portel"
2020-01-07,15,5,0.0,8.7,4,80,02:44 PM,04:21 AM,07:48 AM,05:26 PM,4,8,9,8,16,6,77,0.0,1031,15,10,33,8,"Portugal,+Portel"
2020-01-08,14,5,0.0,8.7,3,88,03:27 PM,05:24 AM,07:48 AM,05:27 PM,4,8,9,8,14,11,75,0.0,1029,14,10,137,7,"Portugal,+Portel"
2020-01-09,16,7,0.0,8.7,3,95,04:17 PM,06:28 AM,07:48 AM,05:28 PM,9,10,11,10,15,54,90,0.1,1028,16,8,256,9,"Portugal,+Portel"
2020-01-10,12,5,0.0,8.7,3,100,05:16 PM,07:29 AM,07:48 AM,05:29 PM,5,5,8,5,27,10,84,0.0,1029,12,10,190,15,"Portugal,+Portel"
2020-01-11,12,4,0.0,8.7,3,100,06:22 PM,08:25 AM,07:48 AM,05:30 PM,2,6,8,6,20,2,70,0.0,1030,12,10,59,11,"Portugal,+Portel"
2020-01-12,13,3,0.0,8.7,3,83,07:33 PM,09:15 AM,07:48 AM,05:31 PM,2,6,7,6,13,2,72,0.0,1030,13,10,91,7,"Portugal,+Portel"
2020-01-13,12,4,0.0,5.4,2,76,08:45 PM,09:58 AM,07:47 AM,05:32 PM,2,6,7,6,9,53,78,0.0,1026,12,10,159,5,"Portugal,+Portel"
2020-01-14,11,8,0.0,5.4,2,69,09:57 PM,10:35 AM,07:47 AM,05:33 PM,6,7,9,7,26,77,82,0.8,1021,11,10,163,16,"Portugal,+Portel"
2020-01-15,16,10,0.0,5.4,3,61,11:07 PM,11:09 AM,07:47 AM,05:34 PM,10,10,12,10,30,70,89,2.8,1021,16,10,181,18,"Portugal,+Portel"
2020-01-16,16,10,0.0,8.7,3,54,No moonrise,11:41 AM,07:46 AM,05:35 PM,9,10,12,10,33,61,87,5.6,1024,16,10,179,20,"Portugal,+Portel"
2020-01-17,14,8,0.0,8.7,3,47,12:16 AM,12:12 PM,07:46 AM,05:36 PM,8,10,11,10,9,45,83,2.4,1030,14,8,127,5,"Portugal,+Portel"
2020-01-18,17,10,0.0,3.7,3,40,01:25 AM,12:44 PM,07:46 AM,05:37 PM,12,12,13,12,34,83,90,16.3,1027,17,8,235,22,"Portugal,+Portel"
2020-01-19,11,6,0.0,8.7,3,32,02:32 AM,01:19 PM,07:45 AM,05:38 PM,2,5,8,5,40,16,69,0.2,1025,11,10,176,25,"Portugal,+Portel"
2020-01-20,10,3,0.0,8.7,3,25,03:39 AM,01:58 PM,07:45 AM,05:39 PM,-3,1,6,1,45,18,52,0.0,1021,10,10,38,29,"Portugal,+Portel"
2020-01-21,12,5,0.0,8.7,3,18,04:44 AM,02:41 PM,07:44 AM,05:41 PM,1,4,7,4,40,31,63,0.0,1016,12,10,37,25,"Portugal,+Portel"
2020-01-22,9,7,0.0,3.7,2,11,05:46 AM,03:30 PM,07:44 AM,05:42 PM,5,5,8,5,26,80,86,5.7,1013,9,9,64,17,"Portugal,+Portel"
2020-01-23,13,7,0.0,3.8,2,3,06:42 AM,04:24 PM,07:43 AM,05:43 PM,7,7,9,7,18,79,91,13.9,1014,13,8,140,12,"Portugal,+Portel"
2020-01-24,13,6,0.0,5.4,2,0,07:33 AM,05:22 PM,07:43 AM,05:44 PM,7,8,9,8,13,90,92,3.1,1016,13,4,118,8,"Portugal,+Portel"
2020-01-25,12,7,0.0,3.8,2,0,08:15 AM,06:21 PM,07:42 AM,05:45 PM,8,8,9,8,10,78,92,3.0,1016,12,7,185,6,"Portugal,+Portel"
2020-01-26,13,5,0.0,5.4,2,4,08:53 AM,07:21 PM,07:41 AM,05:46 PM,7,7,8,7,16,46,89,1.5,1023,13,9,249,9,"Portugal,+Portel"
2020-01-27,13,6,0.0,3.8,3,11,09:25 AM,08:19 PM,07:41 AM,05:47 PM,9,7,10,7,27,86,95,0.5,1024,13,7,207,16,"Portugal,+Portel"
2020-01-28,16,10,0.0,3.8,3,18,09:54 AM,09:17 PM,07:40 AM,05:48 PM,10,10,11,10,21,79,92,0.1,1025,16,8,223,13,"Portugal,+Portel"
2020-01-29,15,9,0.0,5.4,3,26,10:20 AM,10:14 PM,07:39 AM,05:49 PM,9,10,11,10,14,68,90,0.0,1024,15,7,200,8,"Portugal,+Portel"
2020-01-30,15,7,0.0,3.8,3,33,10:45 AM,11:10 PM,07:38 AM,05:51 PM,9,10,11,10,14,64,90,0.0,1025,15,5,198,8,"Portugal,+Portel"
2020-01-31,18,10,0.0,5.4,3,37,11:11 AM,No moonset,07:38 AM,05:52 PM,11,12,13,12,18,76,89,0.0,1025,18,6,204,11,"Portugal,+Portel"
2020-02-01,18,12,0.0,3.8,4,49,11:38 AM,12:07 AM,07:37 AM,05:53 PM,13,14,14,14,12,83,91,0.0,1026,18,7,216,7,"Portugal,+Portel"
2020-02-02,20,11,0.0,8.7,5,57,12:06 PM,01:05 AM,07:36 AM,05:54 PM,12,14,15,14,11,3,85,0.0,1027,20,10,123,6,"Portugal,+Portel"
2020-02-03,20,11,0.0,7.1,4,64,12:39 PM,02:05 AM,07:35 AM,05:55 PM,11,14,15,14,14,23,82,0.0,1028,20,10,82,7,"Portugal,+Portel"
2020-02-04,20,11,0.0,8.7,5,72,01:17 PM,03:06 AM,07:34 AM,05:56 PM,10,15,16,15,15,0,78,0.0,1028,20,10,67,8,"Portugal,+Portel"
