date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,8,0.0,8.7,4,37,11:58 AM,11:32 PM,07:56 AM,05:22 PM,7,10,10,10,6,4,81,0.0,1031,15,10,131,3,"Portugal,+Porto+de+Mos"
2020-01-02,13,7,0.0,5.3,2,44,12:23 PM,No moonset,07:56 AM,05:23 PM,7,8,9,8,13,45,85,0.0,1030,13,10,138,7,"Portugal,+Porto+de+Mos"
2020-01-03,14,10,0.0,7.0,3,51,12:48 PM,12:29 AM,07:56 AM,05:23 PM,8,11,11,11,8,62,84,0.0,1033,14,10,198,5,"Portugal,+Porto+de+Mos"
2020-01-04,16,10,0.0,8.7,4,59,01:14 PM,01:27 AM,07:56 AM,05:24 PM,9,12,13,12,9,4,85,0.0,1033,16,9,95,5,"Portugal,+Porto+de+Mos"
2020-01-05,15,7,0.0,8.7,4,66,01:41 PM,02:25 AM,07:56 AM,05:25 PM,6,11,11,11,7,6,77,0.0,1030,15,10,167,4,"Portugal,+Porto+de+Mos"
2020-01-06,12,7,0.0,8.7,3,73,02:11 PM,03:26 AM,07:56 AM,05:26 PM,6,8,9,8,11,1,83,0.0,1029,12,10,132,6,"Portugal,+Porto+de+Mos"
2020-01-07,13,6,0.0,8.7,3,80,02:46 PM,04:28 AM,07:56 AM,05:27 PM,4,7,8,7,11,3,76,0.0,1032,13,10,117,6,"Portugal,+Porto+de+Mos"
2020-01-08,15,6,0.0,8.7,3,88,03:28 PM,05:33 AM,07:56 AM,05:28 PM,7,8,10,8,13,43,84,0.0,1030,15,9,142,8,"Portugal,+Porto+de+Mos"
2020-01-09,16,11,0.0,5.3,3,95,04:18 PM,06:36 AM,07:56 AM,05:29 PM,11,12,12,12,15,70,92,0.5,1028,16,7,236,9,"Portugal,+Porto+de+Mos"
2020-01-10,13,7,0.0,8.7,3,100,05:17 PM,07:38 AM,07:56 AM,05:30 PM,5,7,9,7,22,6,73,0.0,1030,13,10,153,14,"Portugal,+Porto+de+Mos"
2020-01-11,14,7,0.0,8.7,3,100,06:23 PM,08:33 AM,07:56 AM,05:31 PM,4,9,9,9,7,6,70,0.0,1031,14,10,109,4,"Portugal,+Porto+de+Mos"
2020-01-12,12,6,0.0,8.7,3,83,07:35 PM,09:23 AM,07:55 AM,05:32 PM,4,8,8,8,7,4,74,0.0,1030,12,10,152,4,"Portugal,+Porto+de+Mos"
2020-01-13,13,6,0.0,7.0,2,76,08:47 PM,10:05 AM,07:55 AM,05:33 PM,5,7,8,7,15,66,80,0.0,1025,13,10,149,9,"Portugal,+Porto+de+Mos"
2020-01-14,13,8,0.0,3.7,3,69,10:00 PM,10:42 AM,07:55 AM,05:34 PM,8,8,10,8,28,80,88,1.0,1019,13,8,154,16,"Portugal,+Porto+de+Mos"
2020-01-15,16,12,0.0,5.4,3,61,11:11 PM,11:15 AM,07:55 AM,05:35 PM,12,12,13,12,27,70,91,5.7,1018,16,10,167,16,"Portugal,+Porto+de+Mos"
2020-01-16,14,12,0.0,3.7,3,54,No moonrise,11:46 AM,07:54 AM,05:36 PM,12,11,13,11,40,89,91,9.2,1021,14,10,188,24,"Portugal,+Porto+de+Mos"
2020-01-17,14,10,0.0,7.0,3,47,12:21 AM,12:16 PM,07:54 AM,05:37 PM,8,11,11,11,12,57,78,1.6,1030,14,10,146,7,"Portugal,+Porto+de+Mos"
2020-01-18,15,11,0.0,3.7,3,40,01:31 AM,12:47 PM,07:53 AM,05:38 PM,12,12,13,12,34,91,93,24.1,1026,15,9,247,22,"Portugal,+Porto+de+Mos"
