date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,12,4,0.0,8.7,3,37,11:55 AM,11:28 PM,07:53 AM,05:18 PM,4,7,8,7,5,15,80,0.0,1031,12,10,109,3,"Portugal,+Proenca-a-Nova"
2020-01-02,11,3,0.0,7.0,2,44,12:20 PM,No moonset,07:53 AM,05:18 PM,4,6,7,6,5,40,84,0.0,1031,11,10,90,3,"Portugal,+Proenca-a-Nova"
2020-01-03,11,4,0.0,8.7,3,51,12:44 PM,12:25 AM,07:53 AM,05:19 PM,4,7,7,7,5,29,86,0.0,1033,11,10,160,2,"Portugal,+Proenca-a-Nova"
2020-01-04,13,5,0.0,8.7,2,59,01:10 PM,01:23 AM,07:53 AM,05:20 PM,5,7,8,7,13,2,83,0.0,1033,13,9,70,7,"Portugal,+Proenca-a-Nova"
2020-01-05,12,3,0.0,8.7,3,66,01:37 PM,02:21 AM,07:53 AM,05:21 PM,3,6,7,6,9,3,81,0.0,1030,12,10,39,5,"Portugal,+Proenca-a-Nova"
2020-01-06,12,3,0.0,8.7,3,73,02:07 PM,03:22 AM,07:53 AM,05:22 PM,3,6,7,6,4,0,80,0.0,1029,12,10,126,2,"Portugal,+Proenca-a-Nova"
2020-01-07,13,3,0.0,8.7,3,80,02:42 PM,04:25 AM,07:53 AM,05:23 PM,2,7,7,7,7,7,74,0.0,1032,13,10,71,4,"Portugal,+Proenca-a-Nova"
2020-01-08,14,3,0.0,8.7,3,88,03:24 PM,05:29 AM,07:53 AM,05:24 PM,2,8,8,8,5,10,69,0.0,1030,14,10,119,3,"Portugal,+Proenca-a-Nova"
2020-01-09,15,5,0.0,8.7,3,95,04:13 PM,06:33 AM,07:53 AM,05:25 PM,6,9,9,9,9,26,83,0.1,1028,15,10,156,5,"Portugal,+Proenca-a-Nova"
2020-01-10,12,3,0.0,8.7,3,100,05:13 PM,07:35 AM,07:53 AM,05:26 PM,2,6,7,6,15,3,76,0.0,1030,12,10,106,9,"Portugal,+Proenca-a-Nova"
2020-01-11,11,2,0.0,8.7,3,100,06:19 PM,08:30 AM,07:53 AM,05:27 PM,1,5,6,5,7,5,76,0.0,1031,11,10,37,4,"Portugal,+Proenca-a-Nova"
2020-01-12,11,2,0.0,8.7,3,83,07:30 PM,09:20 AM,07:52 AM,05:28 PM,2,5,6,5,4,3,80,0.0,1030,11,10,128,2,"Portugal,+Proenca-a-Nova"
2020-01-13,10,2,0.0,7.0,2,76,08:43 PM,10:02 AM,07:52 AM,05:29 PM,2,5,6,5,6,51,83,0.0,1026,10,10,117,4,"Portugal,+Proenca-a-Nova"
2020-01-14,8,3,0.0,3.7,2,69,09:56 PM,10:38 AM,07:52 AM,05:30 PM,5,5,6,5,8,86,88,1.1,1021,8,7,94,5,"Portugal,+Proenca-a-Nova"
2020-01-15,14,9,0.0,3.7,3,61,11:07 PM,11:11 AM,07:51 AM,05:31 PM,10,9,11,9,20,99,94,8.7,1020,14,9,183,13,"Portugal,+Proenca-a-Nova"
2020-01-16,13,9,0.0,3.7,3,54,No moonrise,11:42 AM,07:51 AM,05:32 PM,9,9,11,9,20,88,91,3.7,1023,13,9,177,13,"Portugal,+Proenca-a-Nova"
2020-01-17,13,7,0.0,7.0,2,47,12:17 AM,12:12 PM,07:51 AM,05:33 PM,5,8,9,8,10,54,80,4.9,1030,13,8,223,6,"Portugal,+Proenca-a-Nova"
2020-01-18,13,8,0.0,3.7,3,40,01:27 AM,12:43 PM,07:50 AM,05:34 PM,9,9,10,9,13,91,96,45.3,1026,13,7,158,8,"Portugal,+Proenca-a-Nova"
2020-01-19,10,3,0.0,8.7,3,32,02:35 AM,01:17 PM,07:50 AM,05:36 PM,1,4,7,4,31,11,70,0.2,1025,10,10,129,19,"Portugal,+Proenca-a-Nova"
2020-01-20,8,2,0.0,8.7,2,25,03:44 AM,01:55 PM,07:49 AM,05:37 PM,-4,-0,4,-0,34,18,55,0.0,1024,8,10,23,21,"Portugal,+Proenca-a-Nova"
2020-01-21,12,3,0.0,8.7,3,18,04:49 AM,02:38 PM,07:49 AM,05:38 PM,0,3,6,3,33,23,65,0.0,1019,12,10,17,20,"Portugal,+Proenca-a-Nova"
2020-01-22,9,6,0.0,5.4,2,11,05:52 AM,03:27 PM,07:48 AM,05:39 PM,4,5,7,5,18,79,83,0.6,1015,9,9,48,11,"Portugal,+Proenca-a-Nova"
2020-01-23,9,4,0.0,3.7,2,3,06:48 AM,04:20 PM,07:47 AM,05:40 PM,5,4,7,4,21,97,93,15.3,1016,9,9,74,14,"Portugal,+Proenca-a-Nova"
2020-01-24,10,7,0.0,3.7,2,0,07:38 AM,05:19 PM,07:47 AM,05:41 PM,7,6,8,6,14,100,95,10.5,1017,10,7,76,9,"Portugal,+Proenca-a-Nova"
2020-01-25,11,7,0.0,3.7,2,0,08:20 AM,06:18 PM,07:46 AM,05:43 PM,7,8,8,8,7,87,93,14.5,1017,11,9,122,5,"Portugal,+Proenca-a-Nova"
2020-01-26,12,3,0.0,8.7,2,4,08:57 AM,07:19 PM,07:45 AM,05:44 PM,5,7,7,7,8,38,88,0.1,1023,12,9,233,5,"Portugal,+Proenca-a-Nova"
2020-01-27,12,6,0.0,3.8,2,11,09:29 AM,08:18 PM,07:45 AM,05:45 PM,8,7,9,7,17,92,97,22.2,1022,12,5,210,10,"Portugal,+Proenca-a-Nova"
2020-01-28,14,8,0.0,3.8,3,18,09:56 AM,09:17 PM,07:44 AM,05:46 PM,11,11,12,11,17,96,95,4.6,1023,14,9,226,11,"Portugal,+Proenca-a-Nova"
2020-01-29,13,9,0.0,3.8,3,26,10:22 AM,10:14 PM,07:43 AM,05:47 PM,10,11,11,11,12,92,93,0.9,1024,13,5,208,8,"Portugal,+Proenca-a-Nova"
2020-01-30,12,8,0.0,3.8,3,33,10:46 AM,11:12 PM,07:42 AM,05:48 PM,9,10,10,10,9,100,95,1.0,1025,12,4,188,5,"Portugal,+Proenca-a-Nova"
2020-01-31,14,12,0.0,3.8,3,37,11:11 AM,No moonset,07:41 AM,05:50 PM,12,12,13,12,11,100,97,1.6,1024,14,2,201,7,"Portugal,+Proenca-a-Nova"
2020-02-01,16,13,0.0,3.8,3,49,11:37 AM,12:09 AM,07:40 AM,05:51 PM,14,14,14,14,13,92,96,2.8,1025,16,5,218,8,"Portugal,+Proenca-a-Nova"
2020-02-02,17,11,0.0,5.4,3,57,12:05 PM,01:08 AM,07:40 AM,05:52 PM,12,13,13,13,6,66,93,0.0,1028,17,4,62,4,"Portugal,+Proenca-a-Nova"
2020-02-03,18,10,0.0,7.1,3,64,12:36 PM,02:08 AM,07:39 AM,05:53 PM,11,13,13,13,9,27,88,0.0,1029,18,7,85,5,"Portugal,+Proenca-a-Nova"
2020-02-04,21,9,0.0,8.7,5,72,01:14 PM,03:11 AM,07:38 AM,05:54 PM,8,14,15,14,5,0,73,0.0,1029,21,10,163,3,"Portugal,+Proenca-a-Nova"
2020-02-05,17,8,0.0,8.7,4,79,01:59 PM,04:14 AM,07:37 AM,05:55 PM,7,11,12,11,15,1,75,0.0,1025,17,10,47,9,"Portugal,+Proenca-a-Nova"
2020-02-06,15,6,0.0,8.7,3,87,02:53 PM,05:16 AM,07:36 AM,05:57 PM,6,9,10,9,13,31,76,0.0,1021,15,10,53,8,"Portugal,+Proenca-a-Nova"
2020-02-07,15,8,0.0,5.5,3,95,03:56 PM,06:14 AM,07:35 AM,05:58 PM,8,10,10,10,8,53,86,0.0,1023,15,9,134,4,"Portugal,+Proenca-a-Nova"
2020-02-08,14,7,0.0,3.8,3,100,05:06 PM,07:07 AM,07:33 AM,05:59 PM,9,10,10,10,10,79,90,4.7,1024,14,8,237,6,"Portugal,+Proenca-a-Nova"
2020-02-09,14,4,0.0,10.7,3,100,06:20 PM,07:54 AM,07:32 AM,06:00 PM,5,8,8,8,4,14,80,0.0,1030,14,9,227,2,"Portugal,+Proenca-a-Nova"
2020-02-10,17,7,0.0,10.7,4,83,07:36 PM,08:33 AM,07:31 AM,06:01 PM,9,11,11,11,5,36,88,0.0,1032,17,9,249,3,"Portugal,+Proenca-a-Nova"
2020-02-11,17,8,0.0,10.7,4,75,08:51 PM,09:09 AM,07:30 AM,06:02 PM,9,12,12,12,6,19,84,0.0,1027,17,9,242,3,"Portugal,+Proenca-a-Nova"
2020-02-12,14,8,0.0,5.4,3,68,10:04 PM,09:42 AM,07:29 AM,06:04 PM,8,10,10,10,6,66,89,0.0,1023,14,7,206,3,"Portugal,+Proenca-a-Nova"
2020-02-13,17,7,0.0,10.0,3,60,11:16 PM,10:13 AM,07:28 AM,06:05 PM,9,11,11,11,9,62,87,0.1,1024,17,6,245,6,"Portugal,+Proenca-a-Nova"
2020-02-14,17,7,0.0,10.1,3,53,No moonrise,10:45 AM,07:26 AM,06:06 PM,8,11,11,11,4,20,83,0.0,1026,17,7,192,2,"Portugal,+Proenca-a-Nova"
