date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,7,0.0,6.9,3,37,11:59 AM,11:29 PM,08:00 AM,05:15 PM,4,10,9,10,6,30,71,0.0,1031,14,10,135,3,"Portugal,+Santo+Tirso"
2020-01-02,12,4,0.0,5.2,2,44,12:23 PM,No moonset,08:00 AM,05:16 PM,4,8,9,8,9,64,70,0.0,1030,12,10,131,5,"Portugal,+Santo+Tirso"
2020-01-03,15,9,0.0,8.7,3,51,12:46 PM,12:27 AM,08:00 AM,05:17 PM,8,11,11,11,6,54,81,0.0,1033,15,10,135,4,"Portugal,+Santo+Tirso"
2020-01-04,17,9,0.0,8.7,3,59,01:11 PM,01:26 AM,08:00 AM,05:18 PM,9,12,12,12,7,8,83,0.0,1034,17,7,72,5,"Portugal,+Santo+Tirso"
2020-01-05,18,8,0.0,8.7,4,66,01:37 PM,02:25 AM,08:00 AM,05:18 PM,7,11,12,11,6,0,72,0.0,1030,18,10,128,5,"Portugal,+Santo+Tirso"
2020-01-06,13,3,0.0,8.7,4,73,02:06 PM,03:27 AM,08:00 AM,05:19 PM,6,9,10,9,5,4,76,0.0,1030,13,10,137,4,"Portugal,+Santo+Tirso"
2020-01-07,17,6,0.0,8.7,4,80,02:40 PM,04:31 AM,08:00 AM,05:20 PM,4,11,12,11,6,5,68,0.0,1032,17,10,142,4,"Portugal,+Santo+Tirso"
2020-01-08,15,8,0.0,5.2,3,88,03:21 PM,05:36 AM,08:00 AM,05:21 PM,6,10,11,10,6,66,71,0.0,1030,15,10,136,4,"Portugal,+Santo+Tirso"
2020-01-09,13,8,0.0,3.5,3,95,04:10 PM,06:40 AM,08:00 AM,05:22 PM,9,11,12,11,14,71,86,1.1,1027,13,10,217,9,"Portugal,+Santo+Tirso"
2020-01-10,14,7,0.0,8.7,3,100,05:10 PM,07:42 AM,07:59 AM,05:23 PM,4,8,9,8,9,8,72,0.0,1032,14,10,92,7,"Portugal,+Santo+Tirso"
2020-01-11,14,6,0.0,8.7,3,100,06:16 PM,08:37 AM,07:59 AM,05:25 PM,2,8,9,8,8,22,67,0.0,1031,14,10,126,4,"Portugal,+Santo+Tirso"
2020-01-12,14,6,0.0,8.7,3,83,07:29 PM,09:26 AM,07:59 AM,05:26 PM,5,9,9,9,5,6,74,0.0,1030,14,10,144,4,"Portugal,+Santo+Tirso"
2020-01-13,12,5,0.0,3.6,2,76,08:42 PM,10:07 AM,07:59 AM,05:27 PM,4,7,8,7,16,71,73,0.2,1024,12,10,155,10,"Portugal,+Santo+Tirso"
2020-01-14,13,10,0.0,3.6,3,69,09:57 PM,10:43 AM,07:58 AM,05:28 PM,7,9,11,9,29,96,78,0.4,1016,13,10,179,19,"Portugal,+Santo+Tirso"
2020-01-15,15,12,0.0,3.6,3,61,11:09 PM,11:15 AM,07:58 AM,05:29 PM,11,11,13,11,25,88,90,38.5,1016,15,8,181,16,"Portugal,+Santo+Tirso"
2020-01-16,13,11,0.0,3.6,3,54,No moonrise,11:44 AM,07:57 AM,05:30 PM,11,10,12,10,31,95,90,51.5,1018,13,8,197,19,"Portugal,+Santo+Tirso"
2020-01-17,13,8,0.0,8.7,3,47,12:20 AM,12:13 PM,07:57 AM,05:31 PM,6,10,10,10,9,67,77,6.0,1030,13,9,199,6,"Portugal,+Santo+Tirso"
2020-01-18,14,9,0.0,3.7,3,40,01:31 AM,12:43 PM,07:57 AM,05:32 PM,8,9,10,9,20,90,86,18.6,1025,14,7,189,13,"Portugal,+Santo+Tirso"
2020-01-19,13,6,0.0,8.7,3,32,02:41 AM,01:16 PM,07:56 AM,05:34 PM,4,8,9,8,13,12,74,0.3,1029,13,10,62,9,"Portugal,+Santo+Tirso"
2020-01-20,11,4,0.0,8.7,3,25,03:50 AM,01:53 PM,07:55 AM,05:35 PM,-2,4,7,4,18,2,55,0.0,1028,11,10,40,12,"Portugal,+Santo+Tirso"
2020-01-21,14,4,0.0,8.7,3,18,04:56 AM,02:35 PM,07:55 AM,05:36 PM,-0,5,8,5,27,12,57,0.0,1023,14,10,58,15,"Portugal,+Santo+Tirso"
2020-01-22,12,6,0.0,8.7,3,11,05:59 AM,03:24 PM,07:54 AM,05:37 PM,3,7,9,7,22,19,69,0.0,1018,12,10,47,12,"Portugal,+Santo+Tirso"
2020-01-23,12,6,0.0,7.0,2,3,06:56 AM,04:17 PM,07:54 AM,05:38 PM,4,7,9,7,17,36,72,0.0,1016,12,10,88,10,"Portugal,+Santo+Tirso"
2020-01-24,14,7,0.0,3.7,3,0,07:45 AM,05:16 PM,07:53 AM,05:40 PM,6,10,10,10,9,76,76,0.4,1017,14,10,83,5,"Portugal,+Santo+Tirso"
2020-01-25,14,7,0.0,7.0,3,0,08:27 AM,06:16 PM,07:52 AM,05:41 PM,6,9,10,9,7,28,79,0.4,1018,14,10,140,4,"Portugal,+Santo+Tirso"
2020-01-26,12,7,0.0,3.7,2,4,09:03 AM,07:18 PM,07:51 AM,05:42 PM,7,8,9,8,15,63,83,0.7,1021,12,9,153,9,"Portugal,+Santo+Tirso"
2020-01-27,12,8,0.0,3.7,3,11,09:34 AM,08:18 PM,07:51 AM,05:43 PM,11,10,11,10,25,98,92,55.0,1019,12,7,213,17,"Portugal,+Santo+Tirso"
2020-01-28,13,3,0.0,3.7,3,18,10:00 AM,09:18 PM,07:50 AM,05:45 PM,12,10,12,10,15,94,97,22.6,1021,13,8,204,9,"Portugal,+Santo+Tirso"
2020-01-29,14,7,0.0,3.7,3,26,10:25 AM,10:16 PM,07:49 AM,05:46 PM,12,11,13,11,23,97,93,7.2,1021,14,10,183,15,"Portugal,+Santo+Tirso"
2020-01-30,13,6,0.0,3.7,3,33,10:49 AM,11:14 PM,07:48 AM,05:47 PM,11,10,12,10,21,100,93,13.2,1022,13,9,184,14,"Portugal,+Santo+Tirso"
2020-01-31,17,13,0.0,3.8,3,37,11:13 AM,No moonset,07:47 AM,05:48 PM,14,14,14,14,18,96,96,24.4,1021,17,7,180,12,"Portugal,+Santo+Tirso"
2020-02-01,16,11,0.0,3.8,3,49,11:37 AM,12:13 AM,07:46 AM,05:50 PM,14,14,15,14,17,100,96,12.6,1023,16,7,207,12,"Portugal,+Santo+Tirso"
2020-02-02,20,14,0.0,8.7,4,57,12:04 PM,01:13 AM,07:45 AM,05:51 PM,14,16,16,16,9,26,85,0.4,1026,20,8,163,7,"Portugal,+Santo+Tirso"
2020-02-03,23,15,0.0,8.7,5,64,12:35 PM,02:14 AM,07:44 AM,05:52 PM,14,18,18,18,5,0,79,0.0,1029,23,10,146,4,"Portugal,+Santo+Tirso"
2020-02-04,20,12,0.0,8.7,5,72,01:12 PM,03:17 AM,07:43 AM,05:53 PM,10,15,15,15,8,24,76,0.0,1030,20,10,137,4,"Portugal,+Santo+Tirso"
2020-02-05,19,12,0.0,8.7,5,79,01:56 PM,04:21 AM,07:42 AM,05:55 PM,8,14,15,14,15,2,66,0.0,1025,19,10,86,10,"Portugal,+Santo+Tirso"
2020-02-06,17,10,0.0,8.7,3,87,02:50 PM,05:24 AM,07:41 AM,05:56 PM,5,12,13,12,10,29,61,0.0,1021,17,10,132,6,"Portugal,+Santo+Tirso"
2020-02-07,15,10,0.0,8.7,3,95,03:53 PM,06:22 AM,07:40 AM,05:57 PM,9,13,12,13,9,66,79,0.6,1022,15,10,154,6,"Portugal,+Santo+Tirso"
2020-02-08,13,9,0.0,5.4,3,100,05:04 PM,07:14 AM,07:39 AM,05:58 PM,8,11,12,11,11,65,82,13.7,1024,13,9,266,8,"Portugal,+Santo+Tirso"
2020-02-09,13,7,0.0,5.3,3,100,06:19 PM,08:00 AM,07:37 AM,06:00 PM,7,9,10,9,9,74,80,0.9,1029,13,10,148,6,"Portugal,+Santo+Tirso"
2020-02-10,15,13,0.0,6.9,3,83,07:36 PM,08:38 AM,07:36 AM,06:01 PM,12,14,14,14,8,77,93,3.6,1031,15,9,217,6,"Portugal,+Santo+Tirso"
2020-02-11,15,11,0.0,8.5,3,75,08:52 PM,09:13 AM,07:35 AM,06:02 PM,10,13,12,13,4,59,88,0.0,1028,15,7,163,3,"Portugal,+Santo+Tirso"
2020-02-12,14,10,0.0,8.5,3,68,10:07 PM,09:45 AM,07:34 AM,06:03 PM,10,12,12,12,7,70,87,0.2,1023,14,8,170,5,"Portugal,+Santo+Tirso"
2020-02-13,15,12,0.0,6.9,3,60,11:20 PM,10:14 AM,07:32 AM,06:04 PM,11,12,13,12,11,87,91,4.1,1023,15,9,198,8,"Portugal,+Santo+Tirso"
2020-02-14,16,10,0.0,6.9,3,53,No moonrise,10:45 AM,07:31 AM,06:06 PM,10,12,12,12,6,62,86,0.2,1026,16,10,162,4,"Portugal,+Santo+Tirso"
