date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,10,0.0,8.7,4,37,11:52 AM,11:30 PM,07:45 AM,05:25 PM,8,11,11,11,11,0,78,0.0,1030,14,10,72,6,"Portugal,+Sao+Bras+de+Alportel"
2020-01-02,14,9,0.0,3.7,3,44,12:19 PM,No moonset,07:46 AM,05:26 PM,9,11,12,11,12,44,85,0.0,1030,14,10,61,7,"Portugal,+Sao+Bras+de+Alportel"
2020-01-03,14,11,0.0,5.4,3,51,12:45 PM,12:25 AM,07:46 AM,05:27 PM,8,12,12,12,12,63,80,0.0,1032,14,10,157,7,"Portugal,+Sao+Bras+de+Alportel"
2020-01-04,14,10,0.0,8.7,4,59,01:12 PM,01:22 AM,07:46 AM,05:27 PM,7,10,11,10,18,3,78,0.0,1031,14,10,68,11,"Portugal,+Sao+Bras+de+Alportel"
2020-01-05,14,10,0.0,8.7,4,66,01:40 PM,02:18 AM,07:46 AM,05:28 PM,8,10,11,10,14,19,80,0.0,1028,14,10,98,9,"Portugal,+Sao+Bras+de+Alportel"
2020-01-06,14,9,0.0,8.7,4,73,02:11 PM,03:18 AM,07:46 AM,05:29 PM,7,10,11,10,14,0,76,0.0,1028,14,10,76,8,"Portugal,+Sao+Bras+de+Alportel"
2020-01-07,16,9,0.0,8.7,4,80,02:48 PM,04:19 AM,07:46 AM,05:30 PM,6,11,11,11,13,0,68,0.0,1030,16,10,108,7,"Portugal,+Sao+Bras+de+Alportel"
2020-01-08,16,10,0.0,8.7,4,88,03:31 PM,05:22 AM,07:46 AM,05:31 PM,5,11,12,11,12,13,62,0.0,1029,16,10,130,6,"Portugal,+Sao+Bras+de+Alportel"
2020-01-09,16,10,0.0,8.7,4,95,04:21 PM,06:25 AM,07:46 AM,05:32 PM,9,12,12,12,16,22,82,0.0,1027,16,10,304,9,"Portugal,+Sao+Bras+de+Alportel"
2020-01-10,13,8,0.0,8.7,4,100,05:20 PM,07:26 AM,07:46 AM,05:33 PM,6,8,10,8,30,6,76,0.0,1027,13,10,195,19,"Portugal,+Sao+Bras+de+Alportel"
2020-01-11,13,7,0.0,8.7,3,100,06:26 PM,08:22 AM,07:46 AM,05:34 PM,4,8,10,8,24,0,68,0.0,1028,13,10,48,14,"Portugal,+Sao+Bras+de+Alportel"
2020-01-12,14,8,0.0,8.7,4,83,07:36 PM,09:13 AM,07:45 AM,05:35 PM,5,10,10,10,11,0,68,0.0,1029,14,10,99,5,"Portugal,+Sao+Bras+de+Alportel"
2020-01-13,12,8,0.0,3.7,3,76,08:47 PM,09:56 AM,07:45 AM,05:36 PM,5,9,10,9,8,53,72,0.0,1026,12,10,119,5,"Portugal,+Sao+Bras+de+Alportel"
2020-01-14,13,10,0.0,3.7,3,69,09:59 PM,10:34 AM,07:45 AM,05:37 PM,7,10,11,10,20,74,77,1.5,1022,13,10,192,13,"Portugal,+Sao+Bras+de+Alportel"
2020-01-15,16,11,0.0,5.4,3,61,11:08 PM,11:09 AM,07:45 AM,05:38 PM,12,13,14,13,35,62,86,2.8,1022,16,10,205,22,"Portugal,+Sao+Bras+de+Alportel"
