date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,8,0.0,8.7,4,37,11:58 AM,11:29 PM,07:59 AM,05:16 PM,5,10,10,10,6,25,70,0.0,1031,14,10,155,4,"Portugal,+Sao+Joao+da+Madeira"
2020-01-02,13,7,0.0,3.6,3,44,12:23 PM,No moonset,07:59 AM,05:17 PM,5,9,10,9,12,65,71,0.0,1030,13,10,151,8,"Portugal,+Sao+Joao+da+Madeira"
2020-01-03,14,10,0.0,7.0,3,51,12:47 PM,12:27 AM,07:59 AM,05:18 PM,8,12,12,12,8,50,78,0.0,1033,14,10,190,6,"Portugal,+Sao+Joao+da+Madeira"
2020-01-04,19,11,0.0,8.7,4,59,01:11 PM,01:26 AM,07:59 AM,05:19 PM,10,14,14,14,7,5,78,0.0,1034,19,10,69,5,"Portugal,+Sao+Joao+da+Madeira"
2020-01-05,17,9,0.0,8.7,4,66,01:38 PM,02:25 AM,07:59 AM,05:20 PM,7,13,13,13,6,1,67,0.0,1030,17,10,153,5,"Portugal,+Sao+Joao+da+Madeira"
2020-01-06,13,5,0.0,8.7,4,73,02:07 PM,03:27 AM,07:59 AM,05:21 PM,7,11,11,11,5,3,75,0.0,1030,13,10,177,4,"Portugal,+Sao+Joao+da+Madeira"
2020-01-07,17,8,0.0,8.7,4,80,02:41 PM,04:30 AM,07:59 AM,05:22 PM,4,11,11,11,7,3,60,0.0,1032,17,10,96,5,"Portugal,+Sao+Joao+da+Madeira"
2020-01-08,15,9,0.0,5.3,3,88,03:23 PM,05:35 AM,07:59 AM,05:23 PM,6,12,12,12,6,55,66,0.0,1030,15,10,175,4,"Portugal,+Sao+Joao+da+Madeira"
2020-01-09,14,10,0.0,3.6,3,95,04:12 PM,06:39 AM,07:58 AM,05:24 PM,10,11,12,11,18,74,86,1.5,1028,14,10,232,11,"Portugal,+Sao+Joao+da+Madeira"
2020-01-10,14,8,0.0,8.7,4,100,05:11 PM,07:41 AM,07:58 AM,05:25 PM,4,9,10,9,13,17,66,0.1,1031,14,10,42,9,"Portugal,+Sao+Joao+da+Madeira"
2020-01-11,14,7,0.0,8.7,4,100,06:18 PM,08:36 AM,07:58 AM,05:26 PM,2,9,10,9,8,16,60,0.0,1031,14,10,143,5,"Portugal,+Sao+Joao+da+Madeira"
2020-01-12,13,6,0.0,8.7,4,83,07:30 PM,09:25 AM,07:58 AM,05:27 PM,5,10,10,10,5,3,69,0.0,1030,13,10,184,4,"Portugal,+Sao+Joao+da+Madeira"
2020-01-13,13,7,0.0,8.7,2,76,08:43 PM,10:06 AM,07:58 AM,05:28 PM,4,7,9,7,20,67,70,0.1,1025,13,10,163,13,"Portugal,+Sao+Joao+da+Madeira"
2020-01-14,13,10,0.0,3.6,3,69,09:57 PM,10:42 AM,07:57 AM,05:29 PM,7,9,11,9,34,89,78,0.7,1017,13,10,171,22,"Portugal,+Sao+Joao+da+Madeira"
2020-01-15,15,12,0.0,3.6,3,61,11:09 PM,11:15 AM,07:57 AM,05:30 PM,11,11,13,11,32,84,88,18.5,1017,15,9,176,21,"Portugal,+Sao+Joao+da+Madeira"
2020-01-16,13,5,0.0,3.7,3,54,No moonrise,11:45 AM,07:56 AM,05:31 PM,11,10,12,10,40,90,88,56.9,1019,13,8,192,25,"Portugal,+Sao+Joao+da+Madeira"
2020-01-17,13,10,0.0,7.0,3,47,12:20 AM,12:14 PM,07:56 AM,05:33 PM,6,10,11,10,12,71,70,6.1,1030,13,9,173,7,"Portugal,+Sao+Joao+da+Madeira"
2020-01-18,14,10,0.0,3.7,3,40,01:31 AM,12:44 PM,07:55 AM,05:34 PM,10,10,11,10,25,89,88,25.4,1025,14,8,209,16,"Portugal,+Sao+Joao+da+Madeira"
2020-01-19,13,7,0.0,8.7,4,32,02:40 AM,01:17 PM,07:55 AM,05:35 PM,4,8,10,8,21,12,68,0.8,1028,13,10,115,13,"Portugal,+Sao+Joao+da+Madeira"
2020-01-20,11,5,0.0,8.7,3,25,03:49 AM,01:54 PM,07:54 AM,05:36 PM,-4,4,7,4,31,3,45,0.0,1027,11,10,40,20,"Portugal,+Sao+Joao+da+Madeira"
2020-01-21,13,6,0.0,8.7,3,18,04:55 AM,02:37 PM,07:54 AM,05:37 PM,-0,5,9,5,41,19,54,0.0,1021,13,10,63,25,"Portugal,+Sao+Joao+da+Madeira"
2020-01-22,13,8,0.0,7.0,3,11,05:58 AM,03:25 PM,07:53 AM,05:39 PM,4,8,10,8,26,28,66,0.0,1017,13,10,60,16,"Portugal,+Sao+Joao+da+Madeira"
2020-01-23,13,7,0.0,5.4,2,3,06:54 AM,04:19 PM,07:53 AM,05:40 PM,4,8,9,8,14,51,72,0.4,1016,13,9,93,8,"Portugal,+Sao+Joao+da+Madeira"
2020-01-24,14,8,0.0,5.4,3,0,07:44 AM,05:18 PM,07:52 AM,05:41 PM,7,10,10,10,8,66,77,3.6,1017,14,9,147,5,"Portugal,+Sao+Joao+da+Madeira"
2020-01-25,14,8,0.0,7.0,3,0,08:26 AM,06:18 PM,07:51 AM,05:42 PM,6,10,10,10,6,36,76,0.2,1017,14,10,172,4,"Portugal,+Sao+Joao+da+Madeira"
2020-01-26,13,7,0.0,5.4,3,4,09:02 AM,07:19 PM,07:50 AM,05:43 PM,7,9,10,9,20,60,81,1.4,1022,13,10,166,13,"Portugal,+Sao+Joao+da+Madeira"
2020-01-27,13,11,0.0,3.7,3,11,09:33 AM,08:19 PM,07:50 AM,05:45 PM,10,10,12,10,30,88,91,36.9,1020,13,8,208,19,"Portugal,+Sao+Joao+da+Madeira"
2020-01-28,13,12,0.0,3.7,3,18,10:00 AM,09:18 PM,07:49 AM,05:46 PM,12,12,13,12,20,89,96,10.7,1021,13,9,198,13,"Portugal,+Sao+Joao+da+Madeira"
2020-01-29,14,12,0.0,3.7,3,26,10:25 AM,10:16 PM,07:48 AM,05:47 PM,12,11,13,11,30,94,92,2.8,1022,14,10,185,19,"Portugal,+Sao+Joao+da+Madeira"
2020-01-30,13,3,0.0,3.8,3,33,10:49 AM,11:15 PM,07:47 AM,05:48 PM,11,9,11,9,28,96,91,7.6,1022,13,9,175,18,"Portugal,+Sao+Joao+da+Madeira"
2020-01-31,16,13,0.0,3.8,3,37,11:13 AM,No moonset,07:46 AM,05:49 PM,14,13,14,13,28,100,96,19.4,1022,16,7,188,18,"Portugal,+Sao+Joao+da+Madeira"
2020-02-01,16,14,0.0,3.8,3,49,11:38 AM,12:13 AM,07:45 AM,05:51 PM,14,14,15,14,21,97,96,16.9,1024,16,7,201,13,"Portugal,+Sao+Joao+da+Madeira"
2020-02-02,20,14,0.0,8.7,5,57,12:05 PM,01:12 AM,07:44 AM,05:52 PM,13,16,16,16,16,16,81,0.0,1027,20,10,170,10,"Portugal,+Sao+Joao+da+Madeira"
2020-02-03,22,15,0.0,8.7,5,64,12:36 PM,02:13 AM,07:43 AM,05:53 PM,14,19,19,19,6,0,75,0.0,1029,22,10,160,4,"Portugal,+Sao+Joao+da+Madeira"
2020-02-04,20,13,0.0,8.7,5,72,01:13 PM,03:16 AM,07:42 AM,05:54 PM,11,16,16,16,9,12,72,0.0,1030,20,10,181,5,"Portugal,+Sao+Joao+da+Madeira"
2020-02-05,22,13,0.0,8.7,5,79,01:58 PM,04:19 AM,07:41 AM,05:56 PM,9,16,17,16,10,2,62,0.0,1025,22,10,93,7,"Portugal,+Sao+Joao+da+Madeira"
2020-02-06,18,11,0.0,8.7,3,87,02:51 PM,05:22 AM,07:40 AM,05:57 PM,6,13,13,13,10,41,62,0.0,1021,18,10,160,6,"Portugal,+Sao+Joao+da+Madeira"
2020-02-07,16,11,0.0,5.4,3,95,03:55 PM,06:20 AM,07:39 AM,05:58 PM,9,13,13,13,10,58,78,0.4,1022,16,10,164,7,"Portugal,+Sao+Joao+da+Madeira"
2020-02-08,13,10,0.0,5.5,3,100,05:05 PM,07:13 AM,07:38 AM,05:59 PM,8,11,12,11,16,68,79,15.7,1024,13,9,274,12,"Portugal,+Sao+Joao+da+Madeira"
2020-02-09,14,8,0.0,5.3,3,100,06:20 PM,07:59 AM,07:37 AM,06:00 PM,7,10,11,10,13,66,74,0.2,1029,14,9,159,9,"Portugal,+Sao+Joao+da+Madeira"
2020-02-10,16,13,0.0,5.3,3,83,07:37 PM,08:38 AM,07:36 AM,06:02 PM,12,14,14,14,11,74,90,1.2,1032,16,9,189,8,"Portugal,+Sao+Joao+da+Madeira"
2020-02-11,16,11,0.0,8.5,3,75,08:52 PM,09:13 AM,07:34 AM,06:03 PM,11,13,13,13,5,49,85,0.0,1028,16,9,188,4,"Portugal,+Sao+Joao+da+Madeira"
2020-02-12,15,11,0.0,6.9,3,68,10:07 PM,09:45 AM,07:33 AM,06:04 PM,10,12,12,12,7,66,85,0.0,1023,15,10,205,5,"Portugal,+Sao+Joao+da+Madeira"
2020-02-13,16,11,0.0,8.5,3,60,11:20 PM,10:15 AM,07:32 AM,06:05 PM,11,12,13,12,15,76,88,1.5,1023,16,8,192,10,"Portugal,+Sao+Joao+da+Madeira"
2020-02-14,17,10,0.0,10.8,4,53,No moonrise,10:46 AM,07:31 AM,06:06 PM,10,13,13,13,7,24,82,0.0,1026,17,10,180,5,"Portugal,+Sao+Joao+da+Madeira"
2020-02-15,17,11,0.0,10.8,4,45,12:31 AM,11:19 AM,07:29 AM,06:08 PM,10,13,14,13,13,4,78,0.0,1025,17,10,167,10,"Portugal,+Sao+Joao+da+Madeira"
