date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,16,7,0.0,8.7,4,37,11:59 AM,11:34 PM,07:56 AM,05:25 PM,7,10,10,10,8,4,81,0.0,1031,16,10,150,4,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-02,13,6,0.0,5.3,3,44,12:24 PM,No moonset,07:56 AM,05:26 PM,7,9,10,9,12,44,84,0.0,1030,13,10,145,7,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-03,15,9,0.0,7.0,3,51,12:50 PM,12:30 AM,07:56 AM,05:26 PM,9,11,11,11,9,58,83,0.0,1033,15,10,232,5,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-04,17,10,0.0,8.7,4,59,01:15 PM,01:28 AM,07:56 AM,05:27 PM,10,12,12,12,8,5,85,0.0,1032,17,9,58,5,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-05,14,6,0.0,8.7,3,66,01:43 PM,02:26 AM,07:56 AM,05:28 PM,6,9,10,9,13,8,80,0.0,1029,14,10,80,7,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-06,14,8,0.0,8.7,4,73,02:13 PM,03:26 AM,07:56 AM,05:29 PM,7,10,11,10,10,1,83,0.0,1029,14,9,90,6,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-07,14,7,0.0,8.7,3,80,02:49 PM,04:28 AM,07:56 AM,05:30 PM,6,8,9,8,11,4,79,0.0,1031,14,10,75,6,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-08,16,6,0.0,7.0,3,88,03:31 PM,05:32 AM,07:56 AM,05:31 PM,9,9,10,9,14,42,90,0.0,1030,16,8,181,9,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-09,17,11,0.0,3.7,3,95,04:21 PM,06:36 AM,07:56 AM,05:32 PM,12,13,13,13,14,70,91,0.1,1028,17,8,300,9,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-10,13,8,0.0,8.7,4,100,05:20 PM,07:37 AM,07:56 AM,05:33 PM,5,8,10,8,23,13,75,0.0,1030,13,10,146,14,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-11,15,6,0.0,8.7,4,100,06:26 PM,08:33 AM,07:55 AM,05:34 PM,4,8,9,8,10,5,72,0.0,1031,15,10,125,5,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-12,14,6,0.0,8.7,4,83,07:37 PM,09:23 AM,07:55 AM,05:35 PM,4,9,9,9,8,3,74,0.0,1030,14,10,148,5,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-13,14,3,0.0,8.7,2,76,08:50 PM,10:05 AM,07:55 AM,05:36 PM,5,7,8,7,15,54,81,0.0,1025,14,10,162,8,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-14,15,10,0.0,3.7,3,69,10:02 PM,10:42 AM,07:55 AM,05:37 PM,10,11,12,11,31,81,83,2.9,1019,15,10,187,19,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-15,17,13,0.0,3.7,3,61,11:13 PM,11:16 AM,07:54 AM,05:38 PM,12,13,14,13,35,76,87,8.3,1018,17,9,194,21,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-16,16,12,0.0,3.7,3,54,No moonrise,11:47 AM,07:54 AM,05:39 PM,12,12,14,12,40,79,89,14.7,1022,16,9,198,25,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-17,14,10,0.0,7.0,3,47,12:22 AM,12:17 PM,07:54 AM,05:40 PM,8,11,11,11,13,66,78,1.0,1030,14,10,163,7,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-18,16,12,0.0,3.7,3,40,01:31 AM,12:49 PM,07:53 AM,05:41 PM,13,13,14,13,38,86,93,11.3,1026,16,8,252,25,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-19,14,6,0.0,8.7,3,32,02:39 AM,01:24 PM,07:53 AM,05:42 PM,4,9,11,9,34,31,67,0.4,1027,14,10,142,21,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-20,11,3,0.0,8.7,3,25,03:47 AM,02:02 PM,07:52 AM,05:43 PM,-3,2,6,2,38,7,53,0.0,1024,11,10,38,22,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-21,13,3,0.0,8.7,3,18,04:52 AM,02:45 PM,07:52 AM,05:45 PM,1,5,7,5,20,12,67,0.0,1018,13,10,77,12,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-22,12,6,0.0,7.0,2,11,05:55 AM,03:34 PM,07:51 AM,05:46 PM,5,6,8,6,23,63,83,2.7,1014,12,10,53,14,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-23,12,7,0.0,5.4,2,3,06:51 AM,04:28 PM,07:51 AM,05:47 PM,7,6,9,6,21,84,92,13.7,1013,12,9,105,13,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-24,14,7,0.0,7.0,3,0,07:41 AM,05:26 PM,07:50 AM,05:48 PM,7,8,9,8,15,60,89,1.1,1015,14,6,122,9,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-25,14,7,0.0,8.7,3,0,08:23 AM,06:25 PM,07:49 AM,05:49 PM,8,9,10,9,12,41,88,0.0,1017,14,7,170,8,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-26,15,9,0.0,5.4,3,4,09:00 AM,07:26 PM,07:49 AM,05:50 PM,9,11,11,11,16,56,87,0.6,1022,15,10,221,11,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-27,15,11,0.0,3.8,3,11,09:32 AM,08:24 PM,07:48 AM,05:51 PM,12,11,13,11,35,84,92,6.1,1022,15,9,217,22,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-28,16,13,0.0,3.8,3,18,10:00 AM,09:23 PM,07:47 AM,05:53 PM,13,13,14,13,27,89,95,8.1,1023,16,10,216,18,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-29,16,13,0.0,5.4,3,26,10:26 AM,10:20 PM,07:46 AM,05:54 PM,12,13,14,13,23,82,91,0.5,1023,16,10,191,16,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-30,15,12,0.0,3.8,3,33,10:51 AM,11:17 PM,07:46 AM,05:55 PM,12,13,14,13,21,95,90,0.2,1024,15,8,195,14,"Portugal,+Sobral+de+Monte+Agraco"
2020-01-31,17,15,0.0,3.8,4,37,11:17 AM,No moonset,07:45 AM,05:56 PM,14,15,15,15,25,94,93,4.1,1024,17,10,199,17,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-01,19,13,0.0,5.4,4,49,11:43 AM,12:14 AM,07:44 AM,05:57 PM,14,16,16,16,17,59,92,1.0,1025,19,6,200,12,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-02,20,12,0.0,8.7,4,57,12:11 PM,01:12 AM,07:43 AM,05:58 PM,12,15,15,15,13,9,83,0.0,1027,20,7,146,8,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-03,23,12,0.0,8.7,5,64,12:43 PM,02:12 AM,07:42 AM,05:59 PM,13,16,18,16,13,1,82,0.0,1028,23,10,141,7,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-04,21,13,0.0,10.6,5,72,01:21 PM,03:14 AM,07:41 AM,06:01 PM,11,16,17,16,10,0,76,0.0,1029,21,10,140,6,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-05,19,10,0.0,10.6,4,79,02:06 PM,04:16 AM,07:40 AM,06:02 PM,10,13,13,13,17,0,79,0.0,1023,19,10,101,10,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-06,17,10,0.0,10.6,4,87,03:00 PM,05:19 AM,07:39 AM,06:03 PM,10,11,13,11,19,55,86,0.0,1020,17,10,124,12,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-07,18,10,0.0,6.9,3,95,04:03 PM,06:17 AM,07:38 AM,06:04 PM,11,12,13,12,13,57,90,0.3,1022,18,6,187,8,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-08,14,9,0.0,5.3,3,100,05:13 PM,07:10 AM,07:37 AM,06:05 PM,10,11,12,11,21,77,85,2.9,1025,14,8,308,15,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-09,15,8,0.0,10.7,4,100,06:27 PM,07:57 AM,07:36 AM,06:06 PM,8,11,11,11,8,25,81,0.0,1030,15,10,211,5,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-10,17,11,0.0,8.5,3,83,07:42 PM,08:37 AM,07:35 AM,06:07 PM,12,13,13,13,8,55,91,0.1,1032,17,5,255,6,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-11,17,11,0.0,8.5,3,75,08:56 PM,09:14 AM,07:34 AM,06:09 PM,12,13,13,13,8,57,91,0.0,1028,17,5,329,6,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-12,16,11,0.0,6.9,3,68,10:09 PM,09:47 AM,07:33 AM,06:10 PM,11,13,13,13,9,70,89,0.2,1024,16,7,229,6,"Portugal,+Sobral+de+Monte+Agraco"
2020-02-13,17,11,0.0,7.0,3,60,11:21 PM,10:18 AM,07:31 AM,06:11 PM,12,14,14,14,9,67,91,0.4,1024,17,7,254,6,"Portugal,+Sobral+de+Monte+Agraco"
