date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,31,24,0.0,6.1,6,37,10:39 AM,11:02 PM,05:34 AM,05:56 PM,22,29,29,26,10,68,77,24.4,1010,31,8,48,6,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-02,32,23,0.0,8.9,6,44,11:22 AM,11:42 PM,05:35 AM,05:56 PM,21,29,29,26,9,62,76,9.8,1010,32,9,60,6,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-03,35,24,0.0,10.2,7,51,12:04 PM,No moonset,05:35 AM,05:57 PM,21,31,31,29,6,49,69,0.3,1012,35,10,65,5,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-04,32,25,0.0,7.5,6,59,12:47 PM,12:21 AM,05:36 AM,05:57 PM,22,30,30,28,9,70,73,9.2,1012,32,9,92,6,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-05,34,23,0.0,10.2,6,66,01:32 PM,01:02 AM,05:36 AM,05:57 PM,21,30,30,27,8,47,69,0.2,1012,34,10,119,6,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-06,33,24,0.0,7.5,6,73,02:19 PM,01:46 AM,05:37 AM,05:58 PM,21,29,29,27,10,68,73,15.6,1011,33,9,88,6,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-07,33,23,0.0,6.1,6,80,03:10 PM,02:32 AM,05:37 AM,05:58 PM,21,29,29,27,8,68,76,12.5,1012,33,9,68,5,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-08,36,23,0.0,11.6,7,88,04:04 PM,03:23 AM,05:38 AM,05:59 PM,21,31,31,29,7,52,69,1.2,1012,36,10,79,5,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-09,33,23,0.0,8.9,6,95,05:02 PM,04:17 AM,05:38 AM,05:59 PM,22,30,30,28,10,68,78,31.4,1011,33,9,142,6,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-10,29,23,0.0,6.1,6,100,06:01 PM,05:16 AM,05:39 AM,05:59 PM,22,28,28,25,11,65,87,36.1,1012,29,7,146,6,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-11,30,23,0.0,10.5,6,100,07:00 PM,06:15 AM,05:39 AM,06:00 PM,21,28,28,26,10,62,79,11.3,1011,30,9,112,7,"Portugal,+Terras+de+Tras-os-Montes"
2020-01-12,32,22,0.0,9.2,6,83,07:58 PM,07:16 AM,05:40 AM,06:00 PM,21,29,29,26,8,64,76,1.2,1012,32,8,64,6,"Portugal,+Terras+de+Tras-os-Montes"
