date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,6,0.0,8.7,3,37,11:59 AM,11:33 PM,07:55 AM,05:24 PM,5,8,8,8,8,5,81,0.0,1031,14,10,80,4,"Portugal,+Vila+Franca+de+Xira"
2020-01-02,13,5,0.0,8.7,3,44,12:24 PM,No moonset,07:55 AM,05:25 PM,6,8,8,8,5,22,85,0.0,1030,13,10,129,3,"Portugal,+Vila+Franca+de+Xira"
2020-01-03,14,9,0.0,7.0,3,51,12:49 PM,12:29 AM,07:55 AM,05:26 PM,8,10,11,10,9,56,85,0.0,1033,14,10,151,5,"Portugal,+Vila+Franca+de+Xira"
2020-01-04,15,9,0.0,8.7,3,59,01:15 PM,01:27 AM,07:55 AM,05:27 PM,8,10,11,10,13,6,83,0.0,1032,15,9,70,7,"Portugal,+Vila+Franca+de+Xira"
2020-01-05,13,6,0.0,8.7,3,66,01:42 PM,02:25 AM,07:55 AM,05:28 PM,5,7,8,7,15,6,80,0.0,1029,13,10,80,8,"Portugal,+Vila+Franca+de+Xira"
2020-01-06,14,5,0.0,8.7,3,73,02:13 PM,03:26 AM,07:55 AM,05:29 PM,5,7,8,7,12,0,81,0.0,1029,14,10,105,6,"Portugal,+Vila+Franca+de+Xira"
2020-01-07,14,5,0.0,8.7,3,80,02:48 PM,04:27 AM,07:55 AM,05:30 PM,4,7,9,7,12,4,76,0.0,1031,14,10,139,7,"Portugal,+Vila+Franca+de+Xira"
2020-01-08,16,6,0.0,8.7,4,88,03:31 PM,05:32 AM,07:55 AM,05:30 PM,7,8,9,8,15,31,83,0.0,1030,16,9,342,8,"Portugal,+Vila+Franca+de+Xira"
2020-01-09,17,10,0.0,3.7,3,95,04:20 PM,06:35 AM,07:55 AM,05:31 PM,11,12,13,12,16,57,89,0.1,1028,17,8,278,10,"Portugal,+Vila+Franca+de+Xira"
2020-01-10,13,7,0.0,8.7,3,100,05:20 PM,07:37 AM,07:55 AM,05:32 PM,5,7,9,7,24,5,75,0.0,1030,13,10,179,14,"Portugal,+Vila+Franca+de+Xira"
2020-01-11,13,5,0.0,8.7,3,100,06:25 PM,08:32 AM,07:55 AM,05:33 PM,3,6,8,6,13,4,73,0.0,1030,13,10,33,7,"Portugal,+Vila+Franca+de+Xira"
2020-01-12,12,4,0.0,8.7,3,83,07:37 PM,09:22 AM,07:54 AM,05:34 PM,3,7,7,7,9,3,76,0.0,1030,12,10,115,5,"Portugal,+Vila+Franca+de+Xira"
2020-01-13,12,5,0.0,8.7,2,76,08:49 PM,10:04 AM,07:54 AM,05:35 PM,5,7,7,7,10,48,82,0.0,1026,12,10,135,6,"Portugal,+Vila+Franca+de+Xira"
2020-01-14,14,11,0.0,3.7,3,69,10:01 PM,10:41 AM,07:54 AM,05:36 PM,9,11,13,11,28,81,81,2.1,1019,14,8,184,17,"Portugal,+Vila+Franca+de+Xira"
2020-01-15,17,13,0.0,7.0,3,61,11:12 PM,11:15 AM,07:54 AM,05:38 PM,12,13,14,13,29,68,86,7.5,1019,17,10,194,17,"Portugal,+Vila+Franca+de+Xira"
2020-01-16,16,13,0.0,3.7,3,54,No moonrise,11:46 AM,07:53 AM,05:39 PM,12,13,14,13,40,84,87,8.2,1022,16,10,200,25,"Portugal,+Vila+Franca+de+Xira"
2020-01-17,13,10,0.0,7.0,3,47,12:21 AM,12:17 PM,07:53 AM,05:40 PM,8,11,11,11,13,47,78,0.1,1030,13,10,197,7,"Portugal,+Vila+Franca+de+Xira"
2020-01-18,17,12,0.0,5.4,4,40,01:31 AM,12:49 PM,07:52 AM,05:41 PM,13,14,14,14,34,73,90,8.3,1026,17,9,250,22,"Portugal,+Vila+Franca+de+Xira"
2020-01-19,13,6,0.0,8.7,3,32,02:38 AM,01:23 PM,07:52 AM,05:42 PM,5,8,10,8,29,30,71,0.3,1026,13,10,177,17,"Portugal,+Vila+Franca+de+Xira"
2020-01-20,10,4,0.0,8.7,3,25,03:46 AM,02:01 PM,07:51 AM,05:43 PM,-2,3,7,3,39,9,53,0.0,1023,10,10,29,24,"Portugal,+Vila+Franca+de+Xira"
2020-01-21,13,4,0.0,8.7,3,18,04:52 AM,02:44 PM,07:51 AM,05:44 PM,1,4,7,4,27,13,65,0.0,1018,13,10,110,16,"Portugal,+Vila+Franca+de+Xira"
2020-01-22,12,6,0.0,5.4,2,11,05:54 AM,03:34 PM,07:50 AM,05:45 PM,5,6,8,6,27,71,83,2.4,1014,12,9,36,16,"Portugal,+Vila+Franca+de+Xira"
2020-01-23,12,8,0.0,5.4,2,3,06:50 AM,04:27 PM,07:50 AM,05:46 PM,8,7,9,7,18,86,90,12.4,1013,12,7,109,12,"Portugal,+Vila+Franca+de+Xira"
2020-01-24,13,6,0.0,7.0,2,0,07:40 AM,05:26 PM,07:49 AM,05:47 PM,7,8,9,8,9,66,88,0.4,1015,13,7,150,6,"Portugal,+Vila+Franca+de+Xira"
2020-01-25,15,8,0.0,8.7,3,0,08:22 AM,06:25 PM,07:48 AM,05:49 PM,8,9,10,9,14,47,87,0.4,1017,15,6,100,8,"Portugal,+Vila+Franca+de+Xira"
2020-01-26,15,6,0.0,7.1,3,4,08:59 AM,07:25 PM,07:48 AM,05:50 PM,8,9,10,9,17,52,85,0.2,1023,15,10,222,10,"Portugal,+Vila+Franca+de+Xira"
2020-01-27,15,11,0.0,3.8,3,11,09:32 AM,08:24 PM,07:47 AM,05:51 PM,11,12,13,12,32,83,89,1.7,1023,15,10,217,20,"Portugal,+Vila+Franca+de+Xira"
2020-01-28,16,13,0.0,3.8,3,18,10:00 AM,09:22 PM,07:46 AM,05:52 PM,13,13,14,13,24,86,92,6.5,1024,16,9,215,15,"Portugal,+Vila+Franca+de+Xira"
2020-01-29,15,12,0.0,3.8,3,26,10:26 AM,10:19 PM,07:46 AM,05:53 PM,12,13,13,13,21,85,90,0.0,1023,15,6,191,13,"Portugal,+Vila+Franca+de+Xira"
2020-01-30,14,11,0.0,3.8,3,33,10:51 AM,11:16 PM,07:45 AM,05:54 PM,12,13,13,13,18,90,90,0.3,1024,14,9,190,11,"Portugal,+Vila+Franca+de+Xira"
2020-01-31,17,14,0.0,3.8,4,37,11:16 AM,No moonset,07:44 AM,05:55 PM,13,14,15,14,21,88,91,1.5,1024,17,8,203,13,"Portugal,+Vila+Franca+de+Xira"
2020-02-01,19,13,0.0,5.4,4,49,11:42 AM,12:13 AM,07:43 AM,05:57 PM,14,16,16,16,15,64,90,0.1,1025,19,6,202,10,"Portugal,+Vila+Franca+de+Xira"
2020-02-02,19,11,0.0,8.7,3,57,12:10 PM,01:11 AM,07:42 AM,05:58 PM,11,14,14,14,10,18,84,0.0,1027,19,6,147,6,"Portugal,+Vila+Franca+de+Xira"
2020-02-03,20,11,0.0,8.7,4,64,12:42 PM,02:11 AM,07:41 AM,05:59 PM,11,14,14,14,10,6,83,0.0,1028,20,8,97,5,"Portugal,+Vila+Franca+de+Xira"
2020-02-04,21,11,0.0,10.6,5,72,01:21 PM,03:13 AM,07:40 AM,06:00 PM,10,15,15,15,10,0,76,0.0,1029,21,10,112,6,"Portugal,+Vila+Franca+de+Xira"
2020-02-05,19,10,0.0,10.6,4,79,02:06 PM,04:16 AM,07:39 AM,06:01 PM,9,12,13,12,16,0,79,0.0,1024,19,10,77,9,"Portugal,+Vila+Franca+de+Xira"
2020-02-06,17,9,0.0,10.0,3,87,03:00 PM,05:18 AM,07:38 AM,06:02 PM,10,12,13,12,16,62,87,0.0,1020,17,8,126,10,"Portugal,+Vila+Franca+de+Xira"
2020-02-07,17,10,0.0,6.9,3,95,04:03 PM,06:16 AM,07:37 AM,06:03 PM,11,12,13,12,10,59,88,0.3,1022,17,7,173,6,"Portugal,+Vila+Franca+de+Xira"
2020-02-08,15,9,0.0,8.5,3,100,05:13 PM,07:09 AM,07:36 AM,06:05 PM,10,11,12,11,21,68,84,1.3,1025,15,7,299,13,"Portugal,+Vila+Franca+de+Xira"
2020-02-09,15,8,0.0,10.7,4,100,06:26 PM,07:56 AM,07:35 AM,06:06 PM,7,10,10,10,8,24,80,0.0,1030,15,10,284,4,"Portugal,+Vila+Franca+de+Xira"
2020-02-10,17,10,0.0,8.5,3,83,07:42 PM,08:36 AM,07:34 AM,06:07 PM,11,13,13,13,9,43,87,0.1,1032,17,10,242,5,"Portugal,+Vila+Franca+de+Xira"
2020-02-11,17,11,0.0,8.5,3,75,08:56 PM,09:13 AM,07:33 AM,06:08 PM,11,13,13,13,13,42,86,0.0,1028,17,10,313,8,"Portugal,+Vila+Franca+de+Xira"
2020-02-12,17,11,0.0,6.9,3,68,10:08 PM,09:46 AM,07:32 AM,06:09 PM,11,13,13,13,12,64,87,1.5,1024,17,9,260,7,"Portugal,+Vila+Franca+de+Xira"
2020-02-13,18,11,0.0,8.5,3,60,11:20 PM,10:18 AM,07:31 AM,06:10 PM,11,13,13,13,12,49,87,0.4,1024,18,7,265,7,"Portugal,+Vila+Franca+de+Xira"
2020-02-14,18,9,0.0,10.8,4,53,No moonrise,10:50 AM,07:30 AM,06:11 PM,9,12,12,12,8,16,82,0.0,1026,18,10,108,5,"Portugal,+Vila+Franca+de+Xira"
2020-02-15,18,9,0.0,10.8,4,45,12:30 AM,11:24 AM,07:28 AM,06:12 PM,9,13,13,13,7,3,78,0.0,1026,18,10,246,4,"Portugal,+Vila+Franca+de+Xira"
2020-02-16,19,10,0.0,10.9,4,38,01:39 AM,12:01 PM,07:27 AM,06:14 PM,11,13,13,13,14,23,85,0.0,1027,19,9,202,9,"Portugal,+Vila+Franca+de+Xira"
2020-02-17,15,10,0.0,7.0,3,30,02:45 AM,12:43 PM,07:26 AM,06:15 PM,10,12,13,12,25,59,83,0.1,1029,15,8,297,15,"Portugal,+Vila+Franca+de+Xira"
2020-02-18,13,8,0.0,10.9,4,22,03:49 AM,01:30 PM,07:25 AM,06:16 PM,6,7,10,7,36,2,74,0.0,1031,13,10,347,23,"Portugal,+Vila+Franca+de+Xira"
2020-02-19,18,6,0.0,10.9,4,15,04:46 AM,02:22 PM,07:23 AM,06:17 PM,6,10,11,10,16,3,70,0.0,1029,18,10,110,9,"Portugal,+Vila+Franca+de+Xira"
2020-02-20,17,7,0.0,11.0,4,7,05:37 AM,03:18 PM,07:22 AM,06:18 PM,6,10,11,10,17,7,76,0.0,1023,17,10,101,10,"Portugal,+Vila+Franca+de+Xira"
2020-02-21,20,9,0.0,11.0,4,0,06:21 AM,04:16 PM,07:21 AM,06:19 PM,8,12,13,12,20,2,72,0.0,1026,20,10,119,11,"Portugal,+Vila+Franca+de+Xira"
2020-02-22,20,9,0.0,11.0,4,0,06:59 AM,05:16 PM,07:19 AM,06:20 PM,7,13,14,13,16,11,65,0.0,1029,20,10,28,9,"Portugal,+Vila+Franca+de+Xira"
2020-02-23,21,9,0.0,11.0,5,0,07:33 AM,06:15 PM,07:18 AM,06:21 PM,7,13,14,13,16,6,66,0.0,1030,21,10,33,9,"Portugal,+Vila+Franca+de+Xira"
