date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,17,12,0.0,3.5,4,37,12:12 PM,11:48 PM,08:06 AM,05:37 PM,12,14,15,14,47,83,83,15.0,1017,17,9,234,31,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-02,14,13,0.0,3.5,3,44,12:37 PM,No moonset,08:06 AM,05:38 PM,7,13,13,13,17,59,67,1.0,1026,14,10,271,11,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-03,16,9,0.0,8.7,4,51,01:03 PM,12:45 AM,08:07 AM,05:39 PM,10,13,14,13,26,23,74,0.2,1028,16,10,161,18,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-04,18,14,0.0,5.2,4,59,01:29 PM,01:42 AM,08:07 AM,05:40 PM,14,16,16,16,39,71,85,0.4,1027,18,10,183,26,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-05,18,12,0.0,5.2,4,66,01:56 PM,02:40 AM,08:07 AM,05:41 PM,14,16,17,16,55,67,85,1.5,1023,18,10,208,36,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-06,18,11,0.0,8.7,4,73,02:27 PM,03:41 AM,08:07 AM,05:42 PM,16,16,17,16,42,52,91,0.3,1024,18,10,222,26,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-07,18,13,0.0,8.7,5,80,03:03 PM,04:42 AM,08:07 AM,05:42 PM,15,17,17,17,40,31,87,0.2,1027,18,10,220,25,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-08,17,14,0.0,8.7,4,88,03:46 PM,05:46 AM,08:07 AM,05:43 PM,14,16,16,16,32,34,87,2.0,1030,17,9,277,20,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-09,15,13,0.0,7.0,3,95,04:36 PM,06:50 AM,08:06 AM,05:44 PM,12,14,15,14,23,30,85,0.2,1034,15,10,199,15,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-10,17,10,0.0,7.0,4,100,05:36 PM,07:51 AM,08:06 AM,05:45 PM,14,16,16,16,54,66,85,1.2,1027,17,10,214,36,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-11,14,11,0.0,5.3,3,100,06:42 PM,08:47 AM,08:06 AM,05:46 PM,8,11,13,11,35,70,70,2.0,1030,14,10,305,24,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-12,12,10,0.0,7.0,3,83,07:53 PM,09:36 AM,08:06 AM,05:47 PM,4,10,11,10,19,61,63,0.4,1033,12,10,292,13,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-13,17,8,0.0,5.3,4,76,09:06 PM,10:18 AM,08:06 AM,05:48 PM,12,14,15,14,37,50,80,1.1,1020,17,10,245,25,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-14,15,11,0.0,5.3,3,69,10:17 PM,10:55 AM,08:05 AM,05:49 PM,9,12,13,12,43,72,73,4.5,1010,15,10,288,30,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-15,14,11,0.0,3.5,3,61,11:28 PM,11:29 AM,08:05 AM,05:50 PM,8,10,13,10,40,74,71,4.2,1011,14,10,257,28,"Portugal,+Vila+da+Praia+da+Vitoria"
2020-01-16,13,11,0.0,3.5,3,54,No moonrise,12:00 PM,08:05 AM,05:51 PM,6,10,12,10,25,87,68,0.8,1019,13,10,237,17,"Portugal,+Vila+da+Praia+da+Vitoria"
