date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,6,0.0,9.7,3,26,04:18 AM,03:18 PM,08:48 AM,06:18 PM,1,9,9,9,11,32,59,0.0,1031,16,10,44,6,Alandroal
2019-01-02,15,5,0.0,9.7,4,19,05:20 AM,03:54 PM,08:48 AM,06:19 PM,2,8,9,8,11,2,65,0.0,1030,15,10,294,6,Alandroal
2019-01-03,13,4,0.0,9.7,3,11,06:20 AM,04:32 PM,08:48 AM,06:20 PM,3,6,7,6,13,0,75,0.0,1027,13,10,126,7,Alandroal
2019-01-04,14,6,0.0,9.7,3,4,07:18 AM,05:16 PM,08:48 AM,06:21 PM,5,7,8,7,15,32,80,0.0,1030,14,10,74,8,Alandroal
2019-01-05,14,4,0.0,9.7,3,0,08:12 AM,06:03 PM,08:48 AM,06:22 PM,1,6,8,6,16,1,66,0.0,1033,14,10,57,9,Alandroal
2019-01-06,15,4,0.0,9.8,3,0,09:02 AM,06:54 PM,08:48 AM,06:23 PM,-1,6,8,6,13,0,55,0.0,1031,15,10,31,7,Alandroal
2019-01-07,15,4,0.0,9.8,3,3,09:46 AM,07:49 PM,08:48 AM,06:24 PM,-2,6,8,6,16,0,52,0.0,1029,15,10,41,9,Alandroal
2019-01-08,15,4,0.0,9.8,3,10,10:25 AM,08:44 PM,08:48 AM,06:25 PM,-1,7,8,7,17,1,54,0.0,1029,15,10,57,9,Alandroal
2019-01-09,16,5,0.0,9.8,4,18,11:00 AM,09:41 PM,08:48 AM,06:25 PM,3,8,9,8,13,3,66,0.0,1023,16,10,35,7,Alandroal
2019-01-10,15,6,0.0,9.8,3,25,11:32 AM,10:37 PM,08:47 AM,06:26 PM,4,7,9,7,20,1,75,0.0,1019,15,10,64,11,Alandroal
2019-01-11,11,4,0.0,9.8,3,32,12:01 PM,11:34 PM,08:47 AM,06:27 PM,-3,3,6,3,24,0,50,0.0,1025,11,10,65,13,Alandroal
2019-01-12,12,3,0.0,9.8,3,39,12:29 PM,No moonset,08:47 AM,06:28 PM,-2,4,6,4,24,1,57,0.0,1029,12,10,58,14,Alandroal
2019-01-13,14,3,0.0,9.8,3,47,12:57 PM,12:31 AM,08:47 AM,06:30 PM,1,5,7,5,18,0,69,0.0,1029,14,10,53,10,Alandroal
2019-01-14,15,3,0.0,9.8,3,54,01:25 PM,01:30 AM,08:47 AM,06:31 PM,2,7,8,7,10,6,66,0.0,1024,15,10,194,5,Alandroal
2019-01-15,13,6,0.0,6.6,2,61,01:56 PM,02:30 AM,08:46 AM,06:32 PM,3,8,8,8,7,54,72,0.0,1021,13,10,173,4,Alandroal
2019-01-16,13,4,0.0,4.9,2,69,02:30 PM,03:33 AM,08:46 AM,06:33 PM,5,7,8,7,8,64,85,0.5,1020,13,10,189,4,Alandroal
2019-01-17,13,6,0.0,8.3,2,76,03:11 PM,04:38 AM,08:45 AM,06:34 PM,6,7,8,7,13,59,87,0.1,1020,13,7,264,8,Alandroal
2019-01-18,12,3,0.0,9.9,2,83,03:58 PM,05:46 AM,08:45 AM,06:35 PM,3,6,7,6,14,32,78,2.7,1022,12,9,192,8,Alandroal
2019-01-19,14,8,0.0,5.0,3,90,04:54 PM,06:53 AM,08:45 AM,06:36 PM,9,9,10,9,19,98,95,6.8,1017,14,6,247,12,Alandroal
2019-01-20,14,7,0.0,9.9,4,98,05:59 PM,07:57 AM,08:44 AM,06:37 PM,6,7,10,7,35,26,80,1.1,1017,14,10,322,22,Alandroal
