date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,8,0.0,8.7,4,26,03:26 AM,02:19 PM,07:58 AM,05:17 PM,2,10,10,10,11,18,58,0.0,1032,16,10,89,6,Albergaria-a-Velha
2019-01-02,18,7,0.0,8.7,4,19,04:28 AM,02:54 PM,07:58 AM,05:18 PM,5,10,11,10,8,8,69,0.0,1030,18,10,89,4,Albergaria-a-Velha
2019-01-03,17,5,0.0,8.7,4,11,05:30 AM,03:32 PM,07:58 AM,05:19 PM,3,8,9,8,15,0,65,0.0,1028,17,10,68,8,Albergaria-a-Velha
2019-01-04,16,5,0.0,8.7,4,4,06:28 AM,04:14 PM,07:58 AM,05:20 PM,1,8,9,8,13,5,59,0.0,1031,16,10,107,7,Albergaria-a-Velha
2019-01-05,18,5,0.0,8.7,4,0,07:23 AM,05:02 PM,07:58 AM,05:21 PM,-1,8,9,8,14,0,52,0.0,1034,18,10,62,7,Albergaria-a-Velha
2019-01-06,18,6,0.0,8.7,4,0,08:12 AM,05:53 PM,07:58 AM,05:22 PM,-1,8,9,8,15,0,49,0.0,1033,18,10,63,8,Albergaria-a-Velha
2019-01-07,17,5,0.0,8.7,4,3,08:56 AM,06:47 PM,07:58 AM,05:23 PM,-1,7,9,7,18,0,49,0.0,1031,17,10,69,9,Albergaria-a-Velha
2019-01-08,18,7,0.0,8.7,4,10,09:35 AM,07:44 PM,07:58 AM,05:24 PM,2,8,10,8,19,2,57,0.0,1030,18,10,71,11,Albergaria-a-Velha
2019-01-09,19,7,0.0,8.7,4,18,10:09 AM,08:41 PM,07:58 AM,05:25 PM,4,9,11,9,16,2,66,0.0,1024,19,10,63,9,Albergaria-a-Velha
2019-01-10,14,7,0.0,8.7,4,25,10:39 AM,09:39 PM,07:58 AM,05:26 PM,2,7,9,7,23,1,63,0.0,1021,14,10,77,15,Albergaria-a-Velha
2019-01-11,13,5,0.0,8.7,3,32,11:08 AM,10:37 PM,07:57 AM,05:27 PM,-1,5,8,5,21,0,55,0.0,1027,13,10,69,13,Albergaria-a-Velha
