date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,33,23,0.0,10.2,6,26,02:54 AM,03:20 PM,06:35 AM,06:50 PM,22,30,30,27,10,50,76,1.1,1011,33,9,66,6,Alenquer
2019-01-02,32,23,0.0,8.8,6,19,03:42 AM,04:09 PM,06:36 AM,06:50 PM,22,30,30,27,14,57,76,6.4,1012,32,9,64,9,Alenquer
2019-01-03,32,23,0.0,7.5,6,11,04:29 AM,04:59 PM,06:36 AM,06:50 PM,22,30,30,27,15,62,74,4.7,1011,32,10,45,10,Alenquer
2019-01-04,33,24,0.0,8.8,6,4,05:19 AM,05:49 PM,06:37 AM,06:51 PM,22,30,30,27,14,46,73,0.9,1012,33,10,52,9,Alenquer
2019-01-05,34,23,0.0,11.6,6,0,06:09 AM,06:39 PM,06:37 AM,06:51 PM,23,30,30,27,15,36,79,15.4,1012,34,9,42,9,Alenquer
2019-01-06,32,23,0.0,10.2,6,0,06:58 AM,07:28 PM,06:38 AM,06:52 PM,23,30,30,27,14,33,78,7.0,1012,32,9,32,9,Alenquer
2019-01-07,31,24,0.0,8.8,6,3,07:47 AM,08:15 PM,06:38 AM,06:52 PM,23,29,29,26,17,46,81,22.2,1012,31,8,54,11,Alenquer
2019-01-08,28,23,0.0,7.5,6,10,08:34 AM,09:01 PM,06:39 AM,06:53 PM,22,27,27,25,13,64,86,11.9,1012,28,8,71,9,Alenquer
2019-01-09,32,22,0.0,10.2,6,18,09:21 AM,09:46 PM,06:39 AM,06:53 PM,21,29,29,26,7,54,75,0.5,1011,32,8,67,5,Alenquer
2019-01-10,28,23,0.0,6.1,6,25,10:05 AM,10:28 PM,06:40 AM,06:53 PM,22,28,28,25,15,73,86,18.1,1011,28,9,44,9,Alenquer
2019-01-11,27,23,0.0,10.2,5,32,10:48 AM,11:10 PM,06:40 AM,06:54 PM,22,27,27,24,7,57,88,23.7,1013,27,9,72,5,Alenquer
2019-01-12,29,22,0.0,8.8,6,39,11:31 AM,11:52 PM,06:40 AM,06:54 PM,22,28,28,25,11,49,83,7.0,1013,29,6,63,7,Alenquer
2019-01-13,33,22,0.0,11.6,6,47,12:14 PM,No moonset,06:41 AM,06:54 PM,21,30,30,27,11,44,73,1.2,1012,33,10,62,7,Alenquer
2019-01-14,28,22,0.0,10.2,6,54,12:59 PM,12:34 AM,06:41 AM,06:55 PM,22,27,27,25,9,56,82,11.6,1013,28,10,93,5,Alenquer
2019-01-15,31,23,0.0,11.6,6,61,01:46 PM,01:19 AM,06:42 AM,06:55 PM,22,29,29,26,10,48,82,9.1,1013,31,8,68,6,Alenquer
2019-01-16,32,23,0.0,11.6,6,69,02:36 PM,02:06 AM,06:42 AM,06:55 PM,23,30,30,26,13,49,81,15.3,1013,32,9,69,7,Alenquer
2019-01-17,33,23,0.0,11.6,6,76,03:31 PM,02:57 AM,06:42 AM,06:56 PM,23,30,30,27,11,40,80,6.6,1013,33,9,75,7,Alenquer
2019-01-18,34,23,0.0,11.6,6,83,04:29 PM,03:53 AM,06:43 AM,06:56 PM,22,30,30,27,11,29,77,1.0,1012,34,9,64,7,Alenquer
2019-01-19,30,23,0.0,7.4,6,90,05:32 PM,04:53 AM,06:43 AM,06:56 PM,23,28,28,26,12,71,84,7.2,1012,30,10,40,7,Alenquer
2019-01-20,32,23,0.0,11.6,6,98,06:34 PM,05:56 AM,06:43 AM,06:56 PM,23,30,30,26,11,42,83,16.5,1012,32,8,60,6,Alenquer
2019-01-21,29,24,0.0,11.6,6,100,07:37 PM,06:59 AM,06:44 AM,06:57 PM,23,29,29,26,16,42,87,24.0,1012,29,8,49,10,Alenquer
2019-01-22,31,23,0.0,10.2,6,88,08:36 PM,08:01 AM,06:44 AM,06:57 PM,23,30,30,27,12,45,81,5.1,1013,31,7,43,8,Alenquer
2019-01-23,32,23,0.0,10.2,6,81,09:33 PM,09:00 AM,06:44 AM,06:57 PM,22,29,29,26,13,47,82,12.5,1013,32,9,54,8,Alenquer
2019-01-24,31,23,0.0,8.8,6,73,10:25 PM,09:56 AM,06:45 AM,06:57 PM,23,29,29,26,12,55,86,22.5,1012,31,8,27,8,Alenquer
2019-01-25,32,22,0.0,11.6,6,66,11:16 PM,10:49 AM,06:45 AM,06:58 PM,22,30,30,27,11,49,76,1.4,1012,32,8,53,7,Alenquer
2019-01-26,33,23,0.0,7.4,6,59,No moonrise,11:40 AM,06:45 AM,06:58 PM,21,30,30,27,7,67,71,0.5,1012,33,10,86,4,Alenquer
2019-01-27,31,22,0.0,11.6,6,51,12:04 AM,12:29 PM,06:46 AM,06:58 PM,22,29,29,26,12,37,82,15.6,1012,31,8,77,7,Alenquer
2019-01-28,33,24,0.0,8.8,6,44,12:52 AM,01:18 PM,06:46 AM,06:58 PM,21,30,30,28,13,44,70,0.0,1011,33,10,62,9,Alenquer
2019-01-29,34,23,0.0,7.4,6,37,01:40 AM,02:07 PM,06:46 AM,06:58 PM,22,30,30,27,14,58,76,2.4,1011,34,9,53,9,Alenquer
2019-01-30,33,23,0.0,8.8,6,30,02:27 AM,02:56 PM,06:46 AM,06:58 PM,23,31,31,27,15,61,79,13.9,1011,33,9,76,9,Alenquer
2019-01-31,33,24,0.0,6.1,6,26,03:16 AM,03:46 PM,06:46 AM,06:58 PM,23,30,30,27,12,73,80,2.1,1011,33,10,56,8,Alenquer
2019-02-01,33,24,0.0,8.8,6,8,04:05 AM,04:35 PM,06:47 AM,06:59 PM,22,31,31,27,13,60,76,0.8,1011,33,10,57,8,Alenquer
2019-02-02,33,24,0.0,8.8,6,1,04:55 AM,05:25 PM,06:47 AM,06:59 PM,22,31,31,27,12,64,75,4.1,1012,33,10,79,8,Alenquer
2019-02-03,32,23,0.0,10.2,6,0,05:44 AM,06:12 PM,06:47 AM,06:59 PM,22,30,30,27,9,51,78,3.1,1011,32,10,45,6,Alenquer
2019-02-04,33,23,0.0,8.8,6,0,06:31 AM,06:59 PM,06:47 AM,06:59 PM,22,30,30,27,12,49,75,1.9,1011,33,10,55,8,Alenquer
2019-02-05,35,23,0.0,11.6,6,0,07:18 AM,07:44 PM,06:47 AM,06:59 PM,22,31,31,28,12,43,72,5.3,1011,35,9,50,8,Alenquer
2019-02-06,34,24,0.0,8.8,6,7,08:03 AM,08:26 PM,06:47 AM,06:59 PM,21,31,31,28,14,51,69,0.7,1010,34,10,53,9,Alenquer
2019-02-07,32,23,0.0,11.6,6,14,08:46 AM,09:09 PM,06:47 AM,06:59 PM,23,30,30,27,13,48,78,15.1,1010,32,9,45,8,Alenquer
2019-02-08,30,23,0.0,8.8,6,22,09:29 AM,09:50 PM,06:48 AM,06:59 PM,23,29,29,26,16,57,87,29.6,1010,30,8,46,10,Alenquer
2019-02-09,31,23,0.0,7.4,6,29,10:12 AM,10:32 PM,06:48 AM,06:59 PM,23,30,30,26,12,60,85,17.5,1010,31,7,68,8,Alenquer
2019-02-10,28,23,0.0,7.4,6,37,10:55 AM,11:15 PM,06:48 AM,06:59 PM,24,29,29,25,11,57,90,34.3,1010,28,8,59,7,Alenquer
2019-02-11,30,23,0.0,11.6,6,44,11:40 AM,11:59 PM,06:48 AM,06:59 PM,24,30,30,26,14,39,86,32.5,1010,30,8,58,8,Alenquer
2019-02-12,32,24,0.0,11.6,6,52,12:27 PM,No moonset,06:48 AM,06:59 PM,24,31,31,27,14,34,86,31.0,1011,32,7,47,8,Alenquer
2019-02-13,27,24,0.0,8.8,6,60,01:19 PM,12:47 AM,06:48 AM,06:59 PM,24,28,28,25,9,70,91,30.7,1012,27,8,84,5,Alenquer
2019-02-14,30,23,0.0,10.2,6,67,02:13 PM,01:39 AM,06:48 AM,06:58 PM,23,30,30,26,14,59,85,21.5,1012,30,9,51,8,Alenquer
2019-02-15,30,24,0.0,11.6,6,75,03:11 PM,02:34 AM,06:48 AM,06:58 PM,23,29,29,26,10,54,84,17.9,1013,30,9,42,6,Alenquer
2019-02-16,31,24,0.0,10.2,6,82,04:12 PM,03:34 AM,06:48 AM,06:58 PM,21,29,29,27,11,38,72,0.0,1012,31,10,57,7,Alenquer
2019-02-17,32,23,0.0,8.8,6,90,05:15 PM,04:36 AM,06:48 AM,06:58 PM,21,30,30,27,10,57,70,0.4,1012,32,10,83,6,Alenquer
2019-02-18,29,24,0.0,10.2,6,97,06:16 PM,05:39 AM,06:48 AM,06:58 PM,23,29,29,26,13,55,86,26.3,1013,29,8,53,7,Alenquer
2019-02-19,29,23,0.0,8.8,6,100,07:15 PM,06:40 AM,06:48 AM,06:58 PM,24,29,29,25,14,66,91,21.9,1012,29,8,80,9,Alenquer
2019-02-20,30,23,0.0,10.2,6,88,08:10 PM,07:39 AM,06:48 AM,06:58 PM,23,30,30,26,12,56,86,17.3,1011,30,8,54,7,Alenquer
