date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,13,2,0.0,9.5,3,26,04:21 AM,03:10 PM,08:57 AM,06:05 PM,-3,6,7,6,7,2,52,0.0,1033,13,10,216,4,Alijo
2019-01-02,14,2,0.0,9.5,3,19,05:26 AM,03:44 PM,08:57 AM,06:06 PM,-2,7,7,7,5,3,55,0.0,1033,14,10,117,3,Alijo
2019-01-03,10,-1,0.0,9.5,3,11,06:27 AM,04:21 PM,08:57 AM,06:07 PM,-9,2,4,2,15,7,39,0.0,1030,10,10,119,8,Alijo
2019-01-04,12,-2,0.0,9.5,3,4,07:27 AM,05:03 PM,08:57 AM,06:08 PM,-13,3,4,3,12,2,27,0.0,1032,12,10,122,6,Alijo
2019-01-05,16,3,0.0,9.5,4,0,08:21 AM,05:50 PM,08:57 AM,06:09 PM,-9,8,8,8,5,0,30,0.0,1035,16,10,198,3,Alijo
2019-01-06,11,0,0.0,9.5,3,0,09:11 AM,06:41 PM,08:57 AM,06:10 PM,-11,4,5,4,6,1,33,0.0,1035,11,10,110,3,Alijo
2019-01-07,11,-1,0.0,9.5,3,3,09:55 AM,07:37 PM,08:57 AM,06:11 PM,-11,4,4,4,5,2,34,0.0,1034,11,10,110,3,Alijo
2019-01-08,12,-1,0.0,9.6,3,10,10:32 AM,08:33 PM,08:57 AM,06:12 PM,-4,5,6,5,8,5,51,0.0,1033,12,10,173,4,Alijo
2019-01-09,10,-2,0.0,9.6,3,18,11:06 AM,09:32 PM,08:57 AM,06:13 PM,0,4,4,4,8,6,77,0.0,1028,10,10,166,5,Alijo
2019-01-10,8,-3,0.0,9.6,2,25,11:36 AM,10:30 PM,08:56 AM,06:14 PM,-4,-0,2,-0,9,2,68,0.0,1026,8,10,109,5,Alijo
2019-01-11,10,-3,0.0,9.6,3,32,12:03 PM,11:29 PM,08:56 AM,06:15 PM,-3,1,3,1,8,5,68,0.0,1031,10,10,105,5,Alijo
2019-01-12,11,-2,0.0,9.6,3,39,12:29 PM,No moonset,08:56 AM,06:16 PM,-2,2,3,2,6,4,72,0.0,1034,11,10,165,3,Alijo
2019-01-13,9,-3,0.0,9.6,2,47,12:55 PM,12:28 AM,08:55 AM,06:17 PM,-4,2,2,2,4,4,65,0.0,1032,9,10,223,2,Alijo
2019-01-14,9,-2,0.0,9.6,3,54,01:21 PM,01:30 AM,08:55 AM,06:19 PM,-2,3,3,3,3,9,69,0.0,1027,9,10,170,2,Alijo
2019-01-15,13,-1,0.0,4.8,2,61,01:50 PM,02:32 AM,08:55 AM,06:20 PM,-1,5,5,5,8,68,64,0.0,1022,13,10,178,4,Alijo
2019-01-16,8,-1,0.0,9.7,1,69,02:22 PM,03:37 AM,08:54 AM,06:21 PM,-1,2,3,2,8,66,76,0.0,1018,8,9,248,5,Alijo
