date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,18,6,0.0,8.7,4,26,02:17 AM,02:30 PM,06:02 AM,05:53 PM,7,9,10,9,16,38,81,0.0,1013,18,7,148,11,Almeida
2019-01-02,17,6,0.0,8.7,3,19,03:06 AM,03:17 PM,06:02 AM,05:53 PM,7,9,10,9,17,41,81,0.2,1013,17,8,148,12,Almeida
2019-01-03,13,7,0.0,7.2,3,11,03:56 AM,04:05 PM,06:03 AM,05:54 PM,8,8,10,8,13,54,88,1.3,1014,13,6,149,9,Almeida
2019-01-04,17,7,0.0,8.7,4,4,04:47 AM,04:55 PM,06:03 AM,05:54 PM,8,10,11,10,14,36,82,0.3,1015,17,7,145,9,Almeida
2019-01-05,17,8,0.0,8.7,3,0,05:37 AM,05:45 PM,06:03 AM,05:54 PM,8,11,12,11,11,38,83,0.6,1014,17,7,143,7,Almeida
2019-01-06,17,8,0.0,8.7,3,0,06:26 AM,06:34 PM,06:04 AM,05:55 PM,9,11,11,11,8,42,86,1.0,1014,17,5,150,6,Almeida
2019-01-07,16,8,0.0,7.2,3,3,07:15 AM,07:23 PM,06:04 AM,05:55 PM,10,12,12,12,5,57,89,18.2,1014,16,6,198,3,Almeida
2019-01-08,18,9,0.0,8.7,3,10,08:01 AM,08:10 PM,06:05 AM,05:56 PM,9,12,12,12,7,60,85,3.7,1015,18,7,295,5,Almeida
2019-01-09,15,8,0.0,8.7,3,18,08:45 AM,08:55 PM,06:05 AM,05:56 PM,9,11,11,11,7,65,89,12.2,1015,15,6,334,5,Almeida
2019-01-10,15,8,0.0,8.7,3,25,09:28 AM,09:40 PM,06:05 AM,05:57 PM,9,10,11,10,9,65,89,4.8,1014,15,7,338,7,Almeida
2019-01-11,14,7,0.0,7.2,3,32,10:08 AM,10:24 PM,06:06 AM,05:57 PM,9,11,11,11,3,61,89,13.2,1015,14,6,160,2,Almeida
2019-01-12,13,9,0.0,7.2,3,39,10:49 AM,11:08 PM,06:06 AM,05:58 PM,10,11,11,11,6,70,93,4.5,1015,13,7,164,4,Almeida
2019-01-13,14,8,0.0,8.7,3,47,11:31 AM,11:53 PM,06:06 AM,05:58 PM,9,11,11,11,6,62,90,7.9,1015,14,7,149,5,Almeida
2019-01-14,15,8,0.0,8.7,3,54,12:13 PM,No moonset,06:07 AM,05:59 PM,9,10,11,10,9,53,87,4.8,1015,15,6,145,7,Almeida
2019-01-15,17,7,0.0,8.7,3,61,12:58 PM,12:40 AM,06:07 AM,05:59 PM,8,10,11,10,12,38,83,0.5,1014,17,7,147,8,Almeida
