date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,31,23,0.0,10.2,6,26,02:45 AM,03:11 PM,06:27 AM,06:40 PM,23,30,30,26,11,46,83,11.1,1011,31,9,66,7,Almeirim
2019-01-02,31,24,0.0,11.6,6,19,03:33 AM,04:00 PM,06:28 AM,06:40 PM,24,30,30,26,13,40,86,10.2,1012,31,9,57,9,Almeirim
2019-01-03,31,24,0.0,10.2,6,11,04:21 AM,04:49 PM,06:28 AM,06:41 PM,23,30,30,27,17,39,83,12.7,1011,31,8,43,11,Almeirim
2019-01-04,32,24,0.0,10.2,6,4,05:11 AM,05:39 PM,06:29 AM,06:41 PM,23,30,30,27,15,53,82,1.3,1011,32,10,41,10,Almeirim
2019-01-05,33,24,0.0,10.2,6,0,06:00 AM,06:29 PM,06:29 AM,06:42 PM,24,31,31,27,15,44,81,2.8,1011,33,10,36,9,Almeirim
2019-01-06,30,23,0.0,10.2,6,0,06:50 AM,07:18 PM,06:30 AM,06:42 PM,24,30,30,26,11,43,86,19.6,1011,30,8,57,7,Almeirim
2019-01-07,30,24,0.0,8.8,6,3,07:39 AM,08:06 PM,06:30 AM,06:43 PM,23,29,29,26,17,71,84,32.8,1012,30,7,61,10,Almeirim
2019-01-08,31,23,0.0,8.8,6,10,08:26 AM,08:52 PM,06:30 AM,06:43 PM,22,29,29,26,12,69,81,1.1,1012,31,10,71,8,Almeirim
2019-01-09,31,23,0.0,11.6,6,18,09:12 AM,09:36 PM,06:31 AM,06:43 PM,23,29,29,26,9,53,84,6.0,1010,31,7,38,6,Almeirim
2019-01-10,28,23,0.0,11.6,6,25,09:56 AM,10:19 PM,06:31 AM,06:44 PM,23,28,28,25,18,50,88,79.3,1011,28,5,39,9,Almeirim
2019-01-11,26,23,0.0,10.2,5,32,10:39 AM,11:01 PM,06:32 AM,06:44 PM,22,27,27,24,7,56,90,36.7,1013,26,8,121,4,Almeirim
2019-01-12,30,23,0.0,10.2,6,39,11:22 AM,11:43 PM,06:32 AM,06:45 PM,22,29,29,26,12,56,81,8.8,1012,30,8,62,8,Almeirim
2019-01-13,30,23,0.0,10.2,6,47,12:05 PM,No moonset,06:33 AM,06:45 PM,23,30,30,26,13,35,82,4.2,1011,30,8,38,8,Almeirim
2019-01-14,28,23,0.0,8.8,6,54,12:50 PM,12:25 AM,06:33 AM,06:45 PM,23,28,28,25,10,56,88,8.4,1013,28,8,42,6,Almeirim
2019-01-15,29,23,0.0,7.4,6,61,01:37 PM,01:10 AM,06:33 AM,06:46 PM,23,28,28,25,9,63,88,11.3,1013,29,8,67,5,Almeirim
2019-01-16,32,23,0.0,11.6,6,69,02:27 PM,01:57 AM,06:34 AM,06:46 PM,23,30,30,26,11,46,85,6.2,1013,32,7,76,7,Almeirim
