date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,31,21,0.0,11.9,6,26,02:17 AM,02:51 PM,05:57 AM,06:24 PM,22,29,29,25,8,60,85,9.7,1012,31,6,29,5,Amarante
2019-01-02,31,22,0.0,11.9,6,19,03:04 AM,03:41 PM,05:58 AM,06:24 PM,23,29,29,26,10,46,85,13.0,1013,31,8,129,5,Amarante
2019-01-03,32,22,0.0,12.7,6,11,03:52 AM,04:31 PM,05:58 AM,06:24 PM,23,29,29,26,11,24,82,11.1,1012,32,8,54,6,Amarante
2019-01-04,31,22,0.0,12.7,6,4,04:40 AM,05:22 PM,05:59 AM,06:25 PM,22,29,29,26,11,37,82,7.7,1012,31,8,37,6,Amarante
2019-01-05,31,22,0.0,12.7,6,0,05:30 AM,06:12 PM,05:59 AM,06:25 PM,23,29,29,26,8,43,85,20.5,1012,31,7,125,5,Amarante
2019-01-06,28,22,0.0,7.7,6,0,06:19 AM,07:01 PM,06:00 AM,06:26 PM,23,27,27,24,9,72,91,13.5,1012,28,7,91,5,Amarante
2019-01-07,29,22,0.0,11.8,6,3,07:09 AM,07:48 PM,06:00 AM,06:26 PM,22,27,27,24,9,59,89,18.9,1013,29,8,40,6,Amarante
2019-01-08,30,20,0.0,11.6,6,10,07:57 AM,08:33 PM,06:01 AM,06:26 PM,22,27,27,25,8,49,85,11.5,1013,30,6,114,5,Amarante
2019-01-09,29,21,0.0,11.6,6,18,08:43 AM,09:16 PM,06:01 AM,06:27 PM,22,27,27,24,9,53,90,15.3,1011,29,8,176,5,Amarante
2019-01-10,29,21,0.0,11.6,6,25,09:29 AM,09:58 PM,06:02 AM,06:27 PM,23,28,28,25,8,41,89,24.9,1011,29,8,142,4,Amarante
2019-01-11,29,22,0.0,11.6,6,32,10:13 AM,10:38 PM,06:02 AM,06:27 PM,22,28,28,25,8,44,87,10.1,1012,29,7,156,4,Amarante
2019-01-12,32,21,0.0,11.6,6,39,10:57 AM,11:19 PM,06:03 AM,06:28 PM,22,28,28,25,6,38,83,9.0,1012,32,7,199,4,Amarante
2019-01-13,31,21,0.0,8.9,6,47,11:42 AM,No moonset,06:03 AM,06:28 PM,22,28,28,25,6,62,87,23.9,1012,31,8,63,4,Amarante
2019-01-14,29,22,0.0,6.1,6,54,12:27 PM,12:00 AM,06:04 AM,06:28 PM,23,28,28,24,8,81,92,51.9,1013,29,6,161,5,Amarante
2019-01-15,30,22,0.0,10.2,6,61,01:16 PM,12:43 AM,06:04 AM,06:28 PM,23,28,28,25,5,52,89,16.7,1014,30,7,171,3,Amarante
2019-01-16,30,22,0.0,8.9,6,69,02:07 PM,01:30 AM,06:04 AM,06:29 PM,23,28,28,25,5,49,88,7.7,1014,30,8,128,3,Amarante
2019-01-17,31,21,0.0,11.6,6,76,03:03 PM,02:19 AM,06:05 AM,06:29 PM,23,29,29,26,7,33,84,9.1,1013,31,6,42,4,Amarante
2019-01-18,30,22,0.0,11.6,6,83,04:02 PM,03:14 AM,06:05 AM,06:29 PM,23,29,29,25,9,34,88,13.8,1012,30,9,40,5,Amarante
2019-01-19,32,22,0.0,11.6,6,90,05:04 PM,04:13 AM,06:06 AM,06:29 PM,23,29,29,26,9,39,85,5.6,1012,32,7,34,6,Amarante
2019-01-20,31,21,0.0,10.2,6,98,06:07 PM,05:16 AM,06:06 AM,06:30 PM,23,29,29,25,8,47,86,4.3,1012,31,8,43,5,Amarante
2019-01-21,31,22,0.0,10.2,6,100,07:09 PM,06:20 AM,06:06 AM,06:30 PM,23,29,29,26,10,46,86,22.2,1012,31,8,60,5,Amarante
