date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,11,0.0,8.7,4,26,03:27 AM,02:19 PM,08:00 AM,05:16 PM,3,13,13,13,7,8,51,0.0,1032,16,10,179,5,Area+Metropolitana+do+Porto
2019-01-02,19,10,0.0,8.7,4,19,04:30 AM,02:53 PM,08:00 AM,05:17 PM,6,13,13,13,5,12,64,0.0,1031,19,10,142,3,Area+Metropolitana+do+Porto
2019-01-03,18,10,0.0,8.7,4,11,05:32 AM,03:31 PM,08:00 AM,05:18 PM,4,13,13,13,7,0,54,0.0,1028,18,10,77,6,Area+Metropolitana+do+Porto
2019-01-04,15,9,0.0,8.7,4,4,06:30 AM,04:14 PM,08:00 AM,05:19 PM,1,11,12,11,8,4,47,0.0,1031,15,10,156,6,Area+Metropolitana+do+Porto
2019-01-05,18,10,0.0,8.7,4,0,07:25 AM,05:01 PM,08:00 AM,05:20 PM,0,13,13,13,7,0,42,0.0,1034,18,10,149,6,Area+Metropolitana+do+Porto
2019-01-06,20,11,0.0,8.7,4,0,08:14 AM,05:52 PM,08:00 AM,05:21 PM,1,13,14,13,7,0,41,0.0,1033,20,10,111,6,Area+Metropolitana+do+Porto
2019-01-07,20,10,0.0,8.7,4,3,08:58 AM,06:47 PM,08:00 AM,05:22 PM,1,13,14,13,9,0,41,0.0,1031,20,10,70,7,Area+Metropolitana+do+Porto
2019-01-08,20,10,0.0,8.7,4,10,09:37 AM,07:44 PM,08:00 AM,05:23 PM,3,13,13,13,10,2,50,0.0,1030,20,10,107,7,Area+Metropolitana+do+Porto
2019-01-09,19,10,0.0,8.7,4,18,10:10 AM,08:41 PM,08:00 AM,05:24 PM,5,14,14,14,9,1,56,0.0,1025,19,10,107,7,Area+Metropolitana+do+Porto
2019-01-10,15,9,0.0,8.7,4,25,10:41 AM,09:39 PM,08:00 AM,05:25 PM,5,11,12,11,15,1,62,0.0,1022,15,10,83,12,Area+Metropolitana+do+Porto
2019-01-11,16,7,0.0,8.7,4,32,11:09 AM,10:37 PM,07:59 AM,05:26 PM,2,10,11,10,12,1,53,0.0,1028,16,10,70,10,Area+Metropolitana+do+Porto
2019-01-12,15,9,0.0,8.7,4,39,11:36 AM,11:36 PM,07:59 AM,05:27 PM,4,11,12,11,9,1,62,0.0,1031,15,10,59,8,Area+Metropolitana+do+Porto
2019-01-13,15,8,0.0,8.7,4,47,12:02 PM,No moonset,07:59 AM,05:28 PM,5,11,12,11,8,2,62,0.0,1030,15,10,141,7,Area+Metropolitana+do+Porto
2019-01-14,15,9,0.0,8.7,4,54,12:28 PM,12:36 AM,07:58 AM,05:29 PM,3,11,11,11,7,20,57,0.0,1025,15,10,170,5,Area+Metropolitana+do+Porto
2019-01-15,14,10,0.0,5.3,3,61,12:58 PM,01:38 AM,07:58 AM,05:30 PM,4,11,11,11,9,53,63,0.0,1021,14,10,155,6,Area+Metropolitana+do+Porto
