date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,27,24,0.0,8.7,6,26,02:32 AM,02:34 PM,06:23 AM,05:55 PM,20,27,27,25,25,24,74,2.1,1015,27,10,61,17,Arouca
2019-01-02,27,23,0.0,8.7,6,19,03:23 AM,03:20 PM,06:24 AM,05:55 PM,21,27,27,25,23,36,79,2.0,1015,27,10,71,15,Arouca
2019-01-03,28,24,0.0,8.7,7,11,04:14 AM,04:07 PM,06:24 AM,05:56 PM,21,28,28,25,24,25,77,0.5,1015,28,10,75,16,Arouca
2019-01-04,28,24,0.0,8.7,7,4,05:06 AM,04:56 PM,06:24 AM,05:56 PM,21,28,28,25,22,25,76,0.2,1016,28,10,76,14,Arouca
2019-01-05,28,24,0.0,8.7,6,0,05:57 AM,05:45 PM,06:25 AM,05:57 PM,20,27,27,25,20,30,74,0.2,1016,28,10,84,13,Arouca
2019-01-06,28,23,0.0,8.7,7,0,06:46 AM,06:35 PM,06:25 AM,05:57 PM,21,27,27,25,20,12,75,0.0,1015,28,10,89,13,Arouca
2019-01-07,27,24,0.0,8.7,7,3,07:34 AM,07:25 PM,06:25 AM,05:58 PM,21,28,28,25,23,25,77,0.0,1015,27,10,76,15,Arouca
2019-01-08,27,24,0.0,8.7,6,10,08:19 AM,08:13 PM,06:26 AM,05:58 PM,21,27,27,25,20,24,78,0.9,1015,27,10,67,13,Arouca
2019-01-09,27,23,0.0,8.7,7,18,09:02 AM,09:00 PM,06:26 AM,05:59 PM,20,27,27,25,17,20,76,0.2,1014,27,10,80,11,Arouca
2019-01-10,28,24,0.0,8.7,7,25,09:43 AM,09:47 PM,06:26 AM,05:59 PM,21,27,27,25,18,18,75,0.4,1014,28,10,91,12,Arouca
2019-01-11,28,24,0.0,11.6,6,32,10:22 AM,10:32 PM,06:26 AM,06:00 PM,21,28,28,26,23,14,75,3.9,1015,28,10,104,14,Arouca
2019-01-12,28,24,0.0,11.6,7,39,11:01 AM,11:18 PM,06:27 AM,06:00 PM,21,27,27,26,20,15,75,0.0,1015,28,10,79,14,Arouca
2019-01-13,27,24,0.0,11.6,7,47,11:40 AM,No moonset,06:27 AM,06:01 PM,20,27,27,25,19,18,73,0.2,1015,27,10,60,13,Arouca
2019-01-14,27,23,0.0,11.6,7,54,12:20 PM,12:05 AM,06:27 AM,06:01 PM,20,27,27,25,17,6,73,0.1,1015,27,10,59,11,Arouca
2019-01-15,28,24,0.0,11.6,7,61,01:03 PM,12:54 AM,06:27 AM,06:02 PM,21,27,27,25,18,15,76,0.3,1015,28,10,72,12,Arouca
2019-01-16,28,24,0.0,11.6,7,69,01:50 PM,01:45 AM,06:28 AM,06:02 PM,21,28,28,26,21,29,77,0.5,1016,28,10,75,14,Arouca
2019-01-17,27,24,0.0,11.6,7,76,02:41 PM,02:40 AM,06:28 AM,06:03 PM,21,28,28,25,22,38,78,0.0,1016,27,10,73,15,Arouca
2019-01-18,28,24,0.0,11.6,7,83,03:37 PM,03:39 AM,06:28 AM,06:03 PM,21,28,28,26,21,7,74,0.2,1015,28,10,83,14,Arouca
2019-01-19,28,24,0.0,11.6,7,90,04:38 PM,04:40 AM,06:28 AM,06:04 PM,21,28,28,26,20,14,74,0.1,1015,28,10,77,13,Arouca
2019-01-20,28,24,0.0,11.6,6,98,05:42 PM,05:44 AM,06:28 AM,06:04 PM,21,28,28,26,21,31,76,0.6,1015,28,10,75,14,Arouca
