date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,15,9,0.0,8.7,4,26,03:26 AM,02:20 PM,07:58 AM,05:18 PM,3,11,12,11,12,20,56,0.0,1032,15,10,138,7,Aveiro
2019-01-02,18,9,0.0,8.7,4,19,04:29 AM,02:54 PM,07:59 AM,05:19 PM,6,12,12,12,8,6,69,0.0,1030,18,10,151,5,Aveiro
2019-01-03,17,8,0.0,8.7,4,11,05:30 AM,03:33 PM,07:59 AM,05:20 PM,4,10,11,10,13,0,62,0.0,1028,17,10,75,8,Aveiro
2019-01-04,16,8,0.0,8.7,4,4,06:28 AM,04:15 PM,07:59 AM,05:21 PM,2,10,11,10,15,3,57,0.0,1031,16,10,115,8,Aveiro
2019-01-05,18,8,0.0,8.7,4,0,07:23 AM,05:03 PM,07:59 AM,05:22 PM,1,10,11,10,15,1,50,0.0,1034,18,10,109,8,Aveiro
2019-01-06,18,9,0.0,8.7,4,0,08:12 AM,05:54 PM,07:59 AM,05:23 PM,1,11,12,11,13,0,48,0.0,1033,18,10,110,8,Aveiro
2019-01-07,18,8,0.0,8.7,4,3,08:56 AM,06:48 PM,07:59 AM,05:24 PM,1,10,12,10,17,0,48,0.0,1031,18,10,69,9,Aveiro
2019-01-08,19,8,0.0,8.7,4,10,09:35 AM,07:45 PM,07:58 AM,05:25 PM,3,10,11,10,18,2,56,0.0,1030,19,10,68,10,Aveiro
2019-01-09,18,10,0.0,8.7,4,18,10:09 AM,08:42 PM,07:58 AM,05:26 PM,5,12,12,12,16,2,63,0.0,1024,18,10,106,9,Aveiro
2019-01-10,14,9,0.0,8.7,4,25,10:40 AM,09:40 PM,07:58 AM,05:27 PM,3,8,11,8,23,1,62,0.0,1021,14,10,84,14,Aveiro
2019-01-11,14,7,0.0,8.7,4,32,11:08 AM,10:37 PM,07:58 AM,05:28 PM,0,7,9,7,20,1,54,0.0,1027,14,10,68,13,Aveiro
2019-01-12,15,7,0.0,8.7,4,39,11:35 AM,11:36 PM,07:58 AM,05:29 PM,4,8,10,8,15,1,67,0.0,1031,15,10,61,10,Aveiro
2019-01-13,15,7,0.0,8.7,4,47,12:02 PM,No moonset,07:57 AM,05:30 PM,5,9,10,9,14,1,68,0.0,1030,15,10,143,9,Aveiro
2019-01-14,15,8,0.0,8.7,4,54,12:29 PM,12:36 AM,07:57 AM,05:31 PM,4,10,10,10,11,17,63,0.0,1025,15,10,166,6,Aveiro
2019-01-15,14,9,0.0,5.3,3,61,12:59 PM,01:38 AM,07:57 AM,05:32 PM,5,10,11,10,12,40,70,0.0,1021,14,10,148,7,Aveiro
2019-01-16,12,8,0.0,3.7,3,69,01:32 PM,02:41 AM,07:56 AM,05:33 PM,8,9,10,9,14,69,89,0.4,1019,12,9,161,9,Aveiro
2019-01-17,13,8,0.0,8.7,3,76,02:11 PM,03:48 AM,07:56 AM,05:34 PM,6,7,9,7,24,20,79,0.0,1021,13,10,96,15,Aveiro
2019-01-18,10,6,0.0,5.4,2,83,02:58 PM,04:56 AM,07:55 AM,05:35 PM,5,7,8,7,12,55,81,1.9,1021,10,7,119,7,Aveiro
2019-01-19,14,7,0.0,3.7,3,90,03:54 PM,06:04 AM,07:55 AM,05:37 PM,9,9,10,9,24,86,92,30.4,1014,14,8,214,15,Aveiro
2019-01-20,13,9,0.0,8.7,4,98,04:58 PM,07:08 AM,07:54 AM,05:38 PM,7,8,11,8,36,15,80,1.8,1019,13,10,347,22,Aveiro
2019-01-21,13,7,0.0,8.7,4,100,06:10 PM,08:06 AM,07:54 AM,05:39 PM,6,7,9,7,20,8,79,0.0,1024,13,10,142,12,Aveiro
2019-01-22,12,8,0.0,3.7,3,88,07:25 PM,08:55 AM,07:53 AM,05:40 PM,7,7,9,7,26,76,87,4.4,1022,12,9,338,16,Aveiro
2019-01-23,13,11,0.0,3.7,3,81,08:40 PM,09:38 AM,07:52 AM,05:41 PM,10,10,12,10,39,99,89,2.1,1018,13,6,327,25,Aveiro
2019-01-24,15,11,0.0,7.0,3,73,09:54 PM,10:15 AM,07:52 AM,05:42 PM,11,11,13,11,33,55,90,1.2,1018,15,7,299,21,Aveiro
2019-01-25,17,9,0.0,8.7,4,66,11:04 PM,10:48 AM,07:51 AM,05:44 PM,8,11,12,11,19,10,78,0.0,1021,17,10,68,11,Aveiro
2019-01-26,16,9,0.0,8.7,4,59,No moonrise,11:20 AM,07:50 AM,05:45 PM,7,11,12,11,16,32,73,0.0,1021,16,10,207,9,Aveiro
2019-01-27,13,9,0.0,8.7,4,51,12:12 AM,11:51 AM,07:49 AM,05:46 PM,7,9,11,9,28,26,77,0.2,1022,13,10,344,19,Aveiro
2019-01-28,13,9,0.0,3.7,3,44,01:19 AM,12:22 PM,07:49 AM,05:47 PM,9,9,11,9,23,70,87,2.2,1025,13,10,332,14,Aveiro
2019-01-29,13,10,0.0,3.8,3,37,02:22 AM,12:56 PM,07:48 AM,05:48 PM,9,10,11,10,22,85,88,2.6,1020,13,9,274,14,Aveiro
2019-01-30,12,6,0.0,3.8,2,30,03:24 AM,01:33 PM,07:47 AM,05:50 PM,9,8,10,8,24,86,89,25.2,1014,12,9,239,15,Aveiro
2019-01-31,14,12,0.0,3.8,3,26,04:23 AM,02:14 PM,07:46 AM,05:51 PM,12,11,13,11,41,99,92,42.7,1004,14,7,262,25,Aveiro
