date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,8,2,0.0,7.0,3,26,02:54 AM,02:00 PM,07:31 AM,05:06 PM,-0,3,4,3,9,44,71,0.4,1028,8,10,81,7,Avis
2019-01-02,9,2,0.0,8.7,3,19,03:55 AM,02:35 PM,07:31 AM,05:07 PM,-2,3,5,3,12,49,63,0.0,1023,9,10,81,8,Avis
2019-01-03,8,3,0.0,8.7,2,11,04:55 AM,03:14 PM,07:31 AM,05:07 PM,0,4,5,4,12,52,71,0.4,1021,8,10,105,8,Avis
2019-01-04,9,3,0.0,5.3,2,4,05:54 AM,03:57 PM,07:31 AM,05:08 PM,3,3,6,3,20,74,81,1.5,1027,9,8,108,14,Avis
2019-01-05,11,4,0.0,8.7,3,0,06:48 AM,04:43 PM,07:31 AM,05:09 PM,2,5,7,5,17,25,70,0.0,1022,11,10,103,12,Avis
2019-01-06,10,5,0.0,5.3,2,0,07:38 AM,05:35 PM,07:31 AM,05:10 PM,1,3,6,3,27,77,69,12.4,1010,10,8,123,20,Avis
2019-01-07,7,3,0.0,5.4,2,3,08:23 AM,06:28 PM,07:31 AM,05:11 PM,1,1,5,1,23,71,77,16.5,1016,7,9,183,16,Avis
2019-01-08,5,1,0.0,3.7,1,10,09:04 AM,07:23 PM,07:31 AM,05:12 PM,1,-2,3,-2,50,98,84,22.4,1015,5,8,139,34,Avis
2019-01-09,4,-1,0.7,8.7,1,18,09:40 AM,08:19 PM,07:31 AM,05:13 PM,-2,-2,1,-2,22,46,81,13.0,1017,4,9,158,14,Avis
2019-01-10,6,-3,0.0,8.7,2,25,10:12 AM,09:16 PM,07:31 AM,05:14 PM,-4,2,2,2,4,6,63,0.0,1031,6,10,73,3,Avis
2019-01-11,6,-1,0.0,8.7,1,32,10:42 AM,10:12 PM,07:31 AM,05:15 PM,-6,2,2,2,4,31,54,0.0,1029,6,10,244,3,Avis
2019-01-12,8,-0,0.0,8.7,2,39,11:10 AM,11:09 PM,07:31 AM,05:16 PM,-8,3,3,3,4,8,44,0.0,1023,8,10,135,3,Avis
2019-01-13,9,-0,0.0,7.0,2,47,11:38 AM,No moonset,07:30 AM,05:17 PM,-6,2,4,2,13,45,48,0.0,1014,9,10,100,8,Avis
2019-01-14,6,1,0.0,3.7,1,54,12:07 PM,12:07 AM,07:30 AM,05:18 PM,1,2,4,2,9,91,81,3.9,1013,6,9,84,5,Avis
2019-01-15,8,2,0.0,3.7,2,61,12:37 PM,01:06 AM,07:30 AM,05:19 PM,2,1,5,1,30,84,85,4.6,1018,8,6,130,20,Avis
2019-01-16,10,3,0.0,8.7,2,69,01:12 PM,02:08 AM,07:29 AM,05:20 PM,2,3,6,3,43,43,74,4.2,1011,10,10,134,27,Avis
2019-01-17,6,1,0.3,5.4,1,76,01:51 PM,03:13 AM,07:29 AM,05:21 PM,-1,2,4,2,14,57,74,6.7,1009,6,9,172,9,Avis
2019-01-18,6,-1,0.3,8.7,2,83,02:38 PM,04:20 AM,07:29 AM,05:22 PM,-5,1,2,1,6,16,62,0.3,1024,6,9,281,5,Avis
2019-01-19,7,-1,0.0,8.7,2,90,03:33 PM,05:28 AM,07:28 AM,05:23 PM,-6,1,2,1,3,8,58,0.0,1027,7,10,251,3,Avis
2019-01-20,6,-1,0.0,8.7,2,98,04:36 PM,06:32 AM,07:28 AM,05:24 PM,-7,2,2,2,3,10,52,0.0,1028,6,10,176,2,Avis
2019-01-21,7,-1,0.0,8.7,1,100,05:47 PM,07:31 AM,07:27 AM,05:25 PM,-7,2,2,2,2,33,52,0.0,1026,7,10,193,1,Avis
2019-01-22,8,-0,0.0,8.7,2,88,07:00 PM,08:23 AM,07:27 AM,05:26 PM,-4,3,3,3,3,42,58,0.2,1023,8,10,183,2,Avis
2019-01-23,8,1,0.0,5.4,2,81,08:14 PM,09:08 AM,07:26 AM,05:28 PM,-2,4,4,4,5,44,65,0.0,1024,8,10,50,3,Avis
2019-01-24,12,1,0.0,8.7,3,73,09:26 PM,09:48 AM,07:26 AM,05:29 PM,-1,4,6,4,14,20,62,0.0,1022,12,10,95,9,Avis
2019-01-25,12,4,0.0,8.7,2,66,10:35 PM,10:23 AM,07:25 AM,05:30 PM,1,6,8,6,14,39,63,0.6,1019,12,9,102,9,Avis
