date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,10,7,0.0,7.0,2,26,02:50 AM,01:54 PM,07:23 AM,04:57 PM,4,6,9,6,35,41,73,11.8,1022,10,9,88,23,Belmonte
2019-01-02,13,7,0.0,7.0,3,19,03:52 AM,02:29 PM,07:23 AM,04:58 PM,6,8,10,8,16,35,75,1.0,1017,13,10,243,12,Belmonte
2019-01-03,8,5,0.0,5.2,2,11,04:52 AM,03:09 PM,07:23 AM,04:59 PM,2,3,7,3,44,62,69,10.9,1019,8,10,10,31,Belmonte
2019-01-04,5,2,0.3,5.3,1,4,05:50 AM,03:52 PM,07:23 AM,05:00 PM,-1,1,4,1,28,69,71,6.5,1025,5,9,127,21,Belmonte
2019-01-05,8,3,0.0,3.7,2,0,06:44 AM,04:39 PM,07:23 AM,05:01 PM,1,3,6,3,27,74,68,3.7,1023,8,10,249,20,Belmonte
2019-01-06,11,7,0.0,7.0,2,0,07:34 AM,05:30 PM,07:23 AM,05:02 PM,6,8,9,8,13,47,83,1.0,1020,11,10,272,9,Belmonte
2019-01-07,12,6,0.0,8.7,3,3,08:18 AM,06:23 PM,07:23 AM,05:03 PM,5,8,8,8,8,8,80,0.2,1024,12,10,150,5,Belmonte
2019-01-08,13,6,0.0,8.7,3,10,08:59 AM,07:19 PM,07:23 AM,05:03 PM,4,8,9,8,15,19,74,0.1,1023,13,10,185,11,Belmonte
2019-01-09,12,9,0.0,3.7,3,18,09:34 AM,08:15 PM,07:23 AM,05:04 PM,7,8,10,8,35,85,81,3.5,1006,12,10,253,28,Belmonte
2019-01-10,10,6,0.0,8.7,2,25,10:06 AM,09:12 PM,07:23 AM,05:05 PM,3,6,8,6,26,37,72,1.8,1006,10,10,273,20,Belmonte
2019-01-11,11,6,0.0,7.0,2,32,10:36 AM,10:08 PM,07:23 AM,05:06 PM,2,6,8,6,14,42,67,0.0,1013,11,10,275,10,Belmonte
2019-01-12,10,5,0.0,8.7,2,39,11:04 AM,11:05 PM,07:23 AM,05:07 PM,2,5,7,5,17,30,70,1.8,1016,10,10,254,13,Belmonte
2019-01-13,12,6,0.0,5.4,3,47,11:32 AM,No moonset,07:22 AM,05:08 PM,5,8,9,8,16,40,77,1.1,1015,12,10,276,12,Belmonte
2019-01-14,12,8,0.0,3.7,3,54,12:01 PM,12:03 AM,07:22 AM,05:09 PM,9,9,11,9,27,64,88,4.1,1006,12,9,279,20,Belmonte
2019-01-15,13,7,0.0,8.7,4,61,12:31 PM,01:03 AM,07:22 AM,05:10 PM,5,9,10,9,18,4,70,2.4,1016,13,10,176,13,Belmonte
2019-01-16,14,6,0.0,8.7,4,69,01:06 PM,02:05 AM,07:21 AM,05:12 PM,-0,8,9,8,12,6,53,0.0,1024,14,10,148,7,Belmonte
2019-01-17,15,8,0.0,7.0,3,76,01:46 PM,03:10 AM,07:21 AM,05:13 PM,7,10,11,10,14,23,78,0.0,1020,15,10,174,9,Belmonte
2019-01-18,16,9,0.0,8.7,4,83,02:33 PM,04:17 AM,07:21 AM,05:14 PM,7,10,11,10,13,17,76,0.1,1016,16,10,214,9,Belmonte
2019-01-19,14,8,0.0,8.7,3,90,03:29 PM,05:25 AM,07:20 AM,05:15 PM,7,10,10,10,14,40,79,4.5,1014,14,10,183,9,Belmonte
2019-01-20,14,8,0.0,8.7,3,98,04:33 PM,06:29 AM,07:20 AM,05:16 PM,6,9,10,9,11,34,80,1.0,1013,14,10,221,7,Belmonte
2019-01-21,13,8,0.0,7.0,3,100,05:44 PM,07:27 AM,07:19 AM,05:17 PM,8,8,10,8,17,71,84,1.1,1010,13,9,173,12,Belmonte
2019-01-22,12,6,0.0,7.0,3,88,06:58 PM,08:18 AM,07:19 AM,05:18 PM,7,8,10,8,22,50,81,1.9,1008,12,10,238,16,Belmonte
2019-01-23,12,6,0.0,7.1,2,81,08:11 PM,09:03 AM,07:18 AM,05:19 PM,5,7,8,7,16,54,79,6.1,1000,12,9,220,11,Belmonte
2019-01-24,10,6,0.0,8.7,2,73,09:23 PM,09:42 AM,07:17 AM,05:20 PM,4,6,8,6,19,58,76,3.6,988,10,8,184,15,Belmonte
2019-01-25,10,6,0.0,3.8,2,66,10:32 PM,10:17 AM,07:17 AM,05:21 PM,5,5,8,5,20,88,82,7.0,995,10,8,285,14,Belmonte
2019-01-26,10,7,0.0,3.8,2,59,11:39 PM,10:50 AM,07:16 AM,05:23 PM,5,6,8,6,20,90,81,3.9,1006,10,10,238,16,Belmonte
2019-01-27,14,7,0.0,8.7,4,51,No moonrise,11:23 AM,07:15 AM,05:24 PM,6,8,10,8,15,23,78,0.0,1010,14,10,243,10,Belmonte
2019-01-28,12,7,0.0,8.7,3,44,12:43 AM,11:56 AM,07:15 AM,05:25 PM,6,8,10,8,30,28,73,0.7,1005,12,10,248,22,Belmonte
2019-01-29,10,6,0.0,5.4,2,37,01:46 AM,12:31 PM,07:14 AM,05:26 PM,5,6,8,6,18,55,79,0.9,1003,10,10,251,13,Belmonte
2019-01-30,10,8,0.0,3.8,2,30,02:46 AM,01:09 PM,07:13 AM,05:27 PM,5,6,9,6,23,83,76,3.2,1005,10,9,249,16,Belmonte
2019-01-31,13,8,0.0,7.1,3,26,03:45 AM,01:51 PM,07:12 AM,05:28 PM,5,7,10,7,28,44,70,0.2,1010,13,10,232,19,Belmonte
2019-02-01,17,10,0.0,8.7,4,8,04:40 AM,02:36 PM,07:12 AM,05:29 PM,9,12,14,12,31,20,74,0.0,1010,17,10,186,21,Belmonte
2019-02-02,18,11,0.0,7.1,4,1,05:31 AM,03:26 PM,07:11 AM,05:30 PM,9,13,14,13,26,27,74,0.4,1004,18,10,215,17,Belmonte
2019-02-03,13,7,0.0,8.7,3,0,06:17 AM,04:18 PM,07:10 AM,05:32 PM,6,9,10,9,16,22,79,12.6,1008,13,9,247,11,Belmonte
2019-02-04,13,8,0.0,7.1,3,0,06:58 AM,05:13 PM,07:09 AM,05:33 PM,8,9,10,9,9,61,88,14.1,1010,13,8,115,7,Belmonte
2019-02-05,12,10,0.0,5.5,3,0,07:35 AM,06:09 PM,07:08 AM,05:34 PM,10,9,11,9,28,81,93,18.5,1011,12,7,106,22,Belmonte
2019-02-06,13,8,0.0,8.7,3,7,08:08 AM,07:05 PM,07:07 AM,05:35 PM,9,10,11,10,15,39,86,0.5,1015,13,10,335,11,Belmonte
2019-02-07,14,7,0.0,8.7,4,14,08:38 AM,08:02 PM,07:06 AM,05:36 PM,6,10,10,10,8,3,80,0.0,1019,14,10,166,5,Belmonte
