date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,34,22,0.0,12.6,6,26,01:59 AM,02:31 PM,05:40 AM,06:04 PM,21,30,30,27,8,48,72,5.9,1012,34,8,192,5,Campo+Maior
2019-01-02,35,23,0.0,12.6,7,19,02:46 AM,03:21 PM,05:41 AM,06:04 PM,20,31,31,29,9,32,62,0.6,1012,35,10,167,6,Campo+Maior
2019-01-03,35,23,0.0,12.6,7,11,03:34 AM,04:11 PM,05:41 AM,06:05 PM,19,31,31,29,10,32,59,0.0,1011,35,10,212,7,Campo+Maior
2019-01-04,34,23,0.0,12.6,7,4,04:22 AM,05:01 PM,05:42 AM,06:05 PM,21,31,31,28,8,34,68,6.8,1011,34,9,132,5,Campo+Maior
2019-01-05,33,23,0.0,12.6,6,0,05:12 AM,05:52 PM,05:42 AM,06:06 PM,21,31,31,28,11,38,69,3.6,1011,33,10,173,7,Campo+Maior
2019-01-06,32,24,0.0,10.5,6,0,06:02 AM,06:40 PM,05:43 AM,06:06 PM,23,29,29,26,8,65,84,33.3,1012,32,8,227,5,Campo+Maior
2019-01-07,28,23,0.0,9.2,6,3,06:51 AM,07:28 PM,05:43 AM,06:06 PM,22,27,27,25,6,84,87,11.7,1012,28,9,175,4,Campo+Maior
2019-01-08,29,22,0.0,9.2,6,10,07:39 AM,08:13 PM,05:44 AM,06:07 PM,22,27,27,25,9,69,88,26.9,1012,29,8,271,5,Campo+Maior
2019-01-09,31,22,0.0,10.5,6,18,08:25 AM,08:56 PM,05:44 AM,06:07 PM,22,28,28,25,9,66,85,33.9,1011,31,7,55,5,Campo+Maior
2019-01-10,30,23,0.0,11.9,6,25,09:11 AM,09:39 PM,05:45 AM,06:08 PM,22,28,28,25,11,64,84,13.7,1011,30,9,172,7,Campo+Maior
2019-01-11,32,22,0.0,12.6,6,32,09:55 AM,10:19 PM,05:45 AM,06:08 PM,22,29,29,26,8,37,78,2.8,1012,32,9,198,5,Campo+Maior
2019-01-12,30,22,0.0,11.9,6,39,10:38 AM,11:00 PM,05:46 AM,06:08 PM,22,28,28,25,10,49,87,26.7,1012,30,7,275,6,Campo+Maior
2019-01-13,32,22,0.0,12.6,6,47,11:23 AM,11:42 PM,05:46 AM,06:08 PM,23,29,29,26,10,52,86,25.0,1012,32,7,163,5,Campo+Maior
