date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,5,0.0,5.3,3,26,03:25 AM,02:23 PM,07:55 AM,05:23 PM,0,9,9,9,11,37,55,0.0,1032,17,10,156,6,Cartaxo
2019-01-02,16,6,0.0,8.7,4,19,04:26 AM,02:58 PM,07:55 AM,05:24 PM,4,9,9,9,15,0,72,0.0,1030,16,10,331,8,Cartaxo
2019-01-03,14,4,0.0,8.7,3,11,05:27 AM,03:37 PM,07:55 AM,05:25 PM,2,7,8,7,14,0,71,0.0,1027,14,10,109,8,Cartaxo
2019-01-04,15,4,0.0,8.7,3,4,06:25 AM,04:20 PM,07:55 AM,05:26 PM,3,7,8,7,15,6,74,0.0,1030,15,10,70,8,Cartaxo
2019-01-05,16,4,0.0,8.7,3,0,07:19 AM,05:08 PM,07:55 AM,05:27 PM,1,7,8,7,12,2,63,0.0,1033,16,10,45,7,Cartaxo
2019-01-06,17,4,0.0,8.7,3,0,08:08 AM,05:59 PM,07:55 AM,05:27 PM,-0,8,8,8,10,0,57,0.0,1032,17,10,107,5,Cartaxo
2019-01-07,17,4,0.0,8.7,4,3,08:53 AM,06:53 PM,07:55 AM,05:28 PM,-3,8,9,8,11,0,47,0.0,1030,17,10,34,6,Cartaxo
2019-01-08,17,5,0.0,8.7,4,10,09:32 AM,07:49 PM,07:55 AM,05:29 PM,-1,8,9,8,13,1,51,0.0,1029,17,10,57,7,Cartaxo
2019-01-09,18,6,0.0,8.7,4,18,10:07 AM,08:45 PM,07:55 AM,05:30 PM,3,10,10,10,9,3,62,0.0,1023,18,10,155,5,Cartaxo
2019-01-10,16,6,0.0,8.7,4,25,10:38 AM,09:42 PM,07:54 AM,05:31 PM,3,8,9,8,21,0,68,0.0,1020,16,10,69,12,Cartaxo
2019-01-11,13,4,0.0,8.7,3,32,11:07 AM,10:39 PM,07:54 AM,05:32 PM,-2,6,7,6,20,0,51,0.0,1026,13,10,72,11,Cartaxo
2019-01-12,14,3,0.0,8.7,3,39,11:35 AM,11:37 PM,07:54 AM,05:33 PM,0,6,7,6,16,0,64,0.0,1029,14,10,49,9,Cartaxo
2019-01-13,15,3,0.0,8.7,3,47,12:02 PM,No moonset,07:54 AM,05:34 PM,1,7,7,7,13,1,68,0.0,1029,15,10,129,7,Cartaxo
2019-01-14,16,4,0.0,8.7,3,54,12:30 PM,12:36 AM,07:54 AM,05:35 PM,3,8,8,8,8,10,70,0.0,1025,16,10,177,4,Cartaxo
2019-01-15,14,6,0.0,5.4,3,61,01:01 PM,01:37 AM,07:53 AM,05:36 PM,4,9,9,9,6,49,73,0.0,1021,14,10,178,3,Cartaxo
2019-01-16,13,5,0.0,3.7,2,69,01:36 PM,02:39 AM,07:53 AM,05:38 PM,7,8,9,8,8,72,88,0.2,1020,13,7,209,4,Cartaxo
2019-01-17,13,6,0.0,8.7,2,76,02:15 PM,03:46 AM,07:52 AM,05:39 PM,5,7,9,7,22,18,81,0.0,1021,13,7,342,13,Cartaxo
2019-01-18,12,3,0.0,7.0,2,83,03:02 PM,04:53 AM,07:52 AM,05:40 PM,4,7,7,7,11,45,82,2.6,1022,12,9,294,7,Cartaxo
