date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,24,10,0.0,8.7,4,26,02:56 AM,02:28 PM,06:52 AM,05:33 PM,-0,15,15,15,8,36,35,0.0,1015,24,10,126,5,Constancia
2019-01-02,27,10,0.0,8.7,4,19,03:51 AM,03:10 PM,06:52 AM,05:33 PM,5,18,18,18,11,42,46,0.0,1015,27,10,276,6,Constancia
2019-01-03,27,12,0.0,8.7,6,11,04:46 AM,03:54 PM,06:53 AM,05:34 PM,6,18,18,18,9,28,46,0.0,1016,27,10,305,6,Constancia
2019-01-04,30,14,0.0,8.7,6,4,05:40 AM,04:41 PM,06:53 AM,05:35 PM,8,20,20,21,9,3,47,0.0,1015,30,10,144,5,Constancia
2019-01-05,31,15,0.0,8.7,6,0,06:31 AM,05:30 PM,06:53 AM,05:35 PM,7,22,22,22,8,22,42,0.0,1016,31,10,109,5,Constancia
2019-01-06,29,14,0.0,8.7,6,0,07:20 AM,06:21 PM,06:53 AM,05:36 PM,13,22,22,22,8,22,61,0.5,1018,29,10,169,6,Constancia
2019-01-07,29,19,0.0,8.7,5,3,08:06 AM,07:13 PM,06:54 AM,05:37 PM,16,23,23,22,12,28,69,1.3,1018,29,9,195,7,Constancia
2019-01-08,30,17,0.0,8.7,6,10,08:48 AM,08:04 PM,06:54 AM,05:38 PM,16,23,23,22,9,5,69,0.1,1017,30,10,304,5,Constancia
2019-01-09,30,17,0.0,8.7,6,18,09:27 AM,08:55 PM,06:54 AM,05:38 PM,15,23,23,22,7,5,65,0.1,1017,30,10,207,5,Constancia
2019-01-10,28,18,0.0,8.7,5,25,10:03 AM,09:46 PM,06:54 AM,05:39 PM,17,23,23,22,7,12,74,4.0,1018,28,10,153,6,Constancia
2019-01-11,29,17,0.0,8.7,5,32,10:38 AM,10:36 PM,06:54 AM,05:40 PM,16,22,22,22,9,18,75,16.5,1017,29,9,146,5,Constancia
2019-01-12,30,15,0.0,8.7,6,39,11:12 AM,11:27 PM,06:54 AM,05:40 PM,10,20,20,21,10,0,53,0.0,1018,30,10,126,5,Constancia
2019-01-13,31,14,0.0,8.7,6,47,11:47 AM,No moonset,06:54 AM,05:41 PM,5,20,20,20,11,0,39,0.0,1018,31,10,90,6,Constancia
2019-01-14,31,15,0.0,8.7,6,54,12:22 PM,12:19 AM,06:54 AM,05:42 PM,7,21,21,21,14,15,42,0.2,1018,31,10,127,9,Constancia
2019-01-15,30,16,0.0,8.7,6,61,01:00 PM,01:13 AM,06:54 AM,05:43 PM,12,22,22,22,10,21,58,0.2,1019,30,10,164,6,Constancia
2019-01-16,31,16,0.0,8.7,6,69,01:43 PM,02:10 AM,06:54 AM,05:43 PM,10,21,21,22,11,2,51,0.0,1019,31,10,167,6,Constancia
2019-01-17,30,14,0.0,8.7,6,76,02:30 PM,03:10 AM,06:54 AM,05:44 PM,7,20,20,20,9,24,45,0.0,1019,30,10,161,6,Constancia
2019-01-18,30,16,0.0,8.7,6,83,03:24 PM,04:13 AM,06:54 AM,05:45 PM,7,21,21,21,10,8,41,0.0,1018,30,10,164,5,Constancia
2019-01-19,31,15,0.0,8.7,6,90,04:24 PM,05:17 AM,06:54 AM,05:46 PM,6,21,21,21,10,0,39,0.0,1017,31,10,157,6,Constancia
2019-01-20,33,16,0.0,8.7,7,98,05:30 PM,06:19 AM,06:54 AM,05:46 PM,6,22,22,23,10,0,37,0.0,1016,33,10,111,5,Constancia
2019-01-21,32,17,0.0,8.7,7,100,06:37 PM,07:19 AM,06:53 AM,05:47 PM,9,22,22,23,8,4,42,0.0,1016,32,10,152,5,Constancia
2019-01-22,27,17,0.0,8.7,5,88,07:46 PM,08:13 AM,06:53 AM,05:48 PM,11,21,21,21,9,39,54,0.0,1016,27,10,167,5,Constancia
2019-01-23,28,15,0.0,8.7,6,81,08:51 PM,09:03 AM,06:53 AM,05:48 PM,12,20,20,20,9,0,59,0.0,1016,28,10,272,5,Constancia
2019-01-24,31,15,0.0,8.7,6,73,09:55 PM,09:48 AM,06:53 AM,05:49 PM,9,20,20,21,10,0,50,0.0,1015,31,10,154,5,Constancia
2019-01-25,30,15,0.0,8.7,6,66,10:55 PM,10:29 AM,06:53 AM,05:50 PM,7,20,20,20,8,6,43,0.0,1015,30,10,148,5,Constancia
2019-01-26,27,14,0.0,8.7,6,59,11:54 PM,11:09 AM,06:52 AM,05:51 PM,7,19,19,19,8,4,50,0.0,1016,27,10,160,5,Constancia
2019-01-27,31,13,0.0,8.7,6,51,No moonrise,11:48 AM,06:52 AM,05:51 PM,4,19,19,20,11,0,39,0.0,1016,31,10,139,6,Constancia
2019-01-28,30,14,0.0,8.7,6,44,12:51 AM,12:28 PM,06:52 AM,05:52 PM,4,20,20,20,9,9,37,0.0,1015,30,10,150,6,Constancia
2019-01-29,27,13,0.0,8.7,6,37,01:47 AM,01:09 PM,06:51 AM,05:53 PM,7,19,19,19,9,11,46,0.0,1014,27,10,148,6,Constancia
2019-01-30,26,9,0.0,8.7,5,30,02:42 AM,01:53 PM,06:51 AM,05:53 PM,10,18,18,18,9,4,64,0.0,1014,26,10,132,5,Constancia
2019-01-31,26,9,0.0,8.7,6,26,03:36 AM,02:38 PM,06:51 AM,05:54 PM,11,19,19,19,10,6,68,0.0,1016,26,10,148,6,Constancia
2019-02-01,28,11,0.0,8.7,6,8,04:27 AM,03:27 PM,06:50 AM,05:55 PM,13,20,21,20,9,21,71,0.0,1016,28,10,136,6,Constancia
2019-02-02,30,11,0.0,8.7,6,1,05:17 AM,04:16 PM,06:50 AM,05:55 PM,14,20,20,20,8,27,72,0.0,1016,30,10,156,5,Constancia
2019-02-03,30,15,0.0,8.7,6,0,06:03 AM,05:08 PM,06:49 AM,05:56 PM,12,21,21,21,9,38,57,0.0,1015,30,10,177,5,Constancia
2019-02-04,32,18,0.0,8.7,7,0,06:46 AM,05:59 PM,06:49 AM,05:57 PM,10,23,23,23,9,20,46,0.1,1014,32,10,234,6,Constancia
2019-02-05,32,19,0.0,8.7,7,0,07:27 AM,06:50 PM,06:48 AM,05:57 PM,10,24,24,24,9,15,43,0.0,1015,32,10,203,5,Constancia
2019-02-06,29,19,0.0,7.2,5,7,08:04 AM,07:41 PM,06:48 AM,05:58 PM,11,23,23,23,14,31,48,0.0,1016,29,10,298,9,Constancia
2019-02-07,31,16,0.0,8.7,6,14,08:39 AM,08:31 PM,06:47 AM,05:59 PM,11,22,22,22,13,7,52,0.0,1015,31,10,304,8,Constancia
2019-02-08,33,15,0.0,8.7,6,22,09:13 AM,09:22 PM,06:47 AM,05:59 PM,7,21,21,22,11,3,41,0.0,1015,33,10,314,7,Constancia
2019-02-09,32,16,0.0,7.2,6,29,09:47 AM,10:13 PM,06:46 AM,06:00 PM,8,22,22,22,9,52,41,0.0,1016,32,10,174,5,Constancia
2019-02-10,31,17,0.0,11.6,7,37,10:21 AM,11:05 PM,06:45 AM,06:01 PM,9,22,22,23,9,25,44,0.0,1016,31,10,180,5,Constancia
2019-02-11,30,19,0.0,11.6,6,44,10:58 AM,12:00 AM,06:45 AM,06:01 PM,10,22,22,23,8,30,47,0.0,1015,30,10,256,5,Constancia
2019-02-12,32,16,0.0,11.6,7,52,11:37 AM,No moonset,06:44 AM,06:02 PM,10,22,22,22,9,7,47,0.0,1015,32,10,230,5,Constancia
2019-02-13,31,17,0.0,11.6,7,60,12:20 PM,12:56 AM,06:44 AM,06:02 PM,11,23,23,23,7,9,50,0.0,1015,31,10,286,5,Constancia
2019-02-14,31,17,0.0,11.6,6,67,01:09 PM,01:56 AM,06:43 AM,06:03 PM,11,22,22,22,9,4,51,0.0,1016,31,10,154,5,Constancia
2019-02-15,33,17,0.0,11.6,7,75,02:04 PM,02:57 AM,06:42 AM,06:04 PM,10,24,24,24,13,3,43,0.0,1015,33,10,164,8,Constancia
2019-02-16,32,19,0.0,11.6,7,82,03:06 PM,03:59 AM,06:41 AM,06:04 PM,11,24,24,24,11,0,46,0.0,1013,32,10,242,7,Constancia
2019-02-17,30,16,0.0,11.6,6,90,04:11 PM,04:59 AM,06:41 AM,06:05 PM,7,21,21,21,9,0,41,0.0,1014,30,10,303,6,Constancia
2019-02-18,29,13,0.0,11.6,6,97,05:20 PM,05:56 AM,06:40 AM,06:05 PM,4,19,19,20,10,8,36,0.0,1015,29,10,181,6,Constancia
2019-02-19,25,13,0.0,11.6,5,100,06:27 PM,06:48 AM,06:39 AM,06:06 PM,5,18,18,18,11,8,45,0.0,1015,25,10,297,7,Constancia
2019-02-20,24,10,0.0,5.8,4,88,07:34 PM,07:36 AM,06:38 AM,06:07 PM,4,16,17,16,10,58,47,0.0,1014,24,10,295,6,Constancia
2019-02-21,22,13,0.0,11.6,5,80,08:38 PM,08:20 AM,06:38 AM,06:07 PM,6,17,18,17,8,43,50,0.2,1014,22,10,205,4,Constancia
2019-02-22,26,12,0.0,11.6,6,73,09:40 PM,09:02 AM,06:37 AM,06:08 PM,10,18,19,18,10,32,60,0.0,1017,26,10,218,5,Constancia
