date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,14,2,0.0,8.7,3,26,03:21 AM,02:16 PM,07:53 AM,05:15 PM,-1,6,7,6,11,6,59,0.0,1032,14,10,22,6,Covilha
2019-01-02,13,3,0.0,8.7,3,19,04:23 AM,02:50 PM,07:53 AM,05:15 PM,0,5,7,5,16,20,65,0.0,1030,13,10,18,9,Covilha
2019-01-03,12,0,0.0,8.7,3,11,05:25 AM,03:29 PM,07:53 AM,05:16 PM,-1,2,4,2,15,3,71,0.0,1029,12,10,50,8,Covilha
2019-01-04,12,0,0.0,8.7,3,4,06:22 AM,04:11 PM,07:53 AM,05:17 PM,-2,3,4,3,11,2,65,0.0,1031,12,10,56,6,Covilha
2019-01-05,12,-0,0.0,8.7,3,0,07:17 AM,04:59 PM,07:53 AM,05:18 PM,-5,2,4,2,16,0,53,0.0,1034,12,10,30,8,Covilha
2019-01-06,13,1,0.0,8.7,3,0,08:06 AM,05:50 PM,07:53 AM,05:19 PM,-5,3,5,3,20,0,48,0.0,1033,13,10,25,11,Covilha
2019-01-07,12,1,0.0,8.7,3,3,08:51 AM,06:44 PM,07:53 AM,05:20 PM,-5,2,5,2,24,0,51,0.0,1031,12,10,26,13,Covilha
2019-01-08,12,1,0.0,8.7,3,10,09:30 AM,07:41 PM,07:53 AM,05:21 PM,-1,3,5,3,22,3,67,0.0,1030,12,10,29,12,Covilha
2019-01-09,13,3,0.0,8.7,3,18,10:04 AM,08:38 PM,07:53 AM,05:22 PM,3,4,6,4,20,3,77,0.0,1024,13,10,25,11,Covilha
2019-01-10,11,2,0.0,8.7,3,25,10:35 AM,09:36 PM,07:53 AM,05:23 PM,-0,2,5,2,25,1,69,0.0,1022,11,10,39,14,Covilha
2019-01-11,10,-0,0.0,8.7,2,32,11:03 AM,10:33 PM,07:52 AM,05:24 PM,-3,-0,3,-0,26,1,62,0.0,1028,10,10,40,15,Covilha
2019-01-12,11,-0,0.0,8.7,2,39,11:31 AM,11:32 PM,07:52 AM,05:25 PM,0,1,4,1,22,3,80,0.0,1031,11,10,37,12,Covilha
2019-01-13,12,0,0.0,8.7,3,47,11:57 AM,No moonset,07:52 AM,05:26 PM,0,2,4,2,20,1,78,0.0,1030,12,10,31,11,Covilha
2019-01-14,14,1,0.0,8.7,3,54,12:24 PM,12:31 AM,07:51 AM,05:27 PM,0,5,6,5,15,17,70,0.0,1025,14,10,27,8,Covilha
