date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,29,20,0.0,7.1,6,26,03:11 AM,02:47 PM,07:11 AM,05:56 PM,19,25,25,24,21,20,74,0.0,1019,29,10,104,7,Cuba
2019-01-02,29,19,0.0,8.7,6,19,04:06 AM,03:29 PM,07:11 AM,05:56 PM,19,25,25,24,24,19,77,0.1,1018,29,10,91,6,Cuba
2019-01-03,30,21,0.0,8.7,7,11,05:01 AM,04:13 PM,07:11 AM,05:57 PM,20,27,27,25,18,5,78,0.1,1017,30,10,148,7,Cuba
2019-01-04,29,23,0.0,8.7,7,4,05:55 AM,05:01 PM,07:12 AM,05:57 PM,21,27,27,25,14,2,77,0.1,1016,29,10,156,7,Cuba
2019-01-05,27,22,0.0,7.1,5,0,06:46 AM,05:50 PM,07:12 AM,05:58 PM,20,26,26,24,16,36,78,2.6,1017,27,10,224,6,Cuba
2019-01-06,25,17,0.0,8.7,6,0,07:36 AM,06:40 PM,07:12 AM,05:59 PM,16,21,22,21,22,34,74,0.0,1019,25,10,21,13,Cuba
2019-01-07,28,20,0.0,8.7,5,3,08:21 AM,07:32 PM,07:12 AM,05:59 PM,19,24,24,23,21,24,77,13.1,1020,28,9,71,10,Cuba
2019-01-08,27,21,0.0,10.1,5,10,09:04 AM,08:22 PM,07:12 AM,06:00 PM,20,25,25,23,20,22,83,6.7,1020,27,9,75,10,Cuba
2019-01-09,27,21,0.0,8.5,5,18,09:44 AM,09:14 PM,07:13 AM,06:01 PM,20,25,25,23,16,40,84,6.3,1019,27,9,48,10,Cuba
2019-01-10,23,18,0.0,10.9,6,25,10:20 AM,10:04 PM,07:13 AM,06:01 PM,14,20,22,20,26,29,70,0.9,1018,23,10,52,14,Cuba
2019-01-11,24,17,0.0,10.9,6,32,10:56 AM,10:54 PM,07:13 AM,06:02 PM,12,20,21,20,21,0,61,0.0,1019,24,10,49,10,Cuba
2019-01-12,28,18,0.0,10.1,5,39,11:30 AM,11:44 PM,07:13 AM,06:03 PM,16,23,23,22,18,23,70,0.0,1020,28,10,95,8,Cuba
2019-01-13,28,20,0.0,10.9,6,47,12:05 PM,No moonset,07:13 AM,06:04 PM,18,24,24,23,18,15,75,0.0,1020,28,10,72,9,Cuba
2019-01-14,27,21,0.0,10.1,5,54,12:41 PM,12:36 AM,07:13 AM,06:04 PM,18,24,24,23,19,41,74,0.1,1020,27,10,23,11,Cuba
2019-01-15,22,18,0.0,10.1,5,61,01:20 PM,01:30 AM,07:13 AM,06:05 PM,15,20,22,20,22,49,72,0.2,1020,22,10,92,15,Cuba
2019-01-16,23,17,0.0,10.9,5,69,02:02 PM,02:25 AM,07:13 AM,06:06 PM,12,19,20,19,26,7,67,0.0,1021,23,10,18,12,Cuba
2019-01-17,25,18,0.0,8.5,5,76,02:49 PM,03:25 AM,07:13 AM,06:06 PM,16,22,22,21,19,38,76,1.0,1021,25,10,34,8,Cuba
2019-01-18,27,19,0.0,10.9,6,83,03:43 PM,04:27 AM,07:13 AM,06:07 PM,16,22,22,22,19,15,70,0.0,1019,27,10,78,9,Cuba
2019-01-19,28,19,0.0,11.0,6,90,04:43 PM,05:31 AM,07:13 AM,06:08 PM,18,24,24,22,22,14,76,0.2,1016,28,10,140,10,Cuba
2019-01-20,25,18,0.0,10.1,5,98,05:48 PM,06:34 AM,07:13 AM,06:08 PM,18,23,23,22,29,42,80,5.1,1017,25,10,274,16,Cuba
2019-01-21,22,17,0.0,11.0,5,100,06:55 PM,07:34 AM,07:13 AM,06:09 PM,12,19,19,19,27,27,64,0.0,1022,22,10,87,20,Cuba
2019-01-22,26,17,0.0,11.0,6,88,08:03 PM,08:29 AM,07:12 AM,06:10 PM,15,22,22,21,31,18,67,0.0,1022,26,10,92,13,Cuba
2019-01-23,28,19,0.0,11.0,6,81,09:09 PM,09:19 AM,07:12 AM,06:11 PM,18,24,24,23,33,26,71,0.0,1019,28,10,127,14,Cuba
2019-01-24,28,22,0.0,11.0,6,73,10:11 PM,10:04 AM,07:12 AM,06:11 PM,20,26,26,24,23,23,80,13.4,1017,28,9,179,12,Cuba
2019-01-25,24,20,0.0,7.0,5,66,11:12 PM,10:47 AM,07:12 AM,06:12 PM,20,22,24,22,25,63,88,10.8,1019,24,9,95,14,Cuba
2019-01-26,25,21,0.0,7.0,5,59,No moonrise,11:28 AM,07:12 AM,06:13 PM,19,23,23,22,26,82,85,19.5,1017,25,8,49,15,Cuba
