date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,29,17,0.0,8.7,6,26,02:28 AM,02:28 PM,06:32 AM,05:55 PM,-6,22,22,22,30,0,15,0.0,1018,29,10,33,18,Douro
2019-01-02,26,16,0.0,8.7,6,19,03:21 AM,03:13 PM,06:33 AM,05:56 PM,-6,20,20,20,30,0,16,0.0,1018,26,10,31,19,Douro
2019-01-03,28,16,0.0,8.7,6,11,04:12 AM,03:59 PM,06:33 AM,05:56 PM,-2,21,21,22,26,3,21,0.0,1016,28,10,39,16,Douro
2019-01-04,30,18,0.0,8.7,7,4,05:04 AM,04:46 PM,06:34 AM,05:57 PM,-5,23,23,23,28,3,15,0.0,1016,30,10,26,17,Douro
2019-01-05,29,18,0.0,8.7,6,0,05:56 AM,05:36 PM,06:34 AM,05:57 PM,-8,23,23,23,30,7,12,0.0,1017,29,10,27,19,Douro
2019-01-06,27,16,0.0,8.7,6,0,06:45 AM,06:25 PM,06:34 AM,05:58 PM,-9,21,21,21,33,2,13,0.0,1017,27,10,25,21,Douro
2019-01-07,26,15,0.0,8.7,6,3,07:33 AM,07:16 PM,06:34 AM,05:58 PM,-5,20,20,20,31,7,19,0.0,1017,26,10,28,20,Douro
2019-01-08,26,14,0.0,8.7,6,10,08:18 AM,08:05 PM,06:35 AM,05:59 PM,-5,20,20,20,30,9,18,0.0,1016,26,10,37,19,Douro
2019-01-09,28,15,0.0,11.6,6,18,09:01 AM,08:53 PM,06:35 AM,06:00 PM,-7,21,21,21,27,15,15,0.0,1015,28,10,37,16,Douro
2019-01-10,30,16,0.0,11.6,6,25,09:42 AM,09:40 PM,06:35 AM,06:00 PM,-7,22,22,23,23,1,14,0.0,1014,30,10,34,14,Douro
