date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,6,0.0,9.7,3,26,04:17 AM,03:17 PM,08:47 AM,06:17 PM,0,9,9,9,9,22,55,0.0,1032,16,10,112,5,Elvas
2019-01-02,16,5,0.0,9.7,3,19,05:19 AM,03:52 PM,08:47 AM,06:18 PM,2,8,8,8,6,25,65,0.0,1030,16,10,293,3,Elvas
2019-01-03,15,3,0.0,9.7,3,11,06:19 AM,04:31 PM,08:47 AM,06:19 PM,2,7,8,7,12,4,68,0.0,1028,15,10,107,7,Elvas
2019-01-04,14,4,0.0,9.7,3,4,07:18 AM,05:14 PM,08:47 AM,06:19 PM,2,7,8,7,10,2,69,0.0,1030,14,10,56,6,Elvas
2019-01-05,15,3,0.0,9.7,3,0,08:11 AM,06:02 PM,08:47 AM,06:20 PM,0,6,7,6,13,0,61,0.0,1033,15,10,51,7,Elvas
2019-01-06,16,4,0.0,9.7,3,0,09:01 AM,06:53 PM,08:47 AM,06:21 PM,-1,7,8,7,9,0,55,0.0,1032,16,10,37,5,Elvas
2019-01-07,16,4,0.0,9.8,3,3,09:46 AM,07:47 PM,08:47 AM,06:22 PM,-2,7,8,7,11,0,49,0.0,1030,16,10,36,6,Elvas
2019-01-08,16,4,0.0,9.8,3,10,10:25 AM,08:42 PM,08:47 AM,06:23 PM,-1,7,8,7,13,2,53,0.0,1029,16,10,42,7,Elvas
2019-01-09,17,5,0.0,9.8,4,18,11:00 AM,09:39 PM,08:47 AM,06:24 PM,3,9,9,9,9,4,66,0.0,1023,17,10,101,5,Elvas
2019-01-10,14,5,0.0,9.8,3,25,11:32 AM,10:36 PM,08:47 AM,06:25 PM,3,6,8,6,15,3,72,0.0,1020,14,10,70,9,Elvas
2019-01-11,11,2,0.0,9.8,3,32,12:01 PM,11:33 PM,08:47 AM,06:26 PM,-3,4,6,4,15,0,53,0.0,1026,11,10,62,9,Elvas
2019-01-12,13,2,0.0,9.8,3,39,12:28 PM,No moonset,08:47 AM,06:27 PM,-2,4,6,4,16,2,57,0.0,1029,13,10,51,10,Elvas
2019-01-13,15,2,0.0,9.8,3,47,12:56 PM,12:30 AM,08:46 AM,06:28 PM,1,6,7,6,14,0,67,0.0,1029,15,10,50,8,Elvas
2019-01-14,16,4,0.0,9.8,3,54,01:24 PM,01:29 AM,08:46 AM,06:29 PM,2,8,9,8,6,11,66,0.0,1024,16,10,146,3,Elvas
2019-01-15,15,5,0.0,4.9,2,61,01:55 PM,02:29 AM,08:46 AM,06:30 PM,4,8,9,8,9,62,72,0.0,1021,15,10,128,5,Elvas
2019-01-16,13,3,0.0,8.3,2,69,02:29 PM,03:33 AM,08:45 AM,06:31 PM,4,7,7,7,10,41,82,0.0,1020,13,10,227,6,Elvas
