date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,13,0.0,8.7,3,26,03:18 AM,02:23 PM,07:45 AM,05:26 PM,6,13,14,13,17,32,59,0.0,1030,16,10,100,10,Faro
2019-01-02,17,12,0.0,8.7,4,19,04:19 AM,02:59 PM,07:45 AM,05:27 PM,6,13,14,13,17,11,58,0.0,1030,17,10,166,9,Faro
2019-01-03,15,12,0.0,8.7,4,11,05:19 AM,03:39 PM,07:46 AM,05:27 PM,7,12,13,12,18,9,67,0.0,1026,15,10,117,11,Faro
2019-01-04,15,13,0.0,8.7,4,4,06:16 AM,04:22 PM,07:46 AM,05:28 PM,9,13,14,13,23,19,73,0.2,1028,15,10,87,15,Faro
2019-01-05,16,12,0.0,8.7,4,0,07:10 AM,05:10 PM,07:46 AM,05:29 PM,6,12,13,12,21,0,64,0.0,1032,16,10,53,13,Faro
2019-01-06,16,11,0.0,8.7,4,0,07:59 AM,06:01 PM,07:46 AM,05:30 PM,4,12,13,12,17,0,53,0.0,1030,16,10,101,9,Faro
2019-01-07,15,10,0.0,8.7,4,3,08:44 AM,06:55 PM,07:46 AM,05:31 PM,3,12,12,12,15,0,53,0.0,1028,15,10,104,8,Faro
2019-01-08,16,12,0.0,8.7,4,10,09:24 AM,07:50 PM,07:46 AM,05:32 PM,4,13,13,13,18,0,51,0.0,1028,16,10,99,10,Faro
2019-01-09,16,11,0.0,8.7,4,18,10:00 AM,08:45 PM,07:46 AM,05:33 PM,4,13,13,13,17,2,51,0.0,1022,16,10,118,9,Faro
2019-01-10,16,12,0.0,8.7,4,25,10:32 AM,09:42 PM,07:46 AM,05:34 PM,6,12,13,12,25,0,63,0.0,1018,16,10,69,16,Faro
2019-01-11,15,11,0.0,8.7,4,32,11:02 AM,10:37 PM,07:45 AM,05:35 PM,0,10,12,10,40,0,44,0.0,1023,15,10,66,27,Faro
2019-01-12,14,10,0.0,8.7,4,39,11:31 AM,11:34 PM,07:45 AM,05:36 PM,2,9,12,9,30,0,52,0.0,1027,14,10,60,20,Faro
2019-01-13,16,11,0.0,8.7,4,47,11:59 AM,No moonset,07:45 AM,05:36 PM,3,11,13,11,21,0,52,0.0,1027,16,10,84,13,Faro
2019-01-14,16,11,0.0,8.7,4,54,12:28 PM,12:31 AM,07:45 AM,05:37 PM,4,12,13,12,14,0,55,0.0,1024,16,10,134,8,Faro
2019-01-15,15,11,0.0,8.7,4,61,01:00 PM,01:31 AM,07:44 AM,05:38 PM,6,12,12,12,13,5,63,0.0,1021,15,10,215,8,Faro
2019-01-16,15,11,0.0,7.0,3,69,01:36 PM,02:33 AM,07:44 AM,05:40 PM,8,12,13,12,11,33,76,0.3,1020,15,10,161,7,Faro
2019-01-17,14,12,0.0,7.0,3,76,02:16 PM,03:38 AM,07:44 AM,05:41 PM,8,11,13,11,18,41,75,0.5,1019,14,10,109,13,Faro
2019-01-18,15,10,0.0,8.7,3,83,03:04 PM,04:44 AM,07:43 AM,05:42 PM,5,10,12,10,22,28,65,0.3,1021,15,9,235,15,Faro
2019-01-19,16,13,0.0,5.4,3,90,04:01 PM,05:51 AM,07:43 AM,05:43 PM,12,13,14,13,31,81,84,2.7,1019,16,8,291,21,Faro
2019-01-20,16,12,0.0,8.7,4,98,05:05 PM,06:55 AM,07:43 AM,05:44 PM,9,12,14,12,40,17,71,0.1,1018,16,10,320,28,Faro
2019-01-21,15,10,0.0,8.7,4,100,06:16 PM,07:53 AM,07:42 AM,05:45 PM,6,10,12,10,27,3,67,0.0,1022,15,10,307,19,Faro
2019-01-22,14,9,0.0,7.1,3,88,07:30 PM,08:44 AM,07:42 AM,05:46 PM,7,10,12,10,31,49,70,0.0,1023,14,10,325,21,Faro
2019-01-23,16,12,0.0,8.7,4,81,08:42 PM,09:30 AM,07:41 AM,05:47 PM,9,12,14,12,39,13,74,0.0,1020,16,10,316,27,Faro
2019-01-24,18,14,0.0,8.7,5,73,09:53 PM,10:09 AM,07:40 AM,05:48 PM,12,15,16,15,33,14,78,0.0,1016,18,10,332,21,Faro
2019-01-25,18,13,0.0,8.7,5,66,11:01 PM,10:44 AM,07:40 AM,05:49 PM,10,14,15,14,26,0,72,0.0,1018,18,10,53,14,Faro
2019-01-26,17,14,0.0,8.7,5,59,No moonrise,11:18 AM,07:39 AM,05:50 PM,9,14,15,14,19,2,69,0.0,1020,17,10,108,10,Faro
2019-01-27,16,12,0.0,8.7,4,51,12:07 AM,11:51 AM,07:39 AM,05:51 PM,8,12,13,12,27,14,72,0.0,1021,16,10,332,18,Faro
2019-01-28,16,11,0.0,8.7,4,44,01:11 AM,12:25 PM,07:38 AM,05:52 PM,8,11,13,11,34,8,71,0.0,1025,16,10,336,24,Faro
2019-01-29,15,12,0.0,7.1,3,37,02:13 AM,01:00 PM,07:37 AM,05:53 PM,10,12,13,12,26,31,79,0.1,1023,15,10,307,18,Faro
2019-01-30,16,12,0.0,3.8,3,30,03:13 AM,01:39 PM,07:36 AM,05:54 PM,11,13,14,13,32,72,84,0.4,1019,16,9,283,23,Faro
2019-01-31,16,14,0.0,5.4,4,26,04:11 AM,02:21 PM,07:36 AM,05:55 PM,12,14,15,14,45,73,82,0.8,1012,16,10,262,31,Faro
2019-02-01,15,12,0.0,8.7,3,8,05:05 AM,03:07 PM,07:35 AM,05:56 PM,9,12,14,12,61,59,73,13.9,1007,15,9,281,44,Faro
2019-02-02,13,11,0.0,8.7,4,1,05:56 AM,03:56 PM,07:34 AM,05:58 PM,4,9,12,9,39,3,61,0.0,1018,13,10,325,28,Faro
2019-02-03,14,9,0.0,8.7,4,0,06:42 AM,04:49 PM,07:33 AM,05:59 PM,2,8,11,8,27,2,55,0.0,1028,14,10,198,18,Faro
2019-02-04,16,9,0.0,10.7,4,0,07:23 AM,05:44 PM,07:32 AM,06:00 PM,2,10,12,10,22,3,52,0.0,1029,16,10,79,13,Faro
2019-02-05,16,11,0.0,10.7,4,0,08:00 AM,06:39 PM,07:31 AM,06:01 PM,4,13,13,13,18,6,54,0.0,1028,16,10,105,9,Faro
2019-02-06,17,13,0.0,10.7,4,7,08:33 AM,07:35 PM,07:30 AM,06:02 PM,8,14,14,14,16,11,65,0.0,1026,17,10,126,9,Faro
2019-02-07,17,12,0.0,10.7,4,14,09:04 AM,08:31 PM,07:30 AM,06:03 PM,7,13,14,13,18,6,62,0.0,1025,17,10,161,9,Faro
2019-02-08,16,11,0.0,10.8,4,22,09:34 AM,09:28 PM,07:29 AM,06:04 PM,9,13,13,13,17,4,73,0.0,1024,16,10,169,10,Faro
2019-02-09,15,11,0.0,10.8,4,29,10:02 AM,10:24 PM,07:28 AM,06:05 PM,8,12,13,12,15,5,76,0.0,1024,15,10,167,9,Faro
2019-02-10,16,11,0.0,10.0,3,37,10:30 AM,11:22 PM,07:27 AM,06:06 PM,9,12,13,12,14,39,78,0.0,1027,16,10,252,9,Faro
2019-02-11,18,13,0.0,10.8,5,44,11:00 AM,No moonset,07:25 AM,06:07 PM,10,14,15,14,13,19,75,0.0,1028,18,10,285,8,Faro
2019-02-12,16,12,0.0,10.8,4,52,11:33 AM,12:21 AM,07:24 AM,06:08 PM,9,13,14,13,24,8,72,0.0,1027,16,10,72,15,Faro
2019-02-13,16,13,0.0,10.9,4,60,12:09 PM,01:23 AM,07:23 AM,06:09 PM,10,14,15,14,24,0,77,0.0,1026,16,10,89,15,Faro
2019-02-14,17,14,0.0,10.9,5,67,12:52 PM,02:26 AM,07:22 AM,06:10 PM,11,14,15,14,41,4,79,0.0,1025,17,10,116,28,Faro
2019-02-15,16,13,0.0,8.5,3,75,01:43 PM,03:31 AM,07:21 AM,06:11 PM,10,14,14,14,27,60,74,0.0,1023,16,10,94,17,Faro
2019-02-16,16,13,0.0,8.5,3,82,02:42 PM,04:34 AM,07:20 AM,06:12 PM,9,14,14,14,25,44,70,0.0,1021,16,10,69,16,Faro
2019-02-17,15,13,0.0,5.5,3,90,03:48 PM,05:34 AM,07:19 AM,06:13 PM,11,13,14,13,34,55,81,0.6,1020,15,10,117,22,Faro
