date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,30,22,0.0,13.2,7,26,01:39 AM,02:39 PM,05:06 AM,06:24 PM,22,28,28,25,13,32,84,0.8,1016,30,9,228,9,Fundao
2019-01-02,31,22,0.0,13.2,6,19,02:20 AM,03:34 PM,05:06 AM,06:25 PM,22,29,29,26,13,25,81,0.0,1017,31,9,224,8,Fundao
2019-01-03,32,22,0.0,13.2,7,11,03:04 AM,04:27 PM,05:07 AM,06:25 PM,22,29,29,26,14,19,80,0.1,1014,32,10,221,10,Fundao
2019-01-04,32,22,0.0,13.2,7,4,03:51 AM,05:20 PM,05:08 AM,06:25 PM,22,29,29,26,16,14,79,0.2,1014,32,10,220,11,Fundao
2019-01-05,32,22,0.0,13.2,7,0,04:38 AM,06:10 PM,05:08 AM,06:25 PM,21,29,29,26,15,12,78,0.0,1014,32,10,183,10,Fundao
2019-01-06,31,21,0.0,13.2,7,0,05:29 AM,06:58 PM,05:09 AM,06:26 PM,21,28,28,25,14,14,78,0.0,1015,31,10,179,9,Fundao
2019-01-07,31,22,0.0,13.2,7,3,06:19 AM,07:44 PM,05:10 AM,06:26 PM,21,28,28,26,11,15,78,0.0,1017,31,10,138,8,Fundao
2019-01-08,30,22,0.0,13.2,6,10,07:10 AM,08:25 PM,05:10 AM,06:26 PM,21,28,28,25,10,16,77,0.3,1017,30,10,158,7,Fundao
2019-01-09,30,22,0.0,13.2,6,18,08:00 AM,09:05 PM,05:11 AM,06:26 PM,21,27,27,25,10,29,78,0.4,1016,30,10,163,7,Fundao
2019-01-10,30,22,0.0,13.1,6,25,08:49 AM,09:43 PM,05:12 AM,06:26 PM,21,28,28,25,8,28,80,3.0,1016,30,10,133,6,Fundao
2019-01-11,29,23,0.0,13.1,6,32,09:39 AM,10:18 PM,05:12 AM,06:26 PM,22,28,28,26,8,38,83,6.9,1016,29,9,158,6,Fundao
2019-01-12,30,22,0.0,13.1,6,39,10:27 AM,10:54 PM,05:13 AM,06:27 PM,21,28,28,26,8,19,79,1.4,1016,30,10,134,6,Fundao
2019-01-13,30,22,0.0,13.1,6,47,11:17 AM,11:31 PM,05:14 AM,06:27 PM,21,28,28,25,9,28,80,1.6,1016,30,10,149,6,Fundao
2019-01-14,31,22,0.0,13.1,6,54,12:08 PM,No moonset,05:14 AM,06:27 PM,22,28,28,26,9,31,79,0.9,1016,31,10,137,6,Fundao
2019-01-15,31,22,0.0,13.1,7,61,01:01 PM,12:08 AM,05:15 AM,06:27 PM,22,29,29,26,10,33,79,0.3,1016,31,10,179,7,Fundao
2019-01-16,32,23,0.0,13.1,6,69,01:57 PM,12:49 AM,05:16 AM,06:27 PM,22,29,29,26,12,24,78,0.2,1016,32,10,224,8,Fundao
2019-01-17,32,22,0.0,13.1,7,76,02:57 PM,01:35 AM,05:16 AM,06:27 PM,21,29,29,26,13,17,76,0.0,1016,32,10,176,9,Fundao
2019-01-18,32,21,0.0,13.1,7,83,03:59 PM,02:25 AM,05:17 AM,06:27 PM,21,28,28,26,13,12,75,0.0,1015,32,10,178,9,Fundao
2019-01-19,32,22,0.0,13.1,7,90,05:03 PM,03:22 AM,05:18 AM,06:27 PM,21,29,29,26,12,26,77,0.1,1014,32,10,132,8,Fundao
2019-01-20,32,23,0.0,13.1,7,98,06:05 PM,04:24 AM,05:18 AM,06:27 PM,21,29,29,26,14,20,74,0.0,1015,32,10,183,10,Fundao
2019-01-21,31,22,0.0,13.1,6,100,07:04 PM,05:30 AM,05:19 AM,06:27 PM,21,29,29,26,13,23,75,0.2,1017,31,10,186,9,Fundao
2019-01-22,31,22,0.0,13.1,7,88,07:58 PM,06:37 AM,05:20 AM,06:26 PM,21,28,28,26,11,25,75,0.2,1016,31,10,184,8,Fundao
2019-01-23,31,21,0.0,13.1,7,81,08:47 PM,07:43 AM,05:20 AM,06:26 PM,21,28,28,25,11,26,78,0.3,1016,31,10,176,7,Fundao
2019-01-24,31,23,0.0,13.1,6,73,09:33 PM,08:46 AM,05:21 AM,06:26 PM,21,29,29,26,10,32,78,0.4,1016,31,10,135,8,Fundao
2019-01-25,31,22,0.0,13.0,6,66,10:16 PM,09:47 AM,05:22 AM,06:26 PM,21,28,28,26,11,24,79,2.4,1016,31,10,148,7,Fundao
2019-01-26,31,23,0.0,13.0,6,59,10:57 PM,10:44 AM,05:22 AM,06:26 PM,22,29,29,26,9,26,79,4.5,1017,31,9,136,7,Fundao
2019-01-27,32,23,0.0,13.0,6,51,11:39 PM,11:41 AM,05:23 AM,06:26 PM,22,29,29,26,9,26,79,3.5,1017,32,10,155,7,Fundao
2019-01-28,31,23,0.0,13.0,6,44,No moonrise,12:35 PM,05:24 AM,06:25 PM,22,30,30,27,10,27,79,8.2,1018,31,10,124,7,Fundao
2019-01-29,32,23,0.0,13.0,6,37,12:20 AM,01:30 PM,05:24 AM,06:25 PM,22,30,30,27,8,26,76,0.4,1017,32,10,143,6,Fundao
2019-01-30,34,23,0.0,13.0,7,30,01:03 AM,02:23 PM,05:25 AM,06:25 PM,21,30,30,28,9,26,72,0.0,1016,34,10,191,7,Fundao
2019-01-31,35,22,0.0,13.0,7,26,01:49 AM,03:16 PM,05:25 AM,06:24 PM,20,31,31,28,12,13,69,0.0,1015,35,10,219,8,Fundao
2019-02-01,34,23,0.0,13.0,6,8,02:35 AM,04:06 PM,05:26 AM,06:24 PM,21,31,31,28,11,28,70,0.1,1016,34,10,178,8,Fundao
