date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,25,16,0.0,12.9,5,26,01:56 AM,02:40 PM,05:37 AM,06:27 PM,17,19,20,19,8,49,87,41.4,1015,25,8,271,4,Gouveia
2019-01-02,22,17,0.0,10.6,4,19,02:39 AM,03:32 PM,05:37 AM,06:27 PM,17,18,19,18,7,68,93,39.9,1015,22,8,300,5,Gouveia
2019-01-03,24,16,0.0,11.9,5,11,03:25 AM,04:24 PM,05:38 AM,06:28 PM,17,20,20,20,7,67,86,20.0,1014,24,7,284,4,Gouveia
2019-01-04,23,16,0.0,10.6,4,4,04:12 AM,05:16 PM,05:38 AM,06:28 PM,17,19,19,19,7,68,92,43.8,1015,23,6,264,4,Gouveia
2019-01-05,22,16,0.0,9.3,4,0,05:01 AM,06:06 PM,05:39 AM,06:28 PM,17,18,18,18,7,75,93,39.0,1015,22,7,288,4,Gouveia
2019-01-06,22,16,0.0,10.6,4,0,05:51 AM,06:55 PM,05:40 AM,06:29 PM,16,18,19,18,11,64,89,6.9,1015,22,10,228,7,Gouveia
2019-01-07,24,15,0.0,12.9,5,3,06:40 AM,07:42 PM,05:40 AM,06:29 PM,17,19,20,19,10,53,87,21.3,1013,24,7,261,5,Gouveia
2019-01-08,21,17,0.0,12.9,4,10,07:30 AM,08:26 PM,05:41 AM,06:29 PM,17,18,19,18,8,47,91,30.1,1013,21,9,308,5,Gouveia
2019-01-09,24,16,0.0,12.9,5,18,08:18 AM,09:08 PM,05:41 AM,06:30 PM,17,19,20,19,9,49,88,30.8,1013,24,7,283,5,Gouveia
2019-01-10,25,16,0.0,12.9,5,25,09:06 AM,09:48 PM,05:42 AM,06:30 PM,17,19,19,19,8,47,88,23.0,1013,25,7,259,5,Gouveia
2019-01-11,23,16,0.0,12.9,5,32,09:53 AM,10:26 PM,05:42 AM,06:30 PM,17,19,20,19,9,42,88,21.9,1013,23,7,306,5,Gouveia
2019-01-12,26,15,0.0,12.9,5,39,10:39 AM,11:04 PM,05:43 AM,06:30 PM,16,20,20,20,10,27,79,3.4,1013,26,8,250,6,Gouveia
2019-01-13,26,16,0.0,12.9,5,47,11:26 AM,11:43 PM,05:44 AM,06:31 PM,16,20,20,20,10,41,79,4.5,1013,26,9,264,6,Gouveia
2019-01-14,25,16,0.0,12.9,5,54,12:13 PM,No moonset,05:44 AM,06:31 PM,15,19,20,19,13,41,79,4.7,1013,25,9,267,9,Gouveia
2019-01-15,21,15,0.0,10.6,4,61,01:04 PM,12:23 AM,05:45 AM,06:31 PM,14,17,17,17,8,53,86,4.9,1015,21,8,260,6,Gouveia
2019-01-16,20,15,0.0,12.9,4,69,01:57 PM,01:07 AM,05:45 AM,06:31 PM,14,16,16,16,7,56,86,3.5,1016,20,7,277,5,Gouveia
2019-01-17,24,15,0.0,12.9,5,76,02:53 PM,01:54 AM,05:46 AM,06:31 PM,15,19,19,19,7,52,80,10.6,1014,24,10,258,4,Gouveia
2019-01-18,24,16,0.0,12.9,5,83,03:54 PM,02:46 AM,05:46 AM,06:31 PM,17,19,20,19,10,53,88,40.4,1013,24,8,268,5,Gouveia
