date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,34,24,0.0,12.8,7,26,01:54 AM,02:35 PM,05:31 AM,06:12 PM,16,29,29,28,23,19,50,0.1,1013,34,10,99,16,Ilha+da+Madeira
2019-01-02,33,24,0.0,12.8,7,19,02:39 AM,03:26 PM,05:32 AM,06:12 PM,17,29,29,28,28,8,54,0.0,1014,33,10,88,20,Ilha+da+Madeira
2019-01-03,34,23,0.0,12.8,7,11,03:26 AM,04:17 PM,05:32 AM,06:12 PM,16,29,29,28,28,8,51,0.0,1013,34,10,96,20,Ilha+da+Madeira
2019-01-04,35,23,0.0,12.8,7,4,04:14 AM,05:09 PM,05:33 AM,06:13 PM,17,29,29,28,23,10,53,0.0,1013,35,10,83,16,Ilha+da+Madeira
2019-01-05,34,23,0.0,12.8,6,0,05:03 AM,05:59 PM,05:33 AM,06:13 PM,17,29,29,28,21,16,55,0.9,1013,34,10,86,14,Ilha+da+Madeira
2019-01-06,32,24,0.0,12.8,7,0,05:53 AM,06:47 PM,05:34 AM,06:13 PM,16,28,28,27,18,42,54,1.4,1013,32,10,108,12,Ilha+da+Madeira
2019-01-07,33,23,0.0,11.9,6,3,06:42 AM,07:34 PM,05:34 AM,06:14 PM,16,28,28,27,21,42,54,0.0,1013,33,10,93,15,Ilha+da+Madeira
2019-01-08,33,22,0.0,12.8,7,10,07:31 AM,08:18 PM,05:35 AM,06:14 PM,16,28,28,27,18,21,54,0.0,1013,33,10,104,13,Ilha+da+Madeira
2019-01-09,33,23,0.0,12.8,7,18,08:19 AM,09:01 PM,05:36 AM,06:14 PM,17,29,29,27,22,27,55,0.0,1012,33,10,99,16,Ilha+da+Madeira
2019-01-10,30,23,0.0,12.8,6,25,09:05 AM,09:41 PM,05:36 AM,06:15 PM,18,27,27,26,24,42,64,0.6,1013,30,9,96,17,Ilha+da+Madeira
