date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,30,16,0.0,13.3,5,26,01:57 AM,03:06 PM,05:20 AM,06:53 PM,19,22,22,22,9,48,86,15.3,1014,30,5,163,6,Ilha+de+Sao+Miguel
2019-01-02,29,17,0.0,13.3,6,19,02:38 AM,04:01 PM,05:21 AM,06:54 PM,20,24,24,23,9,36,85,22.7,1015,29,6,199,6,Ilha+de+Sao+Miguel
2019-01-03,30,20,0.0,13.3,6,11,03:21 AM,04:56 PM,05:21 AM,06:54 PM,20,25,25,23,14,29,84,41.8,1012,30,7,283,10,Ilha+de+Sao+Miguel
2019-01-04,27,19,0.0,10.8,5,4,04:06 AM,05:49 PM,05:22 AM,06:54 PM,21,24,24,22,15,66,93,104.9,1012,27,5,295,9,Ilha+de+Sao+Miguel
2019-01-05,22,18,0.0,10.8,5,0,04:54 AM,06:39 PM,05:23 AM,06:54 PM,20,20,21,20,7,70,96,52.0,1013,22,6,285,4,Ilha+de+Sao+Miguel
2019-01-06,29,18,0.0,12.0,5,0,05:44 AM,07:28 PM,05:24 AM,06:55 PM,20,24,24,23,7,44,85,21.8,1014,29,8,123,4,Ilha+de+Sao+Miguel
2019-01-07,32,20,0.0,13.3,6,3,06:35 AM,08:12 PM,05:24 AM,06:55 PM,18,25,25,24,12,15,75,1.0,1014,32,9,214,8,Ilha+de+Sao+Miguel
2019-01-08,33,20,0.0,13.3,6,10,07:27 AM,08:53 PM,05:25 AM,06:55 PM,20,26,26,25,8,13,77,11.7,1015,33,9,181,5,Ilha+de+Sao+Miguel
2019-01-09,34,20,0.0,13.3,7,18,08:17 AM,09:32 PM,05:26 AM,06:55 PM,18,25,25,25,9,7,72,0.6,1014,34,10,87,6,Ilha+de+Sao+Miguel
2019-01-10,31,19,0.0,13.3,6,25,09:08 AM,10:07 PM,05:26 AM,06:55 PM,19,24,24,23,7,20,77,5.6,1014,31,10,129,5,Ilha+de+Sao+Miguel
2019-01-11,30,19,0.0,13.3,5,32,09:58 AM,10:42 PM,05:27 AM,06:55 PM,19,24,24,23,7,27,82,16.8,1015,30,8,122,4,Ilha+de+Sao+Miguel
2019-01-12,31,18,0.0,13.3,6,39,10:49 AM,11:17 PM,05:28 AM,06:55 PM,18,24,24,23,9,22,79,11.0,1016,31,6,119,6,Ilha+de+Sao+Miguel
2019-01-13,33,18,0.0,13.3,6,47,11:40 AM,11:52 PM,05:29 AM,06:55 PM,20,24,24,23,9,50,84,16.5,1016,33,5,116,6,Ilha+de+Sao+Miguel
2019-01-14,30,18,0.0,13.3,6,54,12:32 PM,No moonset,05:29 AM,06:55 PM,20,24,24,23,8,20,83,35.0,1015,30,8,164,5,Ilha+de+Sao+Miguel
2019-01-15,30,20,0.0,13.3,6,61,01:27 PM,12:28 AM,05:30 AM,06:55 PM,21,25,25,23,11,38,84,51.9,1014,30,6,183,7,Ilha+de+Sao+Miguel
2019-01-16,31,20,0.0,13.2,6,69,02:24 PM,01:08 AM,05:31 AM,06:55 PM,20,25,25,24,12,24,78,8.8,1015,31,9,327,8,Ilha+de+Sao+Miguel
2019-01-17,32,19,0.0,13.2,6,76,03:25 PM,01:52 AM,05:31 AM,06:55 PM,19,25,25,24,8,33,74,10.4,1014,32,9,153,5,Ilha+de+Sao+Miguel
2019-01-18,34,18,0.0,13.2,6,83,04:28 PM,02:41 AM,05:32 AM,06:55 PM,19,25,25,24,7,18,77,10.1,1014,34,9,92,5,Ilha+de+Sao+Miguel
2019-01-19,34,19,0.0,13.2,6,90,05:32 PM,03:38 AM,05:33 AM,06:55 PM,19,25,25,24,6,21,77,13.2,1012,34,7,174,5,Ilha+de+Sao+Miguel
2019-01-20,30,19,0.0,13.2,5,98,06:34 PM,04:40 AM,05:34 AM,06:55 PM,20,24,24,23,8,32,86,23.7,1014,30,8,147,6,Ilha+de+Sao+Miguel
2019-01-21,32,20,0.0,13.2,6,100,07:32 PM,05:47 AM,05:34 AM,06:55 PM,20,26,26,24,10,26,78,13.2,1014,32,8,178,7,Ilha+de+Sao+Miguel
2019-01-22,30,20,0.0,13.2,6,88,08:25 PM,06:54 AM,05:35 AM,06:54 PM,20,25,25,24,9,36,83,16.3,1015,30,8,89,6,Ilha+de+Sao+Miguel
2019-01-23,32,19,0.0,13.2,6,81,09:13 PM,08:01 AM,05:36 AM,06:54 PM,19,24,24,23,9,42,82,10.4,1016,32,7,121,6,Ilha+de+Sao+Miguel
2019-01-24,31,18,0.0,13.2,6,73,09:57 PM,09:06 AM,05:37 AM,06:54 PM,20,24,24,23,9,51,86,34.3,1015,31,4,135,5,Ilha+de+Sao+Miguel
2019-01-25,26,15,0.0,13.2,5,66,10:38 PM,10:08 AM,05:37 AM,06:54 PM,18,20,21,20,7,44,91,85.7,1015,26,5,144,4,Ilha+de+Sao+Miguel
2019-01-26,25,16,0.0,13.2,5,59,11:18 PM,11:08 AM,05:38 AM,06:53 PM,18,20,21,20,9,29,86,19.8,1016,25,8,85,6,Ilha+de+Sao+Miguel
2019-01-27,31,17,0.0,13.1,6,51,11:58 PM,12:05 PM,05:39 AM,06:53 PM,17,23,23,22,10,17,74,0.3,1016,31,9,105,6,Ilha+de+Sao+Miguel
2019-01-28,34,19,0.0,13.1,7,44,No moonrise,01:02 PM,05:39 AM,06:53 PM,18,25,25,24,9,14,70,0.1,1018,34,10,64,5,Ilha+de+Sao+Miguel
2019-01-29,34,20,0.0,13.1,7,37,12:38 AM,01:57 PM,05:40 AM,06:52 PM,18,27,27,26,7,17,64,0.1,1017,34,10,140,4,Ilha+de+Sao+Miguel
2019-01-30,34,21,0.0,13.1,7,30,01:20 AM,02:52 PM,05:41 AM,06:52 PM,17,29,29,28,9,10,60,0.0,1016,34,10,143,6,Ilha+de+Sao+Miguel
2019-01-31,34,20,0.0,13.1,7,26,02:04 AM,03:45 PM,05:42 AM,06:52 PM,17,29,29,28,8,6,60,0.0,1014,34,10,172,5,Ilha+de+Sao+Miguel
2019-02-01,36,21,0.0,13.1,8,8,02:51 AM,04:36 PM,05:42 AM,06:51 PM,17,31,31,29,6,6,59,0.0,1015,36,10,114,4,Ilha+de+Sao+Miguel
2019-02-02,34,20,0.0,13.1,6,1,03:40 AM,05:24 PM,05:43 AM,06:51 PM,17,27,27,26,7,17,65,1.0,1014,34,10,161,5,Ilha+de+Sao+Miguel
2019-02-03,30,18,0.0,13.1,5,0,04:30 AM,06:10 PM,05:44 AM,06:50 PM,18,22,22,22,9,23,81,15.5,1014,30,8,178,6,Ilha+de+Sao+Miguel
2019-02-04,21,16,0.0,8.2,4,0,05:22 AM,06:52 PM,05:44 AM,06:50 PM,18,19,19,19,12,98,97,64.6,1015,21,5,125,8,Ilha+de+Sao+Miguel
2019-02-05,24,16,0.0,8.2,4,0,06:13 AM,07:31 PM,05:45 AM,06:49 PM,17,19,19,19,12,94,92,1.0,1016,24,5,127,9,Ilha+de+Sao+Miguel
2019-02-06,22,16,0.0,8.1,4,7,07:04 AM,08:08 PM,05:46 AM,06:49 PM,17,18,18,18,13,93,97,29.8,1014,22,7,109,8,Ilha+de+Sao+Miguel
2019-02-07,26,15,0.0,13.0,5,14,07:54 AM,08:43 PM,05:46 AM,06:48 PM,17,19,20,19,9,65,89,3.7,1012,26,7,128,5,Ilha+de+Sao+Miguel
2019-02-08,29,14,0.0,13.0,5,22,08:44 AM,09:18 PM,05:47 AM,06:48 PM,16,21,21,20,8,54,82,1.3,1012,29,5,133,5,Ilha+de+Sao+Miguel
2019-02-09,31,16,0.0,13.0,5,29,09:35 AM,09:52 PM,05:48 AM,06:47 PM,16,22,22,22,10,44,76,0.0,1013,31,5,116,7,Ilha+de+Sao+Miguel
2019-02-10,33,16,0.0,13.0,6,37,10:25 AM,10:26 PM,05:48 AM,06:46 PM,17,23,23,22,9,39,77,1.6,1012,33,7,127,6,Ilha+de+Sao+Miguel
2019-02-11,32,18,0.0,13.0,6,44,11:18 AM,11:04 PM,05:49 AM,06:46 PM,18,24,24,23,13,24,74,8.4,1012,32,9,184,8,Ilha+de+Sao+Miguel
2019-02-12,26,18,0.0,13.0,5,52,12:13 PM,11:45 PM,05:49 AM,06:45 PM,20,24,24,22,10,55,91,37.2,1013,26,7,255,6,Ilha+de+Sao+Miguel
2019-02-13,21,17,0.0,8.1,4,60,01:10 PM,No moonset,05:50 AM,06:44 PM,19,19,19,19,12,98,98,28.6,1015,21,4,157,8,Ilha+de+Sao+Miguel
2019-02-14,22,14,0.0,10.6,4,67,02:10 PM,12:30 AM,05:51 AM,06:44 PM,16,18,18,18,10,82,89,0.3,1016,22,4,114,7,Ilha+de+Sao+Miguel
2019-02-15,25,14,0.0,10.6,5,75,03:12 PM,01:21 AM,05:51 AM,06:43 PM,18,19,20,19,10,81,93,27.6,1012,25,5,138,6,Ilha+de+Sao+Miguel
2019-02-16,23,18,0.0,11.9,5,82,04:13 PM,02:18 AM,05:52 AM,06:42 PM,20,20,21,20,11,70,97,120.5,1008,23,6,197,6,Ilha+de+Sao+Miguel
2019-02-17,26,19,0.0,12.9,5,90,05:13 PM,03:22 AM,05:52 AM,06:42 PM,19,21,22,21,4,55,91,14.3,1010,26,8,229,3,Ilha+de+Sao+Miguel
2019-02-18,30,17,0.0,12.9,5,97,06:08 PM,04:28 AM,05:53 AM,06:41 PM,18,22,22,21,6,56,86,6.9,1012,30,6,285,4,Ilha+de+Sao+Miguel
2019-02-19,29,17,0.0,12.9,5,100,06:59 PM,05:37 AM,05:53 AM,06:40 PM,19,23,23,21,12,40,86,12.6,1012,29,9,262,7,Ilha+de+Sao+Miguel
2019-02-20,28,18,0.0,12.9,5,88,07:46 PM,06:43 AM,05:54 AM,06:39 PM,19,22,22,21,10,42,87,17.5,1011,28,7,266,6,Ilha+de+Sao+Miguel
2019-02-21,26,17,0.0,10.6,5,80,08:30 PM,07:49 AM,05:55 AM,06:39 PM,20,23,23,22,10,54,92,25.4,1014,26,5,111,5,Ilha+de+Sao+Miguel
2019-02-22,32,19,0.0,12.8,6,73,09:12 PM,08:52 AM,05:55 AM,06:38 PM,20,25,25,24,6,37,81,11.7,1016,32,7,138,4,Ilha+de+Sao+Miguel
2019-02-23,31,18,0.0,12.8,6,65,09:53 PM,09:53 AM,05:56 AM,06:37 PM,18,23,23,23,12,22,78,8.7,1013,31,7,195,8,Ilha+de+Sao+Miguel
2019-02-24,32,18,0.0,12.8,6,57,10:34 PM,10:52 AM,05:56 AM,06:36 PM,19,25,25,24,12,19,77,12.0,1011,32,9,287,8,Ilha+de+Sao+Miguel
2019-02-25,30,20,0.0,12.8,5,50,11:17 PM,11:50 AM,05:57 AM,06:35 PM,20,25,25,23,11,65,84,35.3,1010,30,7,320,7,Ilha+de+Sao+Miguel
2019-02-26,25,19,0.0,9.3,5,42,No moonrise,12:46 PM,05:57 AM,06:35 PM,20,23,23,21,7,84,91,17.5,1012,25,9,213,5,Ilha+de+Sao+Miguel
2019-02-27,25,19,0.0,9.3,5,35,12:02 AM,01:41 PM,05:58 AM,06:34 PM,20,21,22,21,6,77,92,18.8,1013,25,8,142,4,Ilha+de+Sao+Miguel
2019-02-28,23,18,0.0,8.0,5,27,12:48 AM,02:32 PM,05:58 AM,06:33 PM,20,20,21,20,10,94,98,87.3,1013,23,6,213,6,Ilha+de+Sao+Miguel
2019-03-01,24,18,0.0,8.0,5,26,01:37 AM,03:22 PM,05:59 AM,06:32 PM,20,20,21,20,8,85,97,27.4,1014,24,8,187,5,Ilha+de+Sao+Miguel
2019-03-02,25,17,0.0,10.6,5,19,02:26 AM,04:08 PM,05:59 AM,06:31 PM,20,20,21,20,5,68,95,33.4,1014,25,8,157,3,Ilha+de+Sao+Miguel
2019-03-03,24,18,0.0,9.1,5,12,03:17 AM,04:51 PM,06:00 AM,06:30 PM,19,20,20,20,7,62,95,47.5,1015,24,7,118,4,Ilha+de+Sao+Miguel
