date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,29,17,0.0,11.0,6,26,03:21 AM,03:08 PM,07:18 AM,06:20 PM,16,22,22,22,9,5,73,0.0,1018,29,10,100,7,Ilha+do+Pico
2019-01-02,29,15,0.0,11.0,6,19,04:15 AM,03:51 PM,07:19 AM,06:21 PM,15,21,21,21,11,10,74,0.0,1018,29,10,110,7,Ilha+do+Pico
2019-01-03,29,15,0.0,11.0,5,11,05:08 AM,04:36 PM,07:19 AM,06:21 PM,16,22,22,21,11,15,76,0.3,1017,29,10,120,8,Ilha+do+Pico
2019-01-04,28,14,0.0,11.0,6,4,06:01 AM,05:24 PM,07:19 AM,06:22 PM,14,19,19,19,8,10,79,0.4,1018,28,10,167,8,Ilha+do+Pico
2019-01-05,29,18,0.0,11.0,5,0,06:52 AM,06:13 PM,07:20 AM,06:23 PM,16,22,22,22,9,9,75,0.4,1018,29,9,112,6,Ilha+do+Pico
2019-01-06,27,14,0.0,11.0,5,0,07:42 AM,07:03 PM,07:20 AM,06:23 PM,16,20,21,20,7,18,81,1.1,1018,27,10,164,5,Ilha+do+Pico
2019-01-07,28,13,0.0,11.0,5,3,08:28 AM,07:54 PM,07:20 AM,06:24 PM,15,20,20,20,10,14,75,0.7,1018,28,10,94,5,Ilha+do+Pico
2019-01-08,27,12,0.0,11.1,6,10,09:12 AM,08:44 PM,07:20 AM,06:25 PM,14,19,20,19,9,17,75,0.1,1018,27,10,94,4,Ilha+do+Pico
2019-01-09,28,16,0.0,11.1,6,18,09:53 AM,09:34 PM,07:20 AM,06:25 PM,13,21,21,21,8,3,64,0.0,1017,28,10,89,4,Ilha+do+Pico
2019-01-10,30,16,0.0,11.1,6,25,10:31 AM,10:22 PM,07:21 AM,06:26 PM,13,21,21,21,9,7,63,0.3,1015,30,10,93,6,Ilha+do+Pico
2019-01-11,27,14,0.0,11.1,5,32,11:08 AM,11:11 PM,07:21 AM,06:26 PM,15,20,20,20,8,15,74,7.1,1016,27,9,144,4,Ilha+do+Pico
2019-01-12,27,13,0.0,11.1,5,39,11:44 AM,11:59 PM,07:21 AM,06:27 PM,15,20,20,20,8,27,75,3.2,1018,27,10,170,5,Ilha+do+Pico
2019-01-13,29,17,0.0,11.1,5,47,12:20 PM,No moonset,07:21 AM,06:28 PM,16,22,22,21,10,18,72,0.3,1019,29,10,97,5,Ilha+do+Pico
2019-01-14,28,18,0.0,11.1,6,54,12:58 PM,12:49 AM,07:21 AM,06:28 PM,16,22,22,22,8,18,74,0.2,1018,28,10,95,5,Ilha+do+Pico
2019-01-15,28,13,0.0,11.1,6,61,01:39 PM,01:41 AM,07:21 AM,06:29 PM,15,20,20,20,8,17,74,0.2,1017,28,10,132,6,Ilha+do+Pico
2019-01-16,29,11,0.0,11.1,6,69,02:22 PM,02:35 AM,07:21 AM,06:30 PM,12,19,19,19,9,11,68,0.0,1018,29,10,93,4,Ilha+do+Pico
2019-01-17,29,12,0.0,11.1,6,76,03:11 PM,03:33 AM,07:21 AM,06:30 PM,12,19,19,19,10,15,69,0.3,1019,29,10,92,4,Ilha+do+Pico
2019-01-18,27,14,0.0,11.1,5,83,04:06 PM,04:33 AM,07:21 AM,06:31 PM,15,19,20,19,7,24,76,1.7,1018,27,10,211,5,Ilha+do+Pico
2019-01-19,25,13,0.0,10.1,5,90,05:06 PM,05:37 AM,07:21 AM,06:32 PM,15,18,19,18,8,38,82,1.4,1017,25,9,221,7,Ilha+do+Pico
2019-01-20,27,15,0.0,11.1,5,98,06:10 PM,06:39 AM,07:21 AM,06:32 PM,17,21,21,21,9,27,79,0.4,1018,27,9,149,7,Ilha+do+Pico
2019-01-21,30,16,0.0,11.1,6,100,07:17 PM,07:41 AM,07:21 AM,06:33 PM,16,22,22,22,8,19,75,0.1,1019,30,10,137,6,Ilha+do+Pico
2019-01-22,31,13,0.0,11.1,6,88,08:23 PM,08:37 AM,07:21 AM,06:33 PM,10,19,19,20,11,4,59,0.0,1020,31,10,86,6,Ilha+do+Pico
2019-01-23,26,12,0.0,11.1,5,81,09:27 PM,09:29 AM,07:21 AM,06:34 PM,11,17,18,17,14,13,72,0.0,1020,26,10,107,10,Ilha+do+Pico
2019-01-24,28,13,0.0,11.1,6,73,10:27 PM,10:16 AM,07:21 AM,06:35 PM,16,21,21,20,9,13,77,0.1,1018,28,10,128,9,Ilha+do+Pico
2019-01-25,29,14,0.0,11.1,6,66,11:26 PM,11:01 AM,07:21 AM,06:35 PM,14,20,20,21,10,7,71,0.0,1018,29,10,116,7,Ilha+do+Pico
2019-01-26,26,12,0.0,11.2,5,59,No moonrise,11:44 AM,07:21 AM,06:36 PM,14,18,18,18,10,21,78,0.5,1017,26,10,103,8,Ilha+do+Pico
2019-01-27,27,12,0.0,11.2,6,51,12:22 AM,12:25 PM,07:21 AM,06:36 PM,13,18,19,18,14,15,74,0.1,1015,27,10,105,8,Ilha+do+Pico
2019-01-28,30,13,0.0,11.2,6,44,01:17 AM,01:07 PM,07:20 AM,06:37 PM,13,19,19,19,13,11,72,0.0,1015,30,10,103,9,Ilha+do+Pico
2019-01-29,28,14,0.0,11.2,7,37,02:11 AM,01:50 PM,07:20 AM,06:38 PM,18,23,23,23,9,17,75,0.1,1016,28,10,116,6,Ilha+do+Pico
2019-01-30,28,17,0.0,11.2,5,30,03:05 AM,02:34 PM,07:20 AM,06:38 PM,18,24,24,23,7,34,78,0.2,1017,28,10,191,6,Ilha+do+Pico
2019-01-31,29,17,0.0,11.2,6,26,03:57 AM,03:21 PM,07:20 AM,06:39 PM,17,24,24,23,10,6,75,0.0,1017,29,10,106,7,Ilha+do+Pico
2019-02-01,29,17,0.0,11.2,6,8,04:49 AM,04:09 PM,07:19 AM,06:39 PM,18,24,24,23,9,10,76,0.0,1018,29,10,119,6,Ilha+do+Pico
2019-02-02,27,15,0.0,11.2,5,1,05:38 AM,04:59 PM,07:19 AM,06:40 PM,17,20,20,20,9,19,82,0.4,1017,27,9,107,6,Ilha+do+Pico
2019-02-03,26,13,0.0,11.2,4,0,06:25 AM,05:49 PM,07:19 AM,06:40 PM,13,18,18,18,9,29,77,1.5,1016,26,10,194,6,Ilha+do+Pico
