date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,9,0.0,8.7,4,26,03:26 AM,02:17 PM,07:59 AM,05:15 PM,2,11,11,11,7,3,54,0.0,1032,17,10,115,4,Madalena
2019-01-02,17,7,0.0,8.7,4,19,04:28 AM,02:52 PM,07:59 AM,05:16 PM,4,10,10,10,7,14,65,0.0,1031,17,10,140,4,Madalena
2019-01-03,16,7,0.0,8.7,4,11,05:30 AM,03:30 PM,07:59 AM,05:17 PM,1,9,10,9,11,0,56,0.0,1028,16,10,99,7,Madalena
2019-01-04,14,6,0.0,8.7,3,4,06:29 AM,04:12 PM,07:59 AM,05:18 PM,-2,8,9,8,10,3,48,0.0,1031,14,10,97,6,Madalena
2019-01-05,17,6,0.0,8.7,4,0,07:24 AM,05:00 PM,07:59 AM,05:19 PM,-3,9,10,9,10,0,42,0.0,1035,17,10,92,5,Madalena
2019-01-06,17,7,0.0,8.7,4,0,08:13 AM,05:51 PM,07:59 AM,05:20 PM,-2,9,10,9,11,1,43,0.0,1033,17,10,96,6,Madalena
2019-01-07,17,7,0.0,8.7,4,3,08:57 AM,06:45 PM,07:59 AM,05:21 PM,-2,9,10,9,13,0,43,0.0,1031,17,10,98,7,Madalena
2019-01-08,15,6,0.0,8.7,4,10,09:36 AM,07:42 PM,07:59 AM,05:22 PM,1,8,10,8,13,2,54,0.0,1030,15,10,96,7,Madalena
2019-01-09,18,8,0.0,8.7,4,18,10:09 AM,08:40 PM,07:59 AM,05:23 PM,3,10,11,10,11,2,60,0.0,1025,18,10,91,6,Madalena
2019-01-10,12,6,0.0,8.7,3,25,10:40 AM,09:38 PM,07:58 AM,05:24 PM,2,6,8,6,18,1,68,0.0,1022,12,10,94,12,Madalena
2019-01-11,13,4,0.0,8.7,3,32,11:08 AM,10:36 PM,07:58 AM,05:25 PM,-0,6,7,6,14,1,59,0.0,1028,13,10,94,10,Madalena
2019-01-12,13,5,0.0,8.7,3,39,11:34 AM,11:35 PM,07:58 AM,05:26 PM,2,7,8,7,11,2,68,0.0,1031,13,10,90,7,Madalena
2019-01-13,14,6,0.0,8.7,3,47,12:00 PM,No moonset,07:58 AM,05:27 PM,3,8,9,8,10,2,67,0.0,1031,14,10,91,6,Madalena
2019-01-14,14,6,0.0,8.7,3,54,12:27 PM,12:34 AM,07:57 AM,05:28 PM,1,8,9,8,9,17,60,0.0,1025,14,10,124,4,Madalena
2019-01-15,13,7,0.0,5.3,2,61,12:57 PM,01:37 AM,07:57 AM,05:29 PM,3,8,9,8,9,53,67,0.0,1021,13,10,148,5,Madalena
2019-01-16,10,6,0.0,3.7,2,69,01:30 PM,02:41 AM,07:56 AM,05:30 PM,6,7,7,7,7,88,89,1.4,1019,10,8,173,4,Madalena
2019-01-17,11,5,0.0,8.7,3,76,02:08 PM,03:48 AM,07:56 AM,05:31 PM,4,6,7,6,8,20,79,0.0,1021,11,8,153,5,Madalena
2019-01-18,6,4,0.0,5.3,2,83,02:55 PM,04:57 AM,07:56 AM,05:33 PM,2,5,5,5,7,60,83,3.1,1021,6,10,141,4,Madalena
2019-01-19,10,4,0.0,3.7,2,90,03:51 PM,06:04 AM,07:55 AM,05:34 PM,7,6,8,6,15,87,94,30.5,1014,10,8,199,9,Madalena
2019-01-20,11,7,0.0,8.7,3,98,04:55 PM,07:09 AM,07:54 AM,05:35 PM,6,7,8,7,11,17,84,2.3,1019,11,10,327,7,Madalena
2019-01-21,12,5,0.0,8.7,3,100,06:07 PM,08:06 AM,07:54 AM,05:36 PM,4,7,8,7,7,12,79,0.0,1025,12,10,157,5,Madalena
2019-01-22,9,5,0.0,3.7,2,88,07:23 PM,08:55 AM,07:53 AM,05:37 PM,5,6,7,6,11,78,91,7.5,1022,9,9,271,6,Madalena
2019-01-23,11,8,0.0,3.7,3,81,08:38 PM,09:38 AM,07:53 AM,05:39 PM,8,7,10,7,25,100,93,2.8,1017,11,3,303,16,Madalena
2019-01-24,14,10,0.0,7.0,3,73,09:52 PM,10:14 AM,07:52 AM,05:40 PM,10,10,11,10,11,55,90,1.6,1018,14,6,316,7,Madalena
2019-01-25,17,8,0.0,8.7,4,66,11:03 PM,10:47 AM,07:51 AM,05:41 PM,7,11,11,11,8,10,76,0.0,1021,17,10,93,5,Madalena
2019-01-26,15,8,0.0,8.7,4,59,No moonrise,11:19 AM,07:50 AM,05:42 PM,5,9,10,9,10,33,73,0.0,1021,15,10,186,6,Madalena
2019-01-27,10,6,0.0,7.0,2,51,12:11 AM,11:49 AM,07:50 AM,05:43 PM,5,7,8,7,14,32,79,0.6,1022,10,9,308,9,Madalena
2019-01-28,11,6,0.0,3.7,2,44,01:18 AM,12:20 PM,07:49 AM,05:45 PM,7,7,8,7,14,77,90,2.2,1024,11,8,281,9,Madalena
2019-01-29,10,7,0.0,3.7,2,37,02:22 AM,12:54 PM,07:48 AM,05:46 PM,7,7,8,7,18,87,90,9.1,1020,10,7,255,11,Madalena
2019-01-30,9,2,0.0,3.8,2,30,03:24 AM,01:31 PM,07:47 AM,05:47 PM,7,5,7,5,17,86,91,32.5,1013,9,8,209,11,Madalena
2019-01-31,12,9,0.0,3.8,3,26,04:23 AM,02:11 PM,07:46 AM,05:48 PM,11,9,11,9,35,100,95,107.4,1002,12,6,260,23,Madalena
2019-02-01,9,5,0.0,3.8,2,8,05:19 AM,02:56 PM,07:45 AM,05:50 PM,3,4,8,4,48,83,74,32.3,998,9,8,286,27,Madalena
2019-02-02,9,4,0.0,8.7,3,1,06:10 AM,03:46 PM,07:44 AM,05:51 PM,1,3,6,3,19,19,69,0.8,1018,9,10,326,12,Madalena
2019-02-03,11,4,0.0,8.7,3,0,06:55 AM,04:39 PM,07:43 AM,05:52 PM,0,7,7,7,5,15,66,0.0,1029,11,10,184,3,Madalena
2019-02-04,12,4,0.0,8.7,3,0,07:36 AM,05:36 PM,07:42 AM,05:53 PM,-1,7,7,7,7,15,56,0.0,1031,12,10,173,4,Madalena
2019-02-05,16,6,0.0,8.7,4,0,08:11 AM,06:33 PM,07:41 AM,05:55 PM,6,10,10,10,6,9,75,0.0,1030,16,10,165,4,Madalena
2019-02-06,15,8,0.0,8.7,4,7,08:42 AM,07:31 PM,07:40 AM,05:56 PM,6,10,11,10,6,7,74,0.0,1027,15,10,195,4,Madalena
