date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,8,0.0,3.6,3,26,03:26 AM,02:22 PM,07:57 AM,05:22 PM,1,10,10,10,9,40,53,0.0,1032,16,10,146,5,Marinha+Grande
2019-01-02,15,8,0.0,8.7,4,19,04:28 AM,02:57 PM,07:57 AM,05:23 PM,6,10,10,10,11,0,74,0.0,1030,15,10,129,6,Marinha+Grande
2019-01-03,16,6,0.0,8.7,4,11,05:29 AM,03:36 PM,07:57 AM,05:24 PM,3,8,9,8,11,0,66,0.0,1028,16,10,111,6,Marinha+Grande
2019-01-04,15,6,0.0,7.0,3,4,06:27 AM,04:19 PM,07:57 AM,05:24 PM,3,8,9,8,14,13,66,0.0,1030,15,10,109,8,Marinha+Grande
2019-01-05,16,6,0.0,8.7,4,0,07:22 AM,05:07 PM,07:57 AM,05:25 PM,2,9,10,9,9,0,60,0.0,1034,16,10,120,5,Marinha+Grande
2019-01-06,17,7,0.0,8.7,4,0,08:11 AM,05:58 PM,07:57 AM,05:26 PM,1,10,10,10,9,0,55,0.0,1032,17,10,145,5,Marinha+Grande
2019-01-07,17,6,0.0,8.7,4,3,08:55 AM,06:52 PM,07:57 AM,05:27 PM,-1,9,10,9,9,0,46,0.0,1030,17,10,102,5,Marinha+Grande
2019-01-08,18,7,0.0,8.7,4,10,09:34 AM,07:48 PM,07:57 AM,05:28 PM,1,10,11,10,10,1,51,0.0,1029,18,10,173,5,Marinha+Grande
2019-01-09,17,8,0.0,8.7,4,18,10:09 AM,08:45 PM,07:57 AM,05:29 PM,4,11,11,11,8,2,62,0.0,1024,17,10,148,4,Marinha+Grande
2019-01-10,16,8,0.0,8.7,4,25,10:40 AM,09:42 PM,07:57 AM,05:30 PM,3,9,10,9,13,1,64,0.0,1020,16,10,100,7,Marinha+Grande
2019-01-11,14,6,0.0,8.7,3,32,11:09 AM,10:39 PM,07:57 AM,05:31 PM,-2,7,8,7,16,1,48,0.0,1026,14,10,76,9,Marinha+Grande
2019-01-12,15,5,0.0,8.7,3,39,11:36 AM,11:38 PM,07:56 AM,05:32 PM,2,7,9,7,11,0,64,0.0,1030,15,10,108,6,Marinha+Grande
