date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,32,16,0.0,11.6,7,26,02:52 AM,03:00 PM,06:56 AM,06:33 PM,11,23,23,23,7,9,52,0.4,1014,32,10,165,4,Medio+Tejo
2019-01-02,30,16,0.0,11.6,6,19,03:43 AM,03:46 PM,06:56 AM,06:33 PM,11,22,22,22,7,6,53,0.0,1015,30,10,193,4,Medio+Tejo
2019-01-03,31,15,0.0,11.6,6,11,04:34 AM,04:32 PM,06:56 AM,06:34 PM,9,22,22,22,9,4,45,0.0,1014,31,10,115,5,Medio+Tejo
2019-01-04,31,19,0.0,11.6,7,4,05:25 AM,05:21 PM,06:57 AM,06:34 PM,8,24,24,24,9,3,38,0.0,1013,31,10,106,6,Medio+Tejo
2019-01-05,31,16,0.0,11.6,7,0,06:15 AM,06:10 PM,06:57 AM,06:35 PM,8,22,22,23,8,4,42,0.0,1013,31,10,174,5,Medio+Tejo
2019-01-06,33,14,0.0,11.6,7,0,07:06 AM,07:00 PM,06:57 AM,06:35 PM,4,22,22,22,8,2,32,0.0,1013,33,10,192,4,Medio+Tejo
2019-01-07,31,14,0.0,11.6,6,3,07:54 AM,07:50 PM,06:58 AM,06:36 PM,2,21,21,21,9,9,29,0.0,1012,31,10,90,5,Medio+Tejo
2019-01-08,34,15,0.0,11.6,7,10,08:40 AM,08:38 PM,06:58 AM,06:36 PM,2,22,22,22,10,1,29,0.0,1012,34,10,111,6,Medio+Tejo
2019-01-09,34,15,0.0,11.6,7,18,09:24 AM,09:25 PM,06:59 AM,06:37 PM,4,22,22,23,8,1,33,0.0,1013,34,10,187,5,Medio+Tejo
2019-01-10,33,15,0.0,11.6,7,25,10:06 AM,10:11 PM,06:59 AM,06:38 PM,6,22,22,23,8,3,38,0.0,1013,33,10,194,5,Medio+Tejo
2019-01-11,35,15,0.0,11.6,7,32,10:46 AM,10:56 PM,06:59 AM,06:38 PM,5,23,23,23,8,0,35,0.0,1012,35,10,150,5,Medio+Tejo
2019-01-12,35,15,0.0,11.6,7,39,11:26 AM,11:42 PM,06:59 AM,06:39 PM,3,23,23,23,8,0,29,0.0,1011,35,10,163,5,Medio+Tejo
2019-01-13,32,16,0.0,11.4,7,47,12:05 PM,No moonset,07:00 AM,06:39 PM,4,22,22,23,9,0,30,0.0,1012,32,10,196,6,Medio+Tejo
2019-01-14,33,15,0.0,11.4,7,54,12:46 PM,12:27 AM,07:00 AM,06:40 PM,3,23,23,23,8,0,29,0.0,1012,33,10,200,5,Medio+Tejo
2019-01-15,33,16,0.0,11.4,7,61,01:29 PM,01:15 AM,07:00 AM,06:40 PM,3,23,23,23,8,0,28,0.0,1013,33,10,165,5,Medio+Tejo
2019-01-16,34,16,0.0,11.4,7,69,02:14 PM,02:05 AM,07:00 AM,06:40 PM,2,23,23,24,8,0,26,0.0,1013,34,10,169,5,Medio+Tejo
2019-01-17,35,16,0.0,11.4,7,76,03:05 PM,02:58 AM,07:01 AM,06:41 PM,3,23,23,24,8,0,27,0.0,1012,35,10,166,5,Medio+Tejo
2019-01-18,34,16,0.0,11.4,7,83,04:00 PM,03:56 AM,07:01 AM,06:41 PM,5,23,23,24,7,1,30,0.0,1012,34,10,163,5,Medio+Tejo
2019-01-19,33,17,0.0,11.4,7,90,05:00 PM,04:56 AM,07:01 AM,06:42 PM,6,24,24,24,7,2,33,0.0,1012,33,10,155,5,Medio+Tejo
2019-01-20,33,17,0.0,11.4,7,98,06:03 PM,05:59 AM,07:01 AM,06:42 PM,6,23,23,23,7,2,36,0.0,1013,33,10,193,4,Medio+Tejo
2019-01-21,32,17,0.0,11.4,7,100,07:08 PM,07:02 AM,07:01 AM,06:43 PM,7,23,23,24,7,1,37,0.0,1014,32,10,196,4,Medio+Tejo
2019-01-22,36,17,0.0,11.4,7,88,08:11 PM,08:02 AM,07:01 AM,06:43 PM,5,25,25,25,9,2,29,0.0,1012,36,10,85,6,Medio+Tejo
2019-01-23,31,21,0.0,11.4,7,81,09:12 PM,08:59 AM,07:02 AM,06:44 PM,6,25,25,24,8,3,32,0.0,1011,31,10,184,6,Medio+Tejo
2019-01-24,29,18,0.0,11.4,7,73,10:10 PM,09:52 AM,07:02 AM,06:44 PM,9,23,23,23,7,5,41,0.0,1013,29,10,196,5,Medio+Tejo
2019-01-25,34,19,0.0,11.4,7,66,11:05 PM,10:41 AM,07:02 AM,06:44 PM,7,23,23,24,8,8,37,0.0,1012,34,10,142,5,Medio+Tejo
2019-01-26,34,19,0.0,11.4,7,59,11:57 PM,11:28 AM,07:02 AM,06:45 PM,8,24,24,24,8,14,38,0.2,1012,34,10,190,5,Medio+Tejo
2019-01-27,32,20,0.0,11.4,7,51,No moonrise,12:13 PM,07:02 AM,06:45 PM,8,24,24,25,6,9,36,0.2,1012,32,10,197,5,Medio+Tejo
2019-01-28,34,18,0.0,11.4,7,44,12:49 AM,12:59 PM,07:02 AM,06:46 PM,7,25,25,25,8,9,35,0.0,1011,34,10,153,5,Medio+Tejo
2019-01-29,32,21,0.0,11.4,7,37,01:40 AM,01:44 PM,07:02 AM,06:46 PM,7,26,26,26,7,3,31,0.0,1011,32,10,187,5,Medio+Tejo
2019-01-30,34,17,0.0,11.4,7,30,02:31 AM,02:31 PM,07:02 AM,06:46 PM,5,26,26,26,8,4,31,0.0,1011,34,10,203,5,Medio+Tejo
2019-01-31,36,18,0.0,11.5,7,26,03:22 AM,03:19 PM,07:02 AM,06:47 PM,5,27,27,26,8,8,29,0.0,1011,36,10,163,5,Medio+Tejo
2019-02-01,34,18,0.0,11.5,7,8,04:12 AM,04:07 PM,07:02 AM,06:47 PM,7,24,24,24,9,8,35,0.0,1012,34,10,174,6,Medio+Tejo
2019-02-02,30,20,0.0,11.5,7,1,05:02 AM,04:56 PM,07:02 AM,06:47 PM,8,25,25,25,8,16,36,0.0,1011,30,10,194,5,Medio+Tejo
2019-02-03,33,19,0.0,11.5,7,0,05:51 AM,05:46 PM,07:02 AM,06:48 PM,8,24,24,24,8,5,37,0.0,1011,33,10,200,5,Medio+Tejo
2019-02-04,36,17,0.0,11.5,7,0,06:37 AM,06:34 PM,07:02 AM,06:48 PM,6,25,25,25,8,1,33,0.0,1011,36,10,156,5,Medio+Tejo
2019-02-05,37,18,0.0,11.5,7,0,07:22 AM,07:22 PM,07:02 AM,06:48 PM,6,25,25,26,8,0,30,0.0,1011,37,10,169,5,Medio+Tejo
2019-02-06,31,20,0.0,11.5,7,7,08:04 AM,08:08 PM,07:01 AM,06:48 PM,7,25,25,25,8,2,32,0.0,1011,31,10,199,5,Medio+Tejo
2019-02-07,37,19,0.0,11.5,7,14,08:45 AM,08:54 PM,07:01 AM,06:49 PM,7,25,25,26,9,0,32,0.0,1011,37,10,172,5,Medio+Tejo
2019-02-08,31,21,0.0,11.5,7,22,09:25 AM,09:39 PM,07:01 AM,06:49 PM,8,26,26,26,7,1,34,0.0,1011,31,10,214,6,Medio+Tejo
2019-02-09,36,18,0.0,11.5,7,29,10:04 AM,10:24 PM,07:01 AM,06:49 PM,7,26,26,26,6,2,32,0.0,1011,36,10,258,5,Medio+Tejo
2019-02-10,34,20,0.0,11.5,7,37,10:44 AM,11:10 PM,07:01 AM,06:49 PM,6,26,26,26,5,3,29,0.0,1011,34,10,154,4,Medio+Tejo
2019-02-11,33,19,0.0,11.5,7,44,11:25 AM,11:58 PM,07:01 AM,06:50 PM,8,24,24,25,6,5,36,0.0,1011,33,10,227,4,Medio+Tejo
