date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,26,24,0.0,8.7,6,26,03:06 AM,02:35 PM,07:08 AM,05:41 PM,20,27,27,25,19,36,75,0.6,1021,26,10,121,10,Mira
2019-01-02,27,20,0.0,8.7,7,19,04:02 AM,03:16 PM,07:08 AM,05:42 PM,19,26,26,25,21,30,71,0.2,1021,27,10,107,10,Mira
2019-01-03,28,24,0.0,8.7,6,11,04:57 AM,04:00 PM,07:09 AM,05:43 PM,21,28,28,25,23,31,78,1.4,1018,28,10,144,9,Mira
2019-01-04,28,24,0.0,8.7,7,4,05:51 AM,04:46 PM,07:09 AM,05:43 PM,20,27,27,26,22,9,73,0.3,1016,28,10,182,10,Mira
2019-01-05,26,21,0.0,8.7,6,0,06:43 AM,05:35 PM,07:09 AM,05:44 PM,17,25,25,23,22,18,67,0.0,1017,26,10,275,11,Mira
2019-01-06,24,12,0.0,8.7,6,0,07:33 AM,06:26 PM,07:09 AM,05:45 PM,13,19,20,19,19,7,68,0.0,1020,24,10,182,10,Mira
2019-01-07,25,21,0.0,8.7,6,3,08:18 AM,07:18 PM,07:09 AM,05:45 PM,15,25,25,23,18,5,62,0.0,1022,25,10,78,12,Mira
2019-01-08,27,22,0.0,8.7,5,10,09:00 AM,08:09 PM,07:10 AM,05:46 PM,16,26,26,24,10,19,62,0.0,1021,27,10,87,5,Mira
2019-01-09,25,21,0.0,7.1,5,18,09:39 AM,09:01 PM,07:10 AM,05:47 PM,15,24,24,22,16,36,64,0.0,1019,25,10,309,11,Mira
2019-01-10,20,15,0.0,8.7,5,25,10:14 AM,09:53 PM,07:10 AM,05:48 PM,5,17,17,17,24,4,45,0.0,1018,20,10,210,15,Mira
2019-01-11,22,15,0.0,8.7,5,32,10:49 AM,10:43 PM,07:10 AM,05:48 PM,12,19,20,19,20,26,66,0.4,1020,22,10,232,12,Mira
2019-01-12,25,21,0.0,8.7,6,39,11:22 AM,11:35 PM,07:10 AM,05:49 PM,16,24,24,23,29,37,66,0.3,1022,25,10,96,13,Mira
2019-01-13,27,22,0.0,8.7,5,47,11:56 AM,No moonset,07:10 AM,05:50 PM,18,26,26,24,11,21,70,1.0,1021,27,10,156,7,Mira
2019-01-14,25,20,0.0,8.7,6,54,12:30 PM,12:28 AM,07:10 AM,05:51 PM,14,23,23,22,14,5,62,0.0,1020,25,10,270,11,Mira
2019-01-15,21,17,0.0,7.1,4,61,01:08 PM,01:23 AM,07:10 AM,05:51 PM,12,18,18,18,18,33,65,0.0,1020,21,10,237,14,Mira
