date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,13,4,0.0,9.6,3,26,04:17 AM,03:09 PM,08:51 AM,06:06 PM,-1,7,7,7,6,2,57,0.0,1032,13,10,118,3,Miranda+do+Douro
2019-01-02,11,3,0.0,9.5,3,19,05:21 AM,03:43 PM,08:52 AM,06:06 PM,-0,5,6,5,10,0,66,0.0,1032,11,10,79,6,Miranda+do+Douro
2019-01-03,11,2,0.0,9.6,3,11,06:22 AM,04:20 PM,08:52 AM,06:07 PM,-5,2,5,2,20,10,52,0.0,1030,11,10,62,12,Miranda+do+Douro
2019-01-04,11,1,0.0,9.6,3,4,07:21 AM,05:03 PM,08:52 AM,06:08 PM,-10,3,4,3,16,2,35,0.0,1032,11,10,58,9,Miranda+do+Douro
2019-01-05,13,2,0.0,9.6,3,0,08:15 AM,05:50 PM,08:52 AM,06:09 PM,-9,5,5,5,7,0,35,0.0,1035,13,10,69,4,Miranda+do+Douro
2019-01-06,12,2,0.0,9.6,3,0,09:05 AM,06:41 PM,08:52 AM,06:10 PM,-7,5,5,5,8,0,42,0.0,1034,12,10,62,4,Miranda+do+Douro
2019-01-07,11,1,0.0,9.6,3,3,09:49 AM,07:36 PM,08:51 AM,06:11 PM,-7,3,4,3,11,1,46,0.0,1033,11,10,77,6,Miranda+do+Douro
2019-01-08,11,1,0.0,9.6,3,10,10:27 AM,08:33 PM,08:51 AM,06:12 PM,-2,3,4,3,10,6,65,0.0,1032,11,10,73,6,Miranda+do+Douro
2019-01-09,12,2,0.0,9.6,3,18,11:01 AM,09:31 PM,08:51 AM,06:13 PM,1,5,5,5,7,9,73,0.0,1026,12,10,113,4,Miranda+do+Douro
2019-01-10,8,0,0.0,9.6,2,25,11:32 AM,10:28 PM,08:51 AM,06:14 PM,-1,0,3,0,18,7,78,0.0,1025,8,10,77,11,Miranda+do+Douro
2019-01-11,8,-2,0.0,9.6,2,32,12:00 PM,11:27 PM,08:51 AM,06:15 PM,-3,-1,2,-1,14,4,71,0.0,1030,8,10,69,9,Miranda+do+Douro
2019-01-12,9,-1,0.0,9.7,2,39,12:26 PM,No moonset,08:50 AM,06:16 PM,-1,1,3,1,11,6,79,0.0,1033,9,10,64,6,Miranda+do+Douro
2019-01-13,10,-0,0.0,9.7,2,47,12:52 PM,12:26 AM,08:50 AM,06:17 PM,-1,3,4,3,6,3,75,0.0,1032,10,10,81,4,Miranda+do+Douro
2019-01-14,12,2,0.0,9.7,3,54,01:19 PM,01:26 AM,08:50 AM,06:18 PM,-1,4,5,4,10,8,66,0.0,1026,12,10,79,5,Miranda+do+Douro
2019-01-15,12,2,0.0,6.5,2,61,01:48 PM,02:28 AM,08:49 AM,06:20 PM,1,4,5,4,9,57,78,0.0,1022,12,10,117,5,Miranda+do+Douro
2019-01-16,10,2,0.0,9.7,3,69,02:21 PM,03:33 AM,08:49 AM,06:21 PM,2,3,5,3,12,43,85,0.0,1019,10,9,232,7,Miranda+do+Douro
2019-01-17,9,2,0.0,9.7,2,76,02:59 PM,04:40 AM,08:48 AM,06:22 PM,0,4,4,4,5,41,78,0.0,1021,9,7,183,3,Miranda+do+Douro
2019-01-18,6,-0,0.0,6.6,1,83,03:46 PM,05:49 AM,08:48 AM,06:23 PM,-1,1,2,1,11,50,82,0.9,1022,6,8,209,7,Miranda+do+Douro
2019-01-19,7,0,0.0,4.9,1,90,04:41 PM,06:57 AM,08:47 AM,06:24 PM,3,1,4,1,16,87,95,12.7,1014,7,6,224,10,Miranda+do+Douro
2019-01-20,11,3,0.0,9.8,3,98,05:46 PM,08:01 AM,08:47 AM,06:25 PM,2,4,6,4,16,26,79,0.2,1017,11,10,304,10,Miranda+do+Douro
2019-01-21,10,1,0.0,9.8,3,100,06:58 PM,08:58 AM,08:46 AM,06:27 PM,-0,3,4,3,10,19,77,0.0,1024,10,10,295,5,Miranda+do+Douro
2019-01-22,8,1,0.0,6.6,1,88,08:13 PM,09:48 AM,08:45 AM,06:28 PM,2,1,4,1,23,66,88,1.2,1020,8,7,262,14,Miranda+do+Douro
2019-01-23,12,5,0.0,8.3,2,81,09:29 PM,10:29 AM,08:45 AM,06:29 PM,5,5,8,5,35,64,82,0.1,1013,12,10,274,22,Miranda+do+Douro
2019-01-24,16,7,0.0,9.9,4,73,10:43 PM,11:06 AM,08:44 AM,06:30 PM,6,8,10,8,26,22,77,0.0,1015,16,10,307,15,Miranda+do+Douro
2019-01-25,14,5,0.0,9.9,3,66,11:54 PM,11:39 AM,08:43 AM,06:32 PM,4,7,8,7,8,5,78,0.0,1022,14,10,258,4,Miranda+do+Douro
2019-01-26,12,3,0.0,9.9,3,59,No moonrise,12:10 PM,08:42 AM,06:33 PM,3,5,6,5,13,26,79,0.0,1021,12,10,151,8,Miranda+do+Douro
2019-01-27,10,4,0.0,9.9,3,51,01:03 AM,12:40 PM,08:42 AM,06:34 PM,1,3,6,3,25,17,75,0.0,1020,10,10,275,16,Miranda+do+Douro
2019-01-28,11,2,0.0,9.9,2,44,02:09 AM,01:12 PM,08:41 AM,06:35 PM,3,3,6,3,26,40,81,0.0,1022,11,10,263,18,Miranda+do+Douro
2019-01-29,9,3,0.0,6.6,2,37,03:14 AM,01:45 PM,08:40 AM,06:37 PM,3,2,5,2,30,59,87,2.2,1018,9,7,263,20,Miranda+do+Douro
2019-01-30,6,-1,0.0,5.0,1,30,04:16 AM,02:21 PM,08:39 AM,06:38 PM,3,0,4,0,26,85,90,3.3,1012,6,8,244,17,Miranda+do+Douro
2019-01-31,10,7,0.0,5.0,2,26,05:16 AM,03:02 PM,08:38 AM,06:39 PM,8,6,9,6,43,94,93,29.0,1000,10,8,247,29,Miranda+do+Douro
2019-02-01,6,3,0.0,6.7,1,8,06:11 AM,03:47 PM,08:37 AM,06:40 PM,2,-1,5,-1,45,65,81,12.5,995,6,9,265,31,Miranda+do+Douro
2019-02-02,7,-0,0.0,10.1,2,1,07:02 AM,04:36 PM,08:36 AM,06:42 PM,-3,-1,3,-1,28,18,68,0.0,1015,7,10,295,18,Miranda+do+Douro
2019-02-03,8,-1,0.0,10.0,1,0,07:48 AM,05:30 PM,08:35 AM,06:43 PM,-3,1,2,1,5,21,71,0.0,1029,8,10,240,3,Miranda+do+Douro
2019-02-04,10,0,0.0,10.1,3,0,08:27 AM,06:26 PM,08:34 AM,06:44 PM,-3,3,4,3,7,15,61,0.0,1031,10,10,225,5,Miranda+do+Douro
2019-02-05,13,3,0.0,10.1,3,0,09:03 AM,07:24 PM,08:33 AM,06:45 PM,3,7,7,7,5,11,78,0.0,1030,13,10,207,3,Miranda+do+Douro
2019-02-06,13,4,0.0,10.2,3,7,09:35 AM,08:21 PM,08:32 AM,06:47 PM,3,7,8,7,9,7,76,0.0,1026,13,10,167,5,Miranda+do+Douro
2019-02-07,12,3,0.0,10.2,3,14,10:03 AM,09:20 PM,08:30 AM,06:48 PM,3,5,7,5,14,12,78,0.0,1025,12,10,258,8,Miranda+do+Douro
2019-02-08,11,2,0.0,10.2,3,22,10:29 AM,10:18 PM,08:29 AM,06:49 PM,3,4,6,4,13,23,83,0.0,1023,11,10,235,8,Miranda+do+Douro
2019-02-09,10,4,0.0,6.7,2,29,10:55 AM,11:18 PM,08:28 AM,06:51 PM,4,5,7,5,18,82,85,0.1,1023,10,7,228,12,Miranda+do+Douro
2019-02-10,12,5,0.0,8.4,2,37,11:21 AM,No moonset,08:27 AM,06:52 PM,6,5,8,5,30,68,87,1.8,1022,12,7,237,20,Miranda+do+Douro
2019-02-11,12,2,0.0,10.3,3,44,11:49 AM,12:18 AM,08:26 AM,06:53 PM,0,4,5,4,11,4,71,0.0,1030,12,10,93,7,Miranda+do+Douro
2019-02-12,13,1,0.0,10.3,3,52,12:19 PM,01:20 AM,08:24 AM,06:54 PM,-1,4,6,4,13,20,65,0.0,1032,13,10,70,7,Miranda+do+Douro
2019-02-13,14,3,0.0,10.3,3,60,12:53 PM,02:24 AM,08:23 AM,06:56 PM,-1,7,7,7,7,0,56,0.0,1030,14,10,124,4,Miranda+do+Douro
2019-02-14,16,4,0.0,10.4,4,67,01:35 PM,03:30 AM,08:22 AM,06:57 PM,1,8,9,8,12,1,57,0.0,1028,16,10,92,7,Miranda+do+Douro
2019-02-15,17,5,0.0,10.0,3,75,02:23 PM,04:35 AM,08:21 AM,06:58 PM,1,9,9,9,7,29,59,0.0,1027,17,10,117,4,Miranda+do+Douro
2019-02-16,17,5,0.0,10.4,3,82,03:22 PM,05:40 AM,08:19 AM,06:59 PM,2,9,10,9,13,35,59,0.0,1024,17,10,116,8,Miranda+do+Douro
2019-02-17,15,5,0.0,10.8,4,90,04:29 PM,06:40 AM,08:18 AM,07:01 PM,2,8,9,8,12,9,62,0.0,1021,15,10,178,7,Miranda+do+Douro
2019-02-18,10,7,0.0,5.4,2,97,05:43 PM,07:33 AM,08:16 AM,07:02 PM,5,7,8,7,9,80,80,4.6,1018,10,8,196,6,Miranda+do+Douro
2019-02-19,11,3,0.0,10.9,3,100,07:00 PM,08:19 AM,08:15 AM,07:03 PM,2,6,6,6,7,25,78,0.3,1020,11,8,180,4,Miranda+do+Douro
2019-02-20,13,2,0.0,10.9,3,88,08:16 PM,08:59 AM,08:14 AM,07:04 PM,2,6,7,6,7,16,75,0.0,1023,13,10,151,5,Miranda+do+Douro
2019-02-21,16,4,0.0,10.9,4,80,09:32 PM,09:35 AM,08:12 AM,07:06 PM,3,8,9,8,11,7,69,0.0,1026,16,10,128,7,Miranda+do+Douro
2019-02-22,18,5,0.0,11.0,4,73,10:44 PM,10:07 AM,08:11 AM,07:07 PM,1,10,10,10,10,2,56,0.0,1030,18,10,119,6,Miranda+do+Douro
