date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,7,0.0,8.7,4,26,03:24 AM,02:16 PM,07:58 AM,05:13 PM,2,9,10,9,11,1,57,0.0,1032,17,10,95,5,Mondim+de+Basto
2019-01-02,15,6,0.0,8.7,4,19,04:27 AM,02:50 PM,07:58 AM,05:14 PM,3,8,9,8,11,6,66,0.0,1031,15,10,84,6,Mondim+de+Basto
2019-01-03,13,5,0.0,8.7,3,11,05:29 AM,03:28 PM,07:58 AM,05:15 PM,-2,5,7,5,18,2,55,0.0,1029,13,10,81,10,Mondim+de+Basto
2019-01-04,13,3,0.0,8.7,3,4,06:28 AM,04:10 PM,07:58 AM,05:16 PM,-4,5,7,5,16,2,46,0.0,1031,13,10,79,8,Mondim+de+Basto
2019-01-05,16,4,0.0,8.7,3,0,07:23 AM,04:57 PM,07:58 AM,05:16 PM,-4,6,8,6,14,0,42,0.0,1035,16,10,77,7,Mondim+de+Basto
2019-01-06,15,4,0.0,8.7,3,0,08:12 AM,05:49 PM,07:58 AM,05:17 PM,-3,6,8,6,15,1,46,0.0,1033,15,10,81,8,Mondim+de+Basto
2019-01-07,14,5,0.0,8.7,3,3,08:56 AM,06:43 PM,07:58 AM,05:18 PM,-3,6,8,6,17,0,46,0.0,1032,14,10,81,9,Mondim+de+Basto
2019-01-08,14,4,0.0,8.7,3,10,09:35 AM,07:40 PM,07:58 AM,05:19 PM,-1,6,8,6,17,3,56,0.0,1031,14,10,83,9,Mondim+de+Basto
2019-01-09,17,5,0.0,8.7,3,18,10:08 AM,08:38 PM,07:58 AM,05:20 PM,2,7,9,7,15,2,63,0.0,1025,17,10,78,8,Mondim+de+Basto
2019-01-10,10,5,0.0,8.7,3,25,10:38 AM,09:36 PM,07:58 AM,05:22 PM,2,4,6,4,21,2,72,0.0,1023,10,10,84,13,Mondim+de+Basto
2019-01-11,10,2,0.0,8.7,3,32,11:06 AM,10:34 PM,07:57 AM,05:23 PM,-2,3,5,3,18,2,63,0.0,1029,10,10,86,11,Mondim+de+Basto
2019-01-12,12,3,0.0,8.7,3,39,11:33 AM,11:33 PM,07:57 AM,05:24 PM,1,4,6,4,16,2,70,0.0,1032,12,10,83,8,Mondim+de+Basto
2019-01-13,14,3,0.0,8.7,3,47,11:59 AM,No moonset,07:57 AM,05:25 PM,1,5,7,5,14,3,69,0.0,1031,14,10,84,7,Mondim+de+Basto
2019-01-14,14,5,0.0,8.7,3,54,12:26 PM,12:33 AM,07:56 AM,05:26 PM,1,7,8,7,13,12,63,0.0,1026,14,10,87,6,Mondim+de+Basto
2019-01-15,13,5,0.0,3.6,2,61,12:55 PM,01:35 AM,07:56 AM,05:27 PM,3,7,8,7,12,66,71,0.0,1021,13,10,94,6,Mondim+de+Basto
2019-01-16,10,5,0.0,3.6,2,69,01:28 PM,02:40 AM,07:56 AM,05:28 PM,5,7,7,7,5,83,90,0.8,1019,10,7,150,3,Mondim+de+Basto
2019-01-17,10,4,0.0,8.7,3,76,02:06 PM,03:47 AM,07:55 AM,05:29 PM,3,5,6,5,9,16,80,0.0,1022,10,9,106,6,Mondim+de+Basto
2019-01-18,7,2,0.0,3.7,1,83,02:53 PM,04:56 AM,07:55 AM,05:31 PM,2,4,4,4,6,64,85,2.6,1021,7,8,143,3,Mondim+de+Basto
2019-01-19,10,4,0.0,3.7,2,90,03:48 PM,06:04 AM,07:54 AM,05:32 PM,6,6,7,6,11,87,96,23.8,1013,10,8,187,7,Mondim+de+Basto
2019-01-20,10,5,0.0,7.0,2,98,04:53 PM,07:08 AM,07:54 AM,05:33 PM,5,6,7,6,8,32,88,0.9,1019,10,9,261,5,Mondim+de+Basto
2019-01-21,11,4,0.0,8.7,2,100,06:05 PM,08:05 AM,07:53 AM,05:34 PM,3,5,6,5,9,16,81,0.0,1025,11,10,146,5,Mondim+de+Basto
2019-01-22,10,3,0.0,3.7,2,88,07:21 PM,08:54 AM,07:52 AM,05:35 PM,5,4,6,4,11,82,93,5.5,1022,10,7,269,7,Mondim+de+Basto
2019-01-23,10,7,0.0,3.7,2,81,08:36 PM,09:37 AM,07:52 AM,05:37 PM,8,7,9,7,21,100,94,2.5,1017,10,2,280,14,Mondim+de+Basto
2019-01-24,14,9,0.0,5.4,3,73,09:50 PM,10:13 AM,07:51 AM,05:38 PM,9,10,11,10,10,62,91,0.1,1018,14,5,250,6,Mondim+de+Basto
2019-01-25,17,7,0.0,8.7,4,66,11:01 PM,10:46 AM,07:50 AM,05:39 PM,6,9,10,9,12,9,77,0.0,1022,17,10,92,6,Mondim+de+Basto
2019-01-26,15,6,0.0,8.7,3,59,No moonrise,11:17 AM,07:49 AM,05:40 PM,5,8,9,8,12,40,76,0.0,1021,15,10,169,6,Mondim+de+Basto
2019-01-27,10,5,0.0,7.0,2,51,12:10 AM,11:47 AM,07:49 AM,05:42 PM,4,6,7,6,12,38,83,0.4,1022,10,9,286,7,Mondim+de+Basto
2019-01-28,11,4,0.0,5.4,2,44,01:17 AM,12:18 PM,07:48 AM,05:43 PM,6,6,7,6,14,73,91,1.1,1024,11,7,264,9,Mondim+de+Basto
2019-01-29,9,6,0.0,3.7,2,37,02:21 AM,12:52 PM,07:47 AM,05:44 PM,6,5,7,5,18,90,94,9.8,1019,9,5,254,11,Mondim+de+Basto
